INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.501732	0  	0.612272	0.41107	1023  	0.0302435	3.47605	0  	7  	2  	1023  	1.29484
INFO:gp:1  	739   	0.522022	1  	0.616158	0.425695	739   	0.0336342	3.58944	1  	10 	2  	739   	1.39106
INFO:gp:2  	764   	0.531972	2  	0.633457	0.403136	764   	0.0398799	3.72923	2  	13 	2  	764   	1.45845
INFO:gp:3  	776   	0.542057	3  	0.640709	0.392637	776   	0.043521 	3.75855	3  	11 	2  	776   	1.42364
INFO:gp:4  	792   	0.549189	4  	0.672902	0.357447	792   	0.0479186	3.74389	4  	11 	2  	792   	1.40829
INFO:gp:5  	761   	0.558073	5  	0.672902	0.395846	761   	0.0506366	3.93157	5  	13 	2  	761   	1.49917
INFO:gp:6  	783   	0.564491	6  	0.672902	0.39851 	783   	0.0534514	4.20919	6  	12 	2  	783   	1.52632
INFO:gp:7  	787   	0.571896	7  	0.677804	0.37006 	787   	0.0541946	4.47605	7  	14 	2  	787   	1.67237
INFO:gp:8  	756   	0.577649	8  	0.677804	0.38014 	756   	0.0542497	4.66667	8  	12 	2  	756   	1.64888
INFO:gp:9  	775   	0.578779	9  	0.677804	0.400889	775   	0.0562206	4.85533	9  	12 	2  	775   	1.76381
INFO:gp:10 	777   	0.58327 	10 	0.677804	0.384306	777   	0.0560158	4.65396	10 	14 	2  	777   	1.75295
INFO:gp:11 	774   	0.585787	11 	0.680046	0.408052	774   	0.0572613	4.69306	11 	15 	2  	774   	1.86379
INFO:gp:12 	766   	0.588983	12 	0.701798	0.398678	766   	0.0591588	4.45846	12 	15 	2  	766   	1.84967
INFO:gp:13 	773   	0.597175	13 	0.701798	0.414045	773   	0.055305 	4.35093	13 	13 	2  	773   	1.85575
INFO:gp:14 	774   	0.600026	14 	0.701798	0.409869	774   	0.0555051	4.29619	14 	14 	2  	774   	1.72647
INFO:gp:15 	766   	0.604519	15 	0.707316	0.417164	766   	0.0542606	4.12023	15 	13 	2  	766   	1.63066
INFO:gp:16 	752   	0.609093	16 	0.707316	0.412957	752   	0.0544373	4.13783	16 	12 	2  	752   	1.6057 
INFO:gp:17 	764   	0.608027	17 	0.714015	0.410344	764   	0.0556783	4.08504	17 	12 	2  	764   	1.56938
INFO:gp:18 	783   	0.611421	18 	0.721526	0.42076 	783   	0.052778 	3.9218 	18 	12 	2  	783   	1.42788
INFO:gp:19 	774   	0.613335	19 	0.721526	0.388367	774   	0.0555762	3.84555	19 	10 	2  	774   	1.35621
INFO:gp:20 	774   	0.615435	20 	0.721526	0.449103	774   	0.0514846	3.73314	20 	11 	2  	774   	1.27313
