INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.499285	0  	0.611059	0.361728	1023  	0.029867	3.52297	0  	7  	2  	1023  	1.34376
INFO:gp:1  	786   	0.5192  	1  	0.611059	0.409297	786   	0.0328832	3.87879	1  	12 	2  	786   	1.48665
INFO:gp:2  	783   	0.53099 	2  	0.633188	0.413449	783   	0.0358561	4.11535	2  	11 	2  	783   	1.56464
INFO:gp:3  	776   	0.541504	3  	0.633188	0.408287	776   	0.0403494	4.15152	3  	12 	2  	776   	1.63225
INFO:gp:4  	785   	0.546647	4  	0.636737	0.404336	785   	0.0454194	4.3001 	4  	10 	1  	785   	1.69205
INFO:gp:5  	751   	0.556679	5  	0.65406 	0.420494	751   	0.0463799	4.61095	5  	12 	2  	751   	1.73942
INFO:gp:6  	761   	0.561274	6  	0.657315	0.403813	761   	0.0486795	4.78201	6  	11 	2  	761   	1.68031
INFO:gp:7  	780   	0.566533	7  	0.665974	0.416374	780   	0.0492374	4.99804	7  	12 	2  	780   	1.71304
INFO:gp:8  	754   	0.571972	8  	0.666378	0.407334	754   	0.0523166	5.04008	8  	12 	1  	754   	1.75736
INFO:gp:9  	784   	0.573758	9  	0.669264	0.404271	784   	0.0518572	5.14076	9  	12 	1  	784   	1.83848
INFO:gp:10 	757   	0.580637	10 	0.670422	0.404166	757   	0.0517999	5.39198	10 	13 	1  	757   	1.90636
INFO:gp:11 	766   	0.583576	11 	0.677335	0.396547	766   	0.0508402	5.51515	11 	14 	1  	766   	2.17277
INFO:gp:12 	770   	0.590052	12 	0.677335	0.428468	770   	0.0498253	5.78592	12 	15 	2  	770   	2.21567
INFO:gp:13 	776   	0.587148	13 	0.677335	0.433444	776   	0.0526467	5.78886	13 	14 	2  	776   	2.23419
INFO:gp:14 	766   	0.594046	14 	0.686629	0.412889	766   	0.0498069	6.08016	14 	15 	2  	766   	2.26353
INFO:gp:15 	781   	0.594001	15 	0.686629	0.417935	781   	0.0522271	6.32942	15 	15 	1  	781   	2.35093
INFO:gp:16 	789   	0.59305 	16 	0.686629	0.387254	789   	0.0518656	6.56012	16 	16 	2  	789   	2.40398
INFO:gp:17 	778   	0.597425	17 	0.686629	0.448363	778   	0.0494892	6.75562	17 	18 	3  	778   	2.42843
INFO:gp:18 	800   	0.594912	18 	0.692421	0.425586	800   	0.0509499	7.00391	18 	16 	3  	800   	2.45347
INFO:gp:19 	774   	0.597397	19 	0.692421	0.450597	774   	0.0516872	7.12903	19 	16 	3  	774   	2.49358
INFO:gp:20 	782   	0.600708	20 	0.700673	0.432704	782   	0.0490022	7.64027	20 	16 	3  	782   	2.67453
INFO:gp:21 	777   	0.601035	21 	0.700849	0.425233	777   	0.0507088	7.64809	21 	16 	3  	777   	2.74446
INFO:gp:22 	771   	0.600348	22 	0.700849	0.424322	771   	0.051373 	7.51417	22 	16 	3  	771   	2.7137 
INFO:gp:23 	771   	0.60122 	23 	0.701432	0.428965	771   	0.0513071	7.65787	23 	18 	3  	771   	2.78669
INFO:gp:24 	763   	0.603565	24 	0.701432	0.447719	763   	0.0511989	7.48094	24 	16 	3  	763   	2.78338
INFO:gp:25 	775   	0.605362	25 	0.710684	0.455373	775   	0.0495603	7.46334	25 	16 	3  	775   	2.78987
INFO:gp:26 	743   	0.606217	26 	0.710684	0.456374	743   	0.0521451	7.66471	26 	17 	3  	743   	2.7485 
INFO:gp:27 	798   	0.60334 	27 	0.710684	0.442886	798   	0.0531237	7.81329	27 	17 	3  	798   	2.69124
INFO:gp:28 	791   	0.607828	28 	0.710684	0.442486	791   	0.0508788	7.76149	28 	17 	3  	791   	2.71807
