INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500521	0  	0.57979	0.421162	1023  	0.0225845	3.55425	0  	7  	2  	1023  	1.39848
INFO:gp:1  	791   	0.51722 	1  	0.607285	0.438095	791   	0.0246906	3.70674	1  	11 	2  	791   	1.52337
INFO:gp:2  	770   	0.531736	2  	0.608949	0.437265	770   	0.0295366	4.21017	2  	13 	2  	770   	1.78946
INFO:gp:3  	778   	0.544674	3  	0.621587	0.408727	778   	0.0380574	4.62561	3  	13 	2  	778   	1.85801
INFO:gp:4  	784   	0.562709	4  	0.63728 	0.432756	784   	0.038411 	4.46041	4  	14 	2  	784   	1.72785
INFO:gp:5  	780   	0.57085 	5  	0.63728 	0.405972	780   	0.0401465	4.20039	5  	11 	2  	780   	1.51432
INFO:gp:6  	788   	0.579771	6  	0.63728 	0.405599	788   	0.0401445	4.25806	6  	11 	2  	788   	1.58865
INFO:gp:7  	776   	0.58001 	7  	0.640815	0.432079	776   	0.0434395	4.43109	7  	14 	1  	776   	1.69321
INFO:gp:8  	754   	0.579596	8  	0.641325	0.430935	754   	0.0464744	4.42717	8  	11 	2  	754   	1.5783 
INFO:gp:9  	782   	0.581987	9  	0.669842	0.430935	782   	0.0478024	4.50049	9  	11 	2  	782   	1.5316 
