INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.499073	0  	0.570765	0.42152	1023  	0.021784	3.50049	0  	7  	2  	1023  	1.36917
INFO:gp:1  	787   	0.517472	1  	0.591558	0.431343	787   	0.0237836	3.65982	1  	13 	2  	787   	1.50581
INFO:gp:2  	803   	0.528852	2  	0.62077 	0.434886	803   	0.0277494	3.70088	2  	10 	2  	803   	1.43836
INFO:gp:3  	758   	0.541431	3  	0.62077 	0.424236	758   	0.0309813	3.88954	3  	10 	1  	758   	1.42678
INFO:gp:4  	777   	0.550374	4  	0.621094	0.429361	777   	0.0359348	4.11632	4  	9  	2  	777   	1.44808
INFO:gp:5  	776   	0.56115 	5  	0.621094	0.41917 	776   	0.0389777	4.06061	5  	11 	2  	776   	1.52984
INFO:gp:6  	775   	0.572299	6  	0.621094	0.426943	775   	0.037486 	3.88465	6  	11 	2  	775   	1.42742
INFO:gp:7  	780   	0.575064	7  	0.63381 	0.420936	780   	0.039677 	4.12805	7  	11 	2  	780   	1.59061
INFO:gp:8  	763   	0.577394	8  	0.643693	0.423266	763   	0.0426767	4.35973	8  	13 	2  	763   	1.6963 
INFO:gp:9  	775   	0.579582	9  	0.643693	0.439474	775   	0.044087 	4.67742	9  	13 	3  	775   	1.83097
INFO:gp:10 	799   	0.584171	10 	0.649777	0.429216	799   	0.043732 	5.07331	10 	13 	3  	799   	2.16962
INFO:gp:11 	780   	0.589293	11 	0.664235	0.423748	780   	0.0472361	5.39589	11 	15 	3  	780   	2.23949
INFO:gp:12 	756   	0.596604	12 	0.664235	0.410651	756   	0.0500588	5.89736	12 	14 	3  	756   	2.22186
INFO:gp:13 	779   	0.598711	13 	0.664235	0.411647	779   	0.0534353	6.23949	13 	14 	3  	779   	2.25854
INFO:gp:14 	736   	0.606955	14 	0.664425	0.435078	736   	0.0533259	6.77517	14 	15 	3  	736   	2.40525
INFO:gp:15 	781   	0.614476	15 	0.664425	0.46502 	781   	0.0513224	7.56696	15 	17 	3  	781   	2.35823
INFO:gp:16 	797   	0.621802	16 	0.66608 	0.462552	797   	0.0511706	7.96579	16 	18 	3  	797   	2.25799
INFO:gp:17 	770   	0.624803	17 	0.66608 	0.456273	770   	0.0522851	8.36755	17 	17 	3  	770   	2.57513
INFO:gp:18 	772   	0.626152	18 	0.66608 	0.44297 	772   	0.0507652	8.32942	18 	19 	3  	772   	2.92292
INFO:gp:19 	775   	0.624794	19 	0.670885	0.478386	775   	0.0511834	8.23167	19 	19 	3  	775   	2.93795
INFO:gp:20 	782   	0.624016	20 	0.670885	0.436036	782   	0.0523077	8.27664	20 	20 	3  	782   	2.90594
INFO:gp:21 	784   	0.624682	21 	0.670885	0.434439	784   	0.0513397	8.51026	21 	19 	3  	784   	2.82352
INFO:gp:22 	778   	0.626849	22 	0.671072	0.477463	778   	0.0510283	8.83382	22 	17 	3  	778   	2.56713
INFO:gp:23 	762   	0.626491	23 	0.672926	0.457217	762   	0.051118 	8.39198	23 	17 	3  	762   	2.36994
INFO:gp:24 	779   	0.626222	24 	0.673139	0.465546	779   	0.0541293	8.37439	24 	17 	3  	779   	2.46968
INFO:gp:25 	789   	0.62778 	25 	0.674245	0.449256	789   	0.0548315	8.55523	25 	18 	5  	789   	2.69038
INFO:gp:26 	749   	0.628981	26 	0.674245	0.470743	749   	0.0536646	8.38319	26 	19 	4  	749   	2.85591
INFO:gp:27 	763   	0.626821	27 	0.674245	0.458028	763   	0.055858 	8.57087	27 	20 	3  	763   	2.89986
INFO:gp:28 	765   	0.624308	28 	0.674245	0.47696 	765   	0.0574282	8.88074	28 	24 	5  	765   	2.88818
INFO:gp:29 	781   	0.622167	29 	0.674245	0.470118	781   	0.0586573	9.18475	29 	19 	3  	781   	2.92962
INFO:gp:30 	779   	0.626864	30 	0.676168	0.438803	779   	0.0580783	9.39785	30 	19 	3  	779   	2.78508
INFO:gp:31 	775   	0.627962	31 	0.676168	0.460147	775   	0.056645 	9.57283	31 	19 	3  	775   	2.61478
INFO:gp:32 	781   	0.625152	32 	0.676168	0.455223	781   	0.0601032	9.46432	32 	22 	3  	781   	2.43838
INFO:gp:33 	796   	0.624163	33 	0.676823	0.468687	796   	0.0594044	9.18964	33 	22 	3  	796   	2.51626
INFO:gp:34 	774   	0.622289	34 	0.677952	0.459352	774   	0.0613393	9.23558	34 	25 	5  	774   	2.82743
INFO:gp:35 	759   	0.622074	35 	0.679002	0.470381	759   	0.0613628	9.05376	35 	24 	5  	759   	2.83844
INFO:gp:36 	778   	0.620292	36 	0.681599	0.4637  	778   	0.0622154	8.95015	36 	20 	5  	778   	2.76206
INFO:gp:37 	755   	0.61947 	37 	0.681599	0.434103	755   	0.0629905	9.03226	37 	22 	4  	755   	2.71485
INFO:gp:38 	775   	0.617327	38 	0.681599	0.45409 	775   	0.0635976	9.10362	38 	25 	5  	775   	2.57118
INFO:gp:39 	745   	0.620447	39 	0.681599	0.439318	745   	0.0642638	9.12317	39 	21 	3  	745   	2.47144
INFO:gp:40 	777   	0.619526	40 	0.681599	0.470632	777   	0.0642124	9.19746	40 	20 	5  	777   	2.51993
INFO:gp:41 	760   	0.61827 	41 	0.681599	0.431026	760   	0.0649223	9.02933	41 	22 	3  	760   	2.44252
INFO:gp:42 	781   	0.622081	42 	0.682301	0.46065 	781   	0.0645793	8.83089	42 	20 	5  	781   	2.39496
INFO:gp:43 	753   	0.617146	43 	0.682301	0.463619	753   	0.0664129	8.62463	43 	20 	5  	753   	2.36995
INFO:gp:44 	776   	0.619942	44 	0.682301	0.431305	776   	0.0668468	8.27664	44 	20 	3  	776   	2.26424
INFO:gp:45 	759   	0.61911 	45 	0.682301	0.46812 	759   	0.0663705	7.97263	45 	20 	5  	759   	2.08641
INFO:gp:46 	774   	0.621585	46 	0.682301	0.461565	774   	0.0673832	7.98338	46 	20 	4  	774   	2.13492
INFO:gp:47 	773   	0.619834	47 	0.682301	0.451738	773   	0.0648956	8.22483	47 	20 	3  	773   	2.2381 
INFO:gp:48 	783   	0.619681	48 	0.682301	0.447402	783   	0.0663412	8.66178	48 	20 	5  	783   	2.34447
INFO:gp:49 	779   	0.623224	49 	0.682301	0.466426	779   	0.0638566	9.37243	49 	20 	5  	779   	2.49635
INFO:gp:50 	762   	0.620901	50 	0.682301	0.480266	762   	0.0651295	9.87879	50 	20 	5  	762   	2.3743 
INFO:gp:51 	747   	0.622582	51 	0.682301	0.464963	747   	0.0639721	10.1926	51 	20 	3  	747   	2.38951
INFO:gp:52 	782   	0.620837	52 	0.682301	0.484102	782   	0.0645953	10.3529	52 	20 	5  	782   	2.02516
INFO:gp:53 	780   	0.622358	53 	0.683576	0.482834	780   	0.0638353	10.4907	53 	20 	3  	780   	2.14655
INFO:gp:54 	777   	0.622068	54 	0.683576	0.480782	777   	0.0640451	10.5171	54 	20 	5  	777   	2.0515 
INFO:gp:55 	751   	0.626621	55 	0.683579	0.460685	751   	0.0625031	10.607 	55 	20 	5  	751   	2.07344
INFO:gp:56 	787   	0.622874	56 	0.68358 	0.476923	787   	0.0625071	10.695 	56 	22 	3  	787   	2.22464
INFO:gp:57 	754   	0.626762	57 	0.68358 	0.463147	754   	0.0643815	11.0352	57 	22 	3  	754   	2.38821
INFO:gp:58 	787   	0.62341 	58 	0.68402 	0.468989	787   	0.0636797	11.6813	58 	23 	5  	787   	2.85425
INFO:gp:59 	768   	0.626929	59 	0.68402 	0.440689	768   	0.0635185	12.738 	59 	26 	5  	768   	3.21193
INFO:gp:60 	775   	0.626264	60 	0.68402 	0.483676	775   	0.066059 	13.9257	60 	27 	5  	775   	3.45228
INFO:gp:61 	792   	0.626315	61 	0.68402 	0.462054	792   	0.0650551	14.7928	61 	28 	3  	792   	3.17801
INFO:gp:62 	768   	0.62778 	62 	0.68402 	0.473482	768   	0.0653338	15.0811	62 	26 	3  	768   	3.00996
INFO:gp:63 	797   	0.627831	63 	0.68402 	0.463744	797   	0.0651503	15.2854	63 	28 	3  	797   	2.74149
INFO:gp:64 	801   	0.626346	64 	0.68402 	0.483978	801   	0.0653798	15.3109	64 	28 	5  	801   	2.86741
INFO:gp:65 	747   	0.630461	65 	0.68402 	0.45727 	747   	0.0641518	15.1457	65 	28 	5  	747   	2.82138
INFO:gp:66 	777   	0.63085 	66 	0.68402 	0.477639	777   	0.0649431	14.8309	66 	32 	5  	777   	2.73061
INFO:gp:67 	755   	0.632403	67 	0.68402 	0.483013	755   	0.0628751	14.5738	67 	27 	5  	755   	2.55921
INFO:gp:68 	767   	0.630797	68 	0.68402 	0.456935	767   	0.064457 	14.3842	68 	26 	5  	767   	2.51253
INFO:gp:69 	785   	0.628572	69 	0.68402 	0.491498	785   	0.0641055	14.2942	69 	28 	5  	785   	2.66002
INFO:gp:70 	778   	0.630821	70 	0.68402 	0.487312	778   	0.0637237	14.1554	70 	25 	3  	778   	2.44195
INFO:gp:71 	778   	0.631349	71 	0.684793	0.478555	778   	0.0623957	14.1515	71 	24 	3  	778   	2.5629 
INFO:gp:72 	769   	0.631747	72 	0.684793	0.480784	769   	0.0620343	14.2053	72 	26 	5  	769   	2.56049
INFO:gp:73 	769   	0.628744	73 	0.684793	0.491046	769   	0.0634783	14.1574	73 	26 	3  	769   	2.39616
INFO:gp:74 	772   	0.628063	74 	0.684793	0.480444	772   	0.0648791	14.1251	74 	24 	5  	772   	2.49221
INFO:gp:75 	764   	0.629387	75 	0.684793	0.490572	764   	0.0640622	14.1457	75 	25 	5  	764   	2.72588
