INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.502232	0  	0.581124	0.413948	1023  	0.0238374	3.42913	0  	7  	2  	1023  	1.2802
INFO:gp:1  	759   	0.52093 	1  	0.601856	0.445152	759   	0.0251585	3.59629	1  	9  	2  	759   	1.39832
INFO:gp:2  	787   	0.534532	2  	0.614834	0.436504	787   	0.0314027	3.7869 	2  	11 	2  	787   	1.42233
INFO:gp:3  	746   	0.548294	3  	0.6222  	0.428341	746   	0.0366377	3.74389	3  	11 	2  	746   	1.33635
INFO:gp:4  	781   	0.560957	4  	0.6222  	0.41958 	781   	0.0393075	3.73021	4  	10 	1  	781   	1.36481
INFO:gp:5  	747   	0.572725	5  	0.628057	0.417043	747   	0.0411758	3.55718	5  	10 	2  	747   	1.1675 
INFO:gp:6  	773   	0.580421	6  	0.63463 	0.440858	773   	0.0440733	3.50244	6  	10 	2  	773   	1.08385
INFO:gp:7  	766   	0.586648	7  	0.635876	0.403457	766   	0.0465565	3.43304	7  	12 	2  	766   	1.14072
INFO:gp:8  	767   	0.589362	8  	0.635876	0.44269 	767   	0.0477458	3.45064	8  	10 	2  	767   	1.09797
INFO:gp:9  	776   	0.592696	9  	0.635876	0.448907	776   	0.0481545	3.55621	9  	12 	2  	776   	1.21191
INFO:gp:10 	755   	0.599009	10 	0.638432	0.453566	755   	0.0464462	3.58358	10 	12 	2  	755   	1.16675
INFO:gp:11 	784   	0.593449	11 	0.639207	0.414806	784   	0.0505701	3.6999 	11 	10 	2  	784   	1.21367
INFO:gp:12 	780   	0.592264	12 	0.639207	0.413973	780   	0.0509677	3.93646	12 	10 	2  	780   	1.3157 
INFO:gp:13 	765   	0.589494	13 	0.639207	0.448314	765   	0.0529227	4.2043 	13 	11 	2  	765   	1.43898
INFO:gp:14 	780   	0.590125	14 	0.642593	0.449971	780   	0.0533598	4.51613	14 	12 	2  	780   	1.46963
INFO:gp:15 	769   	0.592293	15 	0.64332 	0.449971	769   	0.0528295	4.7654 	15 	12 	3  	769   	1.53859
INFO:gp:16 	754   	0.597672	16 	0.644194	0.472203	754   	0.0514393	5.24829	16 	12 	2  	754   	1.57539
