INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
Number of instances: 234
Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.503211	0  	0.677146	0.321276	3069  	0.0448952	4.22906	0  	7  	2  	3069  	1.71323
INFO:gp:1  	2301  	0.544015	1  	0.677146	0.341194	2301  	0.0431373	4.3379 	1  	13 	2  	2301  	1.85483
INFO:gp:2  	2305  	0.564959	2  	0.698256	0.365366	2305  	0.0512523	4.40209	2  	13 	2  	2305  	1.89989
INFO:gp:3  	2335  	0.583876	3  	0.710909	0.371487	2335  	0.0582392	4.4956 	3  	17 	2  	2335  	1.93787
INFO:gp:4  	2286  	0.606715	4  	0.734101	0.364834	2286  	0.0608817	4.67351	4  	15 	2  	2286  	1.98519
INFO:gp:5  	2307  	0.619321	5  	0.734101	0.364199	2307  	0.0665549	5.21831	5  	17 	2  	2307  	2.11988
INFO:gp:6  	2304  	0.631332	6  	0.752933	0.417883	2304  	0.0677425	5.48094	6  	15 	2  	2304  	2.13782
INFO:gp:7  	2326  	0.641299	7  	0.752934	0.438392	2326  	0.0677533	5.48192	7  	17 	2  	2326  	2.36187
INFO:gp:8  	2273  	0.653004	8  	0.754005	0.443445	2273  	0.0684059	5.55556	8  	21 	1  	2273  	2.52261
INFO:gp:9  	2293  	0.663063	9  	0.754005	0.438588	2293  	0.0697272	5.74096	9  	21 	2  	2293  	2.58508
