INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.215403	0  	0.320853	0.131876	1023  	0.0309352	4.83089	0  	7  	2  	1023  	1.42925
INFO:gp:1  	751   	0.253653	1  	0.349796	0.172147	751   	0.0278414	4.9433 	1  	12 	3  	751   	1.37947
INFO:gp:2  	774   	0.27973 	2  	0.361139	0.170007	774   	0.0286815	5.01271	2  	11 	3  	774   	1.43508
INFO:gp:3  	786   	0.298239	3  	0.379744	0.165793	786   	0.0295989	5.23265	3  	11 	3  	786   	1.49441
INFO:gp:4  	770   	0.313674	4  	0.401217	0.204744	770   	0.031254 	5.22092	4  	13 	2  	770   	1.55325
INFO:gp:5  	768   	0.328967	5  	0.401424	0.169559	768   	0.0330973	5.01955	5  	13 	2  	768   	1.57187
INFO:gp:6  	750   	0.342736	6  	0.412455	0.181198	750   	0.0321698	4.86217	6  	12 	2  	750   	1.6853 
INFO:gp:7  	765   	0.355867	7  	0.431178	0.218552	765   	0.034718 	4.53861	7  	12 	2  	765   	1.68491
INFO:gp:8  	752   	0.371867	8  	0.442278	0.23974 	752   	0.0332592	4.348  	8  	11 	2  	752   	1.73856
INFO:gp:9  	764   	0.38505 	9  	0.443743	0.243302	764   	0.0345711	4.59238	9  	10 	2  	764   	1.93011
INFO:gp:10 	784   	0.400526	10 	0.455342	0.241352	784   	0.0341744	5.47214	10 	10 	2  	784   	2.00414
INFO:gp:11 	770   	0.416678	11 	0.476162	0.283752	770   	0.0304156	6.55621	11 	12 	2  	770   	1.51838
INFO:gp:12 	763   	0.428003	12 	0.500726	0.303939	763   	0.0311224	6.97165	12 	13 	3  	763   	1.02089
INFO:gp:13 	752   	0.438973	13 	0.500726	0.27566 	752   	0.0329813	6.93646	13 	13 	3  	752   	1.14657
INFO:gp:14 	772   	0.449219	14 	0.501697	0.254854	772   	0.0340337	7.04594	14 	12 	3  	772   	0.948756
INFO:gp:15 	763   	0.459749	15 	0.506233	0.276927	763   	0.0341805	7.21505	15 	13 	3  	763   	0.946614
INFO:gp:16 	803   	0.4709  	16 	0.508901	0.326536	803   	0.0317931	7.20626	16 	13 	3  	803   	0.953196
INFO:gp:17 	770   	0.478449	17 	0.512753	0.330772	770   	0.0328003	7.18084	17 	12 	4  	770   	0.98649 
INFO:gp:18 	779   	0.481287	18 	0.522838	0.312018	779   	0.0346964	7.10362	18 	13 	4  	779   	1.09161 
INFO:gp:19 	767   	0.484581	19 	0.522838	0.297662	767   	0.0351887	6.98338	19 	13 	4  	767   	1.45601 
