INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std   
0  	1023  	0.214962	0  	0.368453	0.120588	1023  	0.0325805	4.8915	0  	7  	2  	1023  	1.3838
INFO:gp:1  	809   	0.254723	1  	0.369916	0.160795	809   	0.0305704	5.13294	1  	10 	2  	809   	1.42726
INFO:gp:2  	758   	0.284978	2  	0.379085	0.186483	758   	0.0311035	5.21799	2  	11 	3  	758   	1.50736
INFO:gp:3  	786   	0.310271	3  	0.386173	0.165557	786   	0.032727 	5.71261	3  	11 	3  	786   	1.38612
INFO:gp:4  	778   	0.334413	4  	0.399492	0.214377	778   	0.0336042	6.12414	4  	11 	3  	778   	1.06542
INFO:gp:5  	772   	0.357327	5  	0.404535	0.224156	772   	0.0292576	6.16618	5  	10 	3  	772   	0.866307
INFO:gp:6  	775   	0.37044 	6  	0.435648	0.20989 	775   	0.0267975	6.16227	6  	12 	3  	775   	0.796537
INFO:gp:7  	755   	0.381416	7  	0.435648	0.24601 	755   	0.0269029	6.21017	7  	11 	3  	755   	0.818777
INFO:gp:8  	786   	0.390012	8  	0.435648	0.228193	786   	0.0279062	6.29423	8  	12 	3  	786   	0.886764
INFO:gp:9  	791   	0.397605	9  	0.436458	0.245538	791   	0.0302486	6.3089 	9  	12 	3  	791   	0.896604
INFO:gp:10 	766   	0.405078	10 	0.441992	0.21978 	766   	0.0326448	6.54936	10 	12 	3  	766   	0.998169
INFO:gp:11 	740   	0.414436	11 	0.45734 	0.245381	740   	0.0296192	6.6217 	11 	11 	4  	740   	0.84393 
INFO:gp:12 	779   	0.416726	12 	0.45734 	0.235711	779   	0.0299691	6.65982	12 	12 	5  	779   	0.952241
INFO:gp:13 	786   	0.417312	13 	0.45734 	0.236605	786   	0.0331184	6.80254	13 	12 	3  	786   	1.07496 
INFO:gp:14 	777   	0.421473	14 	0.460893	0.242065	777   	0.0335305	7.15249	14 	13 	3  	777   	1.20126 
INFO:gp:15 	755   	0.424431	15 	0.46535 	0.264798	755   	0.0365223	7.04008	15 	13 	3  	755   	1.22189 
INFO:gp:16 	762   	0.428802	16 	0.46535 	0.231876	762   	0.039959 	6.56891	16 	14 	4  	762   	1.06802 
INFO:gp:17 	747   	0.435064	17 	0.46535 	0.243856	747   	0.0375374	6.36755	17 	11 	3  	747   	0.902805
INFO:gp:18 	757   	0.435379	18 	0.467091	0.231917	757   	0.0405103	6.55523	18 	15 	5  	757   	1.08154 
INFO:gp:19 	769   	0.436584	19 	0.471186	0.232937	769   	0.0434653	6.90323	19 	13 	5  	769   	1.13481 
INFO:gp:20 	785   	0.44138 	20 	0.471186	0.256743	785   	0.03759  	7.59531	20 	13 	4  	785   	1.11353 
INFO:gp:21 	775   	0.44039 	21 	0.471186	0.214142	775   	0.039937 	8.0088 	21 	13 	4  	775   	0.940519
INFO:gp:22 	765   	0.444585	22 	0.475669	0.257721	765   	0.038971 	8.20626	22 	13 	6  	765   	0.95831 
INFO:gp:23 	768   	0.445329	23 	0.475669	0.204918	768   	0.0411013	8.51417	23 	14 	5  	768   	0.996349
INFO:gp:24 	783   	0.447081	24 	0.485198	0.240332	783   	0.0375989	8.68719	24 	14 	6  	783   	1.03218 
INFO:gp:25 	795   	0.448048	25 	0.485198	0.265011	795   	0.0367712	8.64125	25 	14 	6  	795   	1.1104  
INFO:gp:26 	776   	0.449081	26 	0.485198	0.225403	776   	0.0412151	8.50342	26 	15 	6  	776   	1.09193 
INFO:gp:27 	760   	0.449961	27 	0.490608	0.237313	760   	0.043844 	8.4174 	27 	14 	6  	760   	1.12066 
INFO:gp:28 	755   	0.453535	28 	0.490608	0.256449	755   	0.0419661	8.57283	28 	16 	6  	755   	1.18079 
INFO:gp:29 	785   	0.459641	29 	0.490608	0.248492	785   	0.0379865	8.4174 	29 	14 	6  	785   	1.04295 
INFO:gp:30 	794   	0.460685	30 	0.490608	0.218617	794   	0.0414942	8.34213	30 	15 	3  	794   	0.954617
INFO:gp:31 	770   	0.464478	31 	0.494014	0.262927	770   	0.0373712	8.67058	31 	14 	6  	770   	1.07126 
INFO:gp:32 	765   	0.469766	32 	0.494014	0.249308	765   	0.0342538	8.89443	32 	16 	6  	765   	1.06053 
INFO:gp:33 	794   	0.465597	33 	0.498088	0.251518	794   	0.0406936	8.71359	33 	14 	6  	794   	1.09432 
INFO:gp:34 	791   	0.466015	34 	0.500365	0.266195	791   	0.0393101	8.49365	34 	15 	5  	791   	1.11583 
INFO:gp:35 	766   	0.467712	35 	0.501743	0.240953	766   	0.039987 	8.7654 	35 	15 	6  	766   	1.36629 
INFO:gp:36 	780   	0.47005 	36 	0.507983	0.284725	780   	0.0395362	9.435  	36 	16 	5  	780   	1.5051  
INFO:gp:37 	734   	0.474604	37 	0.507983	0.284725	734   	0.0379309	9.60802	37 	17 	6  	734   	1.46574 
INFO:gp:38 	767   	0.477396	38 	0.513749	0.261395	767   	0.0383754	9.65885	38 	17 	6  	767   	1.46044 
INFO:gp:39 	809   	0.477067	39 	0.513749	0.249108	809   	0.0413391	9.53763	39 	17 	6  	809   	1.57084 
INFO:gp:40 	786   	0.483066	40 	0.519531	0.292859	786   	0.0400128	8.71848	40 	14 	5  	786   	1.6984  
INFO:gp:41 	770   	0.484331	41 	0.519533	0.260074	770   	0.0431513	8.51417	41 	16 	5  	770   	1.81972 
INFO:gp:42 	764   	0.485128	42 	0.519533	0.260697	764   	0.0443809	9.4956 	42 	15 	3  	764   	1.63948 
INFO:gp:43 	777   	0.487485	43 	0.519902	0.28018 	777   	0.0451251	9.83284	43 	20 	6  	777   	1.47459 
INFO:gp:44 	774   	0.493528	44 	0.519902	0.277469	774   	0.0413859	10.4829	44 	16 	5  	774   	1.27823 
INFO:gp:45 	781   	0.493413	45 	0.519905	0.292174	781   	0.0424578	11.1036	45 	18 	6  	781   	1.17942 
INFO:gp:46 	759   	0.495666	46 	0.534938	0.239486	759   	0.0409026	11.2659	46 	19 	6  	759   	1.37982 
INFO:gp:47 	767   	0.495418	47 	0.534938	0.282121	767   	0.0435409	10.7028	47 	20 	6  	767   	1.76798 
INFO:gp:48 	765   	0.493494	48 	0.534938	0.269777	765   	0.0440328	9.435  	48 	17 	4  	765   	2.10883 
INFO:gp:49 	776   	0.498136	49 	0.534938	0.275749	776   	0.0425599	8.93451	49 	19 	5  	776   	2.41019 
INFO:gp:50 	758   	0.501609	50 	0.534942	0.239722	758   	0.0444209	10.2063	50 	18 	5  	758   	2.19559 
INFO:gp:51 	792   	0.504919	51 	0.534942	0.255737	792   	0.0469562	10.9453	51 	19 	6  	792   	1.24628 
INFO:gp:52 	776   	0.505036	52 	0.534997	0.223462	776   	0.0468262	11.0401	52 	19 	5  	776   	1.13047 
INFO:gp:53 	774   	0.508696	53 	0.534997	0.263136	774   	0.0425638	11.089 	53 	20 	6  	774   	1.03076 
INFO:gp:54 	777   	0.506678	54 	0.535   	0.208139	777   	0.0477508	11.1955	54 	20 	4  	777   	1.16687 
INFO:gp:55 	776   	0.50871 	55 	0.535   	0.281395	776   	0.0445557	11.2033	55 	20 	6  	776   	1.01586 
INFO:gp:56 	780   	0.508709	56 	0.53806 	0.256465	780   	0.0441349	11.1427	56 	19 	6  	780   	0.902458
INFO:gp:57 	776   	0.507613	57 	0.53806 	0.244824	776   	0.0480168	11.2268	57 	19 	6  	776   	1.04137 
INFO:gp:58 	770   	0.509139	58 	0.53806 	0.256269	770   	0.0468247	11.1769	58 	18 	8  	770   	0.848767
INFO:gp:59 	791   	0.507056	59 	0.538114	0.249627	791   	0.047714 	11.2747	59 	19 	9  	791   	1.04905 
INFO:gp:60 	785   	0.510666	60 	0.538114	0.231472	785   	0.0470575	11.3509	60 	19 	6  	785   	1.09071 
INFO:gp:61 	762   	0.510694	61 	0.538114	0.267112	762   	0.04812  	11.2923	61 	19 	6  	762   	1.01196 
INFO:gp:62 	785   	0.51386 	62 	0.538114	0.26825 	785   	0.0464057	11.2239	62 	18 	9  	785   	0.894065
INFO:gp:63 	793   	0.511438	63 	0.538114	0.23467 	793   	0.0487012	11.2385	63 	20 	9  	793   	0.924206
INFO:gp:64 	780   	0.512656	64 	0.538114	0.251324	780   	0.0473955	11.2082	64 	20 	10 	780   	0.976083
INFO:gp:65 	779   	0.509067	65 	0.538114	0.267856	779   	0.0504139	11.2463	65 	20 	10 	779   	0.93896 
INFO:gp:66 	775   	0.510028	66 	0.538114	0.242827	775   	0.0512236	11.3871	66 	20 	7  	775   	1.01345 
INFO:gp:67 	775   	0.511378	67 	0.538126	0.23456 	775   	0.0517383	11.7058	67 	20 	10 	775   	0.928761
INFO:gp:68 	752   	0.511432	68 	0.538126	0.267491	752   	0.0471297	12.1046	68 	20 	8  	752   	0.9389  
INFO:gp:69 	773   	0.512621	69 	0.538126	0.259263	773   	0.049092 	12.3646	69 	20 	10 	773   	1.12772 
INFO:gp:70 	779   	0.512721	70 	0.538127	0.232001	779   	0.0494123	12.784 	70 	20 	10 	779   	1.4236  
INFO:gp:71 	791   	0.511927	71 	0.538127	0.267478	791   	0.0483186	12.5337	71 	20 	10 	791   	1.41649 
INFO:gp:72 	771   	0.508167	72 	0.538127	0.271448	771   	0.0501771	12.2981	72 	19 	10 	771   	1.18316 
INFO:gp:73 	773   	0.510873	73 	0.538128	0.229093	773   	0.0499976	12.4712	73 	19 	10 	773   	1.21931 
INFO:gp:74 	772   	0.510114	74 	0.538129	0.285365	772   	0.0497302	12.9052	74 	20 	11 	772   	1.32566 
INFO:gp:75 	762   	0.513259	75 	0.538129	0.248692	762   	0.0479122	13.6618	75 	21 	8  	762   	1.35237 
INFO:gp:76 	750   	0.512615	76 	0.538157	0.250271	750   	0.0483708	13.9521	76 	20 	11 	750   	1.2256  
INFO:gp:77 	766   	0.51123 	77 	0.538157	0.252116	766   	0.0475611	14.2141	77 	22 	10 	766   	1.55452 
INFO:gp:78 	772   	0.51174 	78 	0.5382  	0.248858	772   	0.0492687	15.0078	78 	25 	11 	772   	2.14206 
INFO:gp:79 	757   	0.512189	79 	0.5382  	0.251092	757   	0.0493756	16.1417	79 	25 	11 	757   	2.31077 
INFO:gp:80 	819   	0.5091  	80 	0.545259	0.266377	819   	0.0518287	15.9541	80 	25 	11 	819   	1.83131 
INFO:gp:81 	769   	0.508794	81 	0.545259	0.290239	769   	0.0522081	15.8407	81 	22 	11 	769   	1.4781  
INFO:gp:82 	760   	0.50797 	82 	0.545259	0.246361	760   	0.0525522	15.8348	82 	23 	10 	760   	1.50434 
INFO:gp:83 	791   	0.508826	83 	0.545308	0.275598	791   	0.051845 	15.9228	83 	24 	11 	791   	1.50428 
INFO:gp:84 	809   	0.51162 	84 	0.545308	0.275603	809   	0.0511603	15.9834	84 	22 	11 	809   	1.40127 
INFO:gp:85 	750   	0.515987	85 	0.545308	0.277635	750   	0.0507527	15.9052	85 	22 	11 	750   	1.40304 
INFO:gp:86 	728   	0.519246	86 	0.54532 	0.290823	728   	0.0503194	15.9511	86 	23 	11 	728   	1.23074 
INFO:gp:87 	774   	0.514275	87 	0.54532 	0.264602	774   	0.0562247	16.0459	87 	23 	11 	774   	1.48858 
INFO:gp:88 	794   	0.51879 	88 	0.54532 	0.299104	794   	0.0500637	16.1417	88 	24 	10 	794   	1.5802  
