INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
Number of instances: 234
Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	3069  	0.499077	0  	0.584355	0.413541	3069  	0.0215435	4.0681	0  	7  	2  	3069  	1.45025
INFO:gp:1  	2311  	0.520981	1  	0.585428	0.413541	2311  	0.022813 	4.12675	1  	11 	2  	2311  	1.50352
INFO:gp:2  	2371  	0.538128	2  	0.585635	0.423419	2371  	0.0283295	4.12023	2  	11 	2  	2371  	1.58589
INFO:gp:3  	2301  	0.552429	3  	0.591163	0.439868	2301  	0.0327681	4.25057	3  	16 	1  	2301  	1.86112
INFO:gp:4  	2273  	0.554046	4  	0.591163	0.430826	2273  	0.0359719	4.97002	4  	16 	2  	2273  	1.8135 
INFO:gp:5  	2280  	0.555266	5  	0.59711 	0.420413	2280  	0.0388606	5.45161	5  	16 	1  	2280  	1.83145
INFO:gp:6  	2362  	0.555162	6  	0.59711 	0.413541	2362  	0.0395761	6.25024	6  	16 	2  	2362  	1.99133
INFO:gp:7  	2345  	0.555838	7  	0.59711 	0.412569	2345  	0.0397435	7.07071	7  	16 	2  	2345  	1.75175
INFO:gp:8  	2329  	0.556793	8  	0.59711 	0.408865	2329  	0.0397089	7.38742	8  	17 	2  	2329  	1.72388
INFO:gp:9  	2322  	0.560119	9  	0.59711 	0.408865	2322  	0.0384964	7.77224	9  	17 	2  	2322  	1.863  
INFO:gp:10 	2329  	0.562548	10 	0.59711 	0.44616 	2329  	0.0377198	8.22939	10 	18 	2  	2329  	1.94168
INFO:gp:11 	2327  	0.562576	11 	0.59711 	0.426551	2327  	0.03781  	8.55947	11 	19 	2  	2327  	2.13311
INFO:gp:12 	2318  	0.563521	12 	0.59711 	0.397177	2318  	0.0392626	8.76083	12 	23 	3  	2318  	2.18294
INFO:gp:13 	2335  	0.563011	13 	0.59711 	0.443429	2335  	0.0392428	8.74552	13 	20 	2  	2335  	2.16208
INFO:gp:14 	2297  	0.563067	14 	0.59711 	0.428231	2297  	0.0395801	8.74976	14 	20 	2  	2297  	2.19702
INFO:gp:15 	2299  	0.563904	15 	0.59857 	0.397177	2299  	0.0396189	8.78104	15 	18 	3  	2299  	2.13802
INFO:gp:16 	2312  	0.564447	16 	0.59857 	0.410235	2312  	0.039143 	8.74291	16 	19 	3  	2312  	2.14132
INFO:gp:17 	2333  	0.562368	17 	0.59857 	0.44529 	2333  	0.0396608	8.75367	17 	18 	2  	2333  	2.16234
INFO:gp:18 	2292  	0.563805	18 	0.59857 	0.44616 	2292  	0.0390265	8.91887	18 	23 	2  	2292  	2.3532 
INFO:gp:19 	2357  	0.560884	19 	0.600402	0.417543	2357  	0.0402997	8.97165	19 	22 	2  	2357  	2.49264
INFO:gp:20 	2295  	0.564471	20 	0.600402	0.408865	2295  	0.0395348	9.26914	20 	19 	2  	2295  	2.61881
INFO:gp:21 	2339  	0.564836	21 	0.600402	0.438469	2339  	0.0393397	9.65168	21 	22 	3  	2339  	2.96513
INFO:gp:22 	2330  	0.565778	22 	0.600402	0.416818	2330  	0.039251 	10.463 	22 	24 	3  	2330  	3.44425
INFO:gp:23 	2301  	0.569792	23 	0.60227 	0.413541	2301  	0.0370069	11.7097	23 	27 	3  	2301  	3.81113
INFO:gp:24 	2301  	0.571926	24 	0.60227 	0.407433	2301  	0.0373283	13.0613	24 	27 	2  	2301  	3.77868
INFO:gp:25 	2319  	0.573087	25 	0.60227 	0.400912	2319  	0.0364581	14.0567	25 	29 	3  	2319  	3.61553
INFO:gp:26 	2328  	0.573345	26 	0.60227 	0.404619	2328  	0.0360903	14.5213	26 	32 	2  	2328  	3.67718
INFO:gp:27 	2342  	0.572516	27 	0.60227 	0.403308	2342  	0.0373876	14.8625	27 	33 	3  	2342  	3.82358
INFO:gp:28 	2297  	0.572163	28 	0.603682	0.440432	2297  	0.0373506	15.5165	28 	36 	3  	2297  	4.54507
INFO:gp:29 	2317  	0.573109	29 	0.603682	0.44616 	2317  	0.0373534	16.5106	29 	42 	2  	2317  	5.24123
INFO:gp:30 	2316  	0.576494	30 	0.603682	0.440108	2316  	0.0369827	17.8853	30 	46 	3  	2316  	5.80782
INFO:gp:31 	2309  	0.579827	31 	0.603682	0.44616 	2309  	0.0350215	18.4506	31 	44 	3  	2309  	5.2974 
INFO:gp:32 	2334  	0.578964	32 	0.603682	0.399511	2334  	0.0364961	19     	32 	44 	3  	2334  	5.62422
INFO:gp:33 	2346  	0.578786	33 	0.603682	0.409862	2346  	0.0363303	19.4376	33 	48 	3  	2346  	6.44558
INFO:gp:34 	2305  	0.579424	34 	0.603682	0.413994	2305  	0.0364652	21.0655	34 	49 	3  	2305  	7.53542
INFO:gp:35 	2328  	0.578878	35 	0.603682	0.447886	2328  	0.0360737	23.7869	35 	57 	3  	2328  	8.36653
INFO:gp:36 	2311  	0.578297	36 	0.603683	0.435202	2311  	0.0367898	26.7713	36 	62 	2  	2311  	8.20322
INFO:gp:37 	2308  	0.57942 	37 	0.603683	0.45129 	2308  	0.0355722	29.3614	37 	62 	3  	2308  	7.16091
INFO:gp:38 	2335  	0.578562	38 	0.603683	0.423235	2335  	0.0361842	30.0316	38 	50 	4  	2335  	6.65703
