INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	3069  	0.500608	0  	0.63974	0.322163	3069  	0.036276	3.47377	0  	7  	2  	3069  	1.34127
INFO:gp:1  	2353  	0.531711	1  	0.681395	0.378059	2353  	0.0367874	3.78071	1  	11 	2  	2353  	1.51515
INFO:gp:2  	2318  	0.548958	2  	0.681395	0.34986 	2318  	0.0438082	3.91463	2  	11 	1  	2318  	1.6147 
INFO:gp:3  	2296  	0.566087	3  	0.698058	0.360657	2296  	0.0509622	4.04399	3  	11 	2  	2296  	1.62249
INFO:gp:4  	2319  	0.585344	4  	0.70507 	0.358719	2319  	0.0576354	4.08146	4  	13 	2  	2319  	1.5603 
INFO:gp:5  	2298  	0.606943	5  	0.731813	0.371017	2298  	0.0594128	4.26686	5  	15 	1  	2298  	1.56622
INFO:gp:6  	2353  	0.629598	6  	0.731813	0.390387	2353  	0.058835 	4.43402	6  	14 	1  	2353  	1.5574 
INFO:gp:7  	2295  	0.645843	7  	0.74565 	0.424336	2295  	0.0594658	4.48941	7  	14 	3  	2295  	1.64501
INFO:gp:8  	2339  	0.655185	8  	0.74565 	0.431419	2339  	0.0588734	4.53861	8  	14 	3  	2339  	1.66624
INFO:gp:9  	2346  	0.66348 	9  	0.74565 	0.448446	2346  	0.06004  	4.56044	9  	14 	3  	2346  	1.64116
INFO:gp:10 	2320  	0.671869	10 	0.74565 	0.433681	2320  	0.0603574	4.46953	10 	12 	3  	2320  	1.51568
INFO:gp:11 	2315  	0.675317	11 	0.767512	0.41581 	2315  	0.0644299	4.44477	11 	11 	3  	2315  	1.53167
INFO:gp:12 	2342  	0.681172	12 	0.767512	0.446757	2342  	0.0624607	4.25187	12 	14 	3  	2342  	1.54189
INFO:gp:13 	2311  	0.687026	13 	0.767512	0.411983	2311  	0.0637462	3.99544	13 	14 	2  	2311  	1.55783
INFO:gp:14 	2298  	0.691346	14 	0.767512	0.426309	2298  	0.0658916	3.75497	14 	14 	3  	2298  	1.36661
