INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                     size                     
   	      	-----------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	3069  	0.501953	0  	0.69046	0.360089	3069  	0.0369724	3.49169	0  	7  	2  	3069  	1.3449
INFO:gp:1  	2318  	0.533606	1  	0.69046	0.355629	2318  	0.039489 	3.72955	1  	12 	2  	2318  	1.52758
INFO:gp:2  	2327  	0.555886	2  	0.697859	0.378755	2327  	0.0466249	4.0593 	2  	11 	1  	2327  	1.60676
INFO:gp:3  	2338  	0.577375	3  	0.711191	0.37419 	2338  	0.0529727	4.21505	3  	12 	1  	2338  	1.67087
INFO:gp:4  	2280  	0.595161	4  	0.722324	0.399784	2280  	0.0586884	4.28381	4  	12 	2  	2280  	1.69946
INFO:gp:5  	2347  	0.605244	5  	0.735102	0.37435 	2347  	0.0654212	4.35288	5  	12 	1  	2347  	1.70645
INFO:gp:6  	2304  	0.617823	6  	0.747495	0.358257	2304  	0.0707876	4.43109	6  	15 	2  	2304  	1.73803
INFO:gp:7  	2307  	0.632257	7  	0.748275	0.402032	2307  	0.0736798	4.80287	7  	14 	2  	2307  	1.85879
INFO:gp:8  	2277  	0.651121	8  	0.752308	0.391819	2277  	0.0758643	5.21147	8  	14 	2  	2277  	1.72854
INFO:gp:9  	2299  	0.671328	9  	0.766333	0.42179 	2299  	0.0724634	5.59563	9  	15 	3  	2299  	1.63471
INFO:gp:10 	2341  	0.684348	10 	0.766333	0.386932	2341  	0.0699781	5.71489	10 	14 	3  	2341  	1.5765 
INFO:gp:11 	2293  	0.697198	11 	0.771466	0.425038	2293  	0.0659943	5.77094	11 	14 	3  	2293  	1.69295
INFO:gp:12 	2315  	0.703725	12 	0.771466	0.421873	2315  	0.0640531	6.01173	12 	19 	3  	2315  	1.89575
INFO:gp:13 	2329  	0.708148	13 	0.771466	0.448904	2329  	0.0631856	6.49593	13 	19 	3  	2329  	2.14566
INFO:gp:14 	2266  	0.716689	14 	0.776159	0.429794	2266  	0.060663 	6.88726	14 	20 	3  	2266  	2.45009
INFO:gp:15 	2299  	0.719745	15 	0.776159	0.431351	2299  	0.0670337	7.27761	15 	24 	3  	2299  	2.73492
INFO:gp:16 	2333  	0.723338	16 	0.776159	0.423931	2333  	0.065184 	7.97784	16 	22 	3  	2333  	2.95995
INFO:gp:17 	2338  	0.72671 	17 	0.776164	0.448736	2338  	0.0649166	8.91105	17 	24 	3  	2338  	3.16283
INFO:gp:18 	2305  	0.726839	18 	0.780288	0.410409	2305  	0.065129 	9.51808	18 	24 	3  	2305  	3.36787
INFO:gp:19 	2301  	0.727369	19 	0.783916	0.399013	2301  	0.0665922	9.86054	19 	24 	3  	2301  	3.75584
INFO:gp:20 	2299  	0.727664	20 	0.78644 	0.450334	2299  	0.0664856	9.85044	20 	26 	3  	2299  	4.10193
INFO:gp:21 	2344  	0.728624	21 	0.78644 	0.427447	2344  	0.066368 	9.86347	21 	30 	3  	2344  	4.63098
