INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.50087	0  	0.642887	0.339733	3069  	0.0365815	3.53796	0  	7  	2  	3069  	1.36388
INFO:gp:1  	2283  	0.531264	1  	0.661632	0.371814	2283  	0.0370289	3.77094	1  	12 	2  	2283  	1.53571
INFO:gp:2  	2327  	0.549834	2  	0.683453	0.305543	2327  	0.0432704	3.88107	2  	11 	2  	2327  	1.51107
INFO:gp:3  	2343  	0.566796	3  	0.696714	0.35224 	2343  	0.0502466	3.9899 	3  	12 	1  	2343  	1.57682
INFO:gp:4  	2315  	0.587202	4  	0.707248	0.389766	2315  	0.0517047	4.05148	4  	13 	2  	2315  	1.66048
INFO:gp:5  	2339  	0.603945	5  	0.739073	0.371956	2339  	0.055239 	3.82861	5  	15 	1  	2339  	1.53039
INFO:gp:6  	2285  	0.622697	6  	0.739073	0.414752	2285  	0.0560667	3.65917	6  	15 	1  	2285  	1.29584
INFO:gp:7  	2267  	0.637462	7  	0.744442	0.410636	2267  	0.0591745	3.58456	7  	9  	1  	2267  	1.1211 
INFO:gp:8  	2314  	0.650201	8  	0.74867 	0.413174	2314  	0.0591635	3.5637 	8  	11 	2  	2314  	1.11636
INFO:gp:9  	2304  	0.659262	9  	0.753586	0.401441	2304  	0.063135 	3.59726	9  	11 	3  	2304  	1.11511
INFO:gp:10 	2315  	0.666477	10 	0.754118	0.452444	2315  	0.0639841	3.73998	10 	11 	3  	2315  	1.21928
INFO:gp:11 	2298  	0.67177 	11 	0.755085	0.448326	2298  	0.0670769	3.88172	11 	11 	3  	2298  	1.27129
INFO:gp:12 	2289  	0.679674	12 	0.76797 	0.453449	2289  	0.067272 	3.98827	12 	13 	3  	2289  	1.24376
INFO:gp:13 	2332  	0.680754	13 	0.768062	0.413551	2332  	0.069892 	4.12773	13 	13 	3  	2332  	1.2969 
INFO:gp:14 	2339  	0.684841	14 	0.775332	0.459838	2339  	0.0703217	4.1766 	14 	12 	3  	2339  	1.43642
INFO:gp:15 	2318  	0.689151	15 	0.775965	0.464096	2318  	0.0700056	4.28967	15 	13 	3  	2318  	1.60456
INFO:gp:16 	2321  	0.694683	16 	0.781937	0.456891	2321  	0.0685977	4.58097	16 	19 	3  	2321  	1.94257
INFO:gp:17 	2312  	0.700758	17 	0.781937	0.484731	2312  	0.068748 	5.31443	17 	17 	3  	2312  	2.37887
INFO:gp:18 	2296  	0.709087	18 	0.792119	0.470305	2296  	0.071101 	6.56272	18 	17 	3  	2296  	2.65915
INFO:gp:19 	2342  	0.715191	19 	0.794956	0.487353	2342  	0.0695188	7.55718	19 	23 	3  	2342  	2.92054
INFO:gp:20 	2359  	0.719809	20 	0.794956	0.489411	2359  	0.0694058	7.99479	20 	24 	3  	2359  	3.00602
INFO:gp:21 	2288  	0.723548	21 	0.794956	0.487775	2288  	0.0709798	8.45748	21 	26 	3  	2288  	3.47282
INFO:gp:22 	2311  	0.728467	22 	0.794956	0.475369	2311  	0.0684291	9.11437	22 	27 	3  	2311  	4.09582
