INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg   	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.5008	0  	0.667326	0.363544	3069  	0.0367465	3.45455	0  	7  	2  	3069  	1.30778
INFO:gp:1  	2311  	0.532807	1  	0.667326	0.381045	2311  	0.0370642	3.68361	1  	12 	2  	2311  	1.53293
INFO:gp:2  	2286  	0.552664	2  	0.683485	0.342823	2286  	0.0454837	3.98403	2  	13 	2  	2286  	1.7123 
INFO:gp:3  	2315  	0.572909	3  	0.685588	0.374031	2315  	0.0520281	4.53242	3  	13 	2  	2315  	1.97195
INFO:gp:4  	2371  	0.589473	4  	0.711664	0.372339	2371  	0.0575226	4.97817	4  	15 	1  	2371  	2.04252
INFO:gp:5  	2325  	0.604325	5  	0.715225	0.377118	2325  	0.063692 	5.32682	5  	15 	1  	2325  	2.12322
INFO:gp:6  	2309  	0.612438	6  	0.720034	0.376346	2309  	0.0701401	5.93255	6  	17 	1  	2309  	2.4181 
INFO:gp:7  	2311  	0.620877	7  	0.724865	0.378887	2311  	0.0760917	6.72564	7  	21 	2  	2311  	2.61889
INFO:gp:8  	2285  	0.637994	8  	0.744655	0.406247	2285  	0.0739119	7.30433	8  	20 	2  	2285  	2.82311
INFO:gp:9  	2282  	0.652042	9  	0.744655	0.390175	2282  	0.0729024	7.44575	9  	19 	2  	2282  	2.86382
INFO:gp:10 	2287  	0.663034	10 	0.744659	0.442217	2287  	0.0726041	7.30922	10 	19 	1  	2287  	2.77901
INFO:gp:11 	2317  	0.674622	11 	0.754768	0.437772	2317  	0.0731828	7.64093	11 	21 	1  	2317  	2.85036
INFO:gp:12 	2318  	0.681949	12 	0.754768	0.311963	2318  	0.0729557	8.27533	12 	21 	3  	2318  	2.67206
INFO:gp:13 	2343  	0.686757	13 	0.755416	0.483   	2343  	0.0759956	8.66667	13 	21 	3  	2343  	2.37039
INFO:gp:14 	2308  	0.691898	14 	0.755909	0.456872	2308  	0.0778468	8.73314	14 	20 	3  	2308  	2.24127
