INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.49905	0  	0.650149	0.379892	1023  	0.0371816	3.4741	0  	7  	2  	1023  	1.28723
INFO:gp:1  	745   	0.53223	1  	0.68686 	0.373672	745   	0.0384211	3.47507	1  	9  	2  	745   	1.2487 
INFO:gp:2  	782   	0.552721	2  	0.68686 	0.39529 	782   	0.0443023	3.67742	2  	11 	2  	782   	1.4182 
INFO:gp:3  	773   	0.567757	3  	0.692057	0.384911	773   	0.0526033	3.86315	3  	11 	2  	773   	1.43372
INFO:gp:4  	798   	0.585103	4  	0.693124	0.383298	798   	0.0582001	4.21212	4  	10 	1  	798   	1.46813
INFO:gp:5  	745   	0.608415	5  	0.699112	0.369782	745   	0.0616219	4.36657	5  	13 	2  	745   	1.5493 
INFO:gp:6  	787   	0.630347	6  	0.720327	0.437089	787   	0.0635367	4.27468	6  	11 	2  	787   	1.56695
INFO:gp:7  	789   	0.642369	7  	0.720336	0.392438	789   	0.0670286	4.79081	7  	12 	3  	789   	1.76288
INFO:gp:8  	764   	0.652061	8  	0.735431	0.313401	764   	0.0679213	5.17204	8  	14 	1  	764   	1.89915
INFO:gp:9  	768   	0.657653	9  	0.735431	0.466939	768   	0.0681603	5.08602	9  	13 	3  	768   	1.91522
INFO:gp:10 	774   	0.655255	10 	0.735431	0.408389	774   	0.0747665	4.86999	10 	13 	3  	774   	1.55313
INFO:gp:11 	784   	0.658492	11 	0.735431	0.448181	784   	0.0746223	5.07918	11 	13 	3  	784   	1.49701
INFO:gp:12 	772   	0.67081 	12 	0.735431	0.398404	772   	0.0689244	5.40371	12 	12 	3  	772   	1.55205
INFO:gp:13 	774   	0.669209	13 	0.735431	0.403077	774   	0.0711609	5.55132	13 	14 	3  	774   	1.63869
INFO:gp:14 	774   	0.665066	14 	0.735431	0.436809	774   	0.0740872	5.31183	14 	15 	3  	774   	1.6957 
INFO:gp:15 	795   	0.670272	15 	0.740581	0.422059	795   	0.0737398	5.03519	15 	12 	3  	795   	1.64929
INFO:gp:16 	769   	0.671375	16 	0.740581	0.450979	769   	0.0773858	4.76149	16 	12 	3  	769   	1.55568
INFO:gp:17 	740   	0.672786	17 	0.740581	0.455338	740   	0.081012 	4.61681	17 	13 	3  	740   	1.50132
INFO:gp:18 	781   	0.67459 	18 	0.746633	0.399339	781   	0.0803748	4.51808	18 	12 	3  	781   	1.35758
INFO:gp:19 	759   	0.673307	19 	0.746633	0.430314	759   	0.0821283	4.60606	19 	12 	3  	759   	1.44642
INFO:gp:20 	773   	0.67309 	20 	0.74929 	0.42745 	773   	0.0823261	4.91007	20 	12 	3  	773   	1.59536
INFO:gp:21 	780   	0.6734  	21 	0.74929 	0.444792	780   	0.0810953	5.58065	21 	13 	3  	780   	1.73546
INFO:gp:22 	764   	0.683225	22 	0.74929 	0.452145	764   	0.0782795	6.32942	22 	14 	3  	764   	1.65676
INFO:gp:23 	795   	0.678838	23 	0.749428	0.416374	795   	0.0869034	6.44086	23 	12 	3  	795   	1.63603
INFO:gp:24 	787   	0.677894	24 	0.751798	0.448586	787   	0.0859041	6.2737 	24 	15 	3  	787   	1.83944
INFO:gp:25 	778   	0.677843	25 	0.754326	0.376501	778   	0.0866631	6.13099	25 	14 	3  	778   	1.91062
INFO:gp:26 	769   	0.682935	26 	0.754326	0.394608	769   	0.0854241	5.7654 	26 	12 	3  	769   	1.88675
INFO:gp:27 	799   	0.675857	27 	0.754326	0.439592	799   	0.0891691	5.5259 	27 	14 	3  	799   	1.91997
INFO:gp:28 	794   	0.679056	28 	0.754326	0.462395	794   	0.0897492	5.4956 	28 	13 	3  	794   	1.85014
INFO:gp:29 	755   	0.677517	29 	0.756747	0.406131	755   	0.0948386	5.98143	29 	15 	3  	755   	1.97012
INFO:gp:30 	778   	0.685808	30 	0.756747	0.436072	778   	0.090234 	6.53275	30 	14 	3  	778   	1.93811
INFO:gp:31 	766   	0.690034	31 	0.763293	0.441787	766   	0.0915314	6.85435	31 	16 	3  	766   	2.06287
INFO:gp:32 	795   	0.681492	32 	0.763293	0.447871	795   	0.0976812	6.90127	32 	13 	3  	795   	2.0428 
INFO:gp:33 	784   	0.691195	33 	0.768587	0.437526	784   	0.0933177	7.3392 	33 	16 	3  	784   	2.19733
INFO:gp:34 	785   	0.689366	34 	0.768587	0.46297 	785   	0.0921452	7.59629	34 	16 	3  	785   	2.10577
INFO:gp:35 	766   	0.69058 	35 	0.768587	0.433284	766   	0.094502 	7.36852	35 	16 	3  	766   	1.98923
INFO:gp:36 	776   	0.68511 	36 	0.768587	0.431773	776   	0.0969915	6.91202	36 	16 	3  	776   	2.03106
INFO:gp:37 	779   	0.682584	37 	0.768587	0.472129	779   	0.0997206	6.85924	37 	18 	3  	779   	1.98915
INFO:gp:38 	761   	0.682104	38 	0.768619	0.40143 	761   	0.100906 	7.23656	38 	16 	3  	761   	1.93055
INFO:gp:39 	777   	0.673375	39 	0.768619	0.412145	777   	0.103961 	7.53568	39 	16 	3  	777   	1.83014
INFO:gp:40 	759   	0.671549	40 	0.770432	0.414008	759   	0.106809 	7.70674	40 	16 	4  	759   	1.82146
INFO:gp:41 	779   	0.67555 	41 	0.770432	0.402457	779   	0.10566  	7.85924	41 	16 	4  	779   	1.97534
INFO:gp:42 	787   	0.675779	42 	0.770433	0.431988	787   	0.104295 	8.38612	42 	16 	4  	787   	2.16036
INFO:gp:43 	763   	0.677506	43 	0.770433	0.395896	763   	0.105812 	9.33431	43 	22 	4  	763   	2.59401
INFO:gp:44 	816   	0.670178	44 	0.770433	0.395414	816   	0.107756 	10.1065	44 	20 	4  	816   	2.71655
INFO:gp:45 	771   	0.677737	45 	0.770455	0.412145	771   	0.107114 	10.9765	45 	23 	3  	771   	2.78725
INFO:gp:46 	770   	0.677255	46 	0.770458	0.446545	770   	0.107406 	11.7283	46 	23 	4  	770   	3.11407
INFO:gp:47 	792   	0.685041	47 	0.770458	0.379227	792   	0.105862 	12.8416	47 	26 	4  	792   	3.45454
INFO:gp:48 	750   	0.691464	48 	0.772253	0.392015	750   	0.101998 	14.0919	48 	29 	4  	750   	3.79424
INFO:gp:49 	758   	0.688193	49 	0.772286	0.416678	758   	0.103723 	15.3011	49 	31 	4  	758   	3.7559 
INFO:gp:50 	757   	0.695811	50 	0.772286	0.436191	757   	0.101833 	16.0762	50 	35 	3  	757   	3.84729
INFO:gp:51 	781   	0.691804	51 	0.772286	0.453101	781   	0.102699 	16.6882	51 	34 	4  	781   	3.9904 
INFO:gp:52 	781   	0.696238	52 	0.775519	0.430438	781   	0.100265 	17.1017	52 	36 	3  	781   	4.19997
INFO:gp:53 	774   	0.701784	53 	0.775579	0.450578	774   	0.0970607	17.2923	53 	35 	4  	774   	4.34999
INFO:gp:54 	815   	0.696609	54 	0.775579	0.43423 	815   	0.0991896	17.8807	54 	30 	4  	815   	4.29479
INFO:gp:55 	773   	0.69993 	55 	0.775579	0.47396 	773   	0.102174 	19.086 	55 	36 	4  	773   	3.937  
INFO:gp:56 	790   	0.702525	56 	0.775594	0.454794	790   	0.0989598	20.2454	56 	37 	4  	790   	3.92319
INFO:gp:57 	770   	0.705732	57 	0.775594	0.472422	770   	0.0968307	21.26  	57 	40 	4  	770   	4.25447
INFO:gp:58 	760   	0.706714	58 	0.775594	0.474147	760   	0.0973675	22.52  	58 	38 	4  	760   	4.11508
INFO:gp:59 	798   	0.711484	59 	0.775594	0.48411 	798   	0.0931584	23.3451	59 	37 	4  	798   	4.07855
INFO:gp:60 	752   	0.715948	60 	0.775595	0.461154	752   	0.0938712	24.2307	60 	44 	5  	752   	4.03377
INFO:gp:61 	749   	0.71562 	61 	0.778885	0.452197	749   	0.096079 	25.3099	61 	41 	6  	749   	3.83312
