INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50213	0  	0.631386	0.361063	1023  	0.0360161	3.51906	0  	7  	2  	1023  	1.34672
INFO:gp:1  	756   	0.531706	1  	0.641282	0.402973	756   	0.0362485	3.60704	1  	12 	2  	756   	1.50465
INFO:gp:2  	792   	0.547224	2  	0.646551	0.424412	792   	0.0389365	3.67351	2  	17 	2  	792   	1.62608
INFO:gp:3  	771   	0.561298	3  	0.667667	0.407989	771   	0.0426907	3.83284	3  	15 	2  	771   	1.85665
INFO:gp:4  	777   	0.573275	4  	0.691983	0.411828	777   	0.0490057	4.02346	4  	15 	2  	777   	2.18978
INFO:gp:5  	760   	0.584406	5  	0.715589	0.420112	760   	0.0563235	4.3871 	5  	13 	2  	760   	2.32263
INFO:gp:6  	767   	0.603317	6  	0.715589	0.428905	767   	0.0582649	4.6911 	6  	16 	2  	767   	2.54469
INFO:gp:7  	804   	0.620131	7  	0.7205  	0.409011	804   	0.0591846	4.61681	7  	18 	1  	804   	2.53264
INFO:gp:8  	799   	0.631862	8  	0.735375	0.449821	799   	0.0616814	5.56598	8  	16 	2  	799   	2.91343
INFO:gp:9  	773   	0.645084	9  	0.744214	0.433373	773   	0.06369  	6.34604	9  	18 	2  	773   	3.02894
INFO:gp:10 	769   	0.653325	10 	0.744239	0.456176	769   	0.0660312	6.41349	10 	19 	3  	769   	3.01351
INFO:gp:11 	783   	0.659072	11 	0.744239	0.356426	783   	0.0684331	6.4262 	11 	20 	3  	783   	2.89338
INFO:gp:12 	773   	0.668783	12 	0.747919	0.414623	773   	0.0714623	6.81134	12 	17 	3  	773   	2.76385
INFO:gp:13 	782   	0.674002	13 	0.752666	0.438775	782   	0.0767167	7.31378	13 	18 	3  	782   	2.69757
INFO:gp:14 	789   	0.684936	14 	0.753055	0.399438	789   	0.0806573	6.44282	14 	21 	3  	789   	2.28095
INFO:gp:15 	768   	0.684034	15 	0.753055	0.44056 	768   	0.0869022	5.75464	15 	15 	3  	768   	1.71344
INFO:gp:16 	783   	0.689764	16 	0.755809	0.500477	783   	0.0847561	5.69599	16 	13 	3  	783   	1.55526
INFO:gp:17 	773   	0.688882	17 	0.762391	0.480028	773   	0.0878198	5.77713	17 	13 	3  	773   	1.50697
INFO:gp:18 	771   	0.687651	18 	0.762391	0.418216	771   	0.0862536	5.8348 	18 	13 	3  	771   	1.65236
INFO:gp:19 	786   	0.686448	19 	0.762391	0.462547	786   	0.0877868	5.73607	19 	12 	3  	786   	1.53574
