INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                    size                    
   	      	------------------------------------------------------------------------	--------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std 
0  	1023  	0.503167	0  	0.622955	0.381578	1023  	0.035426	3.52884	0  	7  	2  	1023  	1.34
INFO:gp:1  	793   	0.531623	1  	0.624024	0.405651	793   	0.035645	3.80059	1  	13 	2  	793   	1.56742
INFO:gp:2  	748   	0.549535	2  	0.632906	0.391208	748   	0.0397469	3.90225	2  	12 	1  	748   	1.61621
INFO:gp:3  	770   	0.564207	3  	0.721718	0.406236	770   	0.0447576	4.04301	3  	11 	1  	770   	1.64614
INFO:gp:4  	744   	0.578288	4  	0.721718	0.426672	744   	0.0495626	4.12317	4  	13 	1  	744   	1.6902 
INFO:gp:5  	814   	0.587466	5  	0.721718	0.430094	814   	0.0572829	3.96579	5  	12 	2  	814   	1.51429
INFO:gp:6  	778   	0.604398	6  	0.721718	0.412519	778   	0.0627674	3.98729	6  	12 	2  	778   	1.44797
INFO:gp:7  	764   	0.618997	7  	0.727819	0.402658	764   	0.0700126	4.11339	7  	10 	2  	764   	1.482  
INFO:gp:8  	779   	0.634232	8  	0.727819	0.443858	779   	0.0702721	4.13099	8  	10 	2  	779   	1.5458 
INFO:gp:9  	775   	0.649261	9  	0.728094	0.408806	775   	0.0763752	3.93353	9  	9  	3  	775   	1.5296 
INFO:gp:10 	749   	0.661518	10 	0.730126	0.420393	749   	0.079135 	3.9433 	10 	11 	3  	749   	1.53827
INFO:gp:11 	765   	0.659085	11 	0.73295 	0.429693	765   	0.0866692	3.95406	11 	12 	3  	765   	1.55223
INFO:gp:12 	746   	0.668402	12 	0.73295 	0.437483	746   	0.0842916	3.93842	12 	12 	3  	746   	1.55923
INFO:gp:13 	804   	0.664641	13 	0.742199	0.45213 	804   	0.0876294	4.05181	13 	12 	3  	804   	1.56084
INFO:gp:14 	772   	0.668125	14 	0.742199	0.46292 	772   	0.0872843	4.62072	14 	11 	3  	772   	1.68103
INFO:gp:15 	799   	0.664005	15 	0.742199	0.416918	799   	0.0900388	5.33822	15 	11 	3  	799   	1.70989
INFO:gp:16 	765   	0.664477	16 	0.742212	0.440595	765   	0.0934378	5.81818	16 	13 	3  	765   	1.6849 
INFO:gp:17 	785   	0.671943	17 	0.743582	0.461629	785   	0.0909876	6.08993	17 	14 	3  	785   	1.9237 
INFO:gp:18 	761   	0.671067	18 	0.743582	0.44741 	761   	0.0928649	6.11046	18 	16 	3  	761   	1.99425
INFO:gp:19 	765   	0.665965	19 	0.74499 	0.423947	765   	0.098406 	6.32942	19 	16 	3  	765   	2.13796
INFO:gp:20 	807   	0.673134	20 	0.74499 	0.425502	807   	0.0937066	6.85435	20 	18 	3  	807   	2.37931
INFO:gp:21 	796   	0.676572	21 	0.748276	0.460378	796   	0.0911419	7.40469	21 	18 	3  	796   	2.50873
INFO:gp:22 	776   	0.67736 	22 	0.748276	0.464298	776   	0.0939004	7.49756	22 	20 	3  	776   	2.5249 
INFO:gp:23 	779   	0.672719	23 	0.748276	0.471882	779   	0.093861 	7.0782 	23 	18 	3  	779   	2.68986
INFO:gp:24 	794   	0.671127	24 	0.748276	0.448204	794   	0.0939766	7.29032	24 	23 	3  	794   	3.07304
INFO:gp:25 	742   	0.679899	25 	0.748344	0.464804	742   	0.091881 	8.09775	25 	22 	3  	742   	3.37784
INFO:gp:26 	764   	0.681467	26 	0.748344	0.444256	764   	0.0942977	9.93255	26 	27 	3  	764   	4.02465
INFO:gp:27 	794   	0.681368	27 	0.748344	0.402993	794   	0.0948651	11.8446	27 	25 	3  	794   	4.07413
INFO:gp:28 	764   	0.679375	28 	0.748344	0.459198	764   	0.0976689	13.0723	28 	29 	3  	764   	3.72341
INFO:gp:29 	762   	0.685361	29 	0.748344	0.455665	762   	0.0955197	13.8983	29 	27 	3  	762   	3.62454
INFO:gp:30 	796   	0.689101	30 	0.74836 	0.459953	796   	0.0918451	14.3216	30 	31 	3  	796   	4.19738
INFO:gp:31 	760   	0.684846	31 	0.748371	0.455533	760   	0.0968966	15.48  	31 	32 	3  	760   	4.84837
INFO:gp:32 	761   	0.685189	32 	0.754429	0.418688	761   	0.0959225	16.4545	32 	33 	3  	761   	5.85234
INFO:gp:33 	791   	0.685521	33 	0.754429	0.472079	791   	0.0938764	16.1711	33 	32 	3  	791   	6.77448
INFO:gp:34 	756   	0.6848.730892	34 	0.788445	0.476866	750   	0.0736529	17.8807	34 	37 	3  	750   	4.35716
INFO:gp:35 	752   	0.729606	35 	0.790087	0.477712	752   	0.0774473	17.8983	35 	37 	3  	752   	4.53997
INFO:gp:36 	724   	0.731712	36 	0.790087	0.481664	724   	0.0742616	18.48  	36 	39 	3  	724   	4.58432
INFO:gp:37 	759   	0.731809	37 	0.790087	0.477699	759   	0.0750052	18.3939	37 	39 	3  	759   	5.22497
