INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.501439	0  	0.642739	0.381335	1023  	0.0363095	3.46237	0  	7  	2  	1023  	1.3543
INFO:gp:1  	777   	0.533327	1  	0.664159	0.363244	777   	0.0385981	3.78886	1  	12 	2  	777   	1.49695
INFO:gp:2  	758   	0.55371 	2  	0.676486	0.377526	758   	0.0469008	3.9609 	2  	9  	2  	758   	1.54516
INFO:gp:3  	792   	0.577219	3  	0.703197	0.378597	792   	0.0518426	3.8045 	3  	10 	1  	792   	1.5127 
INFO:gp:4  	761   	0.60783 	4  	0.703197	0.382556	761   	0.0562173	3.78006	4  	10 	2  	761   	1.3285 
INFO:gp:5  	756   	0.631169	5  	0.711144	0.402446	756   	0.0527719	3.99413	5  	10 	2  	756   	1.33087
INFO:gp:6  	762   	0.636839	6  	0.729992	0.424038	762   	0.0569092	4.435  	6  	12 	2  	762   	1.40709
INFO:gp:7  	781   	0.647787	7  	0.729992	0.421213	781   	0.055134 	4.85435	7  	14 	3  	781   	1.62558
INFO:gp:8  	773   	0.655387	8  	0.739062	0.440992	773   	0.0549468	5.41056	8  	14 	3  	773   	1.9484 
INFO:gp:9  	777   	0.664483	9  	0.741065	0.469436	777   	0.0565151	5.67449	9  	16 	2  	777   	2.05843
INFO:gp:10 	772   	0.673421	10 	0.752689	0.450263	772   	0.0611727	5.88759	10 	19 	3  	772   	2.22403
INFO:gp:11 	775   	0.677921	11 	0.75751 	0.470757	775   	0.0648398	5.95992	11 	19 	3  	775   	2.11436
INFO:gp:12 	781   	0.68258 	12 	0.75751 	0.469489	781   	0.067532 	6.5435 	12 	19 	3  	781   	2.3913 
INFO:gp:13 	784   	0.692362	13 	0.770001	0.427442	784   	0.0629322	7.29912	13 	20 	3  	784   	2.78427
INFO:gp:14 	744   	0.701653	14 	0.770001	0.478735	744   	0.0598733	7.92571	14 	19 	3  	744   	2.96977
INFO:gp:15 	775   	0.706439	15 	0.770001	0.445741	775   	0.0592156	8.4086 	15 	19 	3  	775   	3.10664
INFO:gp:16 	772   	0.706741	16 	0.770001	0.499072	772   	0.0621196	8.83382	16 	19 	3  	772   	2.90679
INFO:gp:17 	770   	0.71064 	17 	0.778511	0.494836	770   	0.0622149	8.79961	17 	19 	3  	770   	2.56945
