INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500957	0  	0.669621	0.39003	1023  	0.0359449	3.48583	0  	7  	2  	1023  	1.35185
INFO:gp:1  	772   	0.532467	1  	0.676659	0.403937	772   	0.037471 	3.87586	1  	11 	2  	772   	1.55801
INFO:gp:2  	794   	0.551206	2  	0.68636 	0.383464	794   	0.049018 	4.10068	2  	11 	2  	794   	1.64926
INFO:gp:3  	770   	0.575123	3  	0.68636 	0.320669	770   	0.062678 	4.22776	3  	11 	2  	770   	1.67318
INFO:gp:4  	782   	0.601369	4  	0.721989	0.399667	782   	0.0679614	4.78886	4  	11 	1  	782   	1.6361 
INFO:gp:5  	774   	0.617957	5  	0.721989	0.393103	774   	0.0719892	5.48974	5  	12 	2  	774   	1.34827
INFO:gp:6  	771   	0.630716	6  	0.722948	0.407026	771   	0.067965 	5.74878	6  	12 	2  	771   	1.41436
INFO:gp:7  	791   	0.635436	7  	0.722948	0.405399	791   	0.067505 	5.85044	7  	13 	2  	791   	1.52724
INFO:gp:8  	734   	0.643283	8  	0.722948	0.432267	734   	0.0671936	5.79863	8  	13 	3  	734   	1.72909
INFO:gp:9  	755   	0.656096	9  	0.722948	0.443412	755   	0.067999 	5.50147	9  	13 	3  	755   	1.73677
INFO:gp:10 	778   	0.661438	10 	0.725268	0.451457	778   	0.0685723	5.24829	10 	13 	3  	778   	1.66528
INFO:gp:11 	759   	0.665058	11 	0.725268	0.444146	759   	0.0686425	4.97067	11 	12 	3  	759   	1.64763
INFO:gp:12 	774   	0.667451	12 	0.725268	0.478934	774   	0.0680711	4.52004	12 	14 	3  	774   	1.66657
INFO:gp:13 	791   	0.675566	13 	0.72528 	0.499112	791   	0.0657883	4.28446	13 	14 	3  	791   	1.80913
INFO:gp:14 	760   	0.672505	14 	0.725282	0.483069	760   	0.0673243	4.34409	14 	13 	3  	760   	1.90305
INFO:gp:15 	809   	0.672228	15 	0.725282	0.483862	809   	0.0660876	5.35679	15 	13 	3  	809   	2.09798
INFO:gp:16 	764   	0.671352	16 	0.725317	0.439288	764   	0.0692792	6.28348	16 	13 	3  	764   	1.92321
INFO:gp:17 	807   	0.669854	17 	0.725317	0.464422	807   	0.0680657	6.99511	17 	15 	3  	807   	1.79414
INFO:gp:18 	803   	0.669758	18 	0.728562	0.475895	803   	0.06878  	7.56109	18 	15 	3  	803   	1.79767
INFO:gp:19 	785   	0.671858	19 	0.729513	0.418089	785   	0.0685471	8.23656	19 	17 	3  	785   	1.8989 
INFO:gp:20 	786   	0.671362	20 	0.730907	0.436751	786   	0.0688885	9.30401	20 	19 	3  	786   	2.22279
INFO:gp:21 	761   	0.67767 	21 	0.730907	0.480161	761   	0.0683889	9.93646	21 	19 	3  	761   	2.28961
INFO:gp:22 	779   	0.673634	22 	0.731823	0.466116	779   	0.070377 	10.74  	22 	22 	3  	779   	2.59046
INFO:gp:23 	775   	0.671092	23 	0.734651	0.422898	775   	0.0735483	11.5982	23 	22 	3  	775   	3.01412
INFO:gp:24 	794   	0.666277	24 	0.736918	0.445131	794   	0.0779687	12.3109	24 	30 	3  	794   	3.45013
INFO:gp:25 	753   	0.670286	25 	0.736973	0.480376	753   	0.0755577	12.7908	25 	23 	3  	753   	3.67619
INFO:gp:26 	771   	0.671938	26 	0.736973	0.421605	771   	0.0762438	13.8798	26 	30 	3  	771   	4.15678
INFO:gp:27 	782   	0.672026	27 	0.736973	0.480213	782   	0.0768224	14.0831	27 	30 	3  	782   	4.38539
INFO:gp:28 	782   	0.675114	28 	0.736973	0.449514	782   	0.0766835	13.4409	28 	32 	3  	782   	4.0336 
