INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.502444	0  	0.62385	0.373034	1023  	0.0363209	3.50342	0  	7  	2  	1023  	1.36057
INFO:gp:1  	775   	0.53415 	1  	0.667281	0.397262	775   	0.0365471	3.65103	1  	10 	2  	775   	1.44918
INFO:gp:2  	765   	0.54773 	2  	0.681564	0.37946 	765   	0.0469346	3.65298	2  	11 	2  	765   	1.42516
INFO:gp:3  	770   	0.566007	3  	0.695062	0.421268	770   	0.052177 	3.93646	3  	13 	2  	770   	1.52876
INFO:gp:4  	776   	0.581485	4  	0.709144	0.408926	776   	0.0618414	4.2913 	4  	13 	2  	776   	1.61651
INFO:gp:5  	772   	0.608329	5  	0.720437	0.397558	772   	0.0662933	4.69501	5  	13 	2  	772   	1.57722
INFO:gp:6  	798   	0.631721	6  	0.723122	0.403709	798   	0.0668263	4.93255	6  	14 	3  	798   	1.6277 
INFO:gp:7  	800   	0.651767	7  	0.733187	0.440917	800   	0.063789 	5.02737	7  	12 	3  	800   	1.68172
INFO:gp:8  	775   	0.664281	8  	0.741531	0.456922	775   	0.0617051	5.41153	8  	12 	3  	775   	1.87168
INFO:gp:9  	791   	0.676826	9  	0.745883	0.424019	791   	0.0574555	5.86901	9  	13 	3  	791   	1.9661 
INFO:gp:10 	764   	0.68945 	10 	0.753351	0.442511	764   	0.05627  	6.43304	10 	15 	3  	764   	2.00028
INFO:gp:11 	772   	0.695505	11 	0.753351	0.490044	772   	0.0540522	6.7087 	11 	15 	3  	772   	1.99638
INFO:gp:12 	813   	0.69572 	12 	0.761144	0.465118	813   	0.0592284	7.36461	12 	19 	3  	813   	2.54096
INFO:gp:13 	779   	0.701555	13 	0.761144	0.457708	779   	0.0577645	7.8172 	13 	20 	3  	779   	2.8081 
INFO:gp:14 	788   	0.704661	14 	0.761144	0.480099	788   	0.057172 	7.9433 	14 	21 	3  	788   	2.89212
INFO:gp:15 	788   	0.7086  	15 	0.763256	0.491826	788   	0.0561767	8.27566	15 	21 	3  	788   	2.94031
INFO:gp:16 	736   	0.714327	16 	0.77076 	0.490274	736   	0.0568853	8.69501	16 	20 	3  	736   	2.74367
INFO:gp:17 	781   	0.715493	17 	0.77076 	0.494836	781   	0.0543986	8.91887	17 	20 	3  	781   	2.59337
INFO:gp:18 	753   	0.721879	18 	0.77076 	0.486014	753   	0.0555989	9.39003	18 	21 	3  	753   	2.49523
INFO:gp:19 	759   	0.720515	19 	0.77076 	0.441172	759   	0.0584641	9.75171	19 	21 	3  	759   	2.45008
