INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max  	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.501298	0  	0.635	0.397822	1023  	0.0364944	3.52395	0  	7  	2  	1023  	1.36896
INFO:gp:1  	801   	0.531466	1  	0.643491	0.393427	801   	0.0366269	3.71261	1  	13 	2  	801   	1.51161
INFO:gp:2  	768   	0.551067	2  	0.670429	0.370355	768   	0.0446005	3.74194	2  	10 	1  	768   	1.49874
INFO:gp:3  	781   	0.573936	3  	0.719855	0.389848	781   	0.0501286	3.88172	3  	10 	1  	781   	1.61151
INFO:gp:4  	780   	0.592286	4  	0.72269 	0.412634	780   	0.0562298	3.77517	4  	15 	2  	780   	1.63248
INFO:gp:5  	792   	0.6122  	5  	0.745231	0.42788 	792   	0.0585682	3.95015	5  	15 	2  	792   	1.7086 
INFO:gp:6  	764   	0.627699	6  	0.745233	0.453707	764   	0.0641183	4.15836	6  	12 	2  	764   	1.76042
INFO:gp:7  	797   	0.637762	7  	0.745233	0.431556	797   	0.0632704	4.88661	7  	16 	3  	797   	2.21936
INFO:gp:8  	769   	0.647025	8  	0.752066	0.446439	769   	0.0714552	6.04497	8  	15 	3  	769   	2.3712 
INFO:gp:9  	777   	0.66251 	9  	0.752067	0.452169	777   	0.0718471	7.24438	9  	16 	3  	777   	2.26083
INFO:gp:10 	782   	0.669357	10 	0.75577 	0.40178 	782   	0.0743628	7.9912 	10 	18 	3  	782   	2.33485
INFO:gp:11 	768   	0.681855	11 	0.755771	0.466866	768   	0.072275 	8.6999 	11 	20 	3  	768   	2.56316
INFO:gp:12 	796   	0.684231	12 	0.75579 	0.480364	796   	0.0745231	9.81134	12 	23 	3  	796   	3.20992
INFO:gp:13 	749   	0.694632	13 	0.758217	0.470754	749   	0.0749696	11.2747	13 	28 	3  	749   	3.94337
INFO:gp:14 	772   	0.698957	14 	0.758218	0.456397	772   	0.0778923	12.8416	14 	31 	3  	772   	4.12871
INFO:gp:15 	773   	0.706687	15 	0.758247	0.461421	773   	0.0770568	13.5787	15 	28 	3  	773   	3.89317
INFO:gp:16 	782   	0.70879 	16 	0.75825 	0.465383	782   	0.0762968	13.8045	16 	27 	5  	782   	3.61961
INFO:gp:17 	770   	0.710256	17 	0.758312	0.433419	770   	0.0758013	13.3636	17 	27 	5  	770   	3.48699
INFO:gp:18 	772   	0.71181 	18 	0.759478	0.47434 	772   	0.0725292	13.1271	18 	27 	3  	772   	3.43512
INFO:gp:19 	777   	0.713078	19 	0.761958	0.449767	777   	0.0717958	13.6354	19 	26 	7  	777   	3.63418
INFO:gp:20 	773   	0.715668	20 	0.764629	0.436931	773   	0.0707378	14.4604	20 	37 	3  	773   	3.5406 
INFO:gp:21 	747   	0.718355	21 	0.77515 	0.482387	747   	0.0688487	15.6325	21 	36 	3  	747   	3.74816
INFO:gp:22 	768   	0.717073	22 	0.77515 	0.438016	768   	0.0674917	15.8817	22 	33 	7  	768   	3.65559
INFO:gp:23 	773   	0.715263	23 	0.775183	0.455263	773   	0.0726081	15.8983	23 	30 	5  	773   	4.05744
INFO:gp:24 	781   	0.715151	24 	0.777089	0.406249	781   	0.0727651	15.4976	24 	36 	7  	781   	4.48302
INFO:gp:25 	759   	0.713223	25 	0.780025	0.429699	759   	0.076006 	14.8915	25 	32 	4  	759   	4.50361
INFO:gp:26 	775   	0.712832	26 	0.780025	0.457308	775   	0.078384 	14.5621	26 	33 	6  	775   	4.06975
INFO:gp:27 	768   	0.715295	27 	0.784991	0.482561	768   	0.0769852	14.827 	27 	35 	5  	768   	4.26864
INFO:gp:28 	750   	0.719205	28 	0.784991	0.469069	750   	0.0769896	16.0577	28 	37 	3  	750   	4.75207
INFO:gp:29 	740   	0.726701	29 	0.784991	0.481689	740   	0.0729819	17.8641	29 	39 	5  	740   	5.41874
INFO:gp:30 	770   	0.724511	30 	0.784993	0.451108	770   	0.0748129	19.2933	30 	41 	3  	770   	6.14042
INFO:gp:31 	773   	0.725557	31 	0.785007	0.474501	773   	0.0758604	19.6911	31 	39 	5  	773   	6.27727
INFO:gp:32 	759   	0.734666	32 	0.785028	0.475508	759   	0.0695575	19.8377	32 	43 	7  	759   	5.64674
INFO:gp:33 	781   	0.731597	33 	0.786882	0.46572 	781   	0.0735351	20.1056	33 	40 	5  	781   	4.97153
INFO:gp:34 	777   	0.732869	34 	0.786882	0.470485	777   	0.0748766	20.0938	34 	38 	3  	777   	4.13423
INFO:gp:35 	796   	0.735455	35 	0.786882	0.461006	796   	0.0745901	20.5239	35 	40 	8  	796   	3.92116
INFO:gp:36 	794   	0.733115	36 	0.786882	0.490734	794   	0.0753053	21.7419	36 	43 	8  	794   	3.81768
INFO:gp:37 	760   	0.735606	37 	0.786883	0.491719	760   	0.0735949	22.7908	37 	50 	9  	760   	3.99599
INFO:gp:38 	771   	0.734259	38 	0.786883	0.449202	771   	0.0757338	23.5249	38 	47 	11 	771   	4.06582
INFO:gp:39 	777   	0.737602	39 	0.786883	0.469904	777   	0.0742187	23.6237	39 	44 	9  	777   	4.23112
INFO:gp:40 	781   	0.736086	40 	0.786883	0.481187	781   	0.0748227	22.8221	40 	36 	10 	781   	4.35919
INFO:gp:41 	780   	0.737542	41 	0.786892	0.489145	780   	0.073755 	22.3021	41 	46 	8  	780   	4.623  
INFO:gp:42 	782   	0.733494	42 	0.786892	0.476584	782   	0.0783204	21.65  	42 	37 	6  	782   	4.38191
INFO:gp:43 	748   	0.735552	43 	0.790585	0.456195	748   	0.0772902	21.3734	43 	34 	8  	748   	4.06513
INFO:gp:44 	771   	0.7348  	44 	0.790585	0.459412	771   	0.0773237	21.3128	44 	35 	8  	771   	4.10373
INFO:gp:45 	780   	0.737241	45 	0.790585	0.48439 	780   	0.0743459	22.0929	45 	40 	5  	780   	4.19982
INFO:gp:46 	773   	0.73013 	46 	0.790585	0.472056	773   	0.0800468	23.3969	46 	49 	7  	773   	4.33685
INFO:gp:47 	774   	0.73352 	47 	0.790588	0.399764	774   	0.0782822	24.8827	47 	50 	8  	774   	4.18744
INFO:gp:48 	767   	0.736869	48 	0.790588	0.471683	767   	0.0780276	26.0899	48 	51 	8  	767   	4.09942
INFO:gp:49 	801   	0.737652	49 	0.790588	0.482204	801   	0.0752362	26.7331	49 	53 	12 	801   	3.8018 
INFO:gp:50 	768   	0.738499	50 	0.790588	0.477695	768   	0.0767185	27.2502	50 	42 	10 	768   	3.87108
INFO:gp:51 	737   	0.743068	51 	0.79429 	0.457039	737   	0.07281  	27.5015	51 	53 	14 	737   	4.16354
INFO:gp:52 	777   	0.740557	52 	0.79429 	0.48038 	777   	0.0732044	26.5376	52 	47 	12 	777   	4.41364
