INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.235569	0  	0.492898	0.100199	1023  	0.0724007	4.68524	0  	7  	2  	1023  	1.45666
INFO:gp:1  	769   	0.323396	1  	0.52778 	0.101133	769   	0.0700206	4.7869 	1  	9  	2  	769   	1.5142 
INFO:gp:2  	780   	0.382333	2  	0.594607	0.158906	780   	0.0714036	4.82991	2  	12 	3  	780   	1.44782
INFO:gp:3  	758   	0.434932	3  	0.627833	0.189162	758   	0.0691346	4.94428	3  	11 	3  	758   	1.46107
INFO:gp:4  	789   	0.477334	4  	0.639936	0.191057	789   	0.0746478	5.06452	4  	11 	3  	789   	1.48362
INFO:gp:5  	725   	0.52023 	5  	0.699095	0.253591	725   	0.0700368	5.53275	5  	11 	3  	725   	1.72743
INFO:gp:6  	749   	0.554207	6  	0.699395	0.160687	749   	0.072049 	6.3089 	6  	14 	3  	749   	1.87914
INFO:gp:7  	750   	0.582289	7  	0.704651	0.211227	750   	0.0702324	6.90029	7  	15 	3  	750   	1.82516
INFO:gp:8  	777   	0.601213	8  	0.72608 	0.262079	777   	0.0720914	7.02444	8  	14 	3  	777   	1.66394
INFO:gp:9  	754   	0.622298	9  	0.753845	0.327501	754   	0.0729611	7.3304 	9  	13 	3  	754   	1.55207
INFO:gp:10 	783   	0.639184	10 	0.76417 	0.268013	783   	0.0740445	7.51613	10 	13 	3  	783   	1.38258
INFO:gp:11 	785   	0.6582  	11 	0.787518	0.298159	785   	0.0783851	7.13685	11 	15 	3  	785   	1.22248
INFO:gp:12 	755   	0.683322	12 	0.82178 	0.387936	755   	0.0774996	6.74291	12 	14 	4  	755   	1.20903
INFO:gp:13 	793   	0.723794	13 	0.824854	0.389715	793   	0.0705851	6.35484	13 	12 	4  	793   	1.19227
INFO:gp:14 	781   	0.743172	14 	0.824854	0.393754	781   	0.0761633	6.21212	14 	13 	4  	781   	1.25255
INFO:gp:15 	767   	0.768653	15 	0.841412	0.473141	767   	0.0745039	6.45064	15 	15 	4  	767   	1.28578
INFO:gp:16 	772   	0.781064	16 	0.841413	0.358691	772   	0.0763445	6.82698	16 	13 	4  	772   	1.23977
INFO:gp:17 	753   	0.781199	17 	0.855981	0.424237	753   	0.0756846	7.15249	17 	14 	4  	753   	1.15479
INFO:gp:18 	775   	0.785602	18 	0.856231	0.44013 	775   	0.0786723	7.435  	18 	14 	4  	775   	1.28964
INFO:gp:19 	780   	0.789701	19 	0.856361	0.274272	780   	0.0861269	7.36364	19 	14 	4  	780   	1.42959
INFO:gp:20 	787   	0.798559	20 	0.856519	0.40536 	787   	0.0880127	7.48876	20 	12 	5  	787   	1.29199
INFO:gp:21 	762   	0.801232	21 	0.856571	0.444433	762   	0.0885483	7.65689	21 	13 	4  	762   	1.40679
INFO:gp:22 	776   	0.802818	22 	0.856652	0.384421	776   	0.0879097	7.79179	22 	17 	5  	776   	1.43025
INFO:gp:23 	789   	0.798477	23 	0.856724	0.456466	789   	0.0894395	7.95308	23 	16 	5  	789   	1.61183
