INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg   	gen	max     	min      	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.2325	0  	0.478004	0.0983279	1023  	0.0726525	4.59433	0  	7  	2  	1023  	1.43706
INFO:gp:1  	795   	0.322017	1  	0.542061	0.124408 	795   	0.0672626	4.64712	1  	11 	2  	795   	1.498  
INFO:gp:2  	797   	0.378958	2  	0.562758	0.184373 	797   	0.0645764	4.68524	2  	11 	2  	797   	1.5446 
INFO:gp:3  	773   	0.420196	3  	0.578687	0.157204 	773   	0.0696747	4.33138	3  	11 	2  	773   	1.49704
INFO:gp:4  	774   	0.455413	4  	0.596242	0.161109 	774   	0.0730476	4.17693	4  	12 	2  	774   	1.47676
INFO:gp:5  	778   	0.489957	5  	0.635222	0.189409 	778   	0.0751779	3.93451	5  	10 	2  	778   	1.49048
INFO:gp:6  	783   	0.518394	6  	0.647389	0.207527 	783   	0.0722687	4.06452	6  	9  	2  	783   	1.58984
INFO:gp:7  	754   	0.542761	7  	0.671546	0.240128 	754   	0.0687993	4.39785	7  	9  	2  	754   	1.72812
INFO:gp:8  	760   	0.558232	8  	0.671546	0.228921 	760   	0.0762199	5.08602	8  	13 	2  	760   	1.79072
INFO:gp:9  	803   	0.57381 	9  	0.678607	0.16804  	803   	0.076879 	5.49853	9  	13 	2  	803   	1.78725
INFO:gp:10 	800   	0.599315	10 	0.704993	0.205399 	800   	0.0727795	5.56207	10 	13 	2  	800   	1.88211
INFO:gp:11 	770   	0.622114	11 	0.73579 	0.315684 	770   	0.067286 	5.60215	11 	12 	2  	770   	1.9885 
INFO:gp:12 	788   	0.637194	12 	0.73579 	0.356691 	788   	0.0670356	5.55718	12 	12 	2  	788   	2.01519
INFO:gp:13 	757   	0.654939	13 	0.745064	0.374018 	757   	0.0663003	6.00098	13 	12 	2  	757   	1.97516
INFO:gp:14 	784   	0.671149	14 	0.781129	0.318946 	784   	0.0697602	6.89932	14 	12 	2  	784   	1.44655
INFO:gp:15 	779   	0.686794	15 	0.782387	0.327383 	779   	0.064404 	6.89834	15 	11 	2  	779   	1.35686
INFO:gp:16 	809   	0.694722	16 	0.800864	0.452939 	809   	0.0666448	7.23167	16 	15 	3  	809   	1.0417 
INFO:gp:17 	795   	0.699876	17 	0.802129	0.358888 	795   	0.0741203	7.54252	17 	14 	3  	795   	1.20438
INFO:gp:18 	772   	0.70595 	18 	0.802129	0.363377 	772   	0.0824847	7.58651	18 	13 	3  	772   	1.16317
