INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.235705	0  	0.536197	0.0983144	1023  	0.0714717	4.62561	0  	7  	2  	1023  	1.45496
INFO:gp:1  	790   	0.319216	1  	0.536197	0.104701 	790   	0.070832 	4.61681	1  	11 	2  	790   	1.48758
INFO:gp:2  	782   	0.383435	2  	0.573548	0.133763 	782   	0.068698 	4.76246	2  	11 	2  	782   	1.54796
INFO:gp:3  	769   	0.430277	3  	0.674322	0.17485  	769   	0.0703635	4.85044	3  	12 	3  	769   	1.46451
INFO:gp:4  	774   	0.467047	4  	0.69179 	0.203109 	774   	0.0729037	4.80743	4  	9  	3  	774   	1.34152
INFO:gp:5  	772   	0.502335	5  	0.69179 	0.240333 	772   	0.0801947	4.85533	5  	10 	3  	772   	1.19079
INFO:gp:6  	766   	0.538724	6  	0.700399	0.19244  	766   	0.0788506	4.95699	6  	11 	3  	766   	1.27695
INFO:gp:7  	780   	0.56273 	7  	0.700947	0.256415 	780   	0.081522 	4.66569	7  	10 	3  	780   	1.28897
INFO:gp:8  	772   	0.588642	8  	0.713601	0.291821 	772   	0.0861898	4.42131	8  	10 	3  	772   	1.15445
INFO:gp:9  	777   	0.601186	9  	0.71412 	0.29984  	777   	0.0889531	4.38221	9  	11 	3  	777   	1.1846 
INFO:gp:10 	769   	0.613977	10 	0.71412 	0.261937 	769   	0.0910178	4.51613	10 	11 	3  	769   	1.38187
INFO:gp:11 	750   	0.621891	11 	0.71412 	0.234513 	750   	0.0884852	4.92864	11 	16 	3  	750   	1.8549 
INFO:gp:12 	753   	0.641577	12 	0.71412 	0.266321 	753   	0.0811528	5.52981	12 	16 	3  	753   	2.40455
INFO:gp:13 	776   	0.641514	13 	0.735039	0.294714 	776   	0.0853521	6.2346 	13 	17 	3  	776   	2.56179
INFO:gp:14 	782   	0.637041	14 	0.735145	0.291738 	782   	0.0895965	6.13881	14 	16 	3  	782   	2.29162
INFO:gp:15 	772   	0.633174	15 	0.735467	0.308118 	772   	0.093747 	5.72141	15 	15 	3  	772   	1.95442
INFO:gp:16 	783   	0.639494	16 	0.767614	0.34365  	783   	0.0902385	5.56696	16 	15 	3  	783   	2.17584
INFO:gp:17 	764   	0.654149	17 	0.767614	0.234004 	764   	0.0968305	5.45455	17 	16 	3  	764   	2.59928
INFO:gp:18 	794   	0.693498	18 	0.768313	0.322873 	794   	0.0768512	4.83773	18 	18 	3  	794   	2.14596
INFO:gp:19 	786   	0.703789	19 	0.768313	0.398573 	786   	0.0729654	4.51026	19 	18 	3  	786   	1.56628
INFO:gp:20 	802   	0.715522	20 	0.788257	0.420166 	802   	0.0703921	4.43402	20 	13 	3  	802   	1.02715
INFO:gp:21 	756   	0.724783	21 	0.788586	0.398409 	756   	0.0720534	4.28348	21 	12 	3  	756   	0.828259
INFO:gp:22 	769   	0.725586	22 	0.790724	0.401505 	769   	0.072919 	4.46139	22 	12 	3  	769   	1.01129 
INFO:gp:23 	802   	0.732265	23 	0.790724	0.375068 	802   	0.0741349	4.79179	23 	10 	3  	802   	1.21439 
INFO:gp:24 	771   	0.741635	24 	0.792353	0.395563 	771   	0.0719929	5.10459	24 	9  	3  	771   	1.64189 
INFO:gp:25 	771   	0.742489	25 	0.79253 	0.263087 	771   	0.0748501	5.69795	25 	15 	3  	771   	2.18178 
INFO:gp:26 	776   	0.748116	26 	0.810789	0.336678 	776   	0.0742531	5.84653	26 	15 	3  	776   	2.10638 
INFO:gp:27 	791   	0.753416	27 	0.812453	0.408373 	791   	0.0704763	5.38123	27 	15 	3  	791   	1.69044 
INFO:gp:28 	766   	0.754843	28 	0.812453	0.401842 	766   	0.0698328	5.44086	28 	14 	3  	766   	1.61499 
INFO:gp:29 	769   	0.757978	29 	0.813009	0.421072 	769   	0.072218 	5.6305 	29 	17 	3  	769   	1.74255 
INFO:gp:30 	791   	0.760118	30 	0.835305	0.442045 	791   	0.0751758	5.47996	30 	12 	3  	791   	1.66833 
INFO:gp:31 	783   	0.776832	31 	0.835305	0.45508  	783   	0.0634896	5.86217	31 	13 	3  	783   	1.60265 
