INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                     size                     
   	      	------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std     	avg   	gen	max	min	nevals	std   
0  	1023  	0.235254	0  	0.466751	0.0990506	1023  	0.072293	4.6784	0  	7  	2  	1023  	1.4318
INFO:gp:1  	770   	0.321484	1  	0.574489	0.104361 	770   	0.0670928	4.82991	1  	12 	2  	770   	1.48712
INFO:gp:2  	762   	0.380504	2  	0.60718 	0.122767 	762   	0.0670029	5.0088 	2  	11 	2  	762   	1.48532
INFO:gp:3  	765   	0.417572	3  	0.607612	0.137968 	765   	0.0732613	5.13099	3  	11 	2  	765   	1.49827
INFO:gp:4  	768   	0.45406 	4  	0.642635	0.172118 	768   	0.0735629	5.00391	4  	11 	3  	768   	1.50008
INFO:gp:5  	770   	0.487021	5  	0.652044	0.177143 	770   	0.0832689	4.74194	5  	9  	3  	770   	1.42106
INFO:gp:6  	777   	0.52762 	6  	0.65861 	0.224854 	777   	0.0821892	4.49169	6  	10 	3  	777   	1.36843
INFO:gp:7  	760   	0.558488	7  	0.688431	0.278407 	760   	0.0796679	4.33236	7  	9  	3  	760   	1.2549 
INFO:gp:8  	776   	0.587314	8  	0.69582 	0.274798 	776   	0.0764262	4.03226	8  	9  	3  	776   	1.24589
INFO:gp:9  	786   	0.608367	9  	0.707044	0.28503  	786   	0.0738714	3.68426	9  	9  	3  	786   	1.11377
INFO:gp:10 	771   	0.630797	10 	0.737   	0.301303 	771   	0.0704414	3.51515	10 	11 	3  	771   	1.07287
INFO:gp:11 	802   	0.642727	11 	0.747797	0.256619 	802   	0.0691803	3.48583	11 	9  	3  	802   	1.05078
