INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.239831	0  	0.52235	0.102342	3069  	0.0757324	5.67481	0  	7  	3  	3069  	1.60354
INFO:gp:1  	2309  	0.332686	1  	0.539313	0.105636	2309  	0.069148 	5.69273	1  	13 	3  	2309  	1.74967
INFO:gp:2  	2391  	0.395814	2  	0.575461	0.140853	2391  	0.0691566	5.87423	2  	13 	3  	2391  	1.71108
INFO:gp:3  	2383  	0.439627	3  	0.642882	0.12703 	2383  	0.0695098	6.05051	3  	13 	3  	2383  	1.69902
INFO:gp:4  	2336  	0.472879	4  	0.682498	0.191244	2336  	0.0723649	6.16813	4  	13 	3  	2336  	1.67449
INFO:gp:5  	2302  	0.505   	5  	0.727367	0.163913	2302  	0.0761274	6.20919	5  	13 	3  	2302  	1.79784
INFO:gp:6  	2255  	0.536432	6  	0.748202	0.199851	2255  	0.0749949	6.18051	6  	14 	3  	2255  	1.85952
INFO:gp:7  	2343  	0.562736	7  	0.76983 	0.206299	2343  	0.0789283	6.23623	7  	18 	3  	2343  	1.9744 
INFO:gp:8  	2331  	0.594914	8  	0.770655	0.246996	2331  	0.0775504	6.15738	8  	17 	3  	2331  	1.98979
INFO:gp:9  	2302  	0.627593	9  	0.770655	0.260852	2302  	0.0766934	5.89443	9  	15 	3  	2302  	1.76751
INFO:gp:10 	2307  	0.661124	10 	0.770655	0.331909	2307  	0.074687 	6.10459	10 	16 	3  	2307  	1.55128
INFO:gp:11 	2354  	0.693024	11 	0.789661	0.259927	2354  	0.0738734	6.17172	11 	14 	3  	2354  	1.20205
INFO:gp:12 	2330  	0.713944	12 	0.789661	0.395435	2330  	0.0730719	6.18214	12 	16 	4  	2330  	1.11788
INFO:gp:13 	2304  	0.7246  	13 	0.789666	0.287798	2304  	0.0741265	6.16096	13 	15 	4  	2304  	1.11573
INFO:gp:14 	2312  	0.726963	14 	0.789666	0.32444 	2312  	0.0734861	6.13848	14 	15 	4  	2312  	1.17653
INFO:gp:15 	2297  	0.727003	15 	0.793683	0.329416	2297  	0.0751104	6.32714	15 	14 	4  	2297  	1.25886
INFO:gp:16 	2316  	0.729909	16 	0.793683	0.322002	2316  	0.0761092	6.67253	16 	14 	3  	2316  	1.24485
INFO:gp:17 	2315  	0.73544 	17 	0.793683	0.270405	2315  	0.077143 	6.4868 	17 	14 	3  	2315  	1.12014
INFO:gp:18 	2353  	0.742375	18 	0.808964	0.288828	2353  	0.0776714	6.44542	18 	14 	3  	2353  	1.12267
INFO:gp:19 	2316  	0.744514	19 	0.813172	0.322152	2316  	0.0767079	6.78495	19 	14 	3  	2316  	1.30543
INFO:gp:20 	2301  	0.743706	20 	0.831411	0.329413	2301  	0.0743178	7.21733	20 	16 	3  	2301  	1.44882
INFO:gp:21 	2362  	0.746284	21 	0.831411	0.359856	2362  	0.075334 	7.63864	21 	18 	4  	2362  	1.49205
INFO:gp:22 	2337  	0.744941	22 	0.832834	0.323023	2337  	0.0788324	8.02411	22 	21 	4  	2337  	1.44839
INFO:gp:23 	2330  	0.749525	23 	0.832836	0.380656	2330  	0.0782465	8.03715	23 	21 	4  	2330  	1.67182
INFO:gp:24 	2354  	0.754004	24 	0.832836	0.363643	2354  	0.0801423	8.03095	24 	21 	3  	2354  	2.20799
INFO:gp:25 	2321  	0.763616	25 	0.833894	0.311635	2321  	0.083515 	8.22385	25 	20 	3  	2321  	2.70724
INFO:gp:26 	2322  	0.770506	26 	0.833894	0.363731	2322  	0.0858211	8.7188 	26 	22 	4  	2322  	2.78152
INFO:gp:27 	2342  	0.775998	27 	0.83391 	0.339579	2342  	0.0843647	8.74128	27 	20 	3  	2342  	2.28019
INFO:gp:28 	2328  	0.778719	28 	0.834308	0.344986	2328  	0.0858219	8.68785	28 	22 	3  	2328  	2.00512
INFO:gp:29 	2327  	0.781159	29 	0.834772	0.249348	2327  	0.0840675	8.70153	29 	20 	4  	2327  	1.82419
INFO:gp:30 	2343  	0.781916	30 	0.835518	0.391652	2343  	0.0841559	8.56761	30 	20 	4  	2343  	1.56589
INFO:gp:31 	2302  	0.779189	31 	0.835618	0.291214	2302  	0.08775  	8.56272	31 	21 	4  	2302  	1.61788
INFO:gp:32 	2309  	0.781296	32 	0.835618	0.322645	2309  	0.0851449	8.8563 	32 	22 	4  	2309  	1.93791
INFO:gp:33 	2332  	0.779669	33 	0.836061	0.367363	2332  	0.0856818	8.80775	33 	23 	4  	2332  	2.01918
INFO:gp:34 	2330  	0.783092	34 	0.836641	0.223549	2330  	0.0861893	8.45455	34 	22 	4  	2330  	1.73955
INFO:gp:35 	2330  	0.789163	35 	0.836644	0.40138 	2330  	0.0800385	8.21929	35 	19 	4  	2330  	1.61427
INFO:gp:36 	2341  	0.788493	36 	0.837047	0.379162	2341  	0.0795678	8.46237	36 	21 	4  	2341  	1.99011
INFO:gp:37 	2306  	0.790982	37 	0.837051	0.392972	2306  	0.0787234	8.81297	37 	23 	4  	2306  	2.45511
INFO:gp:38 	2281  	0.789675	38 	0.837221	0.37714 	2281  	0.0787497	9.26588	38 	29 	4  	2281  	3.15036
INFO:gp:39 	2329  	0.786537	39 	0.837931	0.335699	2329  	0.0830397	9.69567	39 	34 	4  	2329  	3.5646 
INFO:gp:40 	2347  	0.786825	40 	0.838074	0.293476	2347  	0.081832 	9.28218	40 	29 	4  	2347  	2.81107
INFO:gp:41 	2300  	0.788224	41 	0.838284	0.356159	2300  	0.0822483	9.5422 	41 	27 	4  	2300  	2.52403
INFO:gp:42 	2353  	0.786331	42 	0.851277	0.384537	2353  	0.0841618	9.797  	42 	27 	4  	2353  	3.1277 
INFO:gp:43 	2314  	0.788449	43 	0.851522	0.315224	2314  	0.0828457	10.1225	43 	27 	4  	2314  	3.36398
INFO:gp:44 	2369  	0.786166	44 	0.871445	0.356123	2369  	0.0847824	11.5663	44 	33 	4  	2369  	4.33539
INFO:gp:45 	2286  	0.791767	45 	0.871622	0.355869	2286  	0.0815325	13.667 	45 	38 	4  	2286  	5.25479
INFO:gp:46 	2290  	0.791998	46 	0.872154	0.301933	2290  	0.0830924	14.0684	46 	30 	4  	2290  	5.40343
INFO:gp:47 	2340  	0.796745	47 	0.872162	0.336566	2340  	0.0816626	11.9215	47 	32 	4  	2340  	4.84783
INFO:gp:48 	2352  	0.799859	48 	0.872383	0.388947	2352  	0.0846117	10.1743	48 	31 	4  	2352  	3.48238
INFO:gp:49 	2340  	0.807224	49 	0.872383	0.389163	2340  	0.0864032	10.9332	49 	27 	4  	2340  	3.5578 
INFO:gp:50 	2338  	0.817711	50 	0.872844	0.422722	2338  	0.0841287	11.7726	50 	27 	4  	2338  	3.72058
INFO:gp:51 	2340  	0.816232	51 	0.873066	0.357437	2340  	0.0872836	12.0365	51 	30 	6  	2340  	3.78159
INFO:gp:52 	2345  	0.815088	52 	0.873066	0.349599	2345  	0.0889176	11.5308	52 	30 	6  	2345  	3.33452
INFO:gp:53 	2328  	0.815238	53 	0.873066	0.371174	2328  	0.0887484	11.6038	53 	30 	6  	2328  	3.31501
INFO:gp:54 	2320  	0.816458	54 	0.873066	0.329342	2320  	0.0874511	11.9749	54 	35 	6  	2320  	3.66391
INFO:gp:55 	2311  	0.815888	55 	0.873301	0.229622	2311  	0.0873315	12.2085	55 	31 	6  	2311  	3.54345
INFO:gp:56 	2252  	0.818201	56 	0.873303	0.262108	2252  	0.0867439	13.0508	56 	33 	6  	2252  	3.64532
INFO:gp:57 	2284  	0.814314	57 	0.873311	0.387698	2284  	0.0902068	14.3972	57 	31 	5  	2284  	3.7203 
INFO:gp:58 	2310  	0.815359	58 	0.873316	0.374873	2310  	0.0894111	15.8983	58 	37 	6  	2310  	3.5189 
INFO:gp:59 	2339  	0.811462	59 	0.873316	0.348612	2339  	0.0919136	16.42  	59 	37 	5  	2339  	3.26467
INFO:gp:60 	2322  	0.814609	60 	0.873317	0.370798	2322  	0.0892584	16.5161	60 	37 	6  	2322  	3.36759
INFO:gp:61 	2318  	0.814925	61 	0.873335	0.377686	2318  	0.0885808	16.1906	61 	30 	6  	2318  	3.53208
INFO:gp:62 	2280  	0.811825	62 	0.873422	0.333983	2280  	0.0917364	15.8983	62 	36 	6  	2280  	4.04287
INFO:gp:63 	2342  	0.81132 	63 	0.873422	0.297634	2342  	0.0920926	15.7543	63 	33 	6  	2342  	4.39729
INFO:gp:64 	2330  	0.814335	64 	0.873441	0.352797	2330  	0.0881578	16.9993	64 	36 	6  	2330  	4.7074 
