INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.237651	0  	0.649111	0.102074	3069  	0.0757122	5.69469	0  	7  	3  	3069  	1.59636
INFO:gp:1  	2292  	0.330263	1  	0.649111	0.107396	2292  	0.0702294	5.83838	1  	13 	3  	2292  	1.70177
INFO:gp:2  	2314  	0.397233	2  	0.649317	0.125726	2314  	0.0709303	5.79733	2  	13 	3  	2314  	1.78732
INFO:gp:3  	2320  	0.450022	3  	0.676165	0.151156	2320  	0.0757969	5.80775	3  	13 	3  	2320  	1.81056
INFO:gp:4  	2348  	0.499343	4  	0.709816	0.164342	2348  	0.0795274	5.855  	4  	18 	3  	2348  	1.79355
INFO:gp:5  	2300  	0.548067	5  	0.763703	0.178572	2300  	0.0762269	5.84132	5  	13 	3  	2300  	1.65929
INFO:gp:6  	2313  	0.583537	6  	0.764425	0.259939	2313  	0.075117 	5.66862	6  	14 	3  	2313  	1.51736
INFO:gp:7  	2324  	0.610575	7  	0.796844	0.304046	2324  	0.0707288	5.50798	7  	17 	3  	2324  	1.51296
INFO:gp:8  	2306  	0.626453	8  	0.79702 	0.236745	2306  	0.0778258	5.40762	8  	15 	3  	2306  	1.7543 
INFO:gp:9  	2325  	0.654571	9  	0.804012	0.262103	2325  	0.0823839	4.84457	9  	14 	3  	2325  	1.98749
INFO:gp:10 	2280  	0.699462	10 	0.837052	0.324554	2280  	0.0781251	4.24666	10 	15 	3  	2280  	1.92751
INFO:gp:11 	2321  	0.733672	11 	0.837059	0.396612	2321  	0.0709388	4.1248 	11 	16 	3  	2321  	1.68225
INFO:gp:12 	2336  	0.747894	12 	0.837059	0.364666	2336  	0.0742284	4.28022	12 	15 	3  	2336  	1.53051
INFO:gp:13 	2295  	0.761552	13 	0.8376  	0.366151	2295  	0.0727469	4.24014	13 	17 	3  	2295  	1.60156
INFO:gp:14 	2305  	0.773595	14 	0.8376  	0.410572	2305  	0.0711391	3.93255	14 	15 	3  	2305  	1.39788
INFO:gp:15 	2342  	0.78725 	15 	0.857355	0.427464	2342  	0.072011 	4.18605	15 	11 	3  	2342  	1.39971
INFO:gp:16 	2329  	0.793914	16 	0.857355	0.405145	2329  	0.07474  	4.41382	16 	15 	3  	2329  	1.57597
INFO:gp:17 	2332  	0.796428	17 	0.857658	0.429812	2332  	0.0735607	4.67188	17 	15 	3  	2332  	1.65721
INFO:gp:18 	2302  	0.798095	18 	0.857966	0.39174 	2302  	0.0741325	4.6911 	18 	13 	3  	2302  	1.50173
INFO:gp:19 	2312  	0.799506	19 	0.858024	0.395395	2312  	0.0751047	4.76963	19 	13 	3  	2312  	1.42341
INFO:gp:20 	2362  	0.807473	20 	0.858024	0.378855	2362  	0.0742746	4.69273	20 	12 	3  	2362  	1.4109 
INFO:gp:21 	2381  	0.815133	21 	0.858194	0.458319	2381  	0.0705368	4.33594	21 	11 	3  	2381  	1.26726
INFO:gp:22 	2314  	0.816431	22 	0.858506	0.46881 	2314  	0.0713826	4.30629	22 	11 	3  	2314  	1.29416
INFO:gp:23 	2256  	0.817619	23 	0.858566	0.408146	2256  	0.0730586	4.49528	23 	12 	3  	2256  	1.36272
INFO:gp:24 	2318  	0.81789 	24 	0.858728	0.448323	2318  	0.0716029	4.82959	24 	12 	3  	2318  	1.38486
INFO:gp:25 	2327  	0.815847	25 	0.85915 	0.431772	2327  	0.0751257	4.98794	25 	12 	3  	2327  	1.42963
INFO:gp:26 	2338  	0.814086	26 	0.859678	0.420906	2338  	0.077116 	5.43858	26 	13 	3  	2338  	1.60031
INFO:gp:27 	2299  	0.814562	27 	0.859678	0.334888	2299  	0.0762636	5.78951	27 	17 	3  	2299  	1.6266 
INFO:gp:28 	2308  	0.814891	28 	0.859678	0.450324	2308  	0.0754807	5.95112	28 	13 	3  	2308  	1.62104
INFO:gp:29 	2290  	0.813286	29 	0.859731	0.408034	2290  	0.0805343	6.42685	29 	19 	3  	2290  	1.70129
INFO:gp:30 	2313  	0.814268	30 	0.859891	0.366875	2313  	0.0806647	7.07918	30 	17 	3  	2313  	2.11619
INFO:gp:31 	2333  	0.814507	31 	0.859891	0.329276	2333  	0.0825377	8.58325	31 	19 	3  	2333  	2.59822
INFO:gp:32 	2337  	0.812635	32 	0.859941	0.303715	2337  	0.0845827	10.4816	32 	23 	3  	2337  	2.42705
INFO:gp:33 	2337  	0.813382	33 	0.860037	0.421423	2337  	0.0821705	11.1365	33 	27 	4  	2337  	2.60334
INFO:gp:34 	2342  	0.814671	34 	0.860068	0.29248 	2342  	0.0829945	11.1825	34 	25 	4  	2342  	2.98578
INFO:gp:35 	2315  	0.813184	35 	0.860068	0.347107	2315  	0.0826156	11.5376	35 	29 	3  	2315  	2.84009
INFO:gp:36 	2320  	0.813449	36 	0.860107	0.373687	2320  	0.0840098	11.7729	36 	27 	3  	2320  	2.6461 
INFO:gp:37 	2359  	0.815424	37 	0.860142	0.410241	2359  	0.0802184	11.6126	37 	26 	5  	2359  	2.778  
INFO:gp:38 	2309  	0.807908	38 	0.860142	0.373306	2309  	0.0872409	10.8345	38 	27 	6  	2309  	2.58123
INFO:gp:39 	2339  	0.810597	39 	0.880284	0.340688	2339  	0.0852473	11.2317	39 	29 	3  	2339  	2.58705
INFO:gp:40 	2290  	0.811849	40 	0.880284	0.261381	2290  	0.0843397	11.636 	40 	29 	6  	2290  	2.67182
INFO:gp:41 	2334  	0.808109	41 	0.892672	0.350035	2334  	0.0876409	10.8566	41 	29 	6  	2334  	2.65005
