INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.236491	0  	0.568094	0.10058	3069  	0.0745159	5.68296	0  	7  	3  	3069  	1.61135
INFO:gp:1  	2304  	0.32841 	1  	0.644116	0.104634	2304  	0.0677378	5.69827	1  	13 	3  	2304  	1.74979
INFO:gp:2  	2269  	0.39177 	2  	0.670961	0.105807	2269  	0.0691033	5.74552	2  	13 	3  	2269  	1.80819
INFO:gp:3  	2287  	0.442096	3  	0.671015	0.136195	2287  	0.073449 	5.65624	3  	15 	3  	2287  	1.96187
INFO:gp:4  	2334  	0.485223	4  	0.692043	0.129752	2334  	0.0788412	5.63767	4  	15 	3  	2334  	2.0658 
INFO:gp:5  	2317  	0.523621	5  	0.712043	0.170589	2317  	0.080678 	5.83773	5  	17 	3  	2317  	2.15187
INFO:gp:6  	2321  	0.557098	6  	0.712043	0.172816	2321  	0.079828 	5.91561	6  	15 	3  	2321  	2.25855
INFO:gp:7  	2295  	0.583543	7  	0.744312	0.125553	2295  	0.0819741	5.94819	7  	17 	3  	2295  	2.30621
INFO:gp:8  	2327  	0.606724	8  	0.744312	0.177676	2327  	0.0803647	5.94102	8  	16 	3  	2327  	2.23237
INFO:gp:9  	2320  	0.6209  	9  	0.760881	0.202979	2320  	0.083055 	5.85891	9  	16 	3  	2320  	2.13673
INFO:gp:10 	2356  	0.638124	10 	0.767738	0.248661	2356  	0.0810204	5.86217	10 	18 	3  	2356  	2.25448
INFO:gp:11 	2283  	0.657617	11 	0.769349	0.281729	2283  	0.0842209	5.50798	11 	15 	3  	2283  	2.12397
INFO:gp:12 	2305  	0.687789	12 	0.790424	0.323853	2305  	0.07534  	4.94852	12 	15 	3  	2305  	1.76401
INFO:gp:13 	2339  	0.706265	13 	0.792595	0.3505  	2339  	0.0711146	4.7364 	13 	14 	3  	2339  	1.6447 
INFO:gp:14 	2340  	0.716204	14 	0.793397	0.294033	2340  	0.0712817	5.03486	14 	16 	3  	2340  	1.81781
INFO:gp:15 	2369  	0.723584	15 	0.814012	0.357263	2369  	0.0712142	5.29554	15 	18 	3  	2369  	2.23956
INFO:gp:16 	2265  	0.736736	16 	0.814311	0.394784	2265  	0.0718822	6.31509	16 	20 	3  	2265  	3.03312
INFO:gp:17 	2347  	0.749779	17 	0.830922	0.376976	2347  	0.0687753	7.49984	17 	20 	3  	2347  	3.40611
INFO:gp:18 	2302  	0.754814	18 	0.830922	0.409732	2302  	0.0675578	7.03193	18 	24 	3  	2302  	3.36896
INFO:gp:19 	2327  	0.753865	19 	0.851492	0.350113	2327  	0.0719691	5.88074	19 	20 	3  	2327  	2.76118
INFO:gp:20 	2315  	0.759209	20 	0.852579	0.371076	2315  	0.0730081	6.26458	20 	21 	3  	2315  	2.93756
INFO:gp:21 	2282  	0.764577	21 	0.852579	0.404485	2282  	0.0762242	7.39361	21 	25 	3  	2282  	3.47042
INFO:gp:22 	2280  	0.767578	22 	0.853185	0.355305	2280  	0.0785131	7.32845	22 	23 	3  	2280  	3.56437
INFO:gp:23 	2347  	0.76792 	23 	0.85418 	0.368406	2347  	0.0822979	6.5321 	23 	33 	3  	2347  	3.22917
INFO:gp:24 	2319  	0.773879	24 	0.874776	0.382434	2319  	0.0870624	5.66667	24 	21 	3  	2319  	1.96648
INFO:gp:25 	2319  	0.786381	25 	0.874776	0.394778	2319  	0.083897 	5.38416	25 	14 	3  	2319  	1.09623
INFO:gp:26 	2296  	0.797311	26 	0.875726	0.407085	2296  	0.0832903	5.36266	26 	13 	3  	2296  	1.01718
INFO:gp:27 	2329  	0.795912	27 	0.875726	0.39811 	2329  	0.0861145	5.3594 	27 	12 	3  	2329  	0.947047
INFO:gp:28 	2348  	0.803491	28 	0.875726	0.282529	2348  	0.0876035	5.39883	28 	12 	3  	2348  	1.02109 
INFO:gp:29 	2296  	0.812437	29 	0.908268	0.319473	2296  	0.0892932	5.40502	29 	14 	4  	2296  	0.99421 
INFO:gp:30 	2305  	0.815931	30 	0.908365	0.371816	2305  	0.0899689	5.41512	30 	12 	4  	2305  	0.985912
INFO:gp:31 	2337  	0.818604	31 	0.908365	0.380152	2337  	0.0904055	5.37537	31 	12 	3  	2337  	0.958163
INFO:gp:32 	2355  	0.818281	32 	0.908365	0.384973	2355  	0.0927935	5.33464	32 	11 	3  	2355  	0.975645
INFO:gp:33 	2325  	0.822499	33 	0.908844	0.431037	2325  	0.0933399	5.34963	33 	12 	4  	2325  	1.00631 
INFO:gp:34 	2350  	0.831253	34 	0.909217	0.352727	2350  	0.0948745	5.4275 	34 	15 	4  	2350  	1.11085 
INFO:gp:35 	2337  	0.843138	35 	0.909217	0.416045	2337  	0.0962295	5.27794	35 	11 	3  	2337  	0.929569
