INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                     size                     
   	      	-------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std   
0  	3069  	0.236584	0  	0.499816	0.102959	3069  	0.0747638	5.70381	0  	7  	3  	3069  	1.5995
INFO:gp:1  	2330  	0.328764	1  	0.557089	0.103882	2330  	0.067905 	5.80808	1  	13 	3  	2330  	1.73289
INFO:gp:2  	2312  	0.391138	2  	0.595561	0.124014	2312  	0.0665733	5.80808	2  	13 	3  	2312  	1.80166
INFO:gp:3  	2302  	0.437223	3  	0.614724	0.146379	2302  	0.0696989	5.99739	3  	13 	3  	2302  	1.75253
INFO:gp:4  	2295  	0.474117	4  	0.680205	0.159534	2295  	0.0721365	6.29391	4  	15 	3  	2295  	1.67873
INFO:gp:5  	2334  	0.506279	5  	0.718851	0.194979	2334  	0.0722372	6.47475	5  	14 	3  	2334  	1.58903
INFO:gp:6  	2296  	0.538407	6  	0.718851	0.198993	2296  	0.0766677	6.57478	6  	14 	3  	2296  	1.44364
INFO:gp:7  	2300  	0.565701	7  	0.723517	0.200978	2300  	0.0796905	6.68328	7  	15 	3  	2300  	1.36761
INFO:gp:8  	2350  	0.597206	8  	0.814494	0.189093	2350  	0.0793983	6.61551	8  	17 	3  	2350  	1.39779
INFO:gp:9  	2267  	0.626097	9  	0.814494	0.253874	2267  	0.0785427	6.56598	9  	15 	3  	2267  	1.34645
INFO:gp:10 	2308  	0.647944	10 	0.814502	0.268221	2308  	0.0795087	6.67351	10 	15 	3  	2308  	1.33929
INFO:gp:11 	2319  	0.669326	11 	0.814705	0.321972	2319  	0.0792846	6.75823	11 	14 	3  	2319  	1.22702
INFO:gp:12 	2258  	0.691865	12 	0.823094	0.255929	2258  	0.0829375	6.82307	12 	15 	3  	2258  	1.3187 
INFO:gp:13 	2343  	0.71294 	13 	0.834889	0.296948	2343  	0.0807041	6.80222	13 	15 	3  	2343  	1.35334
INFO:gp:14 	2331  	0.732213	14 	0.83527 	0.382881	2331  	0.0811331	6.74813	14 	15 	4  	2331  	1.41931
INFO:gp:15 	2324  	0.745854	15 	0.85242 	0.406611	2324  	0.0798952	6.9723 	15 	16 	4  	2324  	1.67618
INFO:gp:16 	2313  	0.757525	16 	0.854864	0.386747	2313  	0.0784969	7.07755	16 	18 	4  	2313  	1.83886
INFO:gp:17 	2345  	0.766648	17 	0.854864	0.393899	2345  	0.0797421	7.2623 	17 	17 	4  	2345  	1.96249
INFO:gp:18 	2322  	0.772543	18 	0.854864	0.396961	2322  	0.0806906	7.1841 	18 	18 	4  	2322  	1.97054
INFO:gp:19 	2335  	0.778501	19 	0.854894	0.375048	2335  	0.079506 	7.16227	19 	18 	4  	2335  	2.01729
INFO:gp:20 	2329  	0.780764	20 	0.854894	0.448196	2329  	0.0813654	7.54904	20 	18 	4  	2329  	2.2694 
