INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                        fitness                         	                      size                     
   	      	--------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min    	nevals	std     	avg    	gen	max	min	nevals	std    
0  	3069  	0.238059	0  	0.52663	0.10268	3069  	0.074857	5.71359	0  	7  	3  	3069  	1.59986
INFO:gp:1  	2299  	0.331262	1  	0.557927	0.105974	2299  	0.0683664	5.78332	1  	13 	3  	2299  	1.66724
INFO:gp:2  	2330  	0.396169	2  	0.596391	0.107102	2330  	0.0684289	5.86347	2  	13 	3  	2330  	1.68154
INFO:gp:3  	2310  	0.444882	3  	0.658358	0.106542	2310  	0.0703913	6.01206	3  	13 	3  	2310  	1.62284
INFO:gp:4  	2337  	0.483907	4  	0.69215 	0.174073	2337  	0.0702232	6.09938	4  	13 	3  	2337  	1.74794
INFO:gp:5  	2347  	0.515381	5  	0.712623	0.127427	2347  	0.0744244	6.11111	5  	17 	3  	2347  	1.73338
INFO:gp:6  	2340  	0.542554	6  	0.755528	0.184786	2340  	0.0780944	6.36103	6  	15 	3  	2340  	1.66324
INFO:gp:7  	2325  	0.576045	7  	0.767525	0.21945 	2325  	0.0799381	6.53959	7  	16 	3  	2325  	1.65445
INFO:gp:8  	2327  	0.61425 	8  	0.767525	0.286973	2327  	0.0787503	6.74715	8  	16 	3  	2327  	1.59338
INFO:gp:9  	2329  	0.651928	9  	0.795653	0.32676 	2329  	0.0738448	7.0479 	9  	16 	3  	2329  	1.52741
INFO:gp:10 	2303  	0.671504	10 	0.795653	0.29879 	2303  	0.0775615	7.16944	10 	15 	3  	2303  	1.61351
INFO:gp:11 	2324  	0.685025	11 	0.795653	0.332304	2324  	0.0797163	7.24047	11 	17 	3  	2324  	1.85711
INFO:gp:12 	2346  	0.692765	12 	0.795653	0.298226	2346  	0.0842103	7.24927	12 	17 	3  	2346  	2.01302
INFO:gp:13 	2289  	0.704255	13 	0.814881	0.192954	2289  	0.084742 	6.91691	13 	17 	3  	2289  	2.03135
INFO:gp:14 	2318  	0.714572	14 	0.814881	0.313023	2318  	0.0815773	6.3695 	14 	18 	3  	2318  	1.91553
INFO:gp:15 	2349  	0.711347	15 	0.814881	0.263722	2349  	0.0854765	6.43467	15 	15 	3  	2349  	1.95836
INFO:gp:16 	2356  	0.711815	16 	0.834919	0.254278	2356  	0.0898258	6.4552 	16 	17 	3  	2356  	1.9486 
INFO:gp:17 	2280  	0.719043	17 	0.835145	0.284266	2280  	0.0936084	6.30466	17 	17 	3  	2280  	1.90882
INFO:gp:18 	2333  	0.740123	18 	0.849644	0.294154	2333  	0.0918013	6.0567 	18 	17 	3  	2333  	1.86932
INFO:gp:19 	2339  	0.752465	19 	0.849644	0.307496	2339  	0.094187 	5.98697	19 	17 	3  	2339  	1.85667
INFO:gp:20 	2325  	0.761086	20 	0.849644	0.317477	2325  	0.0923324	6.50505	20 	19 	3  	2325  	2.39862
INFO:gp:21 	2316  	0.766807	21 	0.8695  	0.239077	2316  	0.095769 	7.18117	21 	19 	3  	2316  	2.70098
INFO:gp:22 	2333  	0.773458	22 	0.86966 	0.326847	2333  	0.098085 	7.02216	22 	19 	3  	2333  	2.51826
INFO:gp:23 	2310  	0.780117	23 	0.870158	0.386111	2310  	0.09561  	6.81036	23 	17 	3  	2310  	2.09451
INFO:gp:24 	2302  	0.786486	24 	0.870458	0.330322	2302  	0.0989013	7.32258	24 	17 	3  	2302  	1.82241
INFO:gp:25 	2303  	0.792928	25 	0.870818	0.33735 	2303  	0.101672 	7.79668	25 	19 	3  	2303  	1.80629
INFO:gp:26 	2309  	0.797718	26 	0.870974	0.286413	2309  	0.104665 	7.98534	26 	18 	3  	2309  	1.86165
INFO:gp:27 	2336  	0.803071	27 	0.871356	0.29068 	2336  	0.101886 	7.67155	27 	17 	3  	2336  	1.62006
INFO:gp:28 	2320  	0.803666	28 	0.871625	0.344096	2320  	0.105023 	7.55816	28 	17 	3  	2320  	1.57498
INFO:gp:29 	2301  	0.807379	29 	0.871758	0.347216	2301  	0.101029 	7.3884 	29 	17 	3  	2301  	1.36581
INFO:gp:30 	2343  	0.811123	30 	0.871785	0.32494 	2343  	0.098895 	7.26393	30 	15 	3  	2343  	1.11394
INFO:gp:31 	2308  	0.817516	31 	0.872219	0.345765	2308  	0.0929765	7.23037	31 	17 	3  	2308  	1.13652
INFO:gp:32 	2347  	0.807714	32 	0.872268	0.361857	2347  	0.0987748	7.24503	32 	18 	3  	2347  	1.19242
INFO:gp:33 	2299  	0.814191	33 	0.872268	0.312626	2299  	0.0929269	7.16911	33 	15 	3  	2299  	0.97027
INFO:gp:34 	2324  	0.809546	34 	0.872268	0.360191	2324  	0.0948921	7.14337	34 	15 	3  	2324  	0.885221
INFO:gp:35 	2348  	0.808224	35 	0.872268	0.306191	2348  	0.098259 	7.14109	35 	15 	3  	2348  	0.853931
INFO:gp:36 	2303  	0.812147	36 	0.872268	0.345525	2303  	0.0943846	7.12675	36 	15 	3  	2303  	0.783026
INFO:gp:37 	2298  	0.806621	37 	0.872464	0.298425	2298  	0.101375 	7.14011	37 	13 	3  	2298  	0.823995
INFO:gp:38 	2380  	0.803343	38 	0.873062	0.218288	2380  	0.101472 	7.1349 	38 	15 	5  	2380  	0.790575
INFO:gp:39 	2345  	0.802583	39 	0.873062	0.286345	2345  	0.100672 	7.12903	39 	13 	5  	2345  	0.801372
INFO:gp:40 	2291  	0.807121	40 	0.873062	0.284918	2291  	0.0991228	7.13294	40 	13 	3  	2291  	0.806005
INFO:gp:41 	2325  	0.806834	41 	0.873062	0.238785	2325  	0.0978981	7.19941	41 	15 	3  	2325  	0.893472
INFO:gp:42 	2316  	0.806001	42 	0.873062	0.309135	2316  	0.099899 	7.28674	42 	15 	5  	2316  	0.987321
INFO:gp:43 	2360  	0.806822	43 	0.873535	0.297053	2360  	0.0994377	7.26947	43 	15 	5  	2360  	0.955536
INFO:gp:44 	2298  	0.803283	44 	0.873958	0.218762	2298  	0.103679 	7.20919	44 	15 	5  	2298  	0.938253
INFO:gp:45 	2278  	0.807582	45 	0.873958	0.339958	2278  	0.0978035	7.26067	45 	14 	5  	2278  	0.973996
INFO:gp:46 	2302  	0.805376	46 	0.873958	0.307489	2302  	0.101919 	7.52558	46 	18 	5  	2302  	1.23161 
INFO:gp:47 	2326  	0.80753 	47 	0.873958	0.383479	2326  	0.0972507	7.97524	47 	21 	5  	2326  	1.54504 
INFO:gp:48 	2268  	0.806545	48 	0.874313	0.218384	2268  	0.100752 	8.51743	48 	20 	5  	2268  	1.88582 
