INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max   	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.237622	0  	0.5314	0.102102	3069  	0.0746442	5.63897	0  	7  	3  	3069  	1.61856
INFO:gp:1  	2322  	0.330204	1  	0.550178	0.106837	2322  	0.0671198	5.73965	1  	13 	2  	2322  	1.76596
INFO:gp:2  	2346  	0.390882	2  	0.621841	0.109592	2346  	0.0662585	5.90486	2  	13 	3  	2346  	1.8238 
INFO:gp:3  	2327  	0.433428	3  	0.630395	0.109636	2327  	0.0716734	6.0378 	3  	14 	3  	2327  	1.74523
INFO:gp:4  	2316  	0.474108	4  	0.650999	0.12605 	2316  	0.072931 	6.02379	4  	14 	3  	2316  	1.81188
INFO:gp:5  	2306  	0.505793	5  	0.693086	0.145113	2306  	0.0754359	6.31378	5  	14 	3  	2306  	1.78393
INFO:gp:6  	2360  	0.534689	6  	0.708769	0.174835	2360  	0.0784353	6.63506	6  	14 	3  	2360  	1.64683
INFO:gp:7  	2318  	0.562051	7  	0.732141	0.247739	2318  	0.0809137	6.59661	7  	14 	3  	2318  	1.66682
INFO:gp:8  	2325  	0.58667 	8  	0.7339  	0.229743	2325  	0.082331 	6.56338	8  	17 	3  	2325  	1.65055
INFO:gp:9  	2322  	0.608196	9  	0.76842 	0.198312	2322  	0.0829053	6.66341	9  	14 	3  	2322  	1.75414
INFO:gp:10 	2293  	0.629176	10 	0.770879	0.24601 	2293  	0.0818148	6.8159 	10 	16 	3  	2293  	1.89122
INFO:gp:11 	2328  	0.644855	11 	0.787092	0.225175	2328  	0.0842764	6.61616	11 	15 	3  	2328  	1.87816
INFO:gp:12 	2332  	0.659993	12 	0.792298	0.277782	2332  	0.0854263	6.51841	12 	15 	3  	2332  	1.76404
INFO:gp:13 	2363  	0.672184	13 	0.792905	0.26582 	2363  	0.0830266	6.41349	13 	14 	3  	2363  	1.76368
INFO:gp:14 	2330  	0.684403	14 	0.799869	0.234132	2330  	0.0840263	6.5321 	14 	13 	3  	2330  	1.61111
INFO:gp:15 	2349  	0.692219	15 	0.813263	0.238777	2349  	0.08455  	6.5738 	15 	13 	3  	2349  	1.65446
INFO:gp:16 	2348  	0.700811	16 	0.814434	0.323436	2348  	0.0859244	6.57836	16 	15 	3  	2348  	1.79155
INFO:gp:17 	2304  	0.706761	17 	0.822056	0.278163	2304  	0.0850736	6.59922	17 	14 	3  	2304  	1.97978
INFO:gp:18 	2331  	0.71085 	18 	0.827021	0.23514 	2331  	0.0880387	6.51287	18 	15 	2  	2331  	2.17997
INFO:gp:19 	2306  	0.717426	19 	0.855731	0.330656	2306  	0.0891272	6.24829	19 	15 	2  	2306  	2.41579
INFO:gp:20 	2300  	0.722085	20 	0.855731	0.320756	2300  	0.0912966	6.07885	20 	15 	3  	2300  	2.5135 
INFO:gp:21 	2307  	0.728969	21 	0.855911	0.337104	2307  	0.0909928	6.203  	21 	15 	3  	2307  	2.61226
INFO:gp:22 	2314  	0.736538	22 	0.855959	0.217227	2314  	0.0919367	6.74356	22 	15 	3  	2314  	2.56688
INFO:gp:23 	2311  	0.745805	23 	0.856291	0.299821	2311  	0.0911533	7.39785	23 	17 	3  	2311  	2.43998
INFO:gp:24 	2315  	0.759641	24 	0.856748	0.29178 	2315  	0.0898847	7.78625	24 	18 	3  	2315  	2.17855
INFO:gp:25 	2316  	0.771381	25 	0.856748	0.363   	2316  	0.0888071	7.73379	25 	17 	3  	2316  	1.80956
INFO:gp:26 	2321  	0.778441	26 	0.856748	0.292111	2321  	0.0903135	7.67384	26 	17 	3  	2321  	1.43849
