INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg	gen	max	min	nevals	std    
0  	100   	0.245001	0  	0.519374	0.104944	100   	0.0817171	5.8	0  	7  	3  	100   	1.55563
INFO:gp:1  	71    	0.353454	1  	0.519374	0.128394	71    	0.0773514	6.02	1  	9  	3  	71    	1.3927 
INFO:gp:2  	79    	0.424965	2  	0.5198  	0.201376	79    	0.0587321	6.41	2  	10 	4  	79    	0.939095
INFO:gp:3  	85    	0.453351	3  	0.581356	0.221648	85    	0.0630321	6.36	3  	9  	4  	85    	1.01509 
INFO:gp:4  	69    	0.47771 	4  	0.600125	0.197362	69    	0.078343 	6.52	4  	9  	4  	69    	0.984683
INFO:gp:5  	75    	0.50445 	5  	0.668066	0.260269	75    	0.0807286	6.34	5  	9  	3  	75    	1.27452 
INFO:gp:6  	73    	0.548262	6  	0.668066	0.199893	73    	0.0774715	6.32	6  	15 	4  	73    	2.10181 
INFO:gp:7  	67    	0.573883	7  	0.668066	0.276489	67    	0.0764494	6.63	7  	11 	3  	67    	2.19843 
INFO:gp:8  	74    	0.592197	8  	0.668066	0.285684	74    	0.080641 	5.27	8  	11 	3  	74    	1.75417 
INFO:gp:9  	70    	0.606052	9  	0.668066	0.321851	70    	0.0826672	4.73	9  	9  	3  	70    	1.36275 
INFO:gp:10 	75    	0.606364	10 	0.668066	0.403367	75    	0.0766257	4.57	10 	10 	3  	75    	1.39467 
INFO:gp:11 	81    	0.598574	11 	0.668066	0.423563	81    	0.0819503	4.55	11 	10 	3  	81    	1.34443 
INFO:gp:12 	76    	0.603762	12 	0.668066	0.323112	76    	0.0903861	4.26	12 	9  	3  	76    	0.807713
INFO:gp:13 	76    	0.615956	13 	0.668066	0.410329	76    	0.0740933	4.3 	13 	9  	3  	76    	0.877496
INFO:gp:14 	79    	0.609503	14 	0.668066	0.289193	79    	0.0843217	4.38	14 	10 	3  	79    	1.1643  
INFO:gp:15 	77    	0.594134	15 	0.668066	0.290319	77    	0.096566 	4.45	15 	9  	3  	77    	1.2114  
INFO:gp:16 	71    	0.604213	16 	0.668066	0.304419	71    	0.0867942	4.3 	16 	9  	3  	71    	0.842615
INFO:gp:17 	82    	0.614384	17 	0.687055	0.357359	82    	0.073313 	4.35	17 	9  	3  	82    	0.983616
INFO:gp:18 	60    	0.627838	18 	0.687055	0.361667	60    	0.0748966	4.27	18 	8  	3  	60    	0.759671
INFO:gp:19 	83    	0.616601	19 	0.687055	0.351052	83    	0.0861818	4.29	19 	9  	3  	83    	0.897719
INFO:gp:20 	67    	0.629783	20 	0.687055	0.384586	67    	0.0748095	4.48	20 	9  	3  	67    	1.20399 
INFO:gp:21 	83    	0.618803	21 	0.687055	0.423009	83    	0.0741772	4.29	21 	7  	3  	83    	0.840179
INFO:gp:22 	78    	0.642793	22 	0.687572	0.423038	78    	0.0621382	4.25	22 	9  	3  	78    	0.876071
INFO:gp:23 	78    	0.654898	23 	0.6965  	0.423038	78    	0.0535248	4.23	23 	9  	3  	78    	0.798185
INFO:gp:24 	76    	0.631257	24 	0.720701	0.400412	76    	0.0821949	4.22	24 	8  	3  	76    	0.922822
INFO:gp:25 	82    	0.628324	25 	0.720701	0.365779	82    	0.0790789	4.31	25 	9  	3  	82    	0.808641
INFO:gp:26 	67    	0.64569 	26 	0.721264	0.398855	67    	0.0699996	4.58	26 	9  	3  	67    	0.896437
INFO:gp:27 	75    	0.65337 	27 	0.721264	0.373626	75    	0.0836733	5.06	27 	10 	3  	75    	1.04709 
INFO:gp:28 	74    	0.674676	28 	0.721312	0.366242	74    	0.0716538	5.22	28 	11 	5  	74    	0.985698
INFO:gp:29 	76    	0.673108	29 	0.721349	0.380015	76    	0.069022 	5.2 	29 	10 	3  	76    	0.883176
INFO:gp:30 	73    	0.677488	30 	0.721387	0.456851	73    	0.0633197	5.43	30 	9  	4  	73    	1.15978 
INFO:gp:31 	71    	0.682968	31 	0.721387	0.503468	71    	0.0565053	6.43	31 	10 	5  	71    	1.86148 
INFO:gp:32 	77    	0.674743	32 	0.741109	0.3809  	77    	0.0707726	8.1 	32 	15 	5  	77    	1.83576 
INFO:gp:33 	80    	0.650697	33 	0.741109	0.399515	80    	0.0863899	9.37	33 	15 	5  	80    	2.23452 
INFO:gp:34 	81    	0.681495	34 	0.741109	0.420637	81    	0.0763673	10.06	34 	17 	5  	81    	2.48926 
INFO:gp:35 	73    	0.671577	35 	0.74123 	0.40875 	73    	0.0840728	12.62	35 	17 	5  	73    	2.75238 
INFO:gp:36 	79    	0.674217	36 	0.741343	0.347515	79    	0.0888618	14.26	36 	21 	5  	79    	2.44385 
INFO:gp:37 	74    	0.691827	37 	0.741343	0.3898  	74    	0.0788162	14.94	37 	19 	11 	74    	1.53506 
INFO:gp:38 	68    	0.687889	38 	0.741493	0.454563	68    	0.0797285	15.66	38 	24 	5  	68    	2.70267 
INFO:gp:39 	81    	0.67731 	39 	0.741493	0.3898  	81    	0.0915935	17.36	39 	27 	9  	81    	2.91726 
INFO:gp:40 	75    	0.686648	40 	0.741493	0.423345	75    	0.0720175	17.88	40 	29 	11 	75    	2.90269 
INFO:gp:41 	86    	0.679702	41 	0.741493	0.323449	86    	0.0878229	17.91	41 	29 	7  	86    	3.48739 
INFO:gp:42 	73    	0.674907	42 	0.741493	0.423306	73    	0.0934737	17.98	42 	29 	5  	73    	3.56926 
INFO:gp:43 	72    	0.697773	43 	0.741499	0.403417	72    	0.0571438	17.34	43 	27 	9  	72    	2.02099 
INFO:gp:44 	81    	0.693451	44 	0.779798	0.454176	81    	0.0681697	17.27	44 	23 	11 	81    	1.28728 
INFO:gp:45 	76    	0.695379	45 	0.779798	0.463426	76    	0.0706228	17.28	45 	21 	11 	76    	1.23353 
INFO:gp:46 	73    	0.68857 	46 	0.779798	0.427421	73    	0.0783067	17.6 	46 	23 	11 	73    	1.60624 
INFO:gp:47 	73    	0.698737	47 	0.779798	0.421766	73    	0.0829724	17.85	47 	23 	13 	73    	1.37386 
INFO:gp:48 	73    	0.7125  	48 	0.779798	0.474998	73    	0.0753017	17.26	48 	21 	9  	73    	1.48068 
INFO:gp:49 	77    	0.705334	49 	0.780681	0.464504	77    	0.0803736	17.05	49 	23 	9  	77    	1.46544 
INFO:gp:50 	71    	0.737209	50 	0.780681	0.360534	71    	0.0657362	17.16	50 	25 	9  	71    	2.22585 
INFO:gp:51 	68    	0.732894	51 	0.780681	0.384078	68    	0.0807739	17.35	51 	25 	13 	68    	1.66358 
INFO:gp:52 	75    	0.726021	52 	0.780681	0.422045	75    	0.0860891	17.25	52 	25 	11 	75    	1.80762 
INFO:gp:53 	62    	0.735633	53 	0.780681	0.47831 	62    	0.0632296	17.29	53 	25 	13 	62    	1.58931 
INFO:gp:54 	80    	0.716077	54 	0.782174	0.421573	80    	0.0898581	17.25	54 	25 	4  	80    	2.16968 
INFO:gp:55 	76    	0.729819	55 	0.782174	0.480599	76    	0.0705428	17.43	55 	25 	13 	76    	1.78468 
INFO:gp:56 	78    	0.730605	56 	0.782174	0.422562	78    	0.0810158	17.37	56 	25 	11 	78    	2.43169 
INFO:gp:57 	76    	0.742933	57 	0.782191	0.404661	76    	0.075107 	17.48	57 	29 	11 	76    	2.38529 
INFO:gp:58 	82    	0.717626	58 	0.782191	0.354727	82    	0.0965772	18.6 	58 	31 	9  	82    	3.5805  
INFO:gp:59 	72    	0.745451	59 	0.782201	0.410444	72    	0.0723411	20.42	59 	31 	10 	72    	4.0204  
INFO:gp:60 	68    	0.718868	60 	0.782206	0.454466	68    	0.0815031	23.8 	60 	31 	11 	68    	3.40588 
INFO:gp:61 	78    	0.73519 	61 	0.782206	0.416527	78    	0.0825431	25.05	61 	37 	15 	78    	2.98119 
INFO:gp:62 	83    	0.714181	62 	0.782761	0.404491	83    	0.0965929	24.9 	62 	37 	9  	83    	3.55949 
INFO:gp:63 	81    	0.70774 	63 	0.782761	0.332523	81    	0.103903 	25.01	63 	33 	4  	81    	2.70738 
INFO:gp:64 	78    	0.737328	64 	0.782761	0.428524	78    	0.0788705	25.14	64 	35 	15 	78    	2.62686 
INFO:gp:65 	79    	0.742123	65 	0.782776	0.493907	79    	0.0730704	24.91	65 	35 	4  	79    	2.93971 
INFO:gp:66 	77    	0.735421	66 	0.782894	0.463294	77    	0.0691993	24.88	66 	33 	15 	77    	2.1132  
INFO:gp:67 	81    	0.72018 	67 	0.782894	0.481782	81    	0.0864941	25.05	67 	39 	11 	81    	3.34178 
INFO:gp:68 	79    	0.719819	68 	0.782925	0.361622	79    	0.0864456	25.19	68 	37 	15 	79    	2.2834  
INFO:gp:69 	83    	0.719921	69 	0.782925	0.434185	83    	0.0855998	24.66	69 	35 	15 	83    	2.3842  
INFO:gp:70 	78    	0.735576	70 	0.782942	0.465095	78    	0.0848998	24.48	70 	31 	15 	78    	1.82472 
INFO:gp:71 	77    	0.723842	71 	0.782942	0.410765	77    	0.0923183	24.53	71 	33 	4  	77    	3.84826 
INFO:gp:72 	74    	0.73536 	72 	0.782942	0.452099	74    	0.0732601	26.28	72 	39 	15 	74    	4.55649 
INFO:gp:73 	77    	0.736153	73 	0.782942	0.381714	77    	0.0700196	28.17	73 	37 	17 	77    	4.51233 
INFO:gp:74 	76    	0.73583 	74 	0.782942	0.449708	76    	0.0769296	30.27	74 	37 	17 	76    	2.97945 
INFO:gp:75 	76    	0.744311	75 	0.782947	0.46328 	76    	0.0639416	30.27	75 	39 	15 	76    	3.31015 
INFO:gp:76 	77    	0.716513	76 	0.782947	0.450241	77    	0.0997343	31.46	76 	39 	11 	77    	4.13865 
INFO:gp:77 	84    	0.729833	77 	0.782947	0.448028	84    	0.0823874	33.96	77 	41 	17 	84    	4.95968 
INFO:gp:78 	80    	0.717941	78 	0.782947	0.364673	80    	0.0873469	36.39	78 	43 	15 	80    	5.03963 
INFO:gp:79 	81    	0.72908 	79 	0.809683	0.482185	81    	0.0836966	36.87	79 	63 	6  	81    	6.46476 
INFO:gp:80 	84    	0.724391	80 	0.809683	0.407225	84    	0.0971573	38.09	80 	51 	17 	84    	3.69079 
INFO:gp:81 	71    	0.750009	81 	0.810387	0.341404	71    	0.0794017	38.05	81 	42 	13 	71    	3.96327 
INFO:gp:82 	82    	0.748116	82 	0.811459	0.438063	82    	0.0808607	38.21	82 	45 	17 	82    	4.01571 
INFO:gp:83 	74    	0.75968 	83 	0.811459	0.472807	74    	0.0752676	38.15	83 	45 	4  	74    	5.18917 
INFO:gp:84 	70    	0.745887	84 	0.811459	0.499123	70    	0.092274 	38.87	84 	44 	33 	70    	1.23818 
INFO:gp:85 	81    	0.760801	85 	0.834297	0.44925 	81    	0.0690922	38.38	85 	45 	19 	81    	2.78129 
INFO:gp:86 	81    	0.755563	86 	0.835348	0.358647	81    	0.0905522	37.47	86 	49 	11 	81    	5.47258 
INFO:gp:87 	80    	0.752956	87 	0.835621	0.512952	80    	0.082049 	37.35	87 	47 	16 	80    	5.56844 
INFO:gp:88 	68    	0.757021	88 	0.83592 	0.437411	68    	0.0999242	39.06	88 	47 	19 	68    	2.7922  
INFO:gp:89 	73    	0.77749 	89 	0.83592 	0.499967	73    	0.0802225	38.76	89 	47 	15 	73    	2.83591 
INFO:gp:90 	74    	0.773123	90 	0.858001	0.332629	74    	0.0919774	38.2 	90 	43 	7  	74    	4.15692 
INFO:gp:91 	76    	0.775798	91 	0.858001	0.391112	76    	0.0873781	38.95	91 	47 	31 	76    	1.86748 
INFO:gp:92 	77    	0.763401	92 	0.858063	0.559929	77    	0.0794747	38.6 	92 	47 	11 	77    	3.47563 
INFO:gp:93 	81    	0.774369	93 	0.85821 	0.416764	81    	0.0991212	38.89	93 	43 	29 	81    	1.86491 
INFO:gp:94 	76    	0.789911	94 	0.858283	0.422775	76    	0.0944609	38.01	94 	49 	15 	76    	4.28368 
INFO:gp:95 	80    	0.775967	95 	0.858316	0.40512 	80    	0.100657 	38.73	95 	43 	29 	80    	4.47852 
INFO:gp:96 	74    	0.777134	96 	0.858316	0.420558	74    	0.113349 	39.14	96 	53 	29 	74    	5.06956 
INFO:gp:97 	72    	0.808893	97 	0.858364	0.446307	72    	0.087404 	39.94	97 	55 	29 	72    	4.85967 
INFO:gp:98 	81    	0.781759	98 	0.858498	0.361655	81    	0.111398 	37.29	98 	47 	27 	81    	5.69964 
INFO:gp:99 	74    	0.810665	99 	0.858498	0.598658	74    	0.0697902	33.61	99 	47 	19 	74    	5.7409  
INFO:gp:100	68    	0.787439	100	0.858498	0.373228	68    	0.117105 	33.65	100	43 	21 	68    	6.71621 
INFO:gp:101	77    	0.792028	101	0.858498	0.465667	77    	0.0907128	34.95	101	47 	21 	77    	7.58205 
INFO:gp:102	76    	0.792006	102	0.858513	0.461484	76    	0.0990414	39.27	102	49 	19 	76    	6.37159 
INFO:gp:103	79    	0.808014	103	0.858513	0.548678	79    	0.0803144	41.52	103	48 	27 	79    	4.04594 
INFO:gp:104	80    	0.791639	104	0.858513	0.452643	80    	0.0885482	42.48	104	49 	27 	80    	4.11699 
INFO:gp:105	78    	0.797735	105	0.858513	0.357911	78    	0.0913283	42.94	105	51 	4  	78    	5.54043 
INFO:gp:106	83    	0.770742	106	0.858513	0.368405	83    	0.115831 	44.65	106	51 	31 	83    	3.54507 
INFO:gp:107	77    	0.784245	107	0.858513	0.552925	77    	0.0862619	45.7 	107	50 	23 	77    	4.2107  
INFO:gp:108	71    	0.796826	108	0.858513	0.481449	71    	0.0989324	46.01	108	50 	23 	71    	4.47324 
INFO:gp:109	79    	0.778376	109	0.858513	0.466554	79    	0.104364 	47.62	109	56 	32 	79    	3.64905 
