INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg 	gen	max	min	nevals	std    
0  	100   	0.233167	0  	0.437467	0.10428	100   	0.0832915	5.82	0  	7  	3  	100   	1.63328
INFO:gp:1  	76    	0.33635 	1  	0.457582	0.146804	76    	0.0614705	6.09	1  	11 	3  	76    	1.65587
INFO:gp:2  	75    	0.39241 	2  	0.516732	0.243474	75    	0.0537815	6.6 	2  	12 	3  	75    	1.44914
INFO:gp:3  	73    	0.426198	3  	0.533523	0.200571	73    	0.0618671	7.41	3  	13 	3  	73    	1.34978
INFO:gp:4  	74    	0.46142 	4  	0.551593	0.296466	74    	0.0557352	7.92	4  	13 	5  	74    	1.75886
INFO:gp:5  	77    	0.471218	5  	0.590677	0.24623 	77    	0.0616896	7.96	5  	13 	5  	77    	2.13035
INFO:gp:6  	78    	0.485904	6  	0.590677	0.231232	78    	0.0687907	7.52	6  	13 	5  	78    	2.03706
INFO:gp:7  	80    	0.511022	7  	0.609459	0.289794	80    	0.0720577	7.41	7  	12 	5  	80    	1.5172 
INFO:gp:8  	74    	0.522219	8  	0.625772	0.243891	74    	0.0812958	7.05	8  	11 	5  	74    	1.41686
INFO:gp:9  	77    	0.539177	9  	0.625772	0.319665	77    	0.0695266	6.45	9  	10 	5  	77    	1.47902
INFO:gp:10 	72    	0.54489 	10 	0.630701	0.256631	72    	0.0802138	6.11	10 	9  	5  	72    	1.35569
INFO:gp:11 	72    	0.561649	11 	0.662836	0.386086	72    	0.068377 	6.01	11 	11 	4  	72    	1.19578
INFO:gp:12 	74    	0.566143	12 	0.678828	0.215573	74    	0.0810278	6.66	12 	11 	5  	74    	1.56346
INFO:gp:13 	85    	0.580587	13 	0.679418	0.326281	85    	0.0699521	6.85	13 	13 	5  	85    	1.37386
INFO:gp:14 	76    	0.587224	14 	0.719001	0.268345	76    	0.0807626	7.63	14 	12 	5  	76    	2.05258
INFO:gp:15 	70    	0.60194 	15 	0.719001	0.281028	70    	0.0842711	8.15	15 	17 	5  	70    	2.42642
INFO:gp:16 	80    	0.609411	16 	0.719001	0.328637	80    	0.0845316	7.95	16 	17 	5  	80    	2.4995 
INFO:gp:17 	75    	0.633784	17 	0.719671	0.351402	75    	0.084693 	7.65	17 	17 	5  	75    	2.22879
INFO:gp:18 	71    	0.672684	18 	0.719671	0.353801	71    	0.0709282	7.29	18 	17 	5  	71    	1.4717 
INFO:gp:19 	70    	0.671499	19 	0.719671	0.456268	70    	0.0732469	7.24	19 	9  	5  	70    	0.749933
INFO:gp:20 	75    	0.681444	20 	0.719837	0.440174	75    	0.0680536	7.38	20 	13 	5  	75    	0.95687 
INFO:gp:21 	73    	0.678904	21 	0.719837	0.473504	73    	0.0630803	7.05	21 	10 	5  	73    	0.779423
INFO:gp:22 	75    	0.687248	22 	0.719837	0.432636	75    	0.0664974	7.04	22 	9  	5  	75    	0.488262
