INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg 	gen	max	min	nevals	std    
0  	100   	0.221285	0  	0.399833	0.102866	100   	0.0671072	5.66	0  	7  	3  	100   	1.58884
INFO:gp:1  	66    	0.311487	1  	0.463184	0.106413	66    	0.0581892	5.94	1  	9  	3  	66    	1.59887
INFO:gp:2  	79    	0.368862	2  	0.518215	0.221284	79    	0.0561305	6.75	2  	13 	5  	79    	0.942072
INFO:gp:3  	67    	0.424626	3  	0.543706	0.279542	67    	0.0635073	6.83	3  	10 	5  	67    	0.938669
INFO:gp:4  	74    	0.486552	4  	0.61732 	0.307541	74    	0.0534314	6.62	4  	10 	5  	74    	0.880682
INFO:gp:5  	71    	0.513662	5  	0.61732 	0.363398	71    	0.052416 	6.76	5  	10 	4  	71    	1.17576 
INFO:gp:6  	77    	0.541039	6  	0.630776	0.255175	77    	0.06115  	6.77	6  	9  	5  	77    	0.881533
INFO:gp:7  	76    	0.549701	7  	0.630776	0.273581	76    	0.0744997	6.96	7  	12 	5  	76    	1.02879 
INFO:gp:8  	69    	0.584584	8  	0.630776	0.24301 	69    	0.064471 	7.13	8  	9  	6  	69    	0.461628
INFO:gp:9  	78    	0.605373	9  	0.630879	0.38903 	78    	0.0423501	7.08	9  	12 	6  	78    	0.658483
INFO:gp:10 	69    	0.595632	10 	0.631137	0.448178	69    	0.0486449	7.03	10 	12 	6  	69    	0.713512
INFO:gp:11 	69    	0.603532	11 	0.631199	0.496237	69    	0.0415976	7.12	11 	11 	5  	69    	0.752064
INFO:gp:12 	71    	0.602681	12 	0.65311 	0.397815	71    	0.0469333	7.24	12 	13 	6  	71    	1.01114 
INFO:gp:13 	69    	0.608046	13 	0.683091	0.451029	69    	0.0442138	7.37	13 	14 	6  	69    	1.25423 
INFO:gp:14 	77    	0.613154	14 	0.683091	0.422558	77    	0.0511139	8.25	14 	14 	4  	77    	2.30814 
INFO:gp:15 	72    	0.629153	15 	0.692888	0.451015	72    	0.0521473	9.4 	15 	14 	6  	72    	2.70924 
INFO:gp:16 	79    	0.629325	16 	0.692888	0.407412	79    	0.0598958	8.37	16 	19 	6  	79    	2.39856 
INFO:gp:17 	72    	0.648005	17 	0.69306 	0.459617	72    	0.0589408	9.42	17 	14 	5  	72    	2.90579 
INFO:gp:18 	85    	0.656685	18 	0.69306 	0.444731	85    	0.0537593	12.92	18 	21 	5  	85    	2.98221 
INFO:gp:19 	85    	0.65034 	19 	0.69306 	0.482576	85    	0.0566216	13.73	19 	17 	4  	85    	1.51562 
INFO:gp:20 	72    	0.654613	20 	0.693699	0.392646	72    	0.0649625	14   	20 	19 	6  	72    	1.2083  
INFO:gp:21 	73    	0.662187	21 	0.693725	0.443799	73    	0.0578134	14.04	21 	17 	11 	73    	0.677052
INFO:gp:22 	74    	0.653817	22 	0.693903	0.473902	74    	0.0631048	13.94	22 	20 	7  	74    	1.41294 
