INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                	                      size                     
   	      	-----------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std    	avg 	gen	max	min	nevals	std    
0  	100   	0.235953	0  	0.440489	0.106103	100   	0.07804	5.52	0  	7  	3  	100   	1.69399
INFO:gp:1  	77    	0.333061	1  	0.458707	0.128453	77    	0.0674818	5.95	1  	12 	3  	77    	1.73997
INFO:gp:2  	78    	0.38048 	2  	0.514041	0.129071	78    	0.0713962	6.13	2  	16 	3  	78    	2.53636
INFO:gp:3  	73    	0.429581	3  	0.573373	0.227028	73    	0.0681869	7.2 	3  	18 	3  	73    	3.40294
INFO:gp:4  	73    	0.474405	4  	0.64245 	0.313903	73    	0.0606823	6.98	4  	18 	3  	73    	3.2093 
INFO:gp:5  	75    	0.4958  	5  	0.643039	0.314137	75    	0.0605838	6.77	5  	14 	3  	75    	2.34885
INFO:gp:6  	80    	0.536842	6  	0.643039	0.345076	80    	0.0627968	7.58	6  	10 	3  	80    	1.41549
INFO:gp:7  	70    	0.577095	7  	0.675154	0.357915	70    	0.0679522	8.12	7  	13 	3  	70    	1.08885
INFO:gp:8  	76    	0.603055	8  	0.697212	0.423529	76    	0.0581978	7.88	8  	10 	3  	76    	0.82801
INFO:gp:9  	80    	0.612853	9  	0.697212	0.455747	80    	0.0573698	8.2 	9  	13 	3  	80    	1.25698
INFO:gp:10 	75    	0.634759	10 	0.697212	0.397478	75    	0.068154 	8.18	10 	13 	6  	75    	0.84119
INFO:gp:11 	70    	0.63912 	11 	0.697212	0.413685	70    	0.06504  	8.09	11 	13 	4  	70    	1.07791
INFO:gp:12 	72    	0.638566	12 	0.697815	0.475263	72    	0.0632582	8.14	12 	12 	6  	72    	0.848764
INFO:gp:13 	77    	0.644295	13 	0.697815	0.349643	77    	0.0678346	8.01	13 	10 	6  	77    	0.479479
INFO:gp:14 	77    	0.641998	14 	0.698538	0.405138	77    	0.0687612	8.21	14 	18 	6  	77    	1.20246 
INFO:gp:15 	77    	0.64672 	15 	0.698538	0.474316	77    	0.0556438	8.2 	15 	14 	6  	77    	1       
