INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.237044	0  	0.524723	0.0984325	1023  	0.0757569	4.7087	0  	7  	2  	1023  	1.43043
INFO:gp:1  	789   	0.330916	1  	0.553683	0.124503 	789   	0.0689816	4.77126	1  	13 	2  	789   	1.49043
INFO:gp:2  	768   	0.393385	2  	0.587408	0.155675 	768   	0.0684092	4.94526	2  	10 	2  	768   	1.54152
INFO:gp:3  	783   	0.434192	3  	0.611123	0.169814 	783   	0.0722222	4.91398	3  	11 	2  	783   	1.66806
INFO:gp:4  	746   	0.483186	4  	0.629744	0.212599 	746   	0.0675759	4.72532	4  	12 	2  	746   	1.72436
INFO:gp:5  	774   	0.515433	5  	0.662624	0.224039 	774   	0.0690108	4.72336	5  	12 	3  	774   	1.84033
INFO:gp:6  	776   	0.534885	6  	0.665304	0.241207 	776   	0.0728779	4.9042 	6  	13 	3  	776   	1.82644
INFO:gp:7  	775   	0.557779	7  	0.683907	0.216444 	775   	0.0744195	5.00782	7  	9  	2  	775   	1.76806
INFO:gp:8  	807   	0.583402	8  	0.718743	0.232496 	807   	0.07603  	5.14761	8  	11 	2  	807   	1.72575
INFO:gp:9  	768   	0.610637	9  	0.724103	0.196458 	768   	0.0748646	5.47898	9  	12 	3  	768   	1.76068
INFO:gp:10 	757   	0.634289	10 	0.758715	0.288943 	757   	0.0686164	5.70577	10 	11 	3  	757   	1.74314
INFO:gp:11 	770   	0.65793 	11 	0.759052	0.327108 	770   	0.0678201	6.37634	11 	12 	3  	770   	1.63422
INFO:gp:12 	769   	0.681964	12 	0.778618	0.357313 	769   	0.0641698	6.7478 	12 	13 	3  	769   	1.55163
INFO:gp:13 	779   	0.696716	13 	0.779343	0.424778 	779   	0.065479 	7.11828	13 	13 	3  	779   	1.76384
INFO:gp:14 	793   	0.717479	14 	0.779346	0.418855 	793   	0.0593827	7.93646	14 	15 	2  	793   	1.89377
INFO:gp:15 	772   	0.730264	15 	0.779346	0.473903 	772   	0.0562776	8.31672	15 	17 	3  	772   	2.02704
INFO:gp:16 	802   	0.722558	16 	0.780073	0.428816 	802   	0.0646626	8.14956	16 	19 	3  	802   	2.27488
INFO:gp:17 	786   	0.73178 	17 	0.788201	0.419806 	786   	0.0647325	8.14272	17 	17 	3  	786   	2.01489
INFO:gp:18 	760   	0.750182	18 	0.788201	0.443131 	760   	0.0525148	8.95992	18 	17 	3  	760   	1.54229
INFO:gp:19 	794   	0.750065	19 	0.801567	0.451651 	794   	0.0511697	9.27664	19 	17 	3  	794   	1.6775 
INFO:gp:20 	759   	0.751384	20 	0.801627	0.498373 	759   	0.0531649	9.56207	20 	17 	3  	759   	1.88367
INFO:gp:21 	790   	0.745449	21 	0.801694	0.461967 	790   	0.0613718	9.27664	21 	17 	3  	790   	1.81896
INFO:gp:22 	721   	0.754608	22 	0.802095	0.453177 	721   	0.0558173	9.43695	22 	17 	3  	721   	1.8774 
INFO:gp:23 	778   	0.75841 	23 	0.821772	0.44593  	778   	0.0617271	9.43988	23 	19 	3  	778   	1.78788
INFO:gp:24 	794   	0.761109	24 	0.832659	0.431938 	794   	0.0600998	9.2913 	24 	16 	3  	794   	1.47153
INFO:gp:25 	799   	0.76351 	25 	0.832659	0.373706 	799   	0.0614091	9.74682	25 	16 	3  	799   	1.6196 
INFO:gp:26 	752   	0.770346	26 	0.832696	0.519976 	752   	0.059919 	10.7107	26 	19 	4  	752   	2.05172
INFO:gp:27 	795   	0.769159	27 	0.833422	0.449141 	795   	0.0670153	11.4037	27 	19 	5  	795   	2.10206
INFO:gp:28 	778   	0.778497	28 	0.833518	0.483603 	778   	0.0676213	11.4663	28 	19 	4  	778   	2.19984
INFO:gp:29 	751   	0.782362	29 	0.833575	0.482762 	751   	0.0680208	10.4536	29 	19 	5  	751   	2.32239
INFO:gp:30 	784   	0.779939	30 	0.833637	0.440531 	784   	0.0759565	9.99022	30 	19 	5  	784   	2.62701
INFO:gp:31 	788   	0.778211	31 	0.833637	0.3678   	788   	0.0801031	11.1476	31 	21 	5  	788   	2.83097
INFO:gp:32 	742   	0.785995	32 	0.833652	0.396878 	742   	0.0727713	12.2063	32 	21 	5  	742   	2.44219
INFO:gp:33 	779   	0.782745	33 	0.853131	0.409221 	779   	0.0779292	12.1603	33 	23 	6  	779   	2.52528
INFO:gp:34 	748   	0.784487	34 	0.854194	0.50412  	748   	0.075303 	11.956 	34 	23 	5  	748   	2.7611 
INFO:gp:35 	787   	0.783326	35 	0.854194	0.478691 	787   	0.0780126	12.5738	35 	23 	4  	787   	2.59298
INFO:gp:36 	779   	0.785709	36 	0.854271	0.413578 	779   	0.0769353	13.4291	36 	26 	4  	779   	2.45599
INFO:gp:37 	786   	0.788068	37 	0.854271	0.478379 	786   	0.0782561	13.8573	37 	26 	5  	786   	2.7636 
INFO:gp:38 	776   	0.792395	38 	0.854338	0.472743 	776   	0.0831469	13.2786	38 	25 	6  	776   	2.67379
INFO:gp:39 	772   	0.79637 	39 	0.854347	0.465332 	772   	0.0820536	12.6813	39 	24 	6  	772   	2.6629 
INFO:gp:40 	765   	0.79853 	40 	0.854478	0.416741 	765   	0.0820476	12.0342	40 	26 	6  	765   	2.75947
INFO:gp:41 	773   	0.795116	41 	0.854478	0.470404 	773   	0.0815119	11.0938	41 	21 	5  	773   	2.74405
INFO:gp:42 	790   	0.798903	42 	0.854498	0.372616 	790   	0.0827976	11.52  	42 	25 	5  	790   	2.5579 
INFO:gp:43 	775   	0.801143	43 	0.855021	0.453375 	775   	0.0812605	12.4673	43 	21 	6  	775   	2.23774
INFO:gp:44 	785   	0.79724 	44 	0.855021	0.49815  	785   	0.0807418	12.6784	44 	22 	6  	785   	2.15508
INFO:gp:45 	772   	0.801123	45 	0.855021	0.444193 	772   	0.0813042	12.7742	45 	23 	6  	772   	2.26125
INFO:gp:46 	794   	0.797227	46 	0.855221	0.352639 	794   	0.0821634	12.7615	46 	23 	5  	794   	2.2761 
INFO:gp:47 	786   	0.790229	47 	0.855221	0.401242 	786   	0.0867637	12.8407	47 	23 	5  	786   	2.32565
INFO:gp:48 	771   	0.792546	48 	0.855864	0.472723 	771   	0.0822166	13.1857	48 	25 	6  	771   	2.63904
INFO:gp:49 	779   	0.785756	49 	0.855864	0.440788 	779   	0.0872154	13.0332	49 	28 	6  	779   	2.59951
INFO:gp:50 	789   	0.791456	50 	0.869165	0.46683  	789   	0.0829289	12.7937	50 	25 	6  	789   	2.4748 
INFO:gp:51 	779   	0.795074	51 	0.869165	0.431594 	779   	0.0862566	12.9511	51 	23 	6  	779   	2.57242
INFO:gp:52 	783   	0.795455	52 	0.869165	0.452707 	783   	0.083691 	13.2053	52 	23 	6  	783   	2.65716
INFO:gp:53 	769   	0.799814	53 	0.888945	0.416026 	769   	0.0841222	13.1085	53 	25 	6  	769   	2.46955
INFO:gp:54 	763   	0.802158	54 	0.889096	0.478719 	763   	0.0834854	12.7898	54 	23 	5  	763   	2.31021
INFO:gp:55 	762   	0.807067	55 	0.889096	0.440138 	762   	0.0861185	13.0371	55 	27 	5  	762   	2.19182
INFO:gp:56 	772   	0.822758	56 	0.889189	0.456359 	772   	0.0824625	12.9756	56 	23 	4  	772   	2.04791
INFO:gp:57 	797   	0.82459 	57 	0.889206	0.455003 	797   	0.0897407	12.9746	57 	25 	5  	797   	1.79315
INFO:gp:58 	761   	0.827472	58 	0.889213	0.483261 	761   	0.0872847	13.0186	58 	23 	5  	761   	1.90247
INFO:gp:59 	772   	0.829718	59 	0.889526	0.505788 	772   	0.0890874	13.0557	59 	21 	5  	772   	1.81711
INFO:gp:60 	771   	0.83229 	60 	0.889532	0.514465 	771   	0.087307 	13.2297	60 	21 	5  	771   	2.05616
INFO:gp:61 	790   	0.826436	61 	0.88956 	0.395561 	790   	0.0920106	13.436 	61 	23 	5  	790   	2.26054
INFO:gp:62 	777   	0.825259	62 	0.88956 	0.424012 	777   	0.0929754	13.7488	62 	23 	5  	777   	2.27538
INFO:gp:63 	780   	0.825401	63 	0.88956 	0.443931 	780   	0.0913162	14.5083	63 	25 	5  	780   	2.17101
INFO:gp:64 	759   	0.82646 	64 	0.889755	0.484973 	759   	0.0932277	14.8827	64 	25 	5  	759   	2.03535
INFO:gp:65 	764   	0.829015	65 	0.889755	0.451232 	764   	0.0939426	14.9795	65 	25 	5  	764   	1.72741
INFO:gp:66 	766   	0.826729	66 	0.889755	0.40118  	766   	0.093283 	15.0342	66 	25 	5  	766   	1.82836
INFO:gp:67 	800   	0.82421 	67 	0.889755	0.461724 	800   	0.0910776	15.1007	67 	25 	5  	800   	1.7677 
INFO:gp:68 	766   	0.822982	68 	0.889782	0.447909 	766   	0.0959702	15.0997	68 	27 	4  	766   	1.93639
INFO:gp:69 	794   	0.82682 	69 	0.889782	0.499128 	794   	0.0921477	15.1144	69 	27 	5  	794   	2.12411
INFO:gp:70 	802   	0.824796	70 	0.889782	0.461307 	802   	0.090642 	15.1965	70 	27 	5  	802   	1.91855
INFO:gp:71 	770   	0.82919 	71 	0.889782	0.443853 	770   	0.0906822	15.3881	71 	25 	5  	770   	1.72977
INFO:gp:72 	776   	0.825444	72 	0.889782	0.430178 	776   	0.0937562	15.8817	72 	25 	5  	776   	1.99528
INFO:gp:73 	773   	0.829371	73 	0.889782	0.386558 	773   	0.0906863	16.4888	73 	27 	5  	773   	2.09258
INFO:gp:74 	772   	0.825263	74 	0.889782	0.46413  	772   	0.0919947	16.7361	74 	29 	5  	772   	1.84882
INFO:gp:75 	791   	0.82537 	75 	0.889782	0.398772 	791   	0.0933053	16.7634	75 	29 	5  	791   	2.14862
INFO:gp:76 	769   	0.829536	76 	0.889782	0.438747 	769   	0.0898239	16.7429	76 	29 	5  	769   	2.1583 
INFO:gp:77 	798   	0.826564	77 	0.889782	0.310436 	798   	0.0936628	16.7038	77 	29 	5  	798   	2.28542
INFO:gp:78 	761   	0.826096	78 	0.889782	0.416162 	761   	0.094404 	16.7967	78 	29 	5  	761   	2.00432
INFO:gp:79 	774   	0.822061	79 	0.889782	0.417884 	774   	0.0962119	16.781 	79 	31 	5  	774   	2.46955
INFO:gp:80 	764   	0.83099 	80 	0.889782	0.418826 	764   	0.0905315	16.8289	80 	29 	4  	764   	2.06423
INFO:gp:81 	740   	0.829201	81 	0.889782	0.436387 	740   	0.0922016	16.8182	81 	29 	5  	740   	2.16932
INFO:gp:82 	785   	0.825016	82 	0.889782	0.438302 	785   	0.09469  	16.8935	82 	29 	5  	785   	1.89906
INFO:gp:83 	760   	0.830325	83 	0.889782	0.487353 	760   	0.0904157	16.784 	83 	29 	5  	760   	2.27126
INFO:gp:84 	763   	0.828494	84 	0.889782	0.400927 	763   	0.0929128	16.8641	84 	29 	5  	763   	2.12054
INFO:gp:85 	757   	0.827951	85 	0.889782	0.4519   	757   	0.0885568	16.8876	85 	29 	5  	757   	1.92632
INFO:gp:86 	773   	0.827096	86 	0.889787	0.408131 	773   	0.0915912	16.9511	86 	29 	5  	773   	2.17233
INFO:gp:87 	754   	0.823773	87 	0.89028 	0.363251 	754   	0.0961533	16.8778	87 	29 	5  	754   	2.35046
INFO:gp:88 	786   	0.827384	88 	0.89028 	0.383138 	786   	0.0910722	16.9374	88 	29 	5  	786   	2.1607 
INFO:gp:89 	773   	0.829075	89 	0.89028 	0.424098 	773   	0.0914976	17.0459	89 	29 	5  	773   	2.04658
INFO:gp:90 	779   	0.828076	90 	0.890284	0.405736 	779   	0.0929005	17.1984	90 	30 	5  	779   	2.22593
INFO:gp:91 	765   	0.8347  	91 	0.890284	0.437803 	765   	0.0876245	17.4536	91 	30 	5  	765   	2.31986
INFO:gp:92 	773   	0.826248	92 	0.890284	0.467034 	773   	0.0916891	17.2678	92 	30 	5  	773   	2.33102
INFO:gp:93 	782   	0.82716 	93 	0.890284	0.346264 	782   	0.0913745	17.1603	93 	30 	6  	782   	2.17596
INFO:gp:94 	790   	0.824716	94 	0.890284	0.450575 	790   	0.0936176	17.2854	94 	30 	6  	790   	2.41141
INFO:gp:95 	784   	0.825247	95 	0.890284	0.352471 	784   	0.0940556	17.6422	95 	30 	5  	784   	2.25133
INFO:gp:96 	779   	0.823482	96 	0.890284	0.422855 	779   	0.0948197	17.9022	96 	30 	6  	779   	2.3464 
INFO:gp:97 	774   	0.82812 	97 	0.890284	0.405289 	774   	0.0897732	17.9071	97 	30 	6  	774   	2.48754
INFO:gp:98 	755   	0.825762	98 	0.890284	0.434374 	755   	0.0893942	17.9062	98 	30 	6  	755   	2.21189
INFO:gp:99 	780   	0.828433	99 	0.890284	0.41948  	780   	0.0940467	17.8895	99 	33 	6  	780   	2.31923
INFO:gp:100	784   	0.820789	100	0.890284	0.374254 	784   	0.0945391	17.8485	100	33 	6  	784   	2.34167
INFO:gp:101	796   	0.823676	101	0.890284	0.295789 	796   	0.0921172	17.915 	101	33 	6  	796   	2.23532
INFO:gp:102	785   	0.822709	102	0.890284	0.424754 	785   	0.0955759	17.9081	102	33 	6  	785   	2.18351
INFO:gp:103	799   	0.822097	103	0.890284	0.414645 	799   	0.0933642	17.8133	103	33 	6  	799   	2.47556
INFO:gp:104	756   	0.826503	104	0.890284	0.363193 	756   	0.0922602	17.9277	104	33 	6  	756   	2.19139
INFO:gp:105	767   	0.833332	105	0.890284	0.438467 	767   	0.0866882	17.9189	105	33 	6  	767   	2.14304
INFO:gp:106	769   	0.823949	106	0.890284	0.411722 	769   	0.0937731	17.9179	106	33 	6  	769   	2.03323
INFO:gp:107	771   	0.829565	107	0.890284	0.438686 	771   	0.086128 	17.9326	107	33 	6  	771   	1.9591 
INFO:gp:108	792   	0.824848	108	0.890284	0.446051 	792   	0.0917609	17.9355	108	33 	6  	792   	2.0696 
INFO:gp:109	767   	0.826783	109	0.890284	0.469943 	767   	0.090193 	17.9453	109	33 	6  	767   	1.91739
INFO:gp:110	791   	0.825838	110	0.890284	0.395689 	791   	0.0908888	17.9032	110	33 	6  	791   	1.99643
INFO:gp:111	794   	0.823554	111	0.890284	0.505638 	794   	0.0926415	17.9853	111	33 	6  	794   	2.17126
INFO:gp:112	787   	0.824567	112	0.890284	0.448367 	787   	0.0918238	17.9453	112	33 	6  	787   	2.01435
INFO:gp:113	754   	0.823053	113	0.890284	0.406651 	754   	0.093218 	17.9277	113	33 	6  	754   	2.20296
INFO:gp:114	780   	0.825825	114	0.890284	0.415558 	780   	0.0945616	17.9482	114	33 	6  	780   	2.13115
INFO:gp:115	757   	0.82971 	115	0.890284	0.451902 	757   	0.0888701	18.0059	115	33 	6  	757   	1.96598
INFO:gp:116	765   	0.831758	116	0.890284	0.462781 	765   	0.0868239	18.0723	116	33 	6  	765   	1.74264
INFO:gp:117	786   	0.829502	117	0.890284	0.505203 	786   	0.0882454	17.9394	117	33 	6  	786   	2.20154
INFO:gp:118	786   	0.823696	118	0.890284	0.437945 	786   	0.0941138	18.0665	118	33 	6  	786   	2.07048
INFO:gp:119	788   	0.820245	119	0.890284	0.467114 	788   	0.0943197	17.9081	119	33 	6  	788   	2.30672
INFO:gp:120	771   	0.827681	120	0.890284	0.466855 	771   	0.0911408	17.957 	120	33 	6  	771   	2.18143
INFO:gp:121	769   	0.826039	121	0.890284	0.474992 	769   	0.0919857	18.0499	121	33 	6  	769   	2.13532
INFO:gp:122	755   	0.826395	122	0.890284	0.457842 	755   	0.0908623	17.9726	122	33 	6  	755   	1.95182
INFO:gp:123	778   	0.83325 	123	0.890284	0.468867 	778   	0.0876243	17.9707	123	33 	6  	778   	2.20838
INFO:gp:124	786   	0.830579	124	0.890284	0.422999 	786   	0.0901791	17.9413	124	33 	6  	786   	2.08436
INFO:gp:125	752   	0.830467	125	0.890284	0.371109 	752   	0.0893407	17.9785	125	33 	6  	752   	2.38674
INFO:gp:126	788   	0.826392	126	0.890284	0.424751 	788   	0.0900665	17.958 	126	33 	6  	788   	2.18481
INFO:gp:127	792   	0.821453	127	0.890284	0.501413 	792   	0.0914296	17.9355	127	33 	6  	792   	2.11492
INFO:gp:128	773   	0.82393 	128	0.890284	0.448237 	773   	0.0966219	17.9971	128	33 	6  	773   	2.12305
INFO:gp:129	804   	0.825996	129	0.890284	0.458128 	804   	0.0914966	18.0196	129	33 	6  	804   	2.0082 
INFO:gp:130	778   	0.826801	130	0.890284	0.45345  	778   	0.0898264	18.0049	130	33 	6  	778   	2.15458
INFO:gp:131	749   	0.82511 	131	0.890284	0.42721  	749   	0.0906555	17.871 	131	33 	6  	749   	2.18744
INFO:gp:132	766   	0.825918	132	0.890284	0.444404 	766   	0.0911049	18     	132	33 	6  	766   	2.14663
INFO:gp:133	774   	0.831193	133	0.890284	0.453403 	774   	0.0866403	18.0235	133	33 	6  	774   	2.28074
INFO:gp:134	774   	0.823952	134	0.890284	0.405928 	774   	0.0955764	18.0577	134	33 	6  	774   	1.89551
INFO:gp:135	769   	0.826654	135	0.890284	0.438112 	769   	0.0893992	18.0391	135	33 	6  	769   	1.95112
INFO:gp:136	770   	0.828655	136	0.890284	0.441686 	770   	0.0893933	18.0166	136	33 	6  	770   	2.36641
INFO:gp:137	754   	0.83176 	137	0.890284	0.395264 	754   	0.088781 	18.0098	137	33 	6  	754   	1.89301
INFO:gp:138	778   	0.829572	138	0.890284	0.454143 	778   	0.0880091	18.0362	138	33 	6  	778   	1.86013
INFO:gp:139	783   	0.828388	139	0.890284	0.426324 	783   	0.0925975	18.0176	139	33 	6  	783   	2.19474
INFO:gp:140	777   	0.820722	140	0.890284	0.403003 	777   	0.0951815	17.9687	140	33 	6  	777   	2.18029
INFO:gp:141	781   	0.824227	141	0.890284	0.292795 	781   	0.0945454	18.0196	141	33 	6  	781   	1.96091
INFO:gp:142	780   	0.823144	142	0.890284	0.406394 	780   	0.0954467	18.0137	142	33 	6  	780   	1.99946
INFO:gp:143	794   	0.820714	143	0.890284	0.414364 	794   	0.0940641	17.9697	143	33 	6  	794   	2.15845
INFO:gp:144	781   	0.820121	144	0.890284	0.445651 	781   	0.0943065	18.0293	144	33 	6  	781   	2.09807
INFO:gp:145	780   	0.827434	145	0.890284	0.46199  	780   	0.089531 	17.9736	145	33 	6  	780   	2.42549
INFO:gp:146	775   	0.821754	146	0.890284	0.423033 	775   	0.0960005	18.0332	146	33 	6  	775   	2.16767
INFO:gp:147	766   	0.825146	147	0.890284	0.45581  	766   	0.0920536	18.0244	147	33 	6  	766   	2.31075
INFO:gp:148	751   	0.830604	148	0.890284	0.402407 	751   	0.0899538	18.0342	148	33 	6  	751   	2.17149
INFO:gp:149	786   	0.822818	149	0.890284	0.428169 	786   	0.0968626	17.9726	149	33 	6  	786   	2.30033
INFO:gp:150	783   	0.824663	150	0.890284	0.457561 	783   	0.0909863	17.9247	150	33 	6  	783   	2.32484
INFO:gp:151	779   	0.828737	151	0.890284	0.41059  	779   	0.0908968	18.0264	151	33 	6  	779   	2.19666
INFO:gp:152	790   	0.827951	152	0.890284	0.445603 	790   	0.0897081	18.0078	152	33 	5  	790   	2.16385
INFO:gp:153	771   	0.821449	153	0.890342	0.441417 	771   	0.0933898	17.9707	153	33 	6  	771   	2.08638
INFO:gp:154	762   	0.823864	154	0.890342	0.422757 	762   	0.0956665	18.0088	154	33 	6  	762   	1.99239
INFO:gp:155	764   	0.826839	155	0.890342	0.444757 	764   	0.0937785	17.999 	155	33 	6  	764   	2.12535
INFO:gp:156	765   	0.826025	156	0.890342	0.460241 	765   	0.093219 	17.913 	156	33 	6  	765   	1.95183
INFO:gp:157	779   	0.82876 	157	0.890345	0.33801  	779   	0.0951   	17.6979	157	33 	6  	779   	2.1047 
INFO:gp:158	803   	0.824209	158	0.890345	0.383186 	803   	0.0927888	17.39  	158	33 	6  	803   	1.97822
INFO:gp:159	792   	0.826392	159	0.890345	0.467821 	792   	0.090867 	17.3001	159	33 	5  	792   	2.10823
INFO:gp:160	773   	0.82976 	160	0.890345	0.363001 	773   	0.0908636	17.5279	160	33 	6  	773   	2.13406
INFO:gp:161	768   	0.832396	161	0.890345	0.37677  	768   	0.0881016	18.0938	161	33 	9  	768   	2.15004
INFO:gp:162	760   	0.821384	162	0.890348	0.411552 	760   	0.096981 	19.1486	162	33 	5  	760   	2.20357
INFO:gp:163	762   	0.823997	163	0.890348	0.47352  	762   	0.0928903	19.7498	163	33 	6  	762   	1.88888
INFO:gp:164	781   	0.822127	164	0.890348	0.473099 	781   	0.0924746	19.8612	164	33 	6  	781   	2.1118 
INFO:gp:165	751   	0.827734	165	0.890348	0.382191 	751   	0.0908999	19.998 	165	33 	6  	751   	1.81554
INFO:gp:166	768   	0.821455	166	0.890348	0.355232 	768   	0.0932709	20.1652	166	33 	11 	768   	1.98062
INFO:gp:167	787   	0.821387	167	0.890348	0.41928  	787   	0.095393 	20.4545	167	33 	11 	787   	1.96689
INFO:gp:168	765   	0.827052	168	0.890348	0.346378 	765   	0.092236 	20.6031	168	33 	6  	765   	2.07364
INFO:gp:169	778   	0.817712	169	0.890348	0.419424 	778   	0.0947873	20.7214	169	33 	6  	778   	2.16648
INFO:gp:170	768   	0.826591	170	0.890348	0.441379 	768   	0.0918491	20.7361	170	33 	6  	768   	2.1717 
INFO:gp:171	789   	0.826072	171	0.890348	0.472372 	789   	0.0902914	20.782 	171	33 	6  	789   	2.06597
INFO:gp:172	795   	0.824048	172	0.890363	0.496764 	795   	0.0921968	20.869 	172	33 	6  	795   	1.86191
INFO:gp:173	788   	0.822803	173	0.890363	0.385834 	788   	0.0961452	20.8847	173	33 	11 	788   	1.88589
INFO:gp:174	777   	0.825054	174	0.890363	0.453335 	777   	0.094923 	20.8377	174	33 	11 	777   	1.92404
INFO:gp:175	765   	0.827442	175	0.890504	0.394372 	765   	0.0928503	20.9413	175	33 	6  	765   	2.11924
INFO:gp:176	770   	0.823396	176	0.890504	0.344413 	770   	0.0955029	21.0137	176	33 	6  	770   	2.27696
INFO:gp:177	761   	0.825748	177	0.890518	0.445885 	761   	0.0926206	21.0391	177	32 	11 	761   	2.33977
INFO:gp:178	792   	0.830265	178	0.890518	0.454961 	792   	0.0888059	20.741 	178	30 	11 	792   	2.19088
INFO:gp:179	792   	0.82406 	179	0.890529	0.432233 	792   	0.092401 	20.4399	179	30 	8  	792   	1.90796
INFO:gp:180	781   	0.824719	180	0.890529	0.427191 	781   	0.0913072	20.6686	180	31 	11 	781   	1.90145
INFO:gp:181	777   	0.822842	181	0.890529	0.384373 	777   	0.0915483	20.8475	181	31 	6  	777   	1.87075
INFO:gp:182	761   	0.829569	182	0.890529	0.477217 	761   	0.0875455	20.8514	182	33 	6  	761   	1.97428
INFO:gp:183	789   	0.825787	183	0.890529	0.410283 	789   	0.0880289	21.0411	183	31 	6  	789   	2.41822
INFO:gp:184	778   	0.827345	184	0.890535	0.455618 	778   	0.0870751	21.6256	184	34 	6  	778   	2.41808
INFO:gp:185	756   	0.828846	185	0.890535	0.427654 	756   	0.0856811	22.3558	185	34 	6  	756   	2.45795
INFO:gp:186	771   	0.832673	186	0.890535	0.472092 	771   	0.084635 	22.9277	186	34 	6  	771   	2.23161
INFO:gp:187	772   	0.830483	187	0.890535	0.50421  	772   	0.0839761	23.4848	187	34 	6  	772   	2.7252 
INFO:gp:188	757   	0.831342	188	0.890537	0.458851 	757   	0.0845057	24.3441	188	37 	6  	757   	2.66964
INFO:gp:189	757   	0.832991	189	0.890537	0.478636 	757   	0.0863259	25.2893	189	37 	6  	757   	2.58811
INFO:gp:190	806   	0.819172	190	0.890537	0.455953 	806   	0.0929405	25.7185	190	38 	6  	806   	2.45486
INFO:gp:191	784   	0.826827	191	0.890537	0.4458   	784   	0.087721 	25.9765	191	38 	6  	784   	2.48818
INFO:gp:192	771   	0.82697 	192	0.890539	0.407761 	771   	0.0903093	26.5044	192	38 	6  	771   	2.31146
INFO:gp:193	783   	0.828913	193	0.890539	0.459088 	783   	0.0856756	27.1857	193	39 	14 	783   	2.52392
INFO:gp:194	762   	0.835335	194	0.890539	0.372379 	762   	0.0862121	27.654 	194	40 	5  	762   	2.42331
INFO:gp:195	794   	0.82906 	195	0.890541	0.466381 	794   	0.0863551	28.1144	195	42 	12 	794   	2.69165
INFO:gp:196	745   	0.830928	196	0.890541	0.489622 	745   	0.0847183	28.9638	196	44 	9  	745   	2.75554
INFO:gp:197	767   	0.82947 	197	0.890543	0.47818  	767   	0.0840584	29.9971	197	40 	7  	767   	2.47509
INFO:gp:198	766   	0.833422	198	0.890543	0.503423 	766   	0.0832156	30.4487	198	45 	17 	766   	2.49986
