INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.236273	0  	0.51417	0.099332	1023  	0.0731553	4.61388	0  	7  	2  	1023  	1.45526
INFO:gp:1  	771   	0.32564 	1  	0.562629	0.12199 	771   	0.0721534	4.6129 	1  	12 	2  	771   	1.48985
INFO:gp:2  	762   	0.391463	2  	0.562629	0.167874	762   	0.0651935	4.67155	2  	12 	2  	762   	1.62569
INFO:gp:3  	774   	0.430619	3  	0.582647	0.125205	774   	0.0676576	4.48974	3  	12 	3  	774   	1.65961
INFO:gp:4  	762   	0.469266	4  	0.646792	0.20194 	762   	0.0676562	4.20332	4  	11 	3  	762   	1.61364
INFO:gp:5  	760   	0.503032	5  	0.648448	0.175779	760   	0.0689884	3.86804	5  	10 	3  	760   	1.37822
INFO:gp:6  	779   	0.529546	6  	0.669424	0.191835	779   	0.0682358	3.73314	6  	9  	2  	779   	1.1774 
INFO:gp:7  	785   	0.550506	7  	0.671035	0.234425	785   	0.0682417	3.74194	7  	10 	2  	785   	1.10799
INFO:gp:8  	804   	0.573678	8  	0.685263	0.262137	804   	0.0694049	3.68035	8  	13 	3  	804   	1.07057
INFO:gp:9  	768   	0.599294	9  	0.690065	0.331095	768   	0.0672208	3.54448	9  	13 	3  	768   	0.990535
INFO:gp:10 	789   	0.61771 	10 	0.703362	0.324936	789   	0.0665601	3.58065	10 	9  	3  	789   	0.959134
INFO:gp:11 	768   	0.625871	11 	0.712393	0.307404	768   	0.0660576	3.65396	11 	9  	3  	768   	0.866167
INFO:gp:12 	773   	0.631656	12 	0.719085	0.363698	773   	0.0665432	3.79668	12 	10 	3  	773   	1.00132 
INFO:gp:13 	787   	0.636891	13 	0.736846	0.346886	787   	0.0713634	3.84555	13 	10 	3  	787   	1.09723 
INFO:gp:14 	765   	0.653152	14 	0.736846	0.394589	765   	0.065015 	3.80645	14 	11 	3  	765   	1.03397 
INFO:gp:15 	784   	0.658237	15 	0.748789	0.347967	784   	0.0719785	3.63832	15 	8  	3  	784   	0.933873
INFO:gp:16 	809   	0.670494	16 	0.756944	0.405873	809   	0.0716513	3.53666	16 	9  	3  	809   	0.930831
INFO:gp:17 	774   	0.688009	17 	0.770407	0.353314	774   	0.074196 	3.43597	17 	8  	3  	774   	0.83751 
INFO:gp:18 	754   	0.706784	18 	0.770407	0.421246	754   	0.0661969	3.41153	18 	8  	3  	754   	0.757977
INFO:gp:19 	789   	0.712958	19 	0.776888	0.386844	789   	0.0693417	3.71261	19 	9  	3  	789   	0.96645 
INFO:gp:20 	763   	0.718116	20 	0.776945	0.412183	763   	0.0724673	3.69501	20 	10 	3  	763   	1.00674 
INFO:gp:21 	778   	0.721631	21 	0.789045	0.324521	778   	0.0724261	4.08309	21 	10 	3  	778   	1.18805 
INFO:gp:22 	779   	0.714239	22 	0.810316	0.377747	779   	0.0845345	4.53568	22 	11 	3  	779   	1.23268 
INFO:gp:23 	783   	0.726426	23 	0.810316	0.386409	783   	0.0769452	4.8563 	23 	9  	3  	783   	1.26146 
INFO:gp:24 	756   	0.734358	24 	0.81067 	0.388568	756   	0.0708594	5.36168	24 	11 	3  	756   	1.23178 
INFO:gp:25 	737   	0.741421	25 	0.811253	0.385545	737   	0.0740145	5.13783	25 	11 	3  	737   	1.39106 
INFO:gp:26 	749   	0.742858	26 	0.812178	0.347835	749   	0.0826215	5.20137	26 	12 	3  	749   	1.47727 
INFO:gp:27 	787   	0.760517	27 	0.812178	0.448859	787   	0.0725252	5.9521 	27 	12 	3  	787   	1.63439 
INFO:gp:28 	751   	0.765053	28 	0.812572	0.468532	751   	0.0740946	6.174  	28 	14 	3  	751   	2.09198 
INFO:gp:29 	802   	0.766465	29 	0.812935	0.39193 	802   	0.0762347	4.99707	29 	13 	3  	802   	2.21101 
INFO:gp:30 	792   	0.76253 	30 	0.812935	0.431312	792   	0.0768866	4.8651 	30 	12 	3  	792   	1.85532 
INFO:gp:31 	792   	0.764065	31 	0.813132	0.447424	792   	0.0768618	5.94135	31 	14 	3  	792   	1.72568 
INFO:gp:32 	775   	0.770319	32 	0.828176	0.441494	775   	0.0747471	7.07234	32 	13 	3  	775   	1.65755 
INFO:gp:33 	761   	0.76947 	33 	0.847414	0.422158	761   	0.0755976	8.0694 	33 	18 	3  	761   	1.70906 
INFO:gp:34 	766   	0.770526	34 	0.847414	0.444225	766   	0.0773348	8.34409	34 	15 	3  	766   	1.5185  
INFO:gp:35 	772   	0.76201 	35 	0.847414	0.410104	772   	0.0845679	7.8739 	35 	15 	3  	772   	1.60423 
INFO:gp:36 	766   	0.771811	36 	0.847414	0.348696	766   	0.0783122	7.28055	36 	13 	3  	766   	1.53247 
INFO:gp:37 	764   	0.773308	37 	0.847747	0.439542	764   	0.0831796	7.50635	37 	14 	3  	764   	1.65727 
INFO:gp:38 	765   	0.781057	38 	0.847747	0.407249	765   	0.0860469	8.26197	38 	15 	3  	765   	1.53225 
INFO:gp:39 	776   	0.784875	39 	0.847747	0.450383	776   	0.083051 	8.71848	39 	15 	3  	776   	1.12855 
INFO:gp:40 	770   	0.788045	40 	0.847787	0.363156	770   	0.0865615	8.8172 	40 	15 	3  	770   	0.996974
INFO:gp:41 	767   	0.787554	41 	0.84852 	0.437918	767   	0.0863361	8.88074	41 	16 	3  	767   	0.998264
INFO:gp:42 	800   	0.794517	42 	0.84852 	0.385746	800   	0.0827432	9.00587	42 	15 	3  	800   	0.999494
INFO:gp:43 	764   	0.796038	43 	0.84852 	0.426688	764   	0.0802776	9.16325	43 	16 	4  	764   	1.06382 
INFO:gp:44 	793   	0.790517	44 	0.84852 	0.409055	793   	0.0850679	9.55132	44 	18 	5  	793   	1.31353 
INFO:gp:45 	785   	0.799539	45 	0.871184	0.45274 	785   	0.0771879	10.0968	45 	18 	7  	785   	1.37547 
INFO:gp:46 	766   	0.794492	46 	0.871184	0.443071	766   	0.0820201	10.3177	46 	18 	7  	766   	1.17557 
INFO:gp:47 	775   	0.795807	47 	0.871184	0.438585	775   	0.083011 	10.2229	47 	16 	6  	775   	1.10503 
INFO:gp:48 	761   	0.793222	48 	0.871259	0.395818	761   	0.0843248	10.3353	48 	20 	7  	761   	1.26615 
INFO:gp:49 	788   	0.799735	49 	0.871599	0.461865	788   	0.0800921	10.6364	49 	20 	6  	788   	1.6368  
INFO:gp:50 	772   	0.809229	50 	0.871732	0.450213	772   	0.083285 	10.2717	50 	20 	7  	772   	1.85297 
INFO:gp:51 	775   	0.814025	51 	0.871951	0.400085	775   	0.086141 	9.72336	51 	25 	7  	775   	1.53573 
INFO:gp:52 	755   	0.813024	52 	0.871951	0.477748	755   	0.0844544	10.0176	52 	25 	7  	755   	1.48294 
INFO:gp:53 	812   	0.80602 	53 	0.871951	0.450271	812   	0.0876929	10.7507	53 	25 	5  	812   	1.53341 
INFO:gp:54 	778   	0.815604	54 	0.871951	0.385053	778   	0.0852697	11.3441	54 	25 	5  	778   	1.44663 
INFO:gp:55 	776   	0.816934	55 	0.872078	0.411561	776   	0.0864617	12.1095	55 	25 	5  	776   	1.58677 
INFO:gp:56 	763   	0.819283	56 	0.872081	0.439919	763   	0.0843316	12.7879	56 	21 	9  	763   	1.43513 
INFO:gp:57 	771   	0.817906	57 	0.872081	0.47543 	771   	0.0844835	12.9951	57 	22 	5  	771   	1.65055 
INFO:gp:58 	772   	0.817584	58 	0.872125	0.505425	772   	0.0834916	13.1222	58 	21 	9  	772   	1.89606 
INFO:gp:59 	776   	0.818514	59 	0.872125	0.443831	776   	0.0837894	13.174 	59 	25 	9  	776   	2.45488 
INFO:gp:60 	766   	0.815906	60 	0.872125	0.50446 	766   	0.0852665	13.0508	60 	25 	9  	766   	2.45375 
INFO:gp:61 	773   	0.813921	61 	0.87213 	0.343494	773   	0.0921252	13.5963	61 	25 	9  	773   	2.99238 
INFO:gp:62 	765   	0.81806 	62 	0.872132	0.421015	765   	0.0876095	13.174 	62 	25 	9  	765   	3.64626 
INFO:gp:63 	763   	0.816452	63 	0.872132	0.459784	763   	0.0860753	11.1877	63 	25 	9  	763   	3.27853 
INFO:gp:64 	775   	0.814858	64 	0.872132	0.450366	775   	0.0862237	10.1711	64 	25 	5  	775   	2.58408 
INFO:gp:65 	781   	0.816617	65 	0.872133	0.433703	781   	0.0847257	10.303 	65 	25 	7  	781   	2.32838 
INFO:gp:66 	776   	0.817085	66 	0.872159	0.408953	776   	0.0863614	10.7957	66 	25 	9  	776   	2.24682 
INFO:gp:67 	778   	0.814781	67 	0.872159	0.391156	778   	0.0868623	11.3509	67 	25 	7  	778   	2.11844 
INFO:gp:68 	771   	0.815425	68 	0.872167	0.45019 	771   	0.0878096	11.7928	68 	25 	7  	771   	2.08801 
INFO:gp:69 	805   	0.813826	69 	0.872167	0.400938	805   	0.0868991	12.1124	69 	25 	9  	805   	2.18143 
INFO:gp:70 	766   	0.813358	70 	0.872167	0.41967 	766   	0.0901879	11.8935	70 	25 	7  	766   	2.50345 
INFO:gp:71 	788   	0.812898	71 	0.872167	0.435515	788   	0.0880324	11.1769	71 	25 	7  	788   	2.66048 
INFO:gp:72 	750   	0.812616	72 	0.872167	0.388599	750   	0.0889689	11.8084	72 	25 	8  	750   	2.50599 
INFO:gp:73 	766   	0.820333	73 	0.872167	0.29819 	766   	0.0846131	12.7703	73 	25 	8  	766   	2.0647  
INFO:gp:74 	780   	0.817923	74 	0.872167	0.4732  	780   	0.0885421	13.1408	74 	25 	9  	780   	1.77407 
INFO:gp:75 	776   	0.817058	75 	0.872167	0.43838 	776   	0.0846605	13.1378	75 	25 	8  	776   	1.77403 
INFO:gp:76 	793   	0.819468	76 	0.872167	0.420051	793   	0.0851224	13.1105	76 	25 	9  	793   	1.70174 
INFO:gp:77 	799   	0.817585	77 	0.872189	0.442815	799   	0.0852106	13.1202	77 	25 	9  	799   	1.65506 
INFO:gp:78 	761   	0.813743	78 	0.872189	0.432716	761   	0.0915996	13.1144	78 	25 	7  	761   	1.83685 
INFO:gp:79 	760   	0.814685	79 	0.872189	0.434198	760   	0.0887196	13.1427	79 	25 	9  	760   	1.67821 
INFO:gp:80 	782   	0.819005	80 	0.872189	0.362538	782   	0.0855836	13.1339	80 	25 	9  	782   	1.74601 
INFO:gp:81 	763   	0.816446	81 	0.872189	0.484623	763   	0.0875738	13.1515	81 	25 	9  	763   	1.75128 
INFO:gp:82 	759   	0.824236	82 	0.8722  	0.411265	759   	0.0824585	13.1065	82 	25 	9  	759   	1.62561 
INFO:gp:83 	784   	0.820186	83 	0.8722  	0.466573	784   	0.0845754	13.0342	83 	25 	9  	784   	1.64902 
INFO:gp:84 	761   	0.818075	84 	0.8722  	0.450291	761   	0.0848778	13.0762	84 	25 	7  	761   	1.59178 
INFO:gp:85 	773   	0.813821	85 	0.8722  	0.458379	773   	0.0887541	13.085 	85 	25 	9  	773   	1.71464 
INFO:gp:86 	762   	0.81641 	86 	0.8722  	0.451629	762   	0.0874232	13.0528	86 	25 	9  	762   	1.58966 
INFO:gp:87 	755   	0.818128	87 	0.8722  	0.400756	755   	0.0870184	13.0225	87 	25 	9  	755   	1.5496  
INFO:gp:88 	799   	0.812965	88 	0.8722  	0.441645	799   	0.090442 	13.1153	88 	25 	8  	799   	1.57025 
INFO:gp:89 	756   	0.817778	89 	0.8722  	0.347379	756   	0.0883559	13.259 	89 	25 	9  	756   	1.62048 
INFO:gp:90 	776   	0.81809 	90 	0.8722  	0.329498	776   	0.0857859	13.6461	90 	25 	9  	776   	1.55885 
INFO:gp:91 	780   	0.813777	91 	0.8722  	0.451708	780   	0.0896266	13.7781	91 	24 	9  	780   	1.64094 
INFO:gp:92 	770   	0.819425	92 	0.8722  	0.434374	770   	0.0860198	13.8768	92 	24 	9  	770   	1.47924 
INFO:gp:93 	770   	0.818039	93 	0.8722  	0.439567	770   	0.0874495	13.9042	93 	24 	9  	770   	1.44992 
INFO:gp:94 	797   	0.818492	94 	0.8722  	0.417005	797   	0.0878763	13.8035	94 	24 	9  	797   	1.59284 
INFO:gp:95 	770   	0.8169  	95 	0.8722  	0.467989	770   	0.0875653	13.8211	95 	24 	9  	770   	1.5758  
INFO:gp:96 	790   	0.815475	96 	0.8722  	0.348462	790   	0.0888075	13.8534	96 	24 	9  	790   	1.49028 
INFO:gp:97 	793   	0.818535	97 	0.8722  	0.451623	793   	0.0847146	13.8074	97 	24 	3  	793   	1.60494 
INFO:gp:98 	770   	0.816585	98 	0.8722  	0.447357	770   	0.0860719	13.8856	98 	24 	7  	770   	1.48621 
INFO:gp:99 	795   	0.814473	99 	0.87244 	0.453762	795   	0.087936 	13.9042	99 	24 	9  	795   	1.46734 
INFO:gp:100	762   	0.818599	100	0.87244 	0.42504 	762   	0.0867768	13.7928	100	24 	8  	762   	1.61617 
INFO:gp:101	764   	0.819287	101	0.87244 	0.187175	764   	0.0870791	13.8338	101	24 	7  	764   	1.50455 
INFO:gp:102	779   	0.818863	102	0.87244 	0.420518	779   	0.0866915	13.7791	102	24 	9  	779   	1.5881  
INFO:gp:103	743   	0.814588	103	0.87244 	0.424663	743   	0.0903451	13.6139	103	22 	7  	743   	1.63613 
INFO:gp:104	770   	0.816599	104	0.87244 	0.419224	770   	0.084486 	13.6931	104	22 	9  	770   	1.41753 
INFO:gp:105	775   	0.816315	105	0.87244 	0.461285	775   	0.0876541	13.7048	105	22 	8  	775   	1.51591 
INFO:gp:106	789   	0.813122	106	0.87244 	0.433204	789   	0.0904555	13.8211	106	22 	9  	789   	1.33904 
INFO:gp:107	770   	0.81607 	107	0.87244 	0.430966	770   	0.0879724	13.7801	107	22 	9  	770   	1.39315 
INFO:gp:108	774   	0.819884	108	0.872452	0.433572	774   	0.0859321	13.7761	108	22 	6  	774   	1.40789 
INFO:gp:109	756   	0.818662	109	0.872534	0.400216	756   	0.0892449	13.7752	109	22 	9  	756   	1.38427 
INFO:gp:110	739   	0.82141 	110	0.872534	0.451529	739   	0.085399 	13.8065	110	22 	9  	739   	1.39811 
