INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.231961	0  	0.499288	0.0989089	1023  	0.0700392	4.63441	0  	7  	2  	1023  	1.46756
INFO:gp:1  	783   	0.31778 	1  	0.542901	0.102559 	783   	0.0684685	4.77028	1  	11 	2  	783   	1.52369
INFO:gp:2  	789   	0.373615	2  	0.576188	0.164893 	789   	0.0695404	5.0391 	2  	12 	3  	789   	1.59558
INFO:gp:3  	781   	0.421673	3  	0.607461	0.145655 	781   	0.0738093	4.99316	3  	12 	2  	781   	1.68512
INFO:gp:4  	777   	0.461747	4  	0.63124 	0.162357 	777   	0.0740466	4.88563	4  	12 	3  	777   	1.73561
INFO:gp:5  	770   	0.491259	5  	0.661022	0.155457 	770   	0.076153 	4.6608 	5  	14 	3  	770   	1.68232
INFO:gp:6  	767   	0.522833	6  	0.700276	0.273893 	767   	0.0778149	4.26784	6  	14 	3  	767   	1.67046
INFO:gp:7  	734   	0.565958	7  	0.700276	0.204274 	734   	0.0705567	4.06549	7  	15 	3  	734   	1.56907
INFO:gp:8  	761   	0.59863 	8  	0.769302	0.303173 	761   	0.0679407	4.26588	8  	11 	3  	761   	1.65549
INFO:gp:9  	756   	0.624595	9  	0.771253	0.34142  	756   	0.0674252	4.8348 	9  	12 	3  	756   	1.76727
INFO:gp:10 	793   	0.649357	10 	0.809963	0.308182 	793   	0.0741171	5.55425	10 	13 	3  	793   	1.83821
INFO:gp:11 	772   	0.679201	11 	0.810943	0.334876 	772   	0.074226 	6.26784	11 	14 	3  	772   	1.77377
INFO:gp:12 	779   	0.711575	12 	0.810969	0.432674 	779   	0.070868 	7.04106	12 	13 	3  	779   	1.71938
INFO:gp:13 	791   	0.728816	13 	0.810969	0.361948 	791   	0.073273 	7.80254	13 	14 	3  	791   	1.59732
INFO:gp:14 	776   	0.742371	14 	0.810969	0.433391 	776   	0.0709726	8.01369	14 	17 	3  	776   	1.55505
INFO:gp:15 	767   	0.756151	15 	0.810969	0.404167 	767   	0.0722646	7.9433 	15 	14 	3  	767   	1.51135
INFO:gp:16 	771   	0.76017 	16 	0.811062	0.446014 	771   	0.071975 	8.07331	16 	16 	3  	771   	1.30024
INFO:gp:17 	756   	0.762552	17 	0.811489	0.425044 	756   	0.0725461	8.23069	17 	17 	3  	756   	1.32188
INFO:gp:18 	767   	0.768274	18 	0.811489	0.411759 	767   	0.0687601	8.43402	18 	21 	3  	767   	1.72761
INFO:gp:19 	751   	0.758975	19 	0.811883	0.443957 	751   	0.0769678	9.55425	19 	21 	3  	751   	2.69076
INFO:gp:20 	777   	0.765315	20 	0.832248	0.424387 	777   	0.0744479	10.6139	20 	21 	3  	777   	3.07554
INFO:gp:21 	778   	0.768424	21 	0.832248	0.381242 	778   	0.0721067	9.42717	21 	21 	3  	778   	3.32683
INFO:gp:22 	804   	0.770144	22 	0.834975	0.365522 	804   	0.0706681	7.27859	22 	21 	3  	804   	3.23586
INFO:gp:23 	752   	0.77619 	23 	0.834975	0.480863 	752   	0.0662755	6.01075	23 	23 	3  	752   	3.2718 
INFO:gp:24 	785   	0.780522	24 	0.834975	0.498962 	785   	0.067776 	6.79863	24 	21 	3  	785   	3.37325
INFO:gp:25 	785   	0.782677	25 	0.834975	0.451484 	785   	0.0742745	8.13196	25 	21 	3  	785   	2.73123
INFO:gp:26 	769   	0.788621	26 	0.834975	0.258908 	769   	0.0734596	8.3089 	26 	21 	3  	769   	2.00156
INFO:gp:27 	774   	0.784569	27 	0.847039	0.424278 	774   	0.0777494	8.46139	27 	21 	3  	774   	1.97744
INFO:gp:28 	766   	0.785394	28 	0.847039	0.428273 	766   	0.0791771	8.24731	28 	21 	3  	766   	1.69423
INFO:gp:29 	779   	0.793212	29 	0.847039	0.456944 	779   	0.0693474	8.37341	29 	21 	3  	779   	1.67768
INFO:gp:30 	781   	0.785385	30 	0.847144	0.447017 	781   	0.0832085	9.15738	30 	21 	3  	781   	2.13605
INFO:gp:31 	774   	0.791363	31 	0.84724 	0.407209 	774   	0.079276 	9.72141	31 	21 	3  	774   	2.17504
INFO:gp:32 	793   	0.792936	32 	0.847258	0.380426 	793   	0.0824134	9.04399	32 	21 	3  	793   	2.05568
INFO:gp:33 	774   	0.795658	33 	0.847327	0.329756 	774   	0.0854153	9.27761	33 	21 	3  	774   	2.23829
INFO:gp:34 	782   	0.798202	34 	0.847327	0.393402 	782   	0.0817616	10.4291	34 	21 	3  	782   	2.2887 
INFO:gp:35 	747   	0.799099	35 	0.847444	0.291298 	747   	0.0886212	10.8201	35 	21 	3  	747   	2.13084
INFO:gp:36 	801   	0.794751	36 	0.847466	0.346905 	801   	0.0887112	10.8847	36 	21 	3  	801   	2.35641
INFO:gp:37 	777   	0.805004	37 	0.847466	0.436319 	777   	0.0786493	11.8152	37 	21 	3  	777   	2.1471 
INFO:gp:38 	786   	0.802977	38 	0.847466	0.273548 	786   	0.0819878	12.3206	38 	23 	3  	786   	2.17307
INFO:gp:39 	767   	0.800074	39 	0.847471	0.472377 	767   	0.082565 	12.7136	39 	21 	3  	767   	2.483  
INFO:gp:40 	810   	0.797819	40 	0.847478	0.401426 	810   	0.0847371	12.9404	40 	25 	3  	810   	2.50422
INFO:gp:41 	783   	0.801383	41 	0.847547	0.402426 	783   	0.0827171	12.5709	41 	25 	3  	783   	2.08954
INFO:gp:42 	766   	0.804269	42 	0.847623	0.291669 	766   	0.0786649	12.5318	42 	25 	7  	766   	1.70122
INFO:gp:43 	759   	0.804876	43 	0.847944	0.405205 	759   	0.0765139	12.9482	43 	25 	7  	759   	2.10205
INFO:gp:44 	753   	0.803805	44 	0.848002	0.360538 	753   	0.080155 	13.4066	44 	25 	10 	753   	2.16947
INFO:gp:45 	783   	0.793794	45 	0.848002	0.310023 	783   	0.0882289	14.3187	45 	26 	8  	783   	2.45031
INFO:gp:46 	783   	0.797083	46 	0.84805 	0.391722 	783   	0.0843522	14.8221	46 	30 	10 	783   	3.07031
INFO:gp:47 	771   	0.798087	47 	0.848365	0.317609 	771   	0.0844436	15.9834	47 	34 	7  	771   	4.17795
INFO:gp:48 	757   	0.795382	48 	0.86827 	0.360354 	757   	0.0859378	19.089 	48 	39 	7  	757   	4.82772
