INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.234381	0  	0.485982	0.100638	1023  	0.0720746	4.61975	0  	7  	2  	1023  	1.46082
INFO:gp:1  	766   	0.318725	1  	0.511967	0.121334	766   	0.065073 	4.84066	1  	12 	2  	766   	1.53009
INFO:gp:2  	798   	0.371266	2  	0.541786	0.121683	798   	0.0647488	4.94135	2  	14 	2  	798   	1.74372
INFO:gp:3  	741   	0.408267	3  	0.544263	0.158435	741   	0.0645934	4.86217	3  	12 	2  	741   	1.64657
INFO:gp:4  	764   	0.440767	4  	0.612763	0.138326	764   	0.0683682	4.98143	4  	12 	2  	764   	1.75605
INFO:gp:5  	750   	0.468021	5  	0.627619	0.166279	750   	0.0732307	5.58651	5  	14 	2  	750   	1.80585
INFO:gp:6  	801   	0.491874	6  	0.645429	0.205548	801   	0.0756776	5.88172	6  	14 	2  	801   	1.81195
INFO:gp:7  	738   	0.520282	7  	0.651828	0.236178	738   	0.0755311	6.04399	7  	15 	3  	738   	1.91486
INFO:gp:8  	741   	0.543003	8  	0.686426	0.265862	741   	0.0736977	6.26882	8  	12 	3  	741   	1.99243
INFO:gp:9  	779   	0.558124	9  	0.69208 	0.184576	779   	0.0770922	6.46823	9  	13 	3  	779   	1.93459
INFO:gp:10 	785   	0.577231	10 	0.719065	0.290735	785   	0.0778416	6.6002 	10 	14 	3  	785   	1.72313
INFO:gp:11 	772   	0.599928	11 	0.719538	0.297752	772   	0.0812832	6.79179	11 	13 	3  	772   	1.71949
INFO:gp:12 	787   	0.616815	12 	0.752802	0.271721	787   	0.0842648	6.41056	12 	13 	3  	787   	1.91908
INFO:gp:13 	790   	0.643382	13 	0.754835	0.318267	790   	0.0755403	6.3216 	13 	13 	3  	790   	1.97867
INFO:gp:14 	781   	0.663318	14 	0.754835	0.272007	781   	0.0777646	6.19844	14 	14 	3  	781   	2.16448
INFO:gp:15 	787   	0.68269 	15 	0.755203	0.31299 	787   	0.0755408	6.05474	15 	14 	3  	787   	2.14821
INFO:gp:16 	772   	0.693429	16 	0.755338	0.31299 	772   	0.0790699	6.13881	16 	16 	3  	772   	1.97894
INFO:gp:17 	783   	0.699059	17 	0.755431	0.321793	783   	0.0793111	5.99511	17 	14 	3  	783   	1.89793
INFO:gp:18 	765   	0.70829 	18 	0.775633	0.26245 	765   	0.0781208	5.33138	18 	14 	3  	765   	2.19719
INFO:gp:19 	776   	0.714661	19 	0.775753	0.368793	776   	0.0773404	5.43891	19 	14 	3  	776   	2.2354 
INFO:gp:20 	796   	0.71812 	20 	0.776843	0.346979	796   	0.0723045	6.25415	20 	14 	3  	796   	1.79549
INFO:gp:21 	761   	0.72148 	21 	0.777992	0.386911	761   	0.0750793	5.93646	21 	16 	3  	761   	1.9781 
INFO:gp:22 	762   	0.722589	22 	0.777992	0.347215	762   	0.0814421	5.69404	22 	14 	3  	762   	2.30033
INFO:gp:23 	779   	0.724788	23 	0.777992	0.321456	779   	0.0832767	6.04594	23 	14 	3  	779   	2.31085
INFO:gp:24 	804   	0.727984	24 	0.796845	0.347295	804   	0.0816385	5.87292	24 	14 	3  	804   	1.70889
INFO:gp:25 	765   	0.732133	25 	0.798246	0.309464	765   	0.0791287	6.02053	25 	14 	3  	765   	1.1197 
INFO:gp:26 	769   	0.734723	26 	0.798246	0.411104	769   	0.0751426	6.06452	26 	14 	3  	769   	1.07661
INFO:gp:27 	749   	0.73818 	27 	0.798246	0.437752	749   	0.0723869	6.16031	27 	16 	3  	749   	1.15627
INFO:gp:28 	777   	0.741747	28 	0.798246	0.406503	777   	0.0779416	6.0958 	28 	16 	3  	777   	1.26793
INFO:gp:29 	762   	0.741532	29 	0.798246	0.401128	762   	0.0816145	6.03617	29 	16 	3  	762   	1.15878
INFO:gp:30 	793   	0.746674	30 	0.798246	0.368152	793   	0.0774053	6.12023	30 	16 	3  	793   	1.0975 
INFO:gp:31 	769   	0.752946	31 	0.798265	0.373929	769   	0.0725285	6.1828 	31 	16 	4  	769   	1.21526
INFO:gp:32 	766   	0.748037	32 	0.799995	0.336206	766   	0.074983 	6.2737 	32 	14 	4  	766   	1.398  
INFO:gp:33 	752   	0.752602	33 	0.799995	0.2139  	752   	0.074551 	6.44086	33 	18 	4  	752   	1.80587
INFO:gp:34 	782   	0.746427	34 	0.800075	0.313218	782   	0.076501 	6.9824 	34 	18 	4  	782   	2.64957
INFO:gp:35 	753   	0.752582	35 	0.800075	0.326279	753   	0.07391  	8.35679	35 	24 	3  	753   	3.69073
INFO:gp:36 	764   	0.753258	36 	0.800075	0.369245	764   	0.0743943	9.75953	36 	24 	3  	764   	4.04892
INFO:gp:37 	786   	0.750987	37 	0.800402	0.390963	786   	0.0786315	8.68622	37 	24 	3  	786   	3.58424
INFO:gp:38 	777   	0.751235	38 	0.819873	0.360124	777   	0.0765793	8.7175 	38 	24 	3  	777   	3.00234
INFO:gp:39 	789   	0.755254	39 	0.820443	0.440408	789   	0.0733627	9.6784 	39 	24 	3  	789   	2.54945
INFO:gp:40 	787   	0.758395	40 	0.820443	0.415458	787   	0.0711155	9.63245	40 	24 	3  	787   	2.54727
INFO:gp:41 	790   	0.756271	41 	0.820514	0.394875	790   	0.0770255	8.8348 	41 	24 	3  	790   	3.15037
INFO:gp:42 	770   	0.758133	42 	0.820514	0.32386 	770   	0.0800773	7.60802	42 	22 	3  	770   	2.84356
INFO:gp:43 	769   	0.761956	43 	0.82053 	0.389403	769   	0.0854785	7.69404	43 	22 	3  	769   	2.79072
INFO:gp:44 	785   	0.763193	44 	0.820544	0.442242	785   	0.0813874	7.90909	44 	22 	3  	785   	2.84025
INFO:gp:45 	750   	0.767959	45 	0.820544	0.347643	750   	0.0794461	8.0176 	45 	22 	3  	750   	2.78624
INFO:gp:46 	754   	0.774421	46 	0.820544	0.408202	754   	0.0736107	9.12512	46 	22 	4  	754   	2.85183
INFO:gp:47 	782   	0.772791	47 	0.82055 	0.33046 	782   	0.0750826	9.98729	47 	26 	4  	782   	3.13696
INFO:gp:48 	788   	0.773707	48 	0.820585	0.390439	788   	0.0734904	10.9726	48 	28 	3  	788   	3.76811
INFO:gp:49 	807   	0.776045	49 	0.820585	0.389992	807   	0.0760771	12.7527	49 	28 	4  	807   	3.51459
INFO:gp:50 	775   	0.769671	50 	0.820585	0.39039 	775   	0.0789031	14.0508	50 	28 	4  	775   	2.6543 
INFO:gp:51 	781   	0.771992	51 	0.820609	0.408124	781   	0.0792225	14.7322	51 	30 	4  	781   	2.78324
INFO:gp:52 	781   	0.773821	52 	0.820609	0.328243	781   	0.0741299	15.828 	52 	30 	4  	781   	2.99947
INFO:gp:53 	774   	0.774613	53 	0.820609	0.408728	774   	0.0765779	16.7771	53 	34 	4  	774   	3.75693
INFO:gp:54 	774   	0.767028	54 	0.820609	0.410542	774   	0.0822526	18.2786	54 	40 	4  	774   	5.4654 
INFO:gp:55 	767   	0.771652	55 	0.820628	0.463474	767   	0.0784209	22.2199	55 	44 	3  	767   	7.18418
INFO:gp:56 	789   	0.773914	56 	0.820628	0.424432	789   	0.0760938	27.1994	56 	44 	4  	789   	5.87914
INFO:gp:57 	785   	0.772702	57 	0.82071 	0.328265	785   	0.078027 	28.824 	57 	48 	4  	785   	4.11519
INFO:gp:58 	798   	0.773965	58 	0.82071 	0.395315	798   	0.0766573	28.5816	58 	46 	4  	798   	4.12949
INFO:gp:59 	778   	0.774428	59 	0.82071 	0.397803	778   	0.0755554	28.0626	59 	46 	4  	778   	3.89224
INFO:gp:60 	764   	0.775858	60 	0.82071 	0.38724 	764   	0.0781708	27.697 	60 	46 	4  	764   	4.24495
INFO:gp:61 	769   	0.773986	61 	0.82071 	0.380292	769   	0.0783328	28.3148	61 	46 	4  	769   	3.97778
INFO:gp:62 	768   	0.774412	62 	0.82071 	0.375976	768   	0.07808  	29.26  	62 	46 	4  	768   	3.48167
INFO:gp:63 	810   	0.769155	63 	0.82071 	0.428656	810   	0.0809142	29.477 	63 	46 	4  	810   	3.32725
INFO:gp:64 	770   	0.771978	64 	0.82071 	0.387593	770   	0.0810863	29.5934	64 	46 	4  	770   	3.2861 
INFO:gp:65 	771   	0.770237	65 	0.82071 	0.369924	771   	0.0824939	29.5112	65 	46 	4  	771   	3.75074
INFO:gp:66 	776   	0.770981	66 	0.82071 	0.357504	776   	0.081915 	29.607 	66 	44 	4  	776   	3.02095
INFO:gp:67 	767   	0.768797	67 	0.82071 	0.408738	767   	0.0794847	29.4858	67 	44 	3  	767   	3.51641
INFO:gp:68 	752   	0.768055	68 	0.820719	0.387919	752   	0.0837475	29.4643	68 	46 	4  	752   	3.63894
INFO:gp:69 	790   	0.770315	69 	0.820719	0.337438	790   	0.0770922	29.6911	69 	44 	4  	790   	2.93601
INFO:gp:70 	802   	0.770631	70 	0.820719	0.422809	802   	0.0808503	29.4936	70 	46 	4  	802   	3.56639
INFO:gp:71 	769   	0.774572	71 	0.820719	0.337479	769   	0.0762169	29.5484	71 	50 	4  	769   	3.41427
INFO:gp:72 	765   	0.772172	72 	0.820719	0.395459	765   	0.0789933	29.3011	72 	50 	4  	765   	3.71113
INFO:gp:73 	767   	0.774311	73 	0.820719	0.39065 	767   	0.0789456	29.1896	73 	50 	4  	767   	3.54543
INFO:gp:74 	775   	0.771362	74 	0.82072 	0.341972	775   	0.0811642	28.737 	74 	50 	4  	775   	3.82821
INFO:gp:75 	796   	0.766318	75 	0.82072 	0.375019	796   	0.0819264	28.8426	75 	50 	4  	796   	3.24853
INFO:gp:76 	771   	0.770283	76 	0.82072 	0.479648	771   	0.0770033	28.7302	76 	50 	4  	771   	3.74055
