INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.239892	0  	0.459232	0.0975607	1023  	0.072254	4.69599	0  	7  	2  	1023  	1.45659
INFO:gp:1  	737   	0.326091	1  	0.568623	0.125162 	737   	0.0669278	4.89443	1  	8  	2  	737   	1.48521
INFO:gp:2  	800   	0.383248	2  	0.570297	0.138243 	800   	0.0670608	5.02444	2  	13 	3  	800   	1.5746 
INFO:gp:3  	790   	0.427343	3  	0.621945	0.160276 	790   	0.0721981	4.94037	3  	12 	3  	790   	1.72026
INFO:gp:4  	782   	0.467527	4  	0.658469	0.170967 	782   	0.0731116	4.76344	4  	11 	3  	782   	1.6564 
INFO:gp:5  	776   	0.496776	5  	0.658472	0.108321 	776   	0.079323 	4.52884	5  	13 	3  	776   	1.83666
INFO:gp:6  	788   	0.52778 	6  	0.673885	0.239464 	788   	0.0744652	4.42131	6  	11 	3  	788   	2.00376
INFO:gp:7  	778   	0.550372	7  	0.678567	0.246241 	778   	0.0795257	4.92962	7  	13 	3  	778   	2.5471 
INFO:gp:8  	763   	0.571723	8  	0.71525 	0.106473 	763   	0.0839457	6.07331	8  	17 	3  	763   	3.14298
INFO:gp:9  	763   	0.592928	9  	0.71526 	0.235837 	763   	0.0806778	7.18573	9  	17 	3  	763   	3.34651
INFO:gp:10 	755   	0.613156	10 	0.735254	0.235965 	755   	0.0786713	7.42424	10 	17 	3  	755   	3.19975
INFO:gp:11 	777   	0.623326	11 	0.735555	0.260636 	777   	0.0829219	7.41349	11 	15 	3  	777   	3.02484
INFO:gp:12 	750   	0.635587	12 	0.775479	0.235843 	750   	0.0855651	7.35191	12 	17 	3  	750   	3.2015 
INFO:gp:13 	757   	0.651884	13 	0.775479	0.237008 	757   	0.0867453	6.25904	13 	17 	3  	757   	3.04228
INFO:gp:14 	752   	0.672138	14 	0.775479	0.217852 	752   	0.089835 	4.87781	14 	14 	3  	752   	2.0329 
INFO:gp:15 	767   	0.692059	15 	0.776088	0.274495 	767   	0.085979 	4.49951	15 	14 	3  	767   	1.37558
INFO:gp:16 	767   	0.695638	16 	0.776116	0.335987 	767   	0.0928964	4.31476	16 	14 	3  	767   	1.35298
INFO:gp:17 	778   	0.716292	17 	0.776356	0.381548 	778   	0.0885971	3.67742	17 	10 	3  	778   	1.07833
INFO:gp:18 	763   	0.724872	18 	0.776356	0.235966 	763   	0.0946135	3.4174 	18 	9  	3  	763   	0.896812
INFO:gp:19 	793   	0.734875	19 	0.776356	0.36375  	793   	0.0818053	3.49853	19 	9  	3  	793   	1.02259 
INFO:gp:20 	767   	0.728849	20 	0.776438	0.319484 	767   	0.0931168	4.02151	20 	11 	3  	767   	1.4092  
INFO:gp:21 	752   	0.732101	21 	0.776449	0.359674 	752   	0.0916256	4.74291	21 	11 	3  	752   	1.24646 
INFO:gp:22 	776   	0.729119	22 	0.789798	0.284065 	776   	0.0914697	5.02933	22 	11 	3  	776   	0.89044 
INFO:gp:23 	789   	0.73503 	23 	0.789798	0.371031 	789   	0.0832431	5.10459	23 	11 	3  	789   	0.7896  
INFO:gp:24 	753   	0.731052	24 	0.789798	0.359003 	753   	0.089083 	5.32747	24 	11 	3  	753   	0.997209
INFO:gp:25 	785   	0.738568	25 	0.809611	0.325262 	785   	0.0867003	5.91887	25 	11 	3  	785   	1.26393 
INFO:gp:26 	768   	0.741785	26 	0.80985 	0.358818 	768   	0.0832446	6.05474	26 	13 	3  	768   	1.33343 
INFO:gp:27 	771   	0.750508	27 	0.80985 	0.367588 	771   	0.0808753	5.77517	27 	14 	3  	771   	1.32511 
INFO:gp:28 	769   	0.751513	28 	0.809961	0.33558  	769   	0.084404 	6.51026	28 	15 	4  	769   	1.5487  
INFO:gp:29 	786   	0.756971	29 	0.810015	0.364707 	786   	0.0913618	6.78104	29 	17 	5  	786   	1.75502 
INFO:gp:30 	803   	0.761844	30 	0.810377	0.370529 	803   	0.0875554	6.13587	30 	17 	4  	803   	1.60586 
