INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.367287	0  	0.576524	0.275898	1023  	0.0351383	3.91202	0  	7  	2  	1023  	1.38632
INFO:gp:1  	772   	0.401484	1  	0.585161	0.171595	772   	0.0396867	3.96774	1  	11 	2  	772   	1.44225
INFO:gp:2  	754   	0.42514 	2  	0.585161	0.250236	754   	0.0476036	4.02151	2  	14 	2  	754   	1.58916
INFO:gp:3  	779   	0.451566	3  	0.628249	0.282398	779   	0.0585872	4.39589	3  	14 	2  	779   	1.88544
INFO:gp:4  	774   	0.480578	4  	0.649575	0.242925	774   	0.0715332	4.25122	4  	11 	2  	774   	1.62953
INFO:gp:5  	773   	0.511691	5  	0.660208	0.279638	773   	0.0730563	4.31867	5  	12 	2  	773   	1.66092
INFO:gp:6  	798   	0.51986 	6  	0.662496	0.270908	798   	0.0833919	4.4653 	6  	12 	2  	798   	1.59499
INFO:gp:7  	776   	0.536759	7  	0.676593	0.29292 	776   	0.086151 	4.46334	7  	12 	2  	776   	1.61565
INFO:gp:8  	755   	0.553716	8  	0.680177	0.308316	755   	0.0901708	4.22483	8  	11 	2  	755   	1.62888
INFO:gp:9  	779   	0.575058	9  	0.688352	0.263657	779   	0.0892544	4.04985	9  	14 	3  	779   	1.72398
INFO:gp:10 	752   	0.598003	10 	0.70472 	0.303877	752   	0.0853822	4.10362	10 	14 	3  	752   	1.98553
INFO:gp:11 	800   	0.60291 	11 	0.70688 	0.294782	800   	0.0870992	4.93939	11 	17 	3  	800   	2.63339
INFO:gp:12 	759   	0.617318	12 	0.715527	0.301338	759   	0.0880775	6.29717	12 	18 	3  	759   	3.17949
INFO:gp:13 	752   	0.63252 	13 	0.715527	0.349049	752   	0.0859915	7.60313	13 	17 	3  	752   	3.12666
INFO:gp:14 	774   	0.638535	14 	0.715531	0.343535	774   	0.0888138	7.80059	14 	17 	3  	774   	3.14388
INFO:gp:15 	775   	0.640502	15 	0.733984	0.332742	775   	0.0981813	7.80645	15 	17 	3  	775   	3.25725
INFO:gp:16 	767   	0.638666	16 	0.744455	0.307892	767   	0.104029 	8.08016	16 	17 	3  	767   	3.29421
INFO:gp:17 	762   	0.631042	17 	0.744455	0.30791 	762   	0.111225 	8.92669	17 	19 	3  	762   	2.8804 
INFO:gp:18 	771   	0.631839	18 	0.746436	0.339048	771   	0.114272 	8.57478	18 	17 	3  	771   	2.75632
INFO:gp:19 	765   	0.635297	19 	0.750648	0.349174	765   	0.114191 	7.70479	19 	19 	3  	765   	2.95367
INFO:gp:20 	771   	0.644928	20 	0.755101	0.33598 	771   	0.115918 	6.64321	20 	16 	3  	771   	2.6085 
INFO:gp:21 	769   	0.649255	21 	0.75806 	0.348539	769   	0.114594 	6.2043 	21 	16 	3  	769   	2.14579
INFO:gp:22 	784   	0.644613	22 	0.764863	0.333991	784   	0.120859 	6.35386	22 	14 	3  	784   	1.73512
INFO:gp:23 	752   	0.653305	23 	0.764863	0.31562 	752   	0.11874  	6.45748	23 	14 	3  	752   	1.58003
