INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.503467	0  	0.74926	0.292208	1023  	0.0541074	3.51906	0  	7  	2  	1023  	1.34672
INFO:gp:1  	749   	0.549893	1  	0.853411	0.342742	749   	0.0564847	3.81818	1  	11 	2  	749   	1.51441
INFO:gp:2  	778   	0.575963	2  	0.853411	0.240833	778   	0.0736014	4.21114	2  	12 	2  	778   	1.66629
INFO:gp:3  	783   	0.616008	3  	0.8926  	0.246055	783   	0.0995461	4.70186	3  	14 	2  	783   	1.7233 
INFO:gp:4  	764   	0.664176	4  	0.893145	0.195939	764   	0.122801 	4.57478	4  	10 	2  	764   	1.64017
INFO:gp:5  	766   	0.733268	5  	0.911487	0.335242	766   	0.126917 	4.96285	5  	15 	2  	766   	1.97259
INFO:gp:6  	759   	0.787269	6  	0.911487	0.382505	759   	0.124813 	5.80645	6  	14 	2  	759   	2.0837 
INFO:gp:7  	773   	0.799913	7  	0.91377 	0.388416	773   	0.127385 	6.16911	7  	14 	2  	773   	2.19297
INFO:gp:8  	763   	0.823451	8  	0.915556	0.439262	763   	0.119266 	6.73216	8  	16 	2  	763   	2.21269
INFO:gp:9  	755   	0.814616	9  	0.91574 	0.409036	755   	0.130294 	7.27273	9  	20 	2  	755   	2.2772 
INFO:gp:10 	785   	0.816776	10 	0.918179	0.445733	785   	0.127532 	7.47801	10 	20 	2  	785   	2.49207
INFO:gp:11 	792   	0.81647 	11 	0.919161	0.439111	792   	0.130252 	7.83871	11 	21 	2  	792   	2.78074
INFO:gp:12 	766   	0.831087	12 	0.919694	0.460355	766   	0.119417 	9.27859	12 	24 	3  	766   	3.41888
INFO:gp:13 	760   	0.833406	13 	0.91999 	0.38186 	760   	0.123835 	10.4057	13 	28 	2  	760   	3.45911
INFO:gp:14 	776   	0.833243	14 	0.926083	0.428126	776   	0.123129 	11.4008	14 	30 	2  	776   	3.78783
INFO:gp:15 	746   	0.836096	15 	0.926083	0.394256	746   	0.126778 	11.5826	15 	34 	4  	746   	4.37276
INFO:gp:16 	770   	0.839096	16 	0.926083	0.413328	770   	0.127379 	12.0723	16 	35 	4  	770   	4.42209
INFO:gp:17 	764   	0.848545	17 	0.926086	0.432623	764   	0.120461 	12.5503	17 	34 	5  	764   	4.12004
INFO:gp:18 	787   	0.839925	18 	0.926114	0.377968	787   	0.124483 	13.738 	18 	30 	4  	787   	4.64053
INFO:gp:19 	764   	0.839516	19 	0.926114	0.440129	764   	0.124284 	15.303 	19 	31 	3  	764   	4.69251
INFO:gp:20 	780   	0.854802	20 	0.926114	0.431283	780   	0.110505 	17.3226	20 	31 	6  	780   	4.28455
INFO:gp:21 	778   	0.857157	21 	0.92659 	0.421952	778   	0.112435 	18.1447	21 	32 	2  	778   	4.23441
INFO:gp:22 	778   	0.853815	22 	0.926695	0.417274	778   	0.117124 	18.695 	22 	37 	5  	778   	4.7594 
INFO:gp:23 	773   	0.852889	23 	0.926697	0.459973	773   	0.11528  	19.1271	23 	40 	6  	773   	5.14097
INFO:gp:24 	746   	0.8435  	24 	0.926761	0.46315 	746   	0.126275 	19.303 	24 	46 	3  	746   	5.34536
INFO:gp:25 	771   	0.852244	25 	0.926832	0.456491	771   	0.121924 	20.0401	25 	40 	2  	771   	5.91743
INFO:gp:26 	792   	0.849277	26 	0.926974	0.412597	792   	0.122032 	22.2815	26 	41 	6  	792   	6.55191
INFO:gp:27 	797   	0.857019	27 	0.926974	0.447975	797   	0.1144   	24.1105	27 	46 	4  	797   	6.63594
INFO:gp:28 	746   	0.853691	28 	0.926974	0.46315 	746   	0.122934 	25.0811	28 	56 	3  	746   	6.69342
INFO:gp:29 	790   	0.852624	29 	0.927079	0.443979	790   	0.120767 	24.7458	29 	43 	6  	790   	6.64488
INFO:gp:30 	799   	0.843774	30 	0.927102	0.390624	799   	0.127733 	25.9071	30 	43 	4  	799   	6.85046
INFO:gp:31 	767   	0.853838	31 	0.927151	0.410352	767   	0.117287 	28.5611	31 	53 	3  	767   	7.2016 
INFO:gp:32 	787   	0.85202 	32 	0.927177	0.431404	787   	0.122844 	30.1535	32 	53 	6  	787   	6.87473
INFO:gp:33 	750   	0.852289	33 	0.927214	0.432374	750   	0.122849 	30.3451	33 	57 	6  	750   	7.56007
INFO:gp:34 	764   	0.84951 	34 	0.927259	0.367551	764   	0.125943 	30.4692	34 	59 	6  	764   	9.15196
INFO:gp:35 	786   	0.858943	35 	0.927259	0.413621	786   	0.11808  	32.0254	35 	60 	6  	786   	10.345 
INFO:gp:36 	746   	0.856712	36 	0.927348	0.374617	746   	0.120944 	37.219 	36 	66 	5  	746   	11.8073
INFO:gp:37 	793   	0.85933 	37 	0.92768 	0.424172	793   	0.117024 	42.8094	37 	66 	6  	793   	10.995 
INFO:gp:38 	777   	0.860028	38 	0.92768 	0.477427	777   	0.119193 	47.4516	38 	85 	6  	777   	9.30253
INFO:gp:39 	788   	0.855783	39 	0.92768 	0.418212	788   	0.118338 	48.9052	39 	65 	3  	788   	9.3658 
INFO:gp:40 	784   	0.846865	40 	0.92768 	0.40024 	784   	0.127666 	49.8338	40 	75 	6  	784   	8.72014
INFO:gp:41 	796   	0.847212	41 	0.928986	0.46313 	796   	0.125173 	50.304 	41 	69 	5  	796   	8.29894
INFO:gp:42 	779   	0.853829	42 	0.928986	0.465148	779   	0.123059 	50.697 	42 	74 	2  	779   	8.44244
INFO:gp:43 	740   	0.852975	43 	0.928986	0.437759	740   	0.121794 	50.1036	43 	67 	5  	740   	8.71393
INFO:gp:44 	752   	0.843329	44 	0.929357	0.39553 	752   	0.131901 	48.5103	44 	65 	2  	752   	8.98384
INFO:gp:45 	765   	0.851282	45 	0.929357	0.429291	765   	0.121261 	47.2444	45 	65 	5  	765   	8.36981
INFO:gp:46 	817   	0.84526 	46 	0.931017	0.472703	817   	0.123066 	47.8152	46 	65 	6  	817   	8.29208
INFO:gp:47 	773   	0.843891	47 	0.931017	0.485688	773   	0.123488 	49.911 	47 	65 	6  	773   	8.58258
INFO:gp:48 	748   	0.850991	48 	0.931129	0.44481 	748   	0.122132 	53.2581	48 	83 	6  	748   	8.60209
INFO:gp:49 	767   	0.85328 	49 	0.931708	0.486028	767   	0.117672 	54.2571	49 	71 	6  	767   	7.54455
INFO:gp:50 	754   	0.850782	50 	0.931833	0.361871	754   	0.122361 	52.0919	50 	69 	4  	754   	8.86895
INFO:gp:51 	751   	0.851639	51 	0.931833	0.492837	751   	0.120281 	52.9423	51 	66 	4  	751   	7.73091
INFO:gp:52 	786   	0.855031	52 	0.932073	0.447616	786   	0.117269 	54.433 	52 	73 	2  	786   	7.43227
INFO:gp:53 	755   	0.857298	53 	0.932209	0.499593	755   	0.113593 	54.6325	53 	67 	6  	755   	7.53745
INFO:gp:54 	748   	0.861709	54 	0.932331	0.489338	748   	0.11173  	55.1603	54 	105	6  	748   	7.73281
INFO:gp:55 	770   	0.864128	55 	0.93266 	0.501921	770   	0.109587 	56.4066	55 	71 	6  	770   	6.21895
INFO:gp:56 	806   	0.861151	56 	0.93266 	0.449963	806   	0.110111 	56.2326	56 	115	4  	806   	8.32036
INFO:gp:57 	782   	0.860502	57 	0.93266 	0.50384 	782   	0.110296 	56.477 	57 	85 	4  	782   	7.81664
INFO:gp:58 	717   	0.866275	58 	0.932888	0.456736	717   	0.110516 	56.869 	58 	79 	6  	717   	7.58738
INFO:gp:59 	763   	0.858118	59 	0.933115	0.497753	763   	0.114215 	57.086 	59 	81 	6  	763   	6.77775
INFO:gp:60 	770   	0.870332	60 	0.933115	0.428962	770   	0.106202 	56.957 	60 	73 	3  	770   	6.89313
INFO:gp:61 	776   	0.865213	61 	0.933377	0.479635	776   	0.108693 	57.0665	61 	70 	4  	776   	6.01298
INFO:gp:62 	773   	0.875019	62 	0.933377	0.372778	773   	0.102676 	57.3079	62 	70 	6  	773   	6.01611
INFO:gp:63 	773   	0.864923	63 	0.933691	0.499272	773   	0.107285 	57.1447	63 	71 	4  	773   	7.2935 
INFO:gp:64 	781   	0.872851	64 	0.933748	0.489463	781   	0.104548 	56.9902	64 	74 	5  	781   	8.04058
INFO:gp:65 	794   	0.863217	65 	0.933748	0.48069 	794   	0.111158 	56.8543	65 	77 	6  	794   	7.45264
INFO:gp:66 	755   	0.871757	66 	0.934005	0.498326	755   	0.104815 	56.477 	66 	85 	6  	755   	7.6893 
INFO:gp:67 	780   	0.864029	67 	0.934032	0.476751	780   	0.110073 	56.2287	67 	83 	6  	780   	7.83696
INFO:gp:68 	755   	0.864769	68 	0.93437 	0.49675 	755   	0.109401 	56.0987	68 	79 	6  	755   	7.31093
INFO:gp:69 	814   	0.862385	69 	0.93437 	0.433367	814   	0.110473 	54.8456	69 	85 	6  	814   	8.30525
INFO:gp:70 	758   	0.870841	70 	0.934538	0.450824	758   	0.103749 	55.3353	70 	77 	6  	758   	5.9969 
INFO:gp:71 	781   	0.869605	71 	0.934661	0.469147	781   	0.106563 	55.2542	71 	83 	6  	781   	6.36814
INFO:gp:72 	779   	0.870693	72 	0.934661	0.481772	779   	0.105509 	54.4555	72 	83 	6  	779   	7.28298
INFO:gp:73 	782   	0.87412 	73 	0.934743	0.475754	782   	0.101938 	54.6197	73 	111	6  	782   	7.07432
INFO:gp:74 	759   	0.870945	74 	0.934851	0.491984	759   	0.103453 	53.7781	74 	77 	6  	759   	7.14127
INFO:gp:75 	783   	0.869075	75 	0.935115	0.500243	783   	0.105489 	54.2053	75 	68 	5  	783   	5.47909
INFO:gp:76 	760   	0.871257	76 	0.935115	0.477013	760   	0.105115 	53.8319	76 	70 	3  	760   	7.49161
INFO:gp:77 	785   	0.870918	77 	0.935297	0.444147	785   	0.104868 	53.7556	77 	80 	5  	785   	7.14895
INFO:gp:78 	787   	0.869837	78 	0.935297	0.460866	787   	0.106044 	54.0616	78 	99 	4  	787   	7.69374
INFO:gp:79 	764   	0.879   	79 	0.935807	0.399406	764   	0.100063 	54.2747	79 	77 	3  	764   	7.36799
INFO:gp:80 	757   	0.875911	80 	0.935807	0.402608	757   	0.102947 	54.5083	80 	70 	6  	757   	6.16502
INFO:gp:81 	796   	0.872715	81 	0.935807	0.485366	796   	0.103369 	53.955 	81 	109	6  	796   	7.11228
INFO:gp:82 	803   	0.874807	82 	0.936066	0.460767	803   	0.102189 	53.2131	82 	69 	6  	803   	6.74008
INFO:gp:83 	764   	0.873994	83 	0.936066	0.437494	764   	0.105559 	52.5103	83 	102	6  	764   	7.33473
INFO:gp:84 	761   	0.870011	84 	0.936066	0.483272	761   	0.103991 	51.8983	84 	102	6  	761   	7.8654 
INFO:gp:85 	775   	0.872745	85 	0.93607 	0.471985	775   	0.103426 	51.7527	85 	101	4  	775   	7.24265
