INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                     size                     
   	      	------------------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std   
0  	1023  	0.499745	0  	0.745589	0.256803	1023  	0.055656	3.46237	0  	7  	2  	1023  	1.3543
INFO:gp:1  	793   	0.550378	1  	0.765754	0.326175	793   	0.0595009	3.72336	1  	11 	2  	793   	1.5926
INFO:gp:2  	753   	0.578033	2  	0.855689	0.299444	753   	0.0752731	4.06256	2  	11 	1  	753   	1.72101
INFO:gp:3  	783   	0.613234	3  	0.866767	0.318468	783   	0.0951549	4.3216 	3  	13 	1  	783   	1.7882 
INFO:gp:4  	787   	0.648662	4  	0.895052	0.267203	787   	0.114747 	4.4477 	4  	12 	2  	787   	1.67582
INFO:gp:5  	731   	0.68397 	5  	0.895052	0.157633	731   	0.127256 	4.78299	5  	11 	2  	731   	1.66025
INFO:gp:6  	753   	0.70015 	6  	0.895052	0.268407	753   	0.138854 	4.84751	6  	11 	2  	753   	1.68607
INFO:gp:7  	773   	0.714348	7  	0.895052	0.27384 	773   	0.144324 	4.69795	7  	13 	2  	773   	1.89295
INFO:gp:8  	762   	0.734737	8  	0.895131	0.261331	762   	0.144006 	4.70381	8  	14 	2  	762   	2.17361
INFO:gp:9  	753   	0.743426	9  	0.897075	0.28598 	753   	0.149467 	5.06647	9  	14 	2  	753   	2.57089
INFO:gp:10 	772   	0.742841	10 	0.91934 	0.184312	772   	0.151074 	5.5523 	10 	16 	2  	772   	2.67952
INFO:gp:11 	772   	0.737372	11 	0.91934 	0.157618	772   	0.157707 	6.37243	11 	18 	2  	772   	2.68137
INFO:gp:12 	781   	0.734655	12 	0.91934 	0.357622	781   	0.159654 	6.89345	12 	18 	2  	781   	2.70357
INFO:gp:13 	780   	0.744468	13 	0.921698	0.283037	780   	0.155194 	7.72336	13 	25 	2  	780   	3.05612
INFO:gp:14 	759   	0.769483	14 	0.921698	0.280328	759   	0.148655 	8.84653	14 	21 	2  	759   	3.49541
INFO:gp:15 	774   	0.764303	15 	0.921698	0.248438	774   	0.151037 	10.6168	15 	25 	2  	774   	4.04831
INFO:gp:16 	779   	0.776807	16 	0.921721	0.251694	779   	0.147342 	11.9589	16 	31 	2  	779   	4.19051
INFO:gp:17 	761   	0.787467	17 	0.923147	0.234236	761   	0.145458 	12.9394	17 	27 	2  	761   	4.05729
INFO:gp:18 	765   	0.803458	18 	0.923147	0.318543	765   	0.14568  	12.738 	18 	29 	2  	765   	3.84878
INFO:gp:19 	765   	0.836639	19 	0.924334	0.372689	765   	0.136921 	12.5415	19 	27 	2  	765   	3.62731
INFO:gp:20 	767   	0.849837	20 	0.924608	0.344108	767   	0.134234 	12.6168	20 	27 	2  	767   	3.95104
INFO:gp:21 	761   	0.848433	21 	0.924608	0.346172	761   	0.136514 	13.7849	21 	29 	2  	761   	4.38302
INFO:gp:22 	777   	0.860398	22 	0.926214	0.37072 	777   	0.124577 	14.8788	22 	29 	2  	777   	4.47596
INFO:gp:23 	783   	0.856216	23 	0.926214	0.286366	783   	0.128783 	15.7195	23 	34 	2  	783   	4.31149
INFO:gp:24 	751   	0.864811	24 	0.928148	0.183291	751   	0.125642 	17.4272	24 	35 	2  	751   	4.07125
