INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.502379	0  	0.786554	0.322445	1023  	0.054772	3.50733	0  	7  	2  	1023  	1.35624
INFO:gp:1  	775   	0.550955	1  	0.836839	0.325145	775   	0.059631	3.91202	1  	12 	2  	775   	1.63062
INFO:gp:2  	787   	0.579454	2  	0.868245	0.294564	787   	0.076197	4.21701	2  	12 	2  	787   	1.67724
INFO:gp:3  	765   	0.625395	3  	0.890807	0.23482 	765   	0.10763 	4.78886	3  	12 	2  	765   	1.70801
INFO:gp:4  	771   	0.701768	4  	0.890807	0.236943	771   	0.128511	5.47605	4  	13 	1  	771   	1.48803
INFO:gp:5  	787   	0.75868 	5  	0.906897	0.270992	787   	0.123883	6.07331	5  	12 	1  	787   	1.21955
INFO:gp:6  	770   	0.772508	6  	0.912634	0.270992	770   	0.133644	6.20723	6  	13 	2  	770   	1.36285
INFO:gp:7  	778   	0.775932	7  	0.91562 	0.18098 	778   	0.136783	6.52688	7  	13 	2  	778   	1.51597
INFO:gp:8  	754   	0.784815	8  	0.920822	0.236047	754   	0.140006	6.6911 	8  	15 	3  	754   	1.61626
INFO:gp:9  	766   	0.800782	9  	0.920822	0.294273	766   	0.134265	6.56696	9  	14 	3  	766   	1.62855
INFO:gp:10 	773   	0.818172	10 	0.921647	0.358284	773   	0.128402	6.8827 	10 	14 	3  	773   	1.6761 
INFO:gp:11 	753   	0.818991	11 	0.921837	0.305669	753   	0.134152	7.21505	11 	15 	3  	753   	1.76882
INFO:gp:12 	764   	0.814393	12 	0.922922	0.36028 	764   	0.135052	7.36461	12 	14 	3  	764   	1.58222
INFO:gp:13 	773   	0.810662	13 	0.925099	0.362495	773   	0.139199	7.54252	13 	15 	3  	773   	1.59174
INFO:gp:14 	784   	0.808609	14 	0.925808	0.44911 	784   	0.138403	7.66471	14 	17 	3  	784   	1.54249
INFO:gp:15 	759   	0.812233	15 	0.925808	0.415562	759   	0.138993	7.80938	15 	16 	3  	759   	1.69521
INFO:gp:16 	768   	0.821316	16 	0.925808	0.411575	768   	0.134711	8.05376	16 	16 	5  	768   	1.73742
INFO:gp:17 	756   	0.819048	17 	0.926897	0.439493	756   	0.138036	8.11632	17 	17 	3  	756   	1.75953
INFO:gp:18 	786   	0.832219	18 	0.926919	0.43703 	786   	0.131355	8.19355	18 	18 	5  	786   	1.75968
INFO:gp:19 	782   	0.827839	19 	0.926919	0.248852	782   	0.132065	8.48192	19 	18 	5  	782   	1.832  
INFO:gp:20 	785   	0.825146	20 	0.926919	0.136461	785   	0.132529	8.64516	20 	22 	5  	785   	1.95156
INFO:gp:21 	778   	0.832115	21 	0.926953	0.401279	778   	0.123161	8.97067	21 	19 	5  	778   	1.94778
INFO:gp:22 	783   	0.830407	22 	0.926989	0.29391 	783   	0.12897 	9.22972	22 	17 	5  	783   	1.90719
INFO:gp:23 	764   	0.835726	23 	0.927324	0.466426	764   	0.118555	9.52102	23 	18 	5  	764   	2.04095
INFO:gp:24 	768   	0.836931	24 	0.928813	0.431307	768   	0.120187	9.79374	24 	20 	5  	768   	2.20713
INFO:gp:25 	768   	0.836711	25 	0.928813	0.367332	768   	0.123075	9.81134	25 	22 	5  	768   	2.20605
INFO:gp:26 	773   	0.830672	26 	0.928978	0.445441	773   	0.127241	9.49756	26 	19 	5  	773   	1.65905
INFO:gp:27 	780   	0.834634	27 	0.929121	0.354461	780   	0.124023	9.57869	27 	17 	5  	780   	1.74061
INFO:gp:28 	781   	0.839235	28 	0.929121	0.463692	781   	0.12347 	9.68231	28 	19 	5  	781   	1.82192
INFO:gp:29 	768   	0.837143	29 	0.929821	0.477848	768   	0.124593	10.0528	29 	23 	5  	768   	2.25655
INFO:gp:30 	787   	0.844671	30 	0.929928	0.465754	787   	0.12141 	10.5455	30 	23 	5  	787   	2.67636
INFO:gp:31 	770   	0.843982	31 	0.930601	0.352919	770   	0.122087	10.6481	31 	20 	3  	770   	2.52288
INFO:gp:32 	785   	0.838996	32 	0.930601	0.480367	785   	0.121133	11.1701	32 	21 	5  	785   	2.69034
INFO:gp:33 	753   	0.838019	33 	0.930672	0.392173	753   	0.124267	11.609 	33 	22 	5  	753   	2.63141
INFO:gp:34 	780   	0.842884	34 	0.930827	0.450495	780   	0.120154	12.4037	34 	25 	5  	780   	2.83917
INFO:gp:35 	762   	0.832007	35 	0.930827	0.345782	762   	0.130167	12.9511	35 	29 	6  	762   	3.0399 
INFO:gp:36 	779   	0.83817 	36 	0.930827	0.464891	779   	0.123561	13.4946	36 	24 	6  	779   	2.99555
INFO:gp:37 	788   	0.833239	37 	0.931026	0.478979	788   	0.12544 	13.3675	37 	24 	3  	788   	2.85625
INFO:gp:38 	777   	0.835527	38 	0.93135 	0.425219	777   	0.12716 	13.2287	38 	28 	5  	777   	2.62265
INFO:gp:39 	806   	0.832089	39 	0.93135 	0.481971	806   	0.129315	13.5885	39 	28 	7  	806   	2.61878
INFO:gp:40 	785   	0.834459	40 	0.931528	0.330013	785   	0.129425	13.9159	40 	28 	5  	785   	2.65456
INFO:gp:41 	763   	0.843008	41 	0.933095	0.449243	763   	0.122523	14.3803	41 	27 	7  	763   	2.98237
INFO:gp:42 	793   	0.836763	42 	0.933358	0.458008	793   	0.129094	14.7674	42 	29 	7  	793   	2.93271
INFO:gp:43 	771   	0.843763	43 	0.935591	0.448755	771   	0.124249	14.9873	43 	37 	7  	771   	3.0029 
INFO:gp:44 	775   	0.850389	44 	0.935904	0.453342	775   	0.120208	15.1496	44 	27 	6  	775   	2.85356
INFO:gp:45 	779   	0.853763	45 	0.935904	0.451048	779   	0.117145	15.1329	45 	30 	9  	779   	2.99591
INFO:gp:46 	801   	0.84646 	46 	0.937035	0.488263	801   	0.121869	15.0811	46 	29 	7  	801   	3.13406
INFO:gp:47 	759   	0.853339	47 	0.937035	0.392002	759   	0.121267	15.2815	47 	29 	5  	759   	3.2879 
INFO:gp:48 	761   	0.854343	48 	0.937159	0.474876	761   	0.119817	16.085 	48 	35 	5  	761   	3.90498
INFO:gp:49 	765   	0.858499	49 	0.937322	0.483034	765   	0.117115	16.9501	49 	36 	5  	765   	4.43487
INFO:gp:50 	768   	0.863713	50 	0.937322	0.46873 	768   	0.117197	17.7625	50 	35 	8  	768   	4.53673
INFO:gp:51 	745   	0.871938	51 	0.937322	0.452662	745   	0.109206	18.7107	51 	37 	5  	745   	4.60167
INFO:gp:52 	779   	0.869845	52 	0.937819	0.526833	779   	0.110309	19.2981	52 	36 	7  	779   	4.69958
INFO:gp:53 	766   	0.868895	53 	0.937819	0.197601	766   	0.114518	18.9022	53 	36 	9  	766   	4.3282 
INFO:gp:54 	754   	0.875496	54 	0.937819	0.468541	754   	0.10643 	18.6364	54 	34 	11 	754   	4.43005
INFO:gp:55 	780   	0.873973	55 	0.938017	0.310544	780   	0.107216	18.305 	55 	34 	11 	780   	4.27396
INFO:gp:56 	743   	0.863088	56 	0.938101	0.196364	743   	0.121742	19.2972	56 	38 	9  	743   	4.43677
INFO:gp:57 	756   	0.881843	57 	0.938334	0.485058	756   	0.103972	21.0587	57 	43 	7  	756   	3.90609
