INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                         fitness                         	                      size                     
   	      	---------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50644	0  	0.74806	0.332754	1023  	0.0553157	3.55132	0  	7  	2  	1023  	1.39088
INFO:gp:1  	771   	0.551133	1  	0.797059	0.290248	771   	0.058489 	3.74878	1  	12 	2  	771   	1.52157
INFO:gp:2  	760   	0.581045	2  	0.893196	0.292792	760   	0.0722889	3.97361	2  	11 	2  	760   	1.54131
INFO:gp:3  	763   	0.623955	3  	0.893685	0.260258	763   	0.0949926	4.06549	3  	11 	2  	763   	1.59564
INFO:gp:4  	773   	0.685208	4  	0.91411 	0.313309	773   	0.117903 	3.89443	4  	11 	2  	773   	1.47663
INFO:gp:5  	780   	0.759989	5  	0.922973	0.27758 	780   	0.121055 	3.6002 	5  	13 	1  	780   	1.32111
INFO:gp:6  	769   	0.806557	6  	0.922973	0.227761	769   	0.117864 	3.40762	6  	12 	1  	769   	1.04213
INFO:gp:7  	761   	0.829518	7  	0.922973	0.411723	761   	0.116405 	3.33333	7  	11 	1  	761   	0.950039
INFO:gp:8  	748   	0.840734	8  	0.922973	0.432473	748   	0.113696 	3.44086	8  	8  	3  	748   	1.05108 
INFO:gp:9  	749   	0.837779	9  	0.922973	0.401439	749   	0.116762 	3.3695 	9  	9  	1  	749   	0.998693
INFO:gp:10 	783   	0.824499	10 	0.922973	0.432658	783   	0.123718 	3.42913	10 	9  	1  	783   	1.10831 
INFO:gp:11 	767   	0.822158	11 	0.922973	0.464733	767   	0.122622 	3.39785	11 	9  	3  	767   	1.04964 
INFO:gp:12 	759   	0.827679	12 	0.922973	0.461473	759   	0.120223 	3.4086 	12 	9  	3  	759   	1.06357 
INFO:gp:13 	786   	0.823511	13 	0.922989	0.47602 	786   	0.124115 	3.42913	13 	9  	3  	786   	1.11797 
INFO:gp:14 	786   	0.824442	14 	0.923081	0.400998	786   	0.120717 	3.46139	14 	10 	3  	786   	1.10372 
INFO:gp:15 	768   	0.827088	15 	0.923876	0.434401	768   	0.121738 	3.51711	15 	14 	3  	768   	1.22831 
INFO:gp:16 	776   	0.822572	16 	0.923876	0.235777	776   	0.124071 	3.66862	16 	10 	3  	776   	1.28859 
INFO:gp:17 	773   	0.823827	17 	0.923876	0.452271	773   	0.121433 	3.95112	17 	11 	3  	773   	1.45091 
INFO:gp:18 	739   	0.830709	18 	0.923885	0.461043	739   	0.122737 	4.5914 	18 	12 	3  	739   	1.6852  
INFO:gp:19 	764   	0.828004	19 	0.924856	0.457267	764   	0.131858 	5.40567	19 	12 	3  	764   	1.62539 
INFO:gp:20 	809   	0.820415	20 	0.924856	0.444185	809   	0.131133 	5.60508	20 	13 	3  	809   	1.50283 
INFO:gp:21 	762   	0.82808 	21 	0.926462	0.440872	762   	0.131803 	5.80254	21 	13 	3  	762   	1.75423 
INFO:gp:22 	777   	0.833935	22 	0.927375	0.443623	777   	0.13076  	6.32063	22 	13 	3  	777   	1.93159 
INFO:gp:23 	773   	0.835962	23 	0.927664	0.464201	773   	0.126323 	7.17204	23 	15 	3  	773   	2.13698 
INFO:gp:24 	777   	0.845008	24 	0.928489	0.360241	777   	0.120209 	7.62757	24 	16 	3  	777   	2.31555 
INFO:gp:25 	765   	0.853946	25 	0.928491	0.464625	765   	0.110889 	7.99316	25 	18 	3  	765   	2.52475 
INFO:gp:26 	799   	0.854709	26 	0.928961	0.477403	799   	0.109616 	8.69208	26 	23 	3  	799   	3.11557 
INFO:gp:27 	795   	0.861294	27 	0.928961	0.472031	795   	0.103552 	10     	27 	30 	3  	795   	3.84753 
INFO:gp:28 	769   	0.867169	28 	0.929108	0.46114 	769   	0.101803 	11.4731	28 	35 	3  	769   	4.28699 
INFO:gp:29 	734   	0.872413	29 	0.929108	0.422208	734   	0.0968324	13.4741	29 	33 	3  	734   	4.93229 
INFO:gp:30 	764   	0.872969	30 	0.929108	0.481918	764   	0.0916839	16.1975	30 	34 	3  	764   	5.81333 
INFO:gp:31 	771   	0.877464	31 	0.929117	0.478082	771   	0.0936098	19.5425	31 	40 	3  	771   	6.86014 
INFO:gp:32 	781   	0.876358	32 	0.930295	0.464791	781   	0.0950312	21.6305	32 	47 	3  	781   	7.13454 
INFO:gp:33 	778   	0.881399	33 	0.930295	0.467156	778   	0.0873849	24.7595	33 	43 	3  	778   	7.25616 
INFO:gp:34 	790   	0.882811	34 	0.930295	0.470981	790   	0.0881508	27.8074	34 	45 	3  	790   	6.0612  
INFO:gp:35 	781   	0.881745	35 	0.930767	0.469504	781   	0.0855115	27.564 	35 	53 	3  	781   	6.01396 
INFO:gp:36 	766   	0.884659	36 	0.931188	0.487665	766   	0.0811908	25.7107	36 	42 	3  	766   	6.11956 
INFO:gp:37 	742   	0.883628	37 	0.931212	0.487527	742   	0.0892026	24.5846	37 	43 	3  	742   	5.74826 
INFO:gp:38 	788   	0.879253	38 	0.931219	0.491259	788   	0.0968127	23.9521	38 	52 	3  	788   	6.2293  
INFO:gp:39 	793   	0.881424	39 	0.931641	0.506142	793   	0.0854215	23.0723	39 	45 	3  	793   	6.17397 
INFO:gp:40 	782   	0.877903	40 	0.932167	0.446097	782   	0.0947249	21.5386	40 	45 	3  	782   	6.38839 
INFO:gp:41 	763   	0.874085	41 	0.932167	0.470883	763   	0.097056 	21.5191	41 	40 	3  	763   	6.35688 
INFO:gp:42 	780   	0.883468	42 	0.933252	0.50529 	780   	0.0873781	23.4907	42 	55 	3  	780   	6.68007 
INFO:gp:43 	766   	0.885243	43 	0.933252	0.501178	766   	0.0867016	26.3294	43 	44 	3  	766   	6.76978 
INFO:gp:44 	806   	0.879937	44 	0.933252	0.469126	806   	0.0929115	26.9316	44 	49 	3  	806   	6.27562 
INFO:gp:45 	789   	0.887768	45 	0.933252	0.487537	789   	0.0828881	27.0499	45 	67 	3  	789   	5.88788 
INFO:gp:46 	784   	0.891593	46 	0.933374	0.462355	784   	0.0812568	26.5963	46 	47 	3  	784   	6.03495 
INFO:gp:47 	756   	0.887535	47 	0.933728	0.477478	756   	0.0851976	25.8436	47 	45 	3  	756   	5.62471 
INFO:gp:48 	758   	0.880184	48 	0.933936	0.472613	758   	0.0930933	24.3861	48 	48 	3  	758   	5.73549 
INFO:gp:49 	793   	0.881159	49 	0.934049	0.472613	793   	0.0915579	24.0098	49 	43 	3  	793   	5.36069 
INFO:gp:50 	776   	0.882725	50 	0.934049	0.472613	776   	0.0928346	24.9365	50 	43 	3  	776   	5.55052 
INFO:gp:51 	768   	0.887461	51 	0.934049	0.500579	768   	0.0865716	26.0342	51 	43 	3  	768   	5.2852  
INFO:gp:52 	770   	0.892477	52 	0.934375	0.486839	770   	0.0812581	26.999 	52 	42 	3  	770   	5.09912 
INFO:gp:53 	767   	0.889237	53 	0.935069	0.446124	767   	0.0813285	27.3666	53 	53 	3  	767   	5.34842 
INFO:gp:54 	787   	0.890021	54 	0.935069	0.488682	787   	0.0838036	27.1887	54 	42 	3  	787   	4.90661 
INFO:gp:55 	785   	0.89255 	55 	0.935069	0.486607	785   	0.0814608	26.6598	55 	50 	3  	785   	5.26461 
INFO:gp:56 	768   	0.889218	56 	0.935203	0.472613	768   	0.0881315	26.0078	56 	48 	3  	768   	5.38706 
INFO:gp:57 	784   	0.892751	57 	0.935203	0.483841	784   	0.0836441	25.1349	57 	47 	3  	784   	5.15141 
INFO:gp:58 	762   	0.885238	58 	0.935203	0.466659	762   	0.0978145	25.1417	58 	46 	3  	762   	5.62692 
INFO:gp:59 	784   	0.890073	59 	0.935791	0.49365 	784   	0.0861556	26.2385	59 	44 	3  	784   	5.95829 
INFO:gp:60 	771   	0.893989	60 	0.935791	0.500792	771   	0.0820734	26.7781	60 	48 	3  	771   	5.85109 
INFO:gp:61 	791   	0.890656	61 	0.936239	0.472613	791   	0.0931123	26.9746	61 	41 	3  	791   	5.6296  
INFO:gp:62 	747   	0.897268	62 	0.936239	0.449078	747   	0.0812446	27.6393	62 	45 	3  	747   	4.57135 
INFO:gp:63 	759   	0.890147	63 	0.936239	0.422247	759   	0.0876159	28.2551	63 	42 	3  	759   	4.77862 
INFO:gp:64 	774   	0.89886 	64 	0.936254	0.456116	774   	0.0754962	27.827 	64 	44 	3  	774   	5.30906 
INFO:gp:65 	786   	0.894836	65 	0.936279	0.472887	786   	0.0806495	27.0674	65 	43 	3  	786   	5.33367 
INFO:gp:66 	759   	0.894374	66 	0.936279	0.459549	759   	0.0831062	25.5386	66 	40 	3  	759   	5.99464 
INFO:gp:67 	739   	0.888822	67 	0.936288	0.477732	739   	0.0897779	24.6647	67 	40 	3  	739   	6.13772 
INFO:gp:68 	770   	0.890821	68 	0.936288	0.490572	770   	0.0844872	24.7546	68 	44 	3  	770   	6.60085 
INFO:gp:69 	756   	0.891514	69 	0.936288	0.485795	756   	0.0869707	27.1075	69 	42 	3  	756   	7.0079  
INFO:gp:70 	798   	0.889519	70 	0.9363  	0.474046	798   	0.0891489	29.8162	70 	47 	3  	798   	6.19569 
INFO:gp:71 	759   	0.897725	71 	0.9363  	0.420901	759   	0.0835306	31.259 	71 	47 	3  	759   	5.1515  
INFO:gp:72 	756   	0.895006	72 	0.9363  	0.471564	756   	0.0803815	32.1017	72 	66 	3  	756   	5.12135 
INFO:gp:73 	791   	0.896348	73 	0.93632 	0.4793  	791   	0.0791815	32.9071	73 	47 	3  	791   	5.20529 
INFO:gp:74 	771   	0.895188	74 	0.936904	0.489404	771   	0.0807107	33.1124	74 	53 	3  	771   	4.92506 
INFO:gp:75 	763   	0.893927	75 	0.936904	0.413995	763   	0.0864121	32.5582	75 	43 	3  	763   	4.92726 
INFO:gp:76 	776   	0.892025	76 	0.936928	0.476592	776   	0.0848973	32.5191	76 	63 	3  	776   	4.89013 
INFO:gp:77 	785   	0.900386	77 	0.936928	0.487918	785   	0.0746437	33.1232	77 	48 	3  	785   	4.88364 
INFO:gp:78 	776   	0.889852	78 	0.936953	0.471153	776   	0.0844571	34.5709	78 	57 	3  	776   	6.33464 
INFO:gp:79 	761   	0.897682	79 	0.936957	0.468955	761   	0.080505 	36.5582	79 	52 	3  	761   	6.74477 
INFO:gp:80 	752   	0.896993	80 	0.93696 	0.4793  	752   	0.0824203	37.9707	80 	53 	3  	752   	6.45816 
