INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500351	0  	0.770202	0.295401	1023  	0.0561161	3.53079	0  	7  	2  	1023  	1.34941
INFO:gp:1  	799   	0.546769	1  	0.770202	0.382046	799   	0.0593008	3.6305 	1  	13 	2  	799   	1.44171
INFO:gp:2  	774   	0.579259	2  	0.800699	0.349754	774   	0.0711771	3.55327	2  	10 	2  	774   	1.3781 
INFO:gp:3  	776   	0.608749	3  	0.824609	0.333369	776   	0.0872674	3.72532	3  	12 	1  	776   	1.65671
INFO:gp:4  	745   	0.647673	4  	0.858833	0.342219	745   	0.0974758	4.44282	4  	13 	2  	745   	2.17342
INFO:gp:5  	753   	0.671687	5  	0.858833	0.264176	753   	0.103414 	5.15445	5  	14 	2  	753   	2.41848
INFO:gp:6  	764   	0.685805	6  	0.866316	0.205389	764   	0.113194 	5.16031	6  	15 	2  	764   	2.33544
INFO:gp:7  	774   	0.69323 	7  	0.866316	0.239803	774   	0.127507 	4.72141	7  	13 	2  	774   	2.09351
INFO:gp:8  	767   	0.718496	8  	0.90176 	0.280603	767   	0.130511 	4.31867	8  	16 	2  	767   	1.91922
INFO:gp:9  	786   	0.741506	9  	0.90176 	0.242683	786   	0.132919 	4.01271	9  	13 	2  	786   	1.56602
INFO:gp:10 	771   	0.781543	10 	0.90176 	0.284628	771   	0.121758 	4.20332	10 	10 	2  	771   	1.44894
INFO:gp:11 	767   	0.782073	11 	0.90176 	0.264862	767   	0.127595 	4.9042 	11 	12 	2  	767   	1.35224
INFO:gp:12 	794   	0.781357	12 	0.90176 	0.327805	794   	0.137761 	5.4174 	12 	12 	2  	794   	1.36238
INFO:gp:13 	763   	0.769564	13 	0.90176 	0.327907	763   	0.143517 	5.70381	13 	13 	2  	763   	1.42497
INFO:gp:14 	764   	0.760519	14 	0.90176 	0.317376	764   	0.154733 	5.82307	14 	12 	2  	764   	1.49452
INFO:gp:15 	776   	0.756379	15 	0.90176 	0.24287 	776   	0.156968 	5.67058	15 	12 	2  	776   	1.52912
INFO:gp:16 	740   	0.783001	16 	0.90176 	0.326436	740   	0.141525 	5.57869	16 	12 	2  	740   	1.45355
INFO:gp:17 	764   	0.786352	17 	0.90176 	0.314364	764   	0.140683 	5.45552	17 	12 	2  	764   	1.41274
INFO:gp:18 	781   	0.790821	18 	0.90176 	0.310507	781   	0.133511 	5.49462	18 	12 	3  	781   	1.48887
INFO:gp:19 	765   	0.791551	19 	0.90176 	0.327832	765   	0.135483 	5.3783 	19 	12 	3  	765   	1.38509
INFO:gp:20 	779   	0.800011	20 	0.90176 	0.327972	779   	0.130266 	5.40371	20 	12 	3  	779   	1.39131
INFO:gp:21 	758   	0.802986	21 	0.90176 	0.327845	758   	0.131871 	5.36559	21 	12 	3  	758   	1.36543
INFO:gp:22 	787   	0.806002	22 	0.90176 	0.300888	787   	0.128866 	5.37537	22 	12 	3  	787   	1.34835
INFO:gp:23 	770   	0.79863 	23 	0.90176 	0.327989	770   	0.131401 	5.41251	23 	12 	3  	770   	1.43068
INFO:gp:24 	750   	0.79181 	24 	0.90176 	0.314789	750   	0.138073 	5.31085	24 	12 	3  	750   	1.32542
INFO:gp:25 	785   	0.800545	25 	0.90176 	0.343297	785   	0.132116 	5.41153	25 	12 	3  	785   	1.38479
INFO:gp:26 	782   	0.799531	26 	0.90176 	0.343237	782   	0.131937 	5.42131	26 	12 	3  	782   	1.40778
INFO:gp:27 	781   	0.794748	27 	0.90176 	0.315564	781   	0.133282 	5.4565 	27 	13 	3  	781   	1.50782
