INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.500319	0  	0.748457	0.321351	1023  	0.0548511	3.5044	0  	7  	2  	1023  	1.33811
INFO:gp:1  	756   	0.547596	1  	0.788246	0.313422	756   	0.0562357	3.78592	1  	12 	2  	756   	1.52019
INFO:gp:2  	786   	0.571887	2  	0.808343	0.34864 	786   	0.0682547	3.91007	2  	14 	2  	786   	1.6233 
INFO:gp:3  	806   	0.600735	3  	0.855021	0.300592	806   	0.0895817	4.17107	3  	11 	2  	806   	1.65472
INFO:gp:4  	761   	0.644784	4  	0.877231	0.330274	761   	0.10336  	4.27468	4  	14 	2  	761   	1.63354
INFO:gp:5  	775   	0.676107	5  	0.877231	0.348384	775   	0.119928 	4.64712	5  	16 	2  	775   	1.7209 
INFO:gp:6  	787   	0.708257	6  	0.877231	0.253666	787   	0.127791 	5.12903	6  	14 	1  	787   	1.73768
INFO:gp:7  	780   	0.741487	7  	0.877243	0.363364	780   	0.126657 	5.49071	7  	17 	1  	780   	1.88207
INFO:gp:8  	796   	0.750697	8  	0.877243	0.277314	796   	0.132493 	5.87292	8  	17 	2  	796   	2.03524
INFO:gp:9  	781   	0.753013	9  	0.877256	0.396101	781   	0.137613 	6.32454	9  	17 	2  	781   	2.20863
INFO:gp:10 	768   	0.761732	10 	0.877256	0.369349	768   	0.13921  	7.15249	10 	15 	2  	768   	2.19664
INFO:gp:11 	764   	0.785619	11 	0.877261	0.364207	764   	0.142029 	8.06549	11 	17 	2  	764   	2.16761
INFO:gp:12 	806   	0.797423	12 	0.877261	0.35888 	806   	0.143814 	8.77615	12 	17 	2  	806   	2.02326
INFO:gp:13 	772   	0.794756	13 	0.877266	0.271246	772   	0.144615 	8.85533	13 	20 	2  	772   	2.21357
INFO:gp:14 	788   	0.794974	14 	0.877276	0.341231	788   	0.144441 	8.73803	14 	17 	2  	788   	2.60419
INFO:gp:15 	782   	0.792613	15 	0.877282	0.394362	782   	0.14508  	9.35679	15 	21 	2  	782   	3.22029
INFO:gp:16 	773   	0.810365	16 	0.877304	0.254594	773   	0.13247  	10.7634	16 	22 	2  	773   	3.42191
INFO:gp:17 	779   	0.798201	17 	0.877304	0.346883	779   	0.145053 	12.0733	17 	24 	2  	779   	3.4629 
INFO:gp:18 	753   	0.805544	18 	0.877309	0.361132	753   	0.13699  	13.1056	18 	27 	2  	753   	4.01739
INFO:gp:19 	775   	0.802799	19 	0.884046	0.326785	775   	0.138748 	14.9785	19 	27 	2  	775   	4.08506
INFO:gp:20 	782   	0.797923	20 	0.884046	0.298109	782   	0.143312 	15.4907	20 	26 	2  	782   	3.49636
INFO:gp:21 	780   	0.805259	21 	0.884046	0.364563	780   	0.138747 	15.9189	21 	26 	2  	780   	2.94131
INFO:gp:22 	789   	0.807518	22 	0.884046	0.284711	789   	0.136647 	16.391 	22 	28 	2  	789   	3.13115
INFO:gp:23 	745   	0.812637	23 	0.884074	0.419227	745   	0.131441 	17.2493	23 	27 	2  	745   	3.41371
INFO:gp:24 	789   	0.810253	24 	0.884101	0.291535	789   	0.136806 	16.9795	24 	34 	2  	789   	4.36759
INFO:gp:25 	754   	0.810587	25 	0.884132	0.352366	754   	0.134412 	15.262 	25 	34 	2  	754   	5.23166
INFO:gp:26 	749   	0.802545	26 	0.884292	0.291234	749   	0.14326  	15.5259	26 	31 	2  	749   	5.70101
INFO:gp:27 	764   	0.812098	27 	0.884292	0.300429	764   	0.13614  	19.5777	27 	34 	2  	764   	5.86851
INFO:gp:28 	761   	0.803186	28 	0.884356	0.416824	761   	0.141745 	21.3314	28 	34 	2  	761   	4.44722
INFO:gp:29 	758   	0.805854	29 	0.88439 	0.375602	758   	0.141819 	22.6315	29 	33 	2  	758   	4.47739
INFO:gp:30 	759   	0.801995	30 	0.89119 	0.384064	759   	0.143294 	23.5963	30 	37 	2  	759   	4.97838
INFO:gp:31 	773   	0.789154	31 	0.891192	0.408755	773   	0.151232 	22.7937	31 	45 	6  	773   	6.02175
INFO:gp:32 	749   	0.786656	32 	0.891192	0.412398	749   	0.152396 	22.6911	32 	43 	3  	749   	5.82444
