INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500463	0  	0.709693	0.25175	1023  	0.0568816	3.54545	0  	7  	2  	1023  	1.36699
INFO:gp:1  	770   	0.551459	1  	0.761376	0.367697	770   	0.0579842	3.78592	1  	11 	2  	770   	1.45916
INFO:gp:2  	786   	0.587088	2  	0.839085	0.326913	786   	0.0797201	4.03812	2  	13 	2  	786   	1.53407
INFO:gp:3  	778   	0.643701	3  	0.887164	0.29931 	778   	0.0955862	4.4741 	3  	12 	2  	778   	1.71106
INFO:gp:4  	770   	0.702193	4  	0.887164	0.374041	770   	0.0960581	4.69208	4  	12 	1  	770   	1.75365
INFO:gp:5  	776   	0.724852	5  	0.887164	0.298762	776   	0.110162 	4.59335	5  	13 	2  	776   	1.81037
INFO:gp:6  	778   	0.759521	6  	0.887164	0.399435	778   	0.107397 	4.17595	6  	12 	1  	778   	1.49888
INFO:gp:7  	760   	0.787572	7  	0.894835	0.382104	760   	0.105665 	3.99804	7  	12 	1  	760   	1.41628
INFO:gp:8  	766   	0.798343	8  	0.894835	0.395316	766   	0.105246 	3.86413	8  	11 	2  	766   	1.31169
INFO:gp:9  	760   	0.796734	9  	0.894835	0.452558	760   	0.111013 	3.91691	9  	11 	1  	760   	1.28071
INFO:gp:10 	768   	0.805408	10 	0.900977	0.363392	768   	0.108343 	3.95797	10 	11 	3  	768   	1.30237
INFO:gp:11 	801   	0.807247	11 	0.900981	0.453354	801   	0.105819 	4.30792	11 	11 	3  	801   	1.47047
INFO:gp:12 	777   	0.819084	12 	0.900981	0.474401	777   	0.102897 	4.66862	12 	11 	3  	777   	1.45532
INFO:gp:13 	769   	0.833726	13 	0.900981	0.424753	769   	0.0978552	4.97947	13 	11 	3  	769   	1.42611
INFO:gp:14 	750   	0.843143	14 	0.900993	0.484315	750   	0.0887664	5.02835	14 	12 	3  	750   	1.39759
INFO:gp:15 	752   	0.849483	15 	0.900993	0.455655	752   	0.0828057	5.1652 	15 	11 	3  	752   	1.37677
INFO:gp:16 	755   	0.861408	16 	0.901042	0.502742	755   	0.0742414	5.37732	16 	13 	3  	755   	1.4356 
INFO:gp:17 	795   	0.856834	17 	0.9133  	0.493056	795   	0.0787571	5.73803	17 	13 	3  	795   	2.04155
INFO:gp:18 	790   	0.857671	18 	0.918045	0.484879	790   	0.0777778	6.78983	18 	15 	3  	790   	2.73313
INFO:gp:19 	748   	0.858763	19 	0.918045	0.308773	748   	0.0833274	8.50538	19 	19 	3  	748   	2.97525
INFO:gp:20 	798   	0.850212	20 	0.918045	0.447797	798   	0.0884702	9.04985	20 	19 	3  	798   	2.79898
INFO:gp:21 	777   	0.858132	21 	0.918067	0.473168	777   	0.0860457	8.66569	21 	20 	3  	777   	2.71228
INFO:gp:22 	761   	0.856303	22 	0.918721	0.440424	761   	0.0908311	8.64223	22 	20 	3  	761   	2.72512
INFO:gp:23 	778   	0.863071	23 	0.918733	0.464032	778   	0.0886464	9.75953	23 	23 	3  	778   	3.16519
INFO:gp:24 	785   	0.873893	24 	0.918733	0.399377	785   	0.0762687	11.2092	24 	25 	3  	785   	3.142  
INFO:gp:25 	772   	0.882429	25 	0.919181	0.515036	772   	0.068858 	12.6334	25 	29 	3  	772   	3.33434
INFO:gp:26 	781   	0.886252	26 	0.919188	0.531747	781   	0.0610196	14.3079	26 	29 	3  	781   	4.06881
INFO:gp:27 	766   	0.8847  	27 	0.919434	0.505025	766   	0.0651124	16.8847	27 	39 	3  	766   	4.78209
INFO:gp:28 	767   	0.885066	28 	0.919523	0.539044	767   	0.0632662	19.6256	28 	43 	3  	767   	5.38595
INFO:gp:29 	773   	0.886571	29 	0.91973 	0.514629	773   	0.0636924	22.1515	29 	39 	3  	773   	5.79256
INFO:gp:30 	761   	0.889018	30 	0.919872	0.495566	761   	0.0635027	24.5963	30 	51 	3  	761   	5.90709
INFO:gp:31 	775   	0.887695	31 	0.919872	0.534881	775   	0.0634132	25.5982	31 	49 	3  	775   	5.88567
INFO:gp:32 	779   	0.885967	32 	0.920374	0.478698	779   	0.068001 	25.4545	32 	53 	3  	779   	5.68836
INFO:gp:33 	761   	0.888018	33 	0.920374	0.501997	761   	0.0652361	25.8192	33 	42 	3  	761   	5.47129
INFO:gp:34 	726   	0.889842	34 	0.920475	0.518873	726   	0.0620258	26.5611	34 	47 	3  	726   	4.9752 
INFO:gp:35 	769   	0.884847	35 	0.920475	0.504932	769   	0.069947 	27.0039	35 	49 	3  	769   	5.6591 
INFO:gp:36 	775   	0.888622	36 	0.920633	0.522025	775   	0.0618575	28.3196	36 	52 	3  	775   	5.75421
INFO:gp:37 	765   	0.885785	37 	0.92066 	0.519149	765   	0.068245 	28.9345	37 	51 	3  	765   	6.17334
INFO:gp:38 	789   	0.885493	38 	0.92066 	0.516546	789   	0.0662857	29.7654	38 	51 	3  	789   	6.17263
INFO:gp:39 	753   	0.883653	39 	0.920859	0.509976	753   	0.0719744	30.6901	39 	51 	3  	753   	6.78887
INFO:gp:40 	750   	0.886161	40 	0.921303	0.513949	750   	0.0692161	31.8719	40 	51 	3  	750   	6.81097
INFO:gp:41 	788   	0.884196	41 	0.921303	0.479127	788   	0.0738529	33.086 	41 	59 	3  	788   	6.39865
INFO:gp:42 	766   	0.882565	42 	0.921497	0.304265	766   	0.0795337	33.6794	42 	59 	3  	766   	6.133  
INFO:gp:43 	766   	0.889523	43 	0.921647	0.485798	766   	0.0663041	34.3372	43 	61 	3  	766   	6.42443
INFO:gp:44 	771   	0.890121	44 	0.921647	0.520004	771   	0.0629745	35.0714	44 	61 	3  	771   	5.82288
INFO:gp:45 	773   	0.888316	45 	0.922045	0.520347	773   	0.0688197	34.737 	45 	59 	3  	773   	6.11732
INFO:gp:46 	761   	0.887295	46 	0.922045	0.48369 	761   	0.0703996	35.1642	46 	63 	3  	761   	5.95506
INFO:gp:47 	776   	0.89219 	47 	0.922045	0.494678	776   	0.0587219	35.433 	47 	61 	3  	776   	6.08165
INFO:gp:48 	759   	0.889713	48 	0.922204	0.49468 	759   	0.0679637	35.9247	48 	65 	3  	759   	6.15896
INFO:gp:49 	770   	0.891882	49 	0.922636	0.497392	770   	0.0687745	36.5259	49 	64 	3  	770   	6.16846
INFO:gp:50 	774   	0.897417	50 	0.923511	0.49739 	774   	0.0519434	36.2121	50 	55 	3  	774   	5.7663 
INFO:gp:51 	761   	0.891786	51 	0.923511	0.497391	761   	0.0645056	36.2493	51 	68 	3  	761   	6.63704
INFO:gp:52 	742   	0.895699	52 	0.92385 	0.461767	742   	0.0608579	37.4418	52 	71 	3  	742   	7.19973
INFO:gp:53 	761   	0.889905	53 	0.92385 	0.490741	761   	0.0725555	41.001 	53 	71 	3  	761   	8.01081
INFO:gp:54 	781   	0.891514	54 	0.924573	0.506876	781   	0.0684162	45.5181	54 	69 	3  	781   	8.4661 
INFO:gp:55 	763   	0.889207	55 	0.924573	0.490741	763   	0.076727 	48.6334	55 	78 	3  	763   	7.50012
INFO:gp:56 	780   	0.890461	56 	0.924573	0.48519 	780   	0.0727252	49.0596	56 	71 	3  	780   	7.55258
INFO:gp:57 	785   	0.887608	57 	0.924632	0.512751	785   	0.0785545	49.1642	57 	82 	3  	785   	7.43669
INFO:gp:58 	777   	0.891602	58 	0.924677	0.527197	777   	0.0714467	49.7761	58 	76 	3  	777   	7.36174
INFO:gp:59 	779   	0.893497	59 	0.9252  	0.498601	779   	0.0702197	52.3226	59 	77 	3  	779   	6.8264 
INFO:gp:60 	783   	0.89531 	60 	0.92542 	0.517988	783   	0.0676447	53.9003	60 	76 	3  	783   	8.10234
INFO:gp:61 	775   	0.896219	61 	0.92542 	0.491611	775   	0.0648154	54.9961	61 	78 	3  	775   	7.47037
INFO:gp:62 	764   	0.895092	62 	0.925999	0.471033	764   	0.067839 	55.9071	62 	85 	3  	764   	8.38027
INFO:gp:63 	764   	0.901952	63 	0.926401	0.506882	764   	0.0562879	57.2669	63 	80 	3  	764   	8.99919
INFO:gp:64 	781   	0.895558	64 	0.926401	0.519229	781   	0.0643637	59.2229	64 	90 	3  	781   	8.98708
INFO:gp:65 	768   	0.896157	65 	0.926401	0.506882	768   	0.0679217	60.2307	65 	100	3  	768   	10.3578
INFO:gp:66 	766   	0.89537 	66 	0.926539	0.463736	766   	0.0700526	62.7302	66 	90 	3  	766   	9.69161
INFO:gp:67 	749   	0.89932 	67 	0.926539	0.494669	749   	0.063894 	66.3763	67 	119	3  	749   	8.83121
INFO:gp:68 	808   	0.89958 	68 	0.926539	0.487067	808   	0.0588429	68.3959	68 	108	3  	808   	9.56363
INFO:gp:69 	782   	0.902703	69 	0.926539	0.475308	782   	0.0532971	70.2835	69 	108	3  	782   	8.44948
