INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50231	0  	0.726778	0.324002	1023  	0.0545944	3.50831	0  	7  	2  	1023  	1.34973
INFO:gp:1  	766   	0.550304	1  	0.75567 	0.199464	766   	0.0579399	3.78983	1  	11 	2  	766   	1.58   
INFO:gp:2  	768   	0.580429	2  	0.840927	0.317124	768   	0.0731828	4.27761	2  	12 	2  	768   	1.78655
INFO:gp:3  	789   	0.6169  	3  	0.883027	0.306192	789   	0.0885339	4.69306	3  	14 	2  	789   	1.90785
INFO:gp:4  	777   	0.640458	4  	0.890041	0.293182	777   	0.106639 	4.73216	4  	13 	2  	777   	1.89422
INFO:gp:5  	780   	0.661691	5  	0.890041	0.253008	780   	0.122124 	4.57674	5  	12 	1  	780   	1.71467
INFO:gp:6  	757   	0.69759 	6  	0.890041	0.247556	757   	0.130941 	4.739  	6  	13 	2  	757   	1.68697
INFO:gp:7  	745   	0.715172	7  	0.896879	0.263088	745   	0.140551 	4.6784 	7  	14 	2  	745   	1.67764
INFO:gp:8  	764   	0.733535	8  	0.906746	0.265852	764   	0.148758 	4.66862	8  	12 	2  	764   	1.64749
INFO:gp:9  	764   	0.754958	9  	0.915522	0.276279	764   	0.146467 	4.91984	9  	13 	2  	764   	1.67654
INFO:gp:10 	786   	0.776105	10 	0.915591	0.342512	786   	0.146079 	5.15249	10 	12 	2  	786   	1.58937
INFO:gp:11 	778   	0.788786	11 	0.915591	0.320115	778   	0.152251 	5.64321	11 	13 	2  	778   	1.79735
INFO:gp:12 	788   	0.80961 	12 	0.915591	0.343388	788   	0.144734 	6.32942	12 	16 	2  	788   	2.13155
INFO:gp:13 	767   	0.814229	13 	0.915591	0.374623	767   	0.148622 	7.02346	13 	16 	2  	767   	2.17545
INFO:gp:14 	801   	0.819673	14 	0.915629	0.319546	801   	0.14516  	7.01466	14 	16 	2  	801   	2.00799
INFO:gp:15 	754   	0.822183	15 	0.915629	0.16393 	754   	0.147455 	7.15738	15 	15 	2  	754   	2.00967
INFO:gp:16 	775   	0.830171	16 	0.91605 	0.354622	775   	0.138109 	7.89247	16 	17 	2  	775   	2.14074
INFO:gp:17 	783   	0.827227	17 	0.91605 	0.195893	783   	0.141813 	8.25513	17 	16 	2  	783   	2.07494
INFO:gp:18 	747   	0.839051	18 	0.91605 	0.33025 	747   	0.134078 	8.82893	18 	19 	2  	747   	2.36773
INFO:gp:19 	801   	0.831783	19 	0.916119	0.277394	801   	0.138285 	10.1241	19 	22 	2  	801   	3.05749
INFO:gp:20 	792   	0.837236	20 	0.916119	0.395799	792   	0.133131 	11.2581	20 	25 	2  	792   	2.91621
INFO:gp:21 	780   	0.836044	21 	0.916151	0.365949	780   	0.135884 	11.5591	21 	23 	2  	780   	3.06849
INFO:gp:22 	778   	0.841774	22 	0.916663	0.393258	778   	0.129774 	11.5054	22 	23 	2  	778   	2.752  
INFO:gp:23 	784   	0.832158	23 	0.916663	0.345934	784   	0.138635 	11.39  	23 	25 	2  	784   	2.92416
INFO:gp:24 	787   	0.835342	24 	0.916663	0.297875	787   	0.133937 	11.4115	24 	23 	2  	787   	2.68695
INFO:gp:25 	780   	0.84157 	25 	0.916663	0.364431	780   	0.131714 	11.2981	25 	23 	2  	780   	2.76235
INFO:gp:26 	754   	0.842696	26 	0.916706	0.410315	754   	0.131655 	11.3587	26 	25 	2  	754   	2.60711
INFO:gp:27 	775   	0.839387	27 	0.91712 	0.415334	775   	0.134385 	11.2952	27 	23 	2  	775   	2.9234 
INFO:gp:28 	787   	0.845176	28 	0.91937 	0.384555	787   	0.130788 	11.2307	28 	21 	2  	787   	2.53337
INFO:gp:29 	779   	0.836003	29 	0.919379	0.309669	779   	0.134573 	11.4154	29 	23 	2  	779   	2.75887
