INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.503849	0  	0.706296	0.350672	1023  	0.054002	3.52395	0  	7  	2  	1023  	1.36896
INFO:gp:1  	800   	0.547375	1  	0.720206	0.239516	800   	0.0563067	3.70968	1  	11 	2  	800   	1.50424
INFO:gp:2  	774   	0.572933	2  	0.763438	0.348876	774   	0.0644884	3.8348 	2  	10 	2  	774   	1.53648
INFO:gp:3  	757   	0.601406	3  	0.819678	0.30033 	757   	0.0759313	4.14174	3  	10 	2  	757   	1.59068
INFO:gp:4  	759   	0.631482	4  	0.863813	0.285115	759   	0.0910254	4.42131	4  	11 	1  	759   	1.56433
INFO:gp:5  	756   	0.674068	5  	0.879146	0.260221	756   	0.106102 	4.64907	5  	12 	1  	756   	1.47147
INFO:gp:6  	752   	0.706356	6  	0.881466	0.265075	752   	0.117424 	4.6608 	6  	13 	2  	752   	1.49004
INFO:gp:7  	802   	0.739359	7  	0.900536	0.297416	802   	0.12259  	4.4477 	7  	10 	2  	802   	1.4873 
INFO:gp:8  	789   	0.743796	8  	0.913667	0.226695	789   	0.135253 	4.75269	8  	11 	2  	789   	1.88487
INFO:gp:9  	754   	0.769272	9  	0.913667	0.321488	754   	0.132967 	5.71554	9  	14 	2  	754   	2.39913
INFO:gp:10 	784   	0.781197	10 	0.913667	0.315594	784   	0.132346 	6.62072	10 	19 	2  	784   	2.67109
INFO:gp:11 	783   	0.795787	11 	0.913667	0.348974	783   	0.130701 	7.21505	11 	16 	3  	783   	2.47543
INFO:gp:12 	791   	0.807118	12 	0.914428	0.264199	791   	0.127479 	7.82111	12 	18 	3  	791   	2.44035
INFO:gp:13 	763   	0.819902	13 	0.914859	0.37118 	763   	0.120653 	8.20919	13 	17 	3  	763   	2.30076
INFO:gp:14 	776   	0.813113	14 	0.914859	0.365793	776   	0.131254 	8.70479	14 	21 	3  	776   	2.45006
INFO:gp:15 	772   	0.815528	15 	0.91532 	0.469928	772   	0.130831 	8.94037	15 	21 	3  	772   	2.74162
INFO:gp:16 	780   	0.829783	16 	0.915517	0.456052	780   	0.123742 	9.25611	16 	29 	3  	780   	2.90698
INFO:gp:17 	788   	0.831134	17 	0.916175	0.431427	788   	0.125916 	9.65787	17 	29 	3  	788   	3.25223
INFO:gp:18 	774   	0.835306	18 	0.916175	0.485653	774   	0.127322 	10.305 	18 	27 	3  	774   	3.42506
INFO:gp:19 	766   	0.824961	19 	0.916585	0.445439	766   	0.135194 	11.4614	19 	29 	3  	766   	3.80156
INFO:gp:20 	751   	0.829095	20 	0.917048	0.43609 	751   	0.131872 	12.3255	20 	33 	3  	751   	4.07585
INFO:gp:21 	764   	0.820307	21 	0.918584	0.447694	764   	0.138696 	12.7253	21 	29 	3  	764   	4.06085
INFO:gp:22 	764   	0.824454	22 	0.918584	0.464456	764   	0.136117 	13.3881	22 	31 	3  	764   	4.61488
INFO:gp:23 	782   	0.832868	23 	0.919818	0.487486	782   	0.132853 	14.2326	23 	33 	3  	782   	4.78069
INFO:gp:24 	791   	0.828853	24 	0.919818	0.464456	791   	0.136606 	15.7556	24 	37 	3  	791   	4.94752
INFO:gp:25 	784   	0.83142 	25 	0.920554	0.424311	784   	0.136801 	17.4878	25 	37 	3  	784   	5.16848
INFO:gp:26 	776   	0.824791	26 	0.921126	0.464456	776   	0.144499 	18.9101	26 	38 	3  	776   	5.3885 
INFO:gp:27 	788   	0.837109	27 	0.921126	0.470809	788   	0.137033 	19.8641	27 	37 	3  	788   	4.99463
INFO:gp:28 	757   	0.833788	28 	0.92119 	0.456522	757   	0.138286 	21.1369	28 	37 	3  	757   	4.57701
INFO:gp:29 	783   	0.832322	29 	0.92119 	0.354614	783   	0.141509 	22.0196	29 	42 	3  	783   	4.84214
INFO:gp:30 	781   	0.837171	30 	0.92136 	0.457087	781   	0.13718  	23.563 	30 	42 	3  	781   	4.35426
INFO:gp:31 	772   	0.840434	31 	0.921413	0.421322	772   	0.135898 	24.5367	31 	42 	3  	772   	4.17884
INFO:gp:32 	765   	0.824627	32 	0.921413	0.443615	765   	0.147158 	24.4927	32 	37 	3  	765   	3.90424
INFO:gp:33 	780   	0.829735	33 	0.921699	0.364164	780   	0.145267 	24.4575	33 	47 	3  	780   	4.16121
INFO:gp:34 	771   	0.829479	34 	0.921699	0.438264	771   	0.141938 	24.3617	34 	47 	3  	771   	4.34713
INFO:gp:35 	768   	0.829645	35 	0.923101	0.409755	768   	0.143546 	24.2874	35 	43 	3  	768   	4.22874
INFO:gp:36 	779   	0.832451	36 	0.923101	0.390562	779   	0.139759 	24.1134	36 	45 	3  	779   	4.41171
INFO:gp:37 	761   	0.83525 	37 	0.923414	0.296207	761   	0.139961 	23.9198	37 	40 	3  	761   	4.54256
INFO:gp:38 	784   	0.839578	38 	0.92352 	0.465111	784   	0.135395 	24.2454	38 	43 	3  	784   	4.7271 
INFO:gp:39 	771   	0.84998 	39 	0.923958	0.448614	771   	0.124788 	24.6755	39 	41 	3  	771   	4.60717
INFO:gp:40 	785   	0.842978	40 	0.92485 	0.464449	785   	0.132033 	24.6325	40 	44 	3  	785   	5.51722
INFO:gp:41 	781   	0.847821	41 	0.925178	0.465111	781   	0.12619  	24.4106	41 	45 	3  	781   	6.25333
INFO:gp:42 	766   	0.838622	42 	0.925178	0.425065	766   	0.133309 	24.0176	42 	46 	3  	766   	6.86041
INFO:gp:43 	753   	0.842997	43 	0.925387	0.448721	753   	0.130996 	24.2512	43 	46 	3  	753   	7.01684
INFO:gp:44 	803   	0.837218	44 	0.925614	0.430592	803   	0.13231  	24.6764	44 	43 	3  	803   	7.02752
INFO:gp:45 	739   	0.844614	45 	0.92641 	0.368276	739   	0.13213  	24.8847	45 	45 	3  	739   	6.94247
INFO:gp:46 	777   	0.838519	46 	0.92641 	0.425833	777   	0.133374 	24.3558	46 	57 	3  	777   	6.60449
INFO:gp:47 	770   	0.845381	47 	0.927992	0.404746	770   	0.128917 	24.1662	47 	44 	3  	770   	6.35245
INFO:gp:48 	788   	0.843393	48 	0.928622	0.416786	788   	0.126966 	24.7732	48 	58 	3  	788   	7.27275
INFO:gp:49 	785   	0.849382	49 	0.928622	0.444247	785   	0.123696 	26.6686	49 	58 	4  	785   	8.4882 
