INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.501834	0  	0.743054	0.214934	1023  	0.0562371	3.48192	0  	7  	2  	1023  	1.34237
INFO:gp:1  	768   	0.552341	1  	0.760719	0.36164 	768   	0.0566789	3.6305 	1  	12 	2  	768   	1.41087
INFO:gp:2  	762   	0.583354	2  	0.800945	0.260817	762   	0.0733266	3.63148	2  	11 	2  	762   	1.40104
INFO:gp:3  	794   	0.61287 	3  	0.823501	0.274458	794   	0.0935799	4.03226	3  	12 	2  	794   	1.61249
INFO:gp:4  	778   	0.655139	4  	0.839009	0.301244	778   	0.104008 	4.14174	4  	14 	2  	778   	1.63073
INFO:gp:5  	770   	0.69679 	5  	0.871048	0.319657	770   	0.104401 	4.27077	5  	12 	2  	770   	1.75921
INFO:gp:6  	793   	0.717729	6  	0.871048	0.372852	793   	0.115477 	3.99022	6  	12 	3  	793   	1.59726
INFO:gp:7  	775   	0.748642	7  	0.879823	0.349734	775   	0.115207 	3.90323	7  	12 	3  	775   	1.44952
INFO:gp:8  	756   	0.757063	8  	0.881694	0.377992	756   	0.122421 	3.826  	8  	9  	3  	756   	1.38171
INFO:gp:9  	801   	0.765493	9  	0.881694	0.429385	801   	0.117805 	3.67937	9  	9  	3  	801   	1.35737
INFO:gp:10 	768   	0.768629	10 	0.881694	0.374652	768   	0.120532 	3.71065	10 	10 	3  	768   	1.46925
INFO:gp:11 	794   	0.768686	11 	0.894682	0.408807	794   	0.128228 	3.64223	11 	12 	3  	794   	1.47612
INFO:gp:12 	756   	0.780122	12 	0.894682	0.388142	756   	0.131804 	3.53763	12 	10 	3  	756   	1.30953
INFO:gp:13 	759   	0.768871	13 	0.894803	0.311959	759   	0.148475 	3.52884	13 	10 	3  	759   	1.27265
INFO:gp:14 	777   	0.774921	14 	0.895563	0.382888	777   	0.149973 	3.60117	14 	10 	3  	777   	1.30989
INFO:gp:15 	789   	0.772515	15 	0.895563	0.357236	789   	0.149739 	3.54643	15 	11 	3  	789   	1.21071
INFO:gp:16 	784   	0.791051	16 	0.900221	0.389189	784   	0.146768 	3.45064	16 	10 	3  	784   	1.06543
INFO:gp:17 	763   	0.787313	17 	0.900221	0.378347	763   	0.153067 	3.53959	17 	11 	3  	763   	1.21257
INFO:gp:18 	791   	0.792806	18 	0.900928	0.399548	791   	0.146974 	3.69795	18 	11 	3  	791   	1.40647
INFO:gp:19 	782   	0.784789	19 	0.901464	0.471361	782   	0.154992 	4.13881	19 	14 	3  	782   	1.82528
INFO:gp:20 	778   	0.796534	20 	0.901817	0.445257	778   	0.146427 	4.51515	20 	14 	3  	778   	2.16511
INFO:gp:21 	775   	0.802561	21 	0.901817	0.374059	775   	0.146991 	4.65591	21 	18 	3  	775   	2.36149
INFO:gp:22 	770   	0.794922	22 	0.901971	0.421705	770   	0.155106 	4.51417	22 	14 	3  	770   	2.10235
INFO:gp:23 	766   	0.806227	23 	0.902394	0.500095	766   	0.144827 	4.81134	23 	12 	3  	766   	1.83498
INFO:gp:24 	763   	0.806132	24 	0.903194	0.493424	763   	0.15059  	5.7175 	24 	12 	3  	763   	1.91953
INFO:gp:25 	756   	0.810022	25 	0.903267	0.466595	756   	0.150631 	6.64907	25 	15 	3  	756   	2.00903
INFO:gp:26 	781   	0.808955	26 	0.906189	0.333123	781   	0.152138 	7.67058	26 	18 	3  	781   	2.49182
INFO:gp:27 	762   	0.80548 	27 	0.906189	0.466185	762   	0.152617 	9.16813	27 	22 	3  	762   	2.89319
INFO:gp:28 	769   	0.81626 	28 	0.907015	0.484102	769   	0.145095 	11.0792	28 	27 	3  	769   	3.81239
INFO:gp:29 	765   	0.819421	29 	0.907015	0.465712	765   	0.145149 	13.6383	29 	26 	3  	765   	4.20703
INFO:gp:30 	795   	0.812114	30 	0.907015	0.485372	795   	0.152483 	15.436 	30 	30 	3  	795   	4.47296
INFO:gp:31 	775   	0.823851	31 	0.910432	0.441531	775   	0.144849 	15.8592	31 	36 	3  	775   	4.7422 
INFO:gp:32 	731   	0.806216	32 	0.910432	0.414881	731   	0.156281 	14.9052	32 	30 	3  	731   	4.87796
INFO:gp:33 	777   	0.804326	33 	0.912474	0.392171	777   	0.157324 	13.001 	33 	27 	3  	777   	4.65999
INFO:gp:34 	788   	0.79637 	34 	0.912474	0.495373	788   	0.159848 	12.1681	34 	29 	3  	788   	4.28677
INFO:gp:35 	757   	0.803175	35 	0.914892	0.42214 	757   	0.159776 	13.0665	35 	31 	3  	757   	4.21925
INFO:gp:36 	770   	0.798113	36 	0.914892	0.48398 	770   	0.163927 	14.695 	36 	31 	3  	770   	4.88308
INFO:gp:37 	760   	0.810019	37 	0.914892	0.487021	760   	0.157323 	16.26  	37 	31 	3  	760   	4.93128
