INFO:pso:Using device: cuda
INFO:pso:Iteration 1/100, Training Accuracy: 0.5758, Validation Accuracy: 0.5387
INFO:pso:Iteration 2/100, Training Accuracy: 0.5865, Validation Accuracy: 0.5594
INFO:pso:Iteration 3/100, Training Accuracy: 0.6036, Validation Accuracy: 0.5271
INFO:pso:Iteration 4/100, Training Accuracy: 0.6005, Validation Accuracy: 0.5755
INFO:pso:Iteration 5/100, Training Accuracy: 0.6005, Validation Accuracy: 0.5755
INFO:pso:Iteration 6/100, Training Accuracy: 0.6094, Validation Accuracy: 0.5548
INFO:pso:Iteration 7/100, Training Accuracy: 0.6045, Validation Accuracy: 0.6432
INFO:pso:Iteration 8/100, Training Accuracy: 0.6308, Validation Accuracy: 0.6155
INFO:pso:Iteration 9/100, Training Accuracy: 0.6225, Validation Accuracy: 0.6194
INFO:pso:Iteration 10/100, Training Accuracy: 0.6225, Validation Accuracy: 0.6194
INFO:pso:Iteration 11/100, Training Accuracy: 0.6373, Validation Accuracy: 0.6155
INFO:pso:Iteration 12/100, Training Accuracy: 0.6271, Validation Accuracy: 0.6155
INFO:pso:Iteration 13/100, Training Accuracy: 0.6460, Validation Accuracy: 0.6194
INFO:pso:Iteration 14/100, Training Accuracy: 0.6460, Validation Accuracy: 0.6194
INFO:pso:Iteration 15/100, Training Accuracy: 0.6460, Validation Accuracy: 0.6194
INFO:pso:Iteration 16/100, Training Accuracy: 0.6460, Validation Accuracy: 0.6194
INFO:pso:Iteration 17/100, Training Accuracy: 0.6460, Validation Accuracy: 0.6194
INFO:pso:Iteration 18/100, Training Accuracy: 0.6434, Validation Accuracy: 0.6194
INFO:pso:Iteration 19/100, Training Accuracy: 0.6457, Validation Accuracy: 0.6194
INFO:pso:Iteration 20/100, Training Accuracy: 0.6457, Validation Accuracy: 0.6194
INFO:pso:Iteration 21/100, Training Accuracy: 0.6511, Validation Accuracy: 0.6194
INFO:pso:Iteration 22/100, Training Accuracy: 0.6583, Validation Accuracy: 0.6194
INFO:pso:Iteration 23/100, Training Accuracy: 0.6583, Validation Accuracy: 0.6194
INFO:pso:Iteration 24/100, Training Accuracy: 0.6542, Validation Accuracy: 0.6194
INFO:pso:Iteration 25/100, Training Accuracy: 0.6542, Validation Accuracy: 0.6194
INFO:pso:Iteration 26/100, Training Accuracy: 0.6542, Validation Accuracy: 0.6194
INFO:pso:Iteration 27/100, Training Accuracy: 0.6552, Validation Accuracy: 0.6194
INFO:pso:Iteration 28/100, Training Accuracy: 0.6552, Validation Accuracy: 0.6194
INFO:pso:Iteration 29/100, Training Accuracy: 0.6583, Validation Accuracy: 0.5994
INFO:pso:Iteration 30/100, Training Accuracy: 0.6583, Validation Accuracy: 0.5994
INFO:pso:Iteration 31/100, Training Accuracy: 0.6624, Validation Accuracy: 0.5994
INFO:pso:Iteration 32/100, Training Accuracy: 0.6624, Validation Accuracy: 0.5994
INFO:pso:Iteration 33/100, Training Accuracy: 0.6615, Validation Accuracy: 0.5994
INFO:pso:Iteration 34/100, Training Accuracy: 0.6624, Validation Accuracy: 0.5994
INFO:pso:Iteration 35/100, Training Accuracy: 0.6633, Validation Accuracy: 0.5994
INFO:pso:Iteration 36/100, Training Accuracy: 0.6624, Validation Accuracy: 0.5994
INFO:pso:Iteration 37/100, Training Accuracy: 0.6624, Validation Accuracy: 0.5994
INFO:pso:Iteration 38/100, Training Accuracy: 0.6633, Validation Accuracy: 0.5994
INFO:pso:Iteration 39/100, Training Accuracy: 0.6633, Validation Accuracy: 0.5994
INFO:pso:Iteration 40/100, Training Accuracy: 0.6633, Validation Accuracy: 0.5994
INFO:pso:Iteration 41/100, Training Accuracy: 0.6624, Validation Accuracy: 0.6194
INFO:pso:Iteration 42/100, Training Accuracy: 0.6624, Validation Accuracy: 0.6194
INFO:pso:Iteration 43/100, Training Accuracy: 0.6659, Validation Accuracy: 0.6194
INFO:pso:Iteration 44/100, Training Accuracy: 0.6657, Validation Accuracy: 0.6194
INFO:pso:Iteration 45/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 46/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 47/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 48/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 49/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 50/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 51/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 52/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 53/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 54/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 55/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 56/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 57/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 58/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 59/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 60/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 61/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 62/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 63/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 64/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 65/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 66/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 67/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 68/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 69/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 70/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 71/100, Training Accuracy: 0.6666, Validation Accuracy: 0.6194
INFO:pso:Iteration 72/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 73/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 74/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 75/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 76/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 77/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 78/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 79/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 80/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
INFO:pso:Iteration 81/100, Training Accuracy: 0.6674, Validation Accuracy: 0.6194
