INFO:util:Preprocessing dataset: species
INFO:pso:Using device: cpu
INFO:pso:Iteration 1/1000, Training Accuracy: 0.3711, Validation Accuracy: 0.3087
INFO:pso:Iteration 2/1000, Training Accuracy: 0.4360, Validation Accuracy: 0.2721
INFO:pso:Iteration 3/1000, Training Accuracy: 0.4435, Validation Accuracy: 0.3811
INFO:pso:Iteration 4/1000, Training Accuracy: 0.4656, Validation Accuracy: 0.2726
INFO:pso:Iteration 5/1000, Training Accuracy: 0.4708, Validation Accuracy: 0.4772
INFO:pso:Iteration 6/1000, Training Accuracy: 0.4779, Validation Accuracy: 0.3701
INFO:pso:Iteration 7/1000, Training Accuracy: 0.5506, Validation Accuracy: 0.4534
INFO:pso:Iteration 8/1000, Training Accuracy: 0.5875, Validation Accuracy: 0.5357
INFO:pso:Iteration 9/1000, Training Accuracy: 0.5983, Validation Accuracy: 0.6142
INFO:pso:Iteration 10/1000, Training Accuracy: 0.6149, Validation Accuracy: 0.5398
INFO:pso:Iteration 11/1000, Training Accuracy: 0.6516, Validation Accuracy: 0.6326
INFO:pso:Iteration 12/1000, Training Accuracy: 0.6689, Validation Accuracy: 0.6460
INFO:pso:Iteration 13/1000, Training Accuracy: 0.6915, Validation Accuracy: 0.6260
INFO:pso:Iteration 14/1000, Training Accuracy: 0.6915, Validation Accuracy: 0.6260
INFO:pso:Iteration 15/1000, Training Accuracy: 0.7131, Validation Accuracy: 0.6360
INFO:pso:Iteration 16/1000, Training Accuracy: 0.7131, Validation Accuracy: 0.6360
INFO:pso:Iteration 17/1000, Training Accuracy: 0.7131, Validation Accuracy: 0.6360
INFO:pso:Iteration 18/1000, Training Accuracy: 0.7214, Validation Accuracy: 0.6345
INFO:pso:Iteration 19/1000, Training Accuracy: 0.7214, Validation Accuracy: 0.6345
INFO:pso:Iteration 20/1000, Training Accuracy: 0.7216, Validation Accuracy: 0.6347
INFO:pso:Iteration 21/1000, Training Accuracy: 0.7284, Validation Accuracy: 0.6928
INFO:pso:Iteration 22/1000, Training Accuracy: 0.7449, Validation Accuracy: 0.6445
INFO:pso:Iteration 23/1000, Training Accuracy: 0.7449, Validation Accuracy: 0.6445
INFO:pso:Iteration 24/1000, Training Accuracy: 0.7460, Validation Accuracy: 0.6455
INFO:pso:Iteration 25/1000, Training Accuracy: 0.7460, Validation Accuracy: 0.6455
INFO:pso:Iteration 26/1000, Training Accuracy: 0.7460, Validation Accuracy: 0.6455
INFO:pso:Iteration 27/1000, Training Accuracy: 0.7460, Validation Accuracy: 0.6455
INFO:pso:Iteration 28/1000, Training Accuracy: 0.7478, Validation Accuracy: 0.6474
INFO:pso:Iteration 29/1000, Training Accuracy: 0.7490, Validation Accuracy: 0.6505
INFO:pso:Iteration 30/1000, Training Accuracy: 0.7490, Validation Accuracy: 0.6505
INFO:pso:Iteration 31/1000, Training Accuracy: 0.7491, Validation Accuracy: 0.6487
INFO:pso:Iteration 32/1000, Training Accuracy: 0.7499, Validation Accuracy: 0.6495
INFO:pso:Iteration 33/1000, Training Accuracy: 0.7525, Validation Accuracy: 0.6521
INFO:pso:Iteration 34/1000, Training Accuracy: 0.7525, Validation Accuracy: 0.6521
INFO:pso:Iteration 35/1000, Training Accuracy: 0.7525, Validation Accuracy: 0.6521
INFO:pso:Iteration 36/1000, Training Accuracy: 0.7528, Validation Accuracy: 0.6524
INFO:pso:Iteration 37/1000, Training Accuracy: 0.7539, Validation Accuracy: 0.6535
INFO:pso:Iteration 38/1000, Training Accuracy: 0.7595, Validation Accuracy: 0.6591
INFO:pso:Iteration 39/1000, Training Accuracy: 0.7595, Validation Accuracy: 0.6591
INFO:pso:Iteration 40/1000, Training Accuracy: 0.7601, Validation Accuracy: 0.7051
INFO:pso:Iteration 41/1000, Training Accuracy: 0.7646, Validation Accuracy: 0.7551
INFO:pso:Iteration 42/1000, Training Accuracy: 0.7793, Validation Accuracy: 0.7582
INFO:pso:Iteration 43/1000, Training Accuracy: 0.7793, Validation Accuracy: 0.7582
INFO:pso:Iteration 44/1000, Training Accuracy: 0.7793, Validation Accuracy: 0.7582
INFO:pso:Iteration 45/1000, Training Accuracy: 0.7824, Validation Accuracy: 0.7613
INFO:pso:Iteration 46/1000, Training Accuracy: 0.7824, Validation Accuracy: 0.7613
INFO:pso:Iteration 47/1000, Training Accuracy: 0.7863, Validation Accuracy: 0.7652
INFO:pso:Iteration 48/1000, Training Accuracy: 0.7863, Validation Accuracy: 0.7652
INFO:pso:Iteration 49/1000, Training Accuracy: 0.7863, Validation Accuracy: 0.7652
INFO:pso:Iteration 50/1000, Training Accuracy: 0.7883, Validation Accuracy: 0.7672
INFO:pso:Iteration 51/1000, Training Accuracy: 0.7883, Validation Accuracy: 0.7672
INFO:pso:Iteration 52/1000, Training Accuracy: 0.7886, Validation Accuracy: 0.7675
