Generation,Operation,Total_Time,Calls,Average_Time
0,Accuracy_Calculation,1.06013,1,1.06013
0,Average_Crossover,0.000308254,1,0.000308254
0,Average_Mutation,2.7887e-06,1,2.7887e-06
0,Elitism,0.000383126,1,0.000383126
0,Fitness_Statistics,2.164e-06,1,2.164e-06
0,Parent_Selection,0.00270816,1,0.00270816
0,Population_Completion,4e-08,1,4e-08
0,Population_Evaluation,440.578,1,440.578
0,Total_Breeding,0.0320966,1,0.0320966
1,Accuracy_Calculation,1.82226,2,0.91113
1,Average_Crossover,0.000538896,2,0.000269448
1,Average_Mutation,5.57306e-06,2,2.78653e-06
1,Elitism,0.000724314,2,0.000362157
1,Fitness_Statistics,3.848e-06,2,1.924e-06
1,Parent_Selection,0.00459554,2,0.00229777
1,Population_Completion,8e-08,2,4e-08
1,Population_Evaluation,784.045,2,392.023
1,Total_Breeding,0.0559946,2,0.0279973
2,Accuracy_Calculation,2.61097,3,0.870323
2,Average_Crossover,0.000831099,3,0.000277033
2,Average_Mutation,8.16859e-06,3,2.72286e-06
2,Elitism,0.00101076,3,0.00033692
2,Fitness_Statistics,5.671e-06,3,1.89033e-06
2,Parent_Selection,0.0105765,3,0.00352549
2,Population_Completion,1.31e-07,3,4.36667e-08
2,Population_Evaluation,1083.39,3,361.129
2,Total_Breeding,0.0898256,3,0.0299419
3,Accuracy_Calculation,3.34602,4,0.836505
3,Average_Crossover,0.00103096,4,0.00025774
3,Average_Mutation,1.05293e-05,4,2.63232e-06
3,Elitism,0.00125099,4,0.000312747
3,Fitness_Statistics,6.994e-06,4,1.7485e-06
3,Parent_Selection,0.0115456,4,0.00288639
3,Population_Completion,1.71e-07,4,4.275e-08
3,Population_Evaluation,1366.57,4,341.643
3,Total_Breeding,0.10987,4,0.0274676
4,Accuracy_Calculation,4.19596,5,0.839193
4,Average_Crossover,0.00127489,5,0.000254978
4,Average_Mutation,1.42621e-05,5,2.85241e-06
4,Elitism,0.00152449,5,0.000304898
4,Fitness_Statistics,8.557e-06,5,1.7114e-06
4,Parent_Selection,0.0126408,5,0.00252816
4,Population_Completion,2.11e-07,5,4.22e-08
4,Population_Evaluation,1607.04,5,321.408
4,Total_Breeding,0.134252,5,0.0268505
5,Accuracy_Calculation,4.88815,6,0.814692
5,Average_Crossover,0.00148187,6,0.000246978
5,Average_Mutation,1.73645e-05,6,2.89409e-06
5,Elitism,0.00173173,6,0.000288621
5,Fitness_Statistics,9.95e-06,6,1.65833e-06
5,Parent_Selection,0.0136263,6,0.00227105
5,Population_Completion,2.61e-07,6,4.35e-08
5,Population_Evaluation,1843.32,6,307.221
5,Total_Breeding,0.154992,6,0.0258321
6,Accuracy_Calculation,5.60784,7,0.80112
6,Average_Crossover,0.00165597,7,0.000236567
6,Average_Mutation,1.9938e-05,7,2.84828e-06
6,Elitism,0.00199222,7,0.000284603
6,Fitness_Statistics,1.1583e-05,7,1.65471e-06
6,Parent_Selection,0.0146559,7,0.00209369
6,Population_Completion,2.91e-07,7,4.15714e-08
6,Population_Evaluation,2074.16,7,296.308
6,Total_Breeding,0.172656,7,0.0246652
7,Accuracy_Calculation,6.30479,8,0.788098
7,Average_Crossover,0.00183018,8,0.000228772
7,Average_Mutation,2.21088e-05,8,2.7636e-06
7,Elitism,0.00219339,8,0.000274174
7,Fitness_Statistics,1.3326e-05,8,1.66575e-06
7,Parent_Selection,0.015819,8,0.00197738
7,Population_Completion,3.31e-07,8,4.1375e-08
7,Population_Evaluation,2283.36,8,285.42
7,Total_Breeding,0.190447,8,0.0238058
8,Accuracy_Calculation,6.95446,9,0.772717
8,Average_Crossover,0.00200891,9,0.000223212
8,Average_Mutation,2.49558e-05,9,2.77287e-06
8,Elitism,0.00245427,9,0.000272696
8,Fitness_Statistics,1.505e-05,9,1.67222e-06
8,Parent_Selection,0.0168199,9,0.00186888
8,Population_Completion,3.71e-07,9,4.12222e-08
8,Population_Evaluation,2477.63,9,275.293
8,Total_Breeding,0.208514,9,0.0231683
9,Accuracy_Calculation,7.56812,10,0.756812
9,Average_Crossover,0.00218086,10,0.000218086
9,Average_Mutation,2.80577e-05,10,2.80577e-06
9,Elitism,0.00264951,10,0.000264951
9,Fitness_Statistics,1.6182e-05,10,1.6182e-06
9,Parent_Selection,0.0178199,10,0.00178199
9,Population_Completion,4.11e-07,10,4.11e-08
9,Population_Evaluation,2659.45,10,265.945
9,Total_Breeding,0.225964,10,0.0225964
10,Accuracy_Calculation,8.20145,11,0.745586
10,Average_Crossover,0.00237027,11,0.000215479
10,Average_Mutation,3.12725e-05,11,2.84296e-06
10,Elitism,0.00289897,11,0.000263543
10,Fitness_Statistics,1.8336e-05,11,1.66691e-06
10,Parent_Selection,0.0190206,11,0.00172914
10,Population_Completion,4.52e-07,11,4.10909e-08
10,Population_Evaluation,2832.48,11,257.499
10,Total_Breeding,0.245282,11,0.0222984
11,Accuracy_Calculation,8.8221,12,0.735175
11,Average_Crossover,0.00252838,12,0.000210698
11,Average_Mutation,3.33597e-05,12,2.77998e-06
11,Elitism,0.00310185,12,0.000258487
11,Fitness_Statistics,1.9758e-05,12,1.6465e-06
11,Parent_Selection,0.020518,12,0.00170983
11,Population_Completion,4.92e-07,12,4.1e-08
11,Population_Evaluation,3011.3,12,250.942
11,Total_Breeding,0.261892,12,0.0218244
12,Accuracy_Calculation,9.43368,13,0.725668
12,Average_Crossover,0.00271246,13,0.000208651
12,Average_Mutation,4.01717e-05,13,3.09013e-06
12,Elitism,0.00340669,13,0.000262053
12,Fitness_Statistics,2.1902e-05,13,1.68477e-06
12,Parent_Selection,0.0219497,13,0.00168844
12,Population_Completion,5.42e-07,13,4.16923e-08
12,Population_Evaluation,3151.51,13,242.424
12,Total_Breeding,0.28097,13,0.021613
13,Accuracy_Calculation,10.0294,14,0.716388
13,Average_Crossover,0.00285774,14,0.000204124
13,Average_Mutation,4.22684e-05,14,3.01917e-06
13,Elitism,0.00359815,14,0.00025701
13,Fitness_Statistics,2.3215e-05,14,1.65821e-06
13,Parent_Selection,0.0239315,14,0.00170939
13,Population_Completion,5.82e-07,14,4.15714e-08
13,Population_Evaluation,3301.56,14,235.825
13,Total_Breeding,0.296848,14,0.0212034
14,Accuracy_Calculation,10.6465,15,0.709764
14,Average_Crossover,0.00299742,15,0.000199828
14,Average_Mutation,4.52848e-05,15,3.01899e-06
14,Elitism,0.003785,15,0.000252333
14,Fitness_Statistics,2.4928e-05,15,1.66187e-06
14,Parent_Selection,0.0249378,15,0.00166252
14,Population_Completion,6.22e-07,15,4.14667e-08
14,Population_Evaluation,3430.85,15,228.724
14,Total_Breeding,0.311231,15,0.0207487
15,Accuracy_Calculation,11.1641,16,0.697758
15,Average_Crossover,0.00314148,16,0.000196343
15,Average_Mutation,4.80303e-05,16,3.0019e-06
15,Elitism,0.00400762,16,0.000250476
15,Fitness_Statistics,2.6351e-05,16,1.64694e-06
15,Parent_Selection,0.0264707,16,0.00165442
15,Population_Completion,6.62e-07,16,4.1375e-08
15,Population_Evaluation,3562.65,16,222.666
15,Total_Breeding,0.326557,16,0.0204098
16,Accuracy_Calculation,11.6846,17,0.687332
16,Average_Crossover,0.00327469,17,0.000192629
16,Average_Mutation,5.06564e-05,17,2.97979e-06
16,Elitism,0.00418361,17,0.000246095
16,Fitness_Statistics,2.7964e-05,17,1.64494e-06
16,Parent_Selection,0.0277572,17,0.00163277
16,Population_Completion,7.02e-07,17,4.12941e-08
16,Population_Evaluation,3656.29,17,215.076
16,Total_Breeding,0.34058,17,0.0200341
17,Accuracy_Calculation,12.3166,18,0.684255
17,Average_Crossover,0.00340418,18,0.000189121
17,Average_Mutation,5.31427e-05,18,2.95237e-06
17,Elitism,0.00437567,18,0.000243093
17,Fitness_Statistics,2.9417e-05,18,1.63428e-06
17,Parent_Selection,0.0287322,18,0.00159623
17,Population_Completion,7.52e-07,18,4.17778e-08
17,Population_Evaluation,3792.94,18,210.719
17,Total_Breeding,0.353939,18,0.0196633
18,Accuracy_Calculation,12.8897,19,0.678405
18,Average_Crossover,0.00353493,19,0.000186049
18,Average_Mutation,5.58929e-05,19,2.94173e-06
18,Elitism,0.0045591,19,0.000239953
