INFO:__main__:Reading the dataset: fish oil
INFO:__main__:model: Transformer(
  (encoder): Encoder(
    (layers): ModuleList(
      (0-2): 3 x EncoderLayer(
        (self_attention): MultiHeadAttention(
          (query): Linear(in_features=1023, out_features=1023, bias=True)
          (key): Linear(in_features=1023, out_features=1023, bias=True)
          (value): Linear(in_features=1023, out_features=1023, bias=True)
          (fc_out): Linear(in_features=1023, out_features=1023, bias=True)
        )
        (feed_forward): FeedForward(
          (fc1): Linear(in_features=1023, out_features=128, bias=True)
          (fc2): Linear(in_features=128, out_features=1023, bias=True)
          (dropout): Dropout(p=0.2, inplace=False)
        )
        (norm1): LayerNorm((1023,), eps=1e-05, elementwise_affine=True)
        (norm2): LayerNorm((1023,), eps=1e-05, elementwise_affine=True)
        (dropout1): Dropout(p=0.2, inplace=False)
        (dropout2): Dropout(p=0.2, inplace=False)
      )
    )
  )
  (decoder): Decoder(
    (layers): ModuleList(
      (0-2): 3 x DecoderLayer(
        (self_attention): MultiHeadAttention(
          (query): Linear(in_features=1023, out_features=1023, bias=True)
          (key): Linear(in_features=1023, out_features=1023, bias=True)
          (value): Linear(in_features=1023, out_features=1023, bias=True)
          (fc_out): Linear(in_features=1023, out_features=1023, bias=True)
        )
        (cross_attention): MultiHeadAttention(
          (query): Linear(in_features=1023, out_features=1023, bias=True)
          (key): Linear(in_features=1023, out_features=1023, bias=True)
          (value): Linear(in_features=1023, out_features=1023, bias=True)
          (fc_out): Linear(in_features=1023, out_features=1023, bias=True)
        )
        (feed_forward): FeedForward(
          (fc1): Linear(in_features=1023, out_features=128, bias=True)
          (fc2): Linear(in_features=128, out_features=1023, bias=True)
          (dropout): Dropout(p=0.2, inplace=False)
        )
        (norm1): LayerNorm((1023,), eps=1e-05, elementwise_affine=True)
        (norm2): LayerNorm((1023,), eps=1e-05, elementwise_affine=True)
        (norm3): LayerNorm((1023,), eps=1e-05, elementwise_affine=True)
        (dropout1): Dropout(p=0.2, inplace=False)
        (dropout2): Dropout(p=0.2, inplace=False)
        (dropout3): Dropout(p=0.2, inplace=False)
      )
    )
  )
  (fc): Linear(in_features=1023, out_features=1023, bias=True)
)
INFO:__main__:Pre-training the network: Masked Spectra Modelling
INFO:pre_training:Epoch [1/100], Loss: 0.0147, Val: 0.0091
INFO:pre_training:Epoch [2/100], Loss: 0.0139, Val: 0.0088
INFO:pre_training:Epoch [3/100], Loss: 0.0135, Val: 0.0083
INFO:pre_training:Epoch [4/100], Loss: 0.0130, Val: 0.0079
INFO:pre_training:Epoch [5/100], Loss: 0.0129, Val: 0.0078
INFO:pre_training:Epoch [6/100], Loss: 0.0123, Val: 0.0074
INFO:pre_training:Epoch [7/100], Loss: 0.0122, Val: 0.0073
INFO:pre_training:Epoch [8/100], Loss: 0.0120, Val: 0.0072
INFO:pre_training:Epoch [9/100], Loss: 0.0117, Val: 0.0071
INFO:pre_training:Epoch [10/100], Loss: 0.0115, Val: 0.0070
INFO:pre_training:Epoch [11/100], Loss: 0.0113, Val: 0.0067
INFO:pre_training:Epoch [12/100], Loss: 0.0114, Val: 0.0067
INFO:pre_training:Epoch [13/100], Loss: 0.0111, Val: 0.0067
INFO:pre_training:Epoch [14/100], Loss: 0.0111, Val: 0.0064
INFO:pre_training:Epoch [15/100], Loss: 0.0107, Val: 0.0063
INFO:pre_training:Epoch [16/100], Loss: 0.0106, Val: 0.0064
INFO:pre_training:Epoch [17/100], Loss: 0.0107, Val: 0.0064
INFO:pre_training:Epoch [18/100], Loss: 0.0106, Val: 0.0060
INFO:pre_training:Epoch [19/100], Loss: 0.0103, Val: 0.0060
INFO:pre_training:Epoch [20/100], Loss: 0.0104, Val: 0.0061
INFO:pre_training:Epoch [21/100], Loss: 0.0101, Val: 0.0060
INFO:pre_training:Epoch [22/100], Loss: 0.0102, Val: 0.0058
INFO:pre_training:Epoch [23/100], Loss: 0.0099, Val: 0.0056
INFO:pre_training:Epoch [24/100], Loss: 0.0099, Val: 0.0058
INFO:pre_training:Epoch [25/100], Loss: 0.0097, Val: 0.0056
INFO:pre_training:Epoch [26/100], Loss: 0.0098, Val: 0.0055
INFO:pre_training:Epoch [27/100], Loss: 0.0094, Val: 0.0055
INFO:pre_training:Epoch [28/100], Loss: 0.0095, Val: 0.0055
INFO:pre_training:Epoch [29/100], Loss: 0.0094, Val: 0.0054
INFO:pre_training:Epoch [30/100], Loss: 0.0093, Val: 0.0052
