INFO:__main__:Dataset: species
INFO:train:Epoch [1/10000], Train Loss: 112428.4766 	 Train Accuracy: 0.6293 	 Val Loss: 15616.3135 	 Val Accuracy: 0.1818
INFO:train:Epoch [2/10000], Train Loss: 112481.9258 	 Train Accuracy: 0.5469 	 Val Loss: 15611.6680 	 Val Accuracy: 0.2500
INFO:train:Epoch [3/10000], Train Loss: 112905.0508 	 Train Accuracy: 0.4105 	 Val Loss: 15603.7002 	 Val Accuracy: 0.3409
INFO:train:Epoch [4/10000], Train Loss: 112410.2715 	 Train Accuracy: 0.4844 	 Val Loss: 15601.3691 	 Val Accuracy: 0.2727
INFO:train:Epoch [5/10000], Train Loss: 111692.4727 	 Train Accuracy: 0.5994 	 Val Loss: 15599.5176 	 Val Accuracy: 0.3409
INFO:train:Epoch [6/10000], Train Loss: 112212.5312 	 Train Accuracy: 0.4524 	 Val Loss: 15595.7266 	 Val Accuracy: 0.2273
INFO:train:Epoch [7/10000], Train Loss: 112597.0137 	 Train Accuracy: 0.4091 	 Val Loss: 15591.7363 	 Val Accuracy: 0.2727
INFO:train:Epoch [8/10000], Train Loss: 113200.9473 	 Train Accuracy: 0.5220 	 Val Loss: 15590.3818 	 Val Accuracy: 0.2727
INFO:train:Epoch [9/10000], Train Loss: 113610.1055 	 Train Accuracy: 0.5526 	 Val Loss: 15583.9951 	 Val Accuracy: 0.1818
INFO:train:Epoch [10/10000], Train Loss: 113391.9941 	 Train Accuracy: 0.5838 	 Val Loss: 15583.2676 	 Val Accuracy: 0.2273
INFO:train:Epoch [11/10000], Train Loss: 112958.6172 	 Train Accuracy: 0.6072 	 Val Loss: 15577.6357 	 Val Accuracy: 0.3636
INFO:train:Epoch [12/10000], Train Loss: 110952.2109 	 Train Accuracy: 0.6143 	 Val Loss: 15576.0068 	 Val Accuracy: 0.3182
INFO:train:Epoch [13/10000], Train Loss: 113533.2598 	 Train Accuracy: 0.5455 	 Val Loss: 15571.7285 	 Val Accuracy: 0.2727
INFO:train:Epoch [14/10000], Train Loss: 111622.2227 	 Train Accuracy: 0.6151 	 Val Loss: 15569.2305 	 Val Accuracy: 0.2727
INFO:train:Epoch [15/10000], Train Loss: 111750.9609 	 Train Accuracy: 0.5227 	 Val Loss: 15562.0732 	 Val Accuracy: 0.2273
INFO:train:Epoch [16/10000], Train Loss: 112278.1406 	 Train Accuracy: 0.4091 	 Val Loss: 15558.5098 	 Val Accuracy: 0.2500
INFO:train:Epoch [17/10000], Train Loss: 112367.9980 	 Train Accuracy: 0.5604 	 Val Loss: 15556.4766 	 Val Accuracy: 0.2500
INFO:train:Epoch [18/10000], Train Loss: 112010.3242 	 Train Accuracy: 0.5533 	 Val Loss: 15552.9639 	 Val Accuracy: 0.2045
INFO:train:Epoch [19/10000], Train Loss: 113143.7832 	 Train Accuracy: 0.5149 	 Val Loss: 15546.9307 	 Val Accuracy: 0.3182
INFO:train:Epoch [20/10000], Train Loss: 112366.1152 	 Train Accuracy: 0.5142 	 Val Loss: 15544.9619 	 Val Accuracy: 0.2727
INFO:train:Epoch [21/10000], Train Loss: 113301.5625 	 Train Accuracy: 0.3864 	 Val Loss: 15546.8672 	 Val Accuracy: 0.2273
INFO:train:Epoch [22/10000], Train Loss: 112294.3555 	 Train Accuracy: 0.5149 	 Val Loss: 15540.6328 	 Val Accuracy: 0.2500
INFO:train:Epoch [23/10000], Train Loss: 111834.1191 	 Train Accuracy: 0.4915 	 Val Loss: 15540.3516 	 Val Accuracy: 0.1591
INFO:train:Epoch [24/10000], Train Loss: 111264.7207 	 Train Accuracy: 0.4616 	 Val Loss: 15533.1426 	 Val Accuracy: 0.2955
INFO:train:Epoch [25/10000], Train Loss: 112946.3633 	 Train Accuracy: 0.4609 	 Val Loss: 15525.6201 	 Val Accuracy: 0.2500
