Dataset,Method,Test Accuracy,Train Accuracy,Runtime
cross-species,cnn,0.6273148148148149,0.6738425925925925,0
cross-species,cnn,0.6087962962962963,0.6226851851851851,0
cross-species,cnn,0.585648148148148,0.4847222222222223,0
cross-species,cnn,0.5773148148148147,0.4673611111111111,0
cross-species,cnn,0.5712962962962963,0.6513888888888889,0
cross-species,cnn,0.5425925925925926,0.4800925925925925,0
cross-species,cnn,0.5342592592592591,0.492824074074074,0
cross-species,cnn,0.5189814814814815,0.5032407407407408,0
cross-species,cnn,0.513425925925926,0.5208333333333334,0
cross-species,cnn,0.512962962962963,0.4782407407407408,0
cross-species,cnn,0.4333333333333333,0.4333333333333333,0
cross-species,cnn,0.4375,0.3317129629629629,0
cross-species,cnn,0.3976851851851852,0.3643518518518518,0
cross-species,cnn,0.4134259259259259,0.3675925925925926,0
cross-species,cnn,0.4236111111111111,0.3932870370370371,0
cross-species,cnn,0.4055555555555555,0.35,0
cross-species,cnn,0.4842592592592592,0.5266203703703703,0
cross-species,cnn,0.3444444444444444,0.3006944444444444,0
cross-species,cnn,0.3407407407407407,0.3592592592592592,0
cross-species,cnn,0.3763888888888889,0.3412037037037037,0
cross-species,cnn,0.4083333333333334,0.3277777777777778,0
cross-species,cnn,0.4611111111111111,0.4831018518518519,0
cross-species,cnn,0.4333333333333333,0.3835648148148148,0
cross-species,cnn,0.4435185185185185,0.3592592592592592,0
cross-species,cnn,0.4796296296296296,0.325,0
cross-species,cnn,0.4027777777777777,0.3650462962962963,0
cross-species,cnn,0.4333333333333333,0.3858796296296296,0
cross-species,cnn,0.4587962962962962,0.5266203703703703,0
cross-species,cnn,0.3611111111111111,0.3062499999999999,0
cross-species,cnn,0.4111111111111111,0.3196759259259259,0
cross-species,dt,0.7462962962962963,1.0,0
cross-species,dt,0.7347222222222222,1.0,0
cross-species,dt,0.7310185185185185,1.0,0
cross-species,dt,0.7300925925925926,1.0,0
cross-species,dt,0.7291666666666666,1.0,0
cross-species,dt,0.7138888888888889,1.0,0
cross-species,dt,0.7106481481481483,1.0,0
cross-species,dt,0.7097222222222223,1.0,0
cross-species,dt,0.7064814814814815,1.0,0
cross-species,dt,0.7060185185185186,1.0,0
cross-species,dt,0.7041666666666666,1.0,0
cross-species,dt,0.7027777777777778,1.0,0
cross-species,dt,0.7018518518518518,1.0,0
cross-species,dt,0.6986111111111111,1.0,0
cross-species,dt,0.6976851851851852,1.0,0
cross-species,dt,0.6902777777777778,1.0,0
cross-species,dt,0.6842592592592593,1.0,0
cross-species,dt,0.6824074074074075,1.0,0
cross-species,dt,0.6787037037037037,1.0,0
cross-species,dt,0.674074074074074,1.0,0
cross-species,dt,0.6731481481481482,1.0,0
cross-species,dt,0.6731481481481482,1.0,0
cross-species,dt,0.6722222222222222,1.0,0
cross-species,dt,0.6606481481481481,1.0,0
cross-species,dt,0.6597222222222222,1.0,0
cross-species,dt,0.6578703703703704,1.0,0
cross-species,dt,0.6555555555555556,1.0,0
cross-species,dt,0.6550925925925926,1.0,0
cross-species,dt,0.6402777777777778,1.0,0
cross-species,dt,0.6050925925925926,1.0,0
cross-species,ensemble,0.8972222222222223,0.9650462962962963,0
cross-species,ensemble,0.8958333333333334,0.9789351851851852,0
cross-species,ensemble,0.8916666666666667,0.9416666666666668,0
cross-species,ensemble,0.8893518518518517,1.0,0
cross-species,ensemble,0.8805555555555555,0.9266203703703704,0
cross-species,ensemble,0.8777777777777778,0.9791666666666666,0
cross-species,ensemble,0.8768518518518519,0.9712962962962962,0
cross-species,ensemble,0.8768518518518519,0.939351851851852,0
cross-species,ensemble,0.874537037037037,0.987037037037037,0
cross-species,ensemble,0.8731481481481481,0.9861111111111112,0
cross-species,ensemble,0.8699074074074074,0.9770833333333332,0
cross-species,ensemble,0.8689814814814816,0.9930555555555556,0
cross-species,ensemble,0.8685185185185186,0.937037037037037,0
cross-species,ensemble,0.8643518518518518,0.9636574074074076,0
cross-species,ensemble,0.8624999999999999,0.9344907407407408,0
cross-species,ensemble,0.8620370370370369,0.955324074074074,0
cross-species,ensemble,0.8615740740740742,0.961574074074074,0
cross-species,ensemble,0.8606481481481482,0.9219907407407408,0
cross-species,ensemble,0.8592592592592592,0.929398148148148,0
cross-species,ensemble,0.8583333333333333,0.96875,0
cross-species,ensemble,0.8523148148148149,0.9277777777777776,0
cross-species,ensemble,0.8453703703703703,0.8608796296296296,0
cross-species,ensemble,0.8439814814814816,0.9578703703703704,0
cross-species,ensemble,0.8439814814814816,0.9629629629629628,0
cross-species,ensemble,0.8412037037037038,0.9837962962962964,0
cross-species,ensemble,0.8407407407407407,0.93125,0
