INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50094	0  	0.613246	0.408681	1023  	0.0292759	3.55132	0  	7  	2  	1023  	1.39088
INFO:gp:1  	759   	0.520838	1  	0.63174 	0.388272	759   	0.0339564	3.68035	1  	9  	2  	759   	1.42333
INFO:gp:2  	755   	0.534709	2  	0.648317	0.377051	755   	0.0397463	3.78983	2  	10 	2  	755   	1.42859
INFO:gp:3  	751   	0.55108 	3  	0.67042 	0.4019  	751   	0.0465211	3.76442	3  	13 	2  	751   	1.36577
INFO:gp:4  	783   	0.5676  	4  	0.670545	0.397781	783   	0.0486692	3.62561	4  	9  	1  	783   	1.21799
INFO:gp:5  	765   	0.581723	5  	0.687414	0.3831  	765   	0.0498796	3.63245	5  	9  	2  	765   	1.2092 
INFO:gp:6  	760   	0.591191	6  	0.703043	0.414288	760   	0.052549 	3.7566 	6  	9  	2  	760   	1.27553
INFO:gp:7  	762   	0.597856	7  	0.703043	0.417205	762   	0.0537149	4.10264	7  	12 	2  	762   	1.41152
INFO:gp:8  	778   	0.599571	8  	0.703043	0.426908	778   	0.0574784	4.54839	8  	11 	3  	778   	1.52251
INFO:gp:9  	745   	0.607845	9  	0.711679	0.402906	745   	0.0612388	5.12903	9  	11 	3  	745   	1.58283
INFO:gp:10 	764   	0.609973	10 	0.711679	0.412756	764   	0.0627839	5.55816	10 	13 	3  	764   	1.63965
INFO:gp:11 	784   	0.60935 	11 	0.731612	0.409897	784   	0.0651328	5.76442	11 	12 	3  	784   	1.65033
INFO:gp:12 	765   	0.614341	12 	0.731612	0.421915	765   	0.0666614	6.13392	12 	14 	3  	765   	1.84191
INFO:gp:13 	763   	0.618933	13 	0.731612	0.419089	763   	0.0657621	6.36168	13 	17 	3  	763   	1.98483
INFO:gp:14 	760   	0.62106 	14 	0.731612	0.377099	760   	0.0666461	6.66764	14 	14 	3  	760   	2.1514 
INFO:gp:15 	764   	0.61996 	15 	0.731612	0.353972	764   	0.0676927	6.76246	15 	16 	3  	764   	2.28756
INFO:gp:16 	776   	0.623727	16 	0.731612	0.444307	776   	0.0648389	6.94526	16 	17 	3  	776   	2.50531
INFO:gp:17 	723   	0.631552	17 	0.742768	0.425002	723   	0.0648571	7.19257	17 	19 	3  	723   	2.59164
INFO:gp:18 	802   	0.627041	18 	0.731612	0.406279	802   	0.0645152	7.64418	18 	19 	3  	802   	2.90691
INFO:gp:19 	774   	0.630928	19 	0.731612	0.43044 	774   	0.0637788	7.74878	19 	18 	3  	774   	2.96022
INFO:gp:20 	798   	0.625997	20 	0.731815	0.390864	798   	0.0675562	7.63245	20 	19 	3  	798   	2.81349
INFO:gp:21 	776   	0.632095	21 	0.731815	0.437262	776   	0.0653635	7.72825	21 	17 	3  	776   	2.72429
INFO:gp:22 	769   	0.629327	22 	0.731815	0.403398	769   	0.0674069	7.68133	22 	16 	3  	769   	2.67864
INFO:gp:23 	793   	0.629127	23 	0.731815	0.42428 	793   	0.0669311	7.87879	23 	17 	3  	793   	2.91673
INFO:gp:24 	766   	0.634441	24 	0.731815	0.395291	766   	0.0661828	7.96872	24 	20 	3  	766   	2.98006
INFO:gp:25 	767   	0.634816	25 	0.731815	0.403866	767   	0.0673348	8.0303 	25 	19 	3  	767   	2.91624
INFO:gp:26 	763   	0.634426	26 	0.731815	0.414715	763   	0.0665991	8.01369	26 	21 	3  	763   	2.99426
INFO:gp:27 	783   	0.631245	27 	0.731815	0.422252	783   	0.0674927	8.08016	27 	23 	3  	783   	3.08742
INFO:gp:28 	763   	0.636708	28 	0.731815	0.443485	763   	0.0661112	7.9521 	28 	18 	3  	763   	2.99048
INFO:gp:29 	774   	0.636161	29 	0.731815	0.438658	774   	0.0658805	7.73412	29 	21 	3  	774   	2.92755
INFO:gp:30 	776   	0.633847	30 	0.731815	0.443571	776   	0.0685454	7.68622	30 	19 	3  	776   	2.89238
INFO:gp:31 	749   	0.636784	31 	0.732328	0.441996	749   	0.068422 	7.65885	31 	18 	3  	749   	2.80934
INFO:gp:32 	758   	0.637606	32 	0.731815	0.392926	758   	0.0695616	7.49169	32 	18 	3  	758   	2.7029 
INFO:gp:33 	739   	0.635629	33 	0.731815	0.422709	739   	0.070633 	7.5435 	33 	19 	3  	739   	2.84047
INFO:gp:34 	783   	0.638091	34 	0.731815	0.445979	783   	0.0669115	7.4956 	34 	18 	3  	783   	2.75485
INFO:gp:35 	767   	0.636044	35 	0.731815	0.386022	767   	0.0670564	7.40665	35 	18 	3  	767   	2.90394
INFO:gp:36 	773   	0.633066	36 	0.731815	0.409853	773   	0.070966 	7.51515	36 	18 	3  	773   	2.88752
INFO:gp:37 	769   	0.635176	37 	0.731815	0.414496	769   	0.0682972	7.55132	37 	18 	3  	769   	2.79838
INFO:gp:38 	787   	0.63253 	38 	0.731815	0.408271	787   	0.0709286	7.67351	38 	18 	3  	787   	2.90329
INFO:gp:39 	786   	0.635408	39 	0.731815	0.392337	786   	0.0679457	7.86999	39 	18 	3  	786   	2.96373
INFO:gp:40 	767   	0.635786	40 	0.731815	0.411689	767   	0.0696144	7.73216	40 	21 	3  	767   	2.86083
INFO:gp:41 	764   	0.636095	41 	0.731815	0.416042	764   	0.0699585	7.61486	41 	18 	3  	764   	2.77509
INFO:gp:42 	770   	0.635198	42 	0.731815	0.429003	770   	0.068117 	7.45552	42 	18 	3  	770   	2.66172
INFO:gp:43 	781   	0.637628	43 	0.731815	0.417339	781   	0.0673129	7.68231	43 	19 	3  	781   	2.9088 
INFO:gp:44 	792   	0.633283	44 	0.731815	0.445131	792   	0.0683979	7.71261	44 	19 	3  	792   	2.88718
INFO:gp:45 	771   	0.636496	45 	0.731815	0.404841	771   	0.0679268	7.7478 	45 	18 	3  	771   	2.82271
INFO:gp:46 	771   	0.632634	46 	0.731815	0.385414	771   	0.071751 	7.79277	46 	18 	3  	771   	2.80832
INFO:gp:47 	754   	0.638623	47 	0.731815	0.432158	754   	0.068982 	7.72923	47 	19 	3  	754   	2.96279
INFO:gp:48 	780   	0.63443 	48 	0.731815	0.437598	780   	0.0709484	7.66569	48 	20 	3  	780   	2.90307
INFO:gp:49 	764   	0.633809	49 	0.731815	0.444925	764   	0.0704703	7.72923	49 	20 	3  	764   	2.90582
INFO:gp:50 	775   	0.63463 	50 	0.731815	0.423491	775   	0.0700404	7.67058	50 	19 	3  	775   	2.93294
INFO:gp:51 	795   	0.637   	51 	0.731815	0.429805	795   	0.0688729	7.51222	51 	19 	3  	795   	2.87702
INFO:gp:52 	763   	0.637754	52 	0.731815	0.421989	763   	0.0687549	7.57869	52 	19 	3  	763   	2.86984
INFO:gp:53 	766   	0.63969 	53 	0.733288	0.430686	766   	0.0668858	7.71359	53 	22 	3  	766   	3.03113
INFO:gp:54 	758   	0.638082	54 	0.733288	0.387108	758   	0.0704452	7.78592	54 	22 	3  	758   	2.93296
INFO:gp:55 	757   	0.639131	55 	0.733288	0.441345	757   	0.0686297	7.55523	55 	19 	3  	757   	2.71714
INFO:gp:56 	755   	0.640885	56 	0.736324	0.450983	755   	0.0670015	7.49462	56 	19 	3  	755   	2.85726
INFO:gp:57 	794   	0.632147	57 	0.733288	0.404405	794   	0.070555 	7.50342	57 	20 	3  	794   	2.79186
INFO:gp:58 	766   	0.635919	58 	0.733288	0.414964	766   	0.0683883	7.56891	58 	19 	3  	766   	2.8989 
