INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.501071	0  	0.612759	0.393062	1023  	0.0294383	3.47801	0  	7  	2  	1023  	1.35103
INFO:gp:1  	788   	0.518536	1  	0.620746	0.409646	788   	0.0322231	3.69892	1  	11 	2  	788   	1.51088
INFO:gp:2  	777   	0.530115	2  	0.628425	0.418853	777   	0.0363851	3.7957 	2  	11 	2  	777   	1.58879
INFO:gp:3  	770   	0.539547	3  	0.656137	0.404941	770   	0.0398569	3.89247	3  	11 	2  	770   	1.57391
INFO:gp:4  	795   	0.55107 	4  	0.656137	0.388593	795   	0.0432544	4.16227	4  	14 	1  	795   	1.69902
INFO:gp:5  	769   	0.568899	5  	0.659622	0.411423	769   	0.0437229	4.15934	5  	10 	1  	769   	1.68688
INFO:gp:6  	775   	0.584672	6  	0.673986	0.435509	775   	0.0450337	3.81916	6  	9  	1  	775   	1.48223
INFO:gp:7  	778   	0.599067	7  	0.686405	0.431423	778   	0.0447673	3.57087	7  	10 	1  	778   	1.24065
INFO:gp:8  	751   	0.61111 	8  	0.690239	0.398399	751   	0.044966 	3.53861	8  	10 	1  	751   	1.16742
INFO:gp:9  	766   	0.613739	9  	0.723912	0.441883	766   	0.0463982	3.59922	9  	10 	1  	766   	1.09815
INFO:gp:10 	766   	0.617789	10 	0.723912	0.451866	766   	0.0483868	3.73607	10 	10 	1  	766   	1.16512
INFO:gp:11 	775   	0.617815	11 	0.723912	0.482182	775   	0.0495908	4.09091	11 	10 	1  	775   	1.32888
INFO:gp:12 	787   	0.620308	12 	0.723912	0.448089	787   	0.050688 	4.35484	12 	12 	1  	787   	1.47053
INFO:gp:13 	776   	0.620041	13 	0.723912	0.408857	776   	0.0541875	4.59433	13 	16 	1  	776   	1.53698
INFO:gp:14 	755   	0.622772	14 	0.723912	0.421735	755   	0.055248 	4.74976	14 	13 	2  	755   	1.47906
INFO:gp:15 	785   	0.624949	15 	0.723912	0.474532	785   	0.0535582	4.95894	15 	11 	3  	785   	1.31993
INFO:gp:16 	771   	0.623544	16 	0.723912	0.425644	771   	0.0564445	5.07625	16 	13 	1  	771   	1.38207
INFO:gp:17 	767   	0.630427	17 	0.723912	0.463213	767   	0.0525256	5.31183	17 	13 	3  	767   	1.41819
INFO:gp:18 	784   	0.626959	18 	0.723912	0.468603	784   	0.0568224	5.35777	18 	13 	3  	784   	1.36463
INFO:gp:19 	783   	0.62727 	19 	0.723912	0.410537	783   	0.0586899	5.51515	19 	14 	3  	783   	1.51484
INFO:gp:20 	801   	0.626855	20 	0.732801	0.443771	801   	0.0587274	5.77028	20 	14 	3  	801   	1.64997
INFO:gp:21 	761   	0.631668	21 	0.740186	0.454044	761   	0.0594867	5.826  	21 	12 	3  	761   	1.72414
INFO:gp:22 	765   	0.631417	22 	0.740186	0.461462	765   	0.0615304	6.03715	22 	13 	3  	765   	1.78036
INFO:gp:23 	754   	0.633013	23 	0.740186	0.450955	754   	0.0629977	6.09091	23 	13 	3  	754   	1.7006 
INFO:gp:24 	770   	0.632371	24 	0.740186	0.466073	770   	0.0642543	6.31085	24 	15 	3  	770   	1.82015
INFO:gp:25 	760   	0.636397	25 	0.740186	0.471481	760   	0.0626199	6.42326	25 	13 	3  	760   	1.86015
INFO:gp:26 	759   	0.636797	26 	0.740186	0.450494	759   	0.0655941	6.50929	26 	14 	3  	759   	1.80411
INFO:gp:27 	747   	0.637788	27 	0.740186	0.452701	747   	0.0668897	6.61486	27 	15 	3  	747   	1.92739
INFO:gp:28 	795   	0.634495	28 	0.740186	0.479989	795   	0.0671202	6.78886	28 	19 	3  	795   	2.03017
INFO:gp:29 	768   	0.638471	29 	0.740186	0.440398	768   	0.0657821	6.95112	29 	17 	3  	768   	2.04341
INFO:gp:30 	758   	0.638841	30 	0.740186	0.422718	758   	0.0669141	7.00978	30 	16 	3  	758   	2.00095
INFO:gp:31 	796   	0.637699	31 	0.740186	0.48922 	796   	0.0653948	6.99609	31 	16 	3  	796   	1.94499
INFO:gp:32 	771   	0.637141	32 	0.740186	0.465527	771   	0.0677917	7.10753	32 	16 	3  	771   	2.03925
INFO:gp:33 	765   	0.637175	33 	0.740186	0.426779	765   	0.0679697	7.15054	33 	17 	3  	765   	1.96867
INFO:gp:34 	783   	0.634265	34 	0.740186	0.459001	783   	0.0677971	7.08211	34 	19 	3  	783   	1.95729
INFO:gp:35 	779   	0.63961 	35 	0.740186	0.450307	779   	0.066943 	7.24536	35 	16 	3  	779   	1.91445
INFO:gp:36 	760   	0.641274	36 	0.740186	0.435786	760   	0.0683318	7.19746	36 	16 	3  	760   	1.87125
INFO:gp:37 	806   	0.639514	37 	0.740186	0.477114	806   	0.0659059	7.24047	37 	15 	3  	806   	1.87405
INFO:gp:38 	768   	0.640595	38 	0.740186	0.444849	768   	0.0668435	7.16813	38 	16 	3  	768   	1.89435
INFO:gp:39 	743   	0.642109	39 	0.740186	0.464867	743   	0.0697231	7.21994	39 	15 	3  	743   	1.80948
INFO:gp:40 	775   	0.644462	40 	0.740186	0.46137 	775   	0.0667537	7.30303	40 	14 	3  	775   	1.88425
INFO:gp:41 	777   	0.636876	41 	0.740186	0.469814	777   	0.0705837	7.24242	41 	15 	3  	777   	1.79439
INFO:gp:42 	789   	0.639648	42 	0.745774	0.466542	789   	0.0691599	7.34018	42 	15 	3  	789   	1.76687
INFO:gp:43 	766   	0.639827	43 	0.745774	0.47478 	766   	0.0691834	7.20626	43 	15 	3  	766   	1.85165
INFO:gp:44 	770   	0.639983	44 	0.745774	0.446711	770   	0.069382 	7.13587	44 	15 	3  	770   	1.76257
INFO:gp:45 	753   	0.642893	45 	0.745774	0.453993	753   	0.0690349	7.28543	45 	15 	3  	753   	1.76217
INFO:gp:46 	743   	0.648222	46 	0.745774	0.456038	743   	0.0662036	7.20039	46 	13 	3  	743   	1.55131
INFO:gp:47 	792   	0.640372	47 	0.745774	0.463738	792   	0.0693524	7.20919	47 	16 	3  	792   	1.68056
INFO:gp:48 	756   	0.640265	48 	0.745774	0.459571	756   	0.0707066	7.26882	48 	14 	3  	756   	1.72245
INFO:gp:49 	780   	0.64279 	49 	0.745774	0.420715	780   	0.069707 	7.22678	49 	13 	3  	780   	1.56432
INFO:gp:50 	789   	0.641486	50 	0.745774	0.452249	789   	0.0688385	7.2043 	50 	14 	3  	789   	1.68551
INFO:gp:51 	775   	0.641783	51 	0.745774	0.463618	775   	0.0691908	7.26393	51 	14 	3  	775   	1.67575
INFO:gp:52 	786   	0.63706 	52 	0.745774	0.44829 	786   	0.0727317	7.20235	52 	17 	3  	786   	1.64049
INFO:gp:53 	786   	0.642662	53 	0.745774	0.47543 	786   	0.0686844	7.32258	53 	16 	3  	786   	1.62686
INFO:gp:54 	764   	0.644782	54 	0.745774	0.471716	764   	0.0695902	7.3783 	54 	14 	3  	764   	1.55593
INFO:gp:55 	748   	0.645384	55 	0.745774	0.460183	748   	0.0717072	7.32258	55 	13 	3  	748   	1.50968
INFO:gp:56 	766   	0.64154 	56 	0.745774	0.462698	766   	0.0740505	7.3607 	56 	15 	3  	766   	1.63476
INFO:gp:57 	759   	0.645202	57 	0.745774	0.429186	759   	0.0714129	7.38221	57 	15 	3  	759   	1.55623
INFO:gp:58 	766   	0.643595	58 	0.745774	0.464124	766   	0.0708753	7.42522	58 	13 	3  	766   	1.60523
INFO:gp:59 	804   	0.642365	59 	0.745774	0.419038	804   	0.0693213	7.47116	59 	16 	3  	804   	1.79303
INFO:gp:60 	788   	0.640988	60 	0.745774	0.460804	788   	0.0712439	7.46139	60 	16 	3  	788   	1.76537
INFO:gp:61 	749   	0.645541	61 	0.745774	0.448774	749   	0.0717291	7.50831	61 	15 	3  	749   	1.71409
INFO:gp:62 	768   	0.64315 	62 	0.745774	0.471319	768   	0.0714254	7.54936	62 	14 	3  	768   	1.70425
INFO:gp:63 	768   	0.644828	63 	0.745774	0.463649	768   	0.0712739	7.64516	63 	16 	3  	768   	1.90287
INFO:gp:64 	782   	0.643468	64 	0.745774	0.480212	782   	0.0711764	7.72727	64 	15 	3  	782   	1.80499
INFO:gp:65 	763   	0.646844	65 	0.745774	0.430578	763   	0.0702618	7.65494	65 	16 	3  	763   	1.8447 
INFO:gp:66 	785   	0.644427	66 	0.745774	0.456114	785   	0.071157 	7.58944	66 	15 	3  	785   	1.68065
INFO:gp:67 	759   	0.646818	67 	0.748015	0.448898	759   	0.0713371	7.59531	67 	15 	3  	759   	1.6669 
INFO:gp:68 	776   	0.639891	68 	0.748015	0.462072	776   	0.0740893	7.6002 	68 	14 	3  	776   	1.79972
INFO:gp:69 	770   	0.644739	69 	0.748015	0.472087	770   	0.0707532	7.65005	69 	14 	3  	770   	1.70867
INFO:gp:70 	742   	0.650253	70 	0.748015	0.445057	742   	0.0696876	7.53861	70 	15 	3  	742   	1.66976
INFO:gp:71 	783   	0.645431	71 	0.748015	0.480154	783   	0.070354 	7.55425	71 	17 	3  	783   	1.74659
INFO:gp:72 	783   	0.644007	72 	0.748015	0.42857 	783   	0.0714902	7.51711	72 	16 	3  	783   	1.69452
INFO:gp:73 	746   	0.646249	73 	0.748015	0.470236	746   	0.0715873	7.55718	73 	16 	3  	746   	1.76874
