INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.500231	0  	0.594078	0.403472	1023  	0.029872	3.51613	0  	7  	2  	1023  	1.35328
INFO:gp:1  	785   	0.520119	1  	0.619686	0.413647	785   	0.0320695	3.57087	1  	11 	2  	785   	1.37731
INFO:gp:2  	782   	0.529334	2  	0.631604	0.417198	782   	0.0356915	3.76833	2  	11 	2  	782   	1.52467
INFO:gp:3  	782   	0.538188	3  	0.659072	0.419263	782   	0.0401894	4.1085 	3  	12 	2  	782   	1.71331
INFO:gp:4  	775   	0.546163	4  	0.659072	0.383691	775   	0.0426608	4.21701	4  	12 	1  	775   	1.68538
INFO:gp:5  	756   	0.555864	5  	0.659072	0.420746	756   	0.0431788	4.18182	5  	10 	1  	756   	1.59428
INFO:gp:6  	781   	0.562762	6  	0.661434	0.42619 	781   	0.0435245	4.00098	6  	11 	1  	781   	1.46814
INFO:gp:7  	788   	0.565905	7  	0.661933	0.429584	788   	0.0456787	4.15543	7  	11 	1  	788   	1.52024
INFO:gp:8  	784   	0.568382	8  	0.661933	0.423036	784   	0.0472431	4.31574	8  	12 	1  	784   	1.58037
INFO:gp:9  	776   	0.574036	9  	0.673954	0.404827	776   	0.0471747	4.38416	9  	11 	1  	776   	1.59729
INFO:gp:10 	761   	0.576991	10 	0.673954	0.400187	761   	0.0482361	4.37341	10 	11 	1  	761   	1.5505 
INFO:gp:11 	794   	0.578274	11 	0.673954	0.407565	794   	0.0498736	4.41642	11 	12 	2  	794   	1.62658
INFO:gp:12 	778   	0.581885	12 	0.679281	0.44682 	778   	0.0494847	4.32356	12 	13 	2  	778   	1.58126
INFO:gp:13 	778   	0.582231	13 	0.679281	0.434895	778   	0.0520205	4.32356	13 	12 	1  	778   	1.67259
INFO:gp:14 	762   	0.589105	14 	0.685742	0.40148 	762   	0.0504015	4.24145	14 	15 	1  	762   	1.65007
INFO:gp:15 	806   	0.585456	15 	0.685742	0.443643	806   	0.050924 	4.34115	15 	12 	1  	806   	1.68425
