INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.50069	0  	0.614211	0.404991	1023  	0.0307677	3.53275	0  	7  	2  	1023  	1.36735
INFO:gp:1  	756   	0.520098	1  	0.629622	0.384988	756   	0.0333881	3.62952	1  	10 	2  	756   	1.44721
INFO:gp:2  	789   	0.529708	2  	0.629622	0.408331	789   	0.0385746	3.76637	2  	10 	2  	789   	1.51988
INFO:gp:3  	763   	0.539277	3  	0.642176	0.387784	763   	0.0438011	3.8915 	3  	10 	2  	763   	1.54153
INFO:gp:4  	758   	0.550722	4  	0.648162	0.392131	758   	0.0463619	4.03519	4  	10 	2  	758   	1.58337
INFO:gp:5  	777   	0.559911	5  	0.662165	0.410831	777   	0.0472002	4.05279	5  	11 	2  	777   	1.6571 
INFO:gp:6  	767   	0.56509 	6  	0.662165	0.355513	767   	0.0510393	4.20821	6  	12 	1  	767   	1.76936
INFO:gp:7  	790   	0.572064	7  	0.668348	0.388258	790   	0.0508078	4.17595	7  	11 	2  	790   	1.71769
INFO:gp:8  	746   	0.577213	8  	0.668348	0.396362	746   	0.0544655	4.08309	8  	12 	1  	746   	1.73119
INFO:gp:9  	758   	0.576151	9  	0.668348	0.403266	758   	0.0559556	4.04203	9  	14 	2  	758   	1.69098
INFO:gp:10 	755   	0.580805	10 	0.668348	0.381554	755   	0.0534667	4.21896	10 	13 	2  	755   	1.71787
INFO:gp:11 	776   	0.580925	11 	0.671184	0.374499	776   	0.0561546	4.20821	11 	11 	2  	776   	1.6599 
INFO:gp:12 	777   	0.577351	12 	0.668348	0.371841	777   	0.0598781	4.30401	12 	13 	1  	777   	1.81135
INFO:gp:13 	751   	0.581357	13 	0.674606	0.373897	751   	0.0588885	4.45943	13 	12 	2  	751   	1.87698
INFO:gp:14 	770   	0.581117	14 	0.683695	0.391622	770   	0.0580441	4.36755	14 	12 	2  	770   	1.87795
INFO:gp:15 	753   	0.584754	15 	0.683695	0.390656	753   	0.0586686	4.55327	15 	12 	1  	753   	1.98155
INFO:gp:16 	781   	0.587083	16 	0.683695	0.410438	781   	0.056056 	4.90518	16 	13 	2  	781   	2.15613
INFO:gp:17 	765   	0.588212	17 	0.683695	0.366533	765   	0.0584043	5.20626	17 	14 	2  	765   	2.44179
INFO:gp:18 	765   	0.591881	18 	0.683695	0.355078	765   	0.0582288	5.53666	18 	15 	2  	765   	2.66331
INFO:gp:19 	761   	0.592686	19 	0.685233	0.354315	761   	0.0583694	5.77615	19 	18 	2  	761   	2.79466
INFO:gp:20 	766   	0.595058	20 	0.700264	0.384926	766   	0.0560549	5.89443	20 	16 	2  	766   	2.8171 
INFO:gp:21 	753   	0.5961  	21 	0.700264	0.379648	753   	0.057399 	6.18573	21 	16 	2  	753   	2.96719
INFO:gp:22 	809   	0.59254 	22 	0.700264	0.374419	809   	0.0562144	6.6129 	22 	20 	2  	809   	3.15217
INFO:gp:23 	776   	0.597037	23 	0.683695	0.406973	776   	0.0568205	6.75367	23 	20 	2  	776   	3.32147
INFO:gp:24 	757   	0.598741	24 	0.69304 	0.405275	757   	0.0554703	6.72825	24 	20 	2  	757   	3.34764
INFO:gp:25 	759   	0.599868	25 	0.69304 	0.372371	759   	0.0574225	6.7654 	25 	17 	2  	759   	3.32232
INFO:gp:26 	776   	0.596857	26 	0.69304 	0.36692 	776   	0.0585757	6.61584	26 	20 	2  	776   	3.38619
INFO:gp:27 	774   	0.599924	27 	0.69304 	0.401319	774   	0.0567061	6.89638	27 	20 	2  	774   	3.56465
INFO:gp:28 	759   	0.596983	28 	0.69304 	0.381758	759   	0.0598631	6.97654	28 	19 	2  	759   	3.50944
INFO:gp:29 	770   	0.601245	29 	0.69304 	0.412906	770   	0.0571434	7.2043 	29 	18 	2  	770   	3.50789
INFO:gp:30 	778   	0.599951	30 	0.69304 	0.374674	778   	0.058308 	7.25904	30 	18 	2  	778   	3.59188
INFO:gp:31 	762   	0.603178	31 	0.69304 	0.409372	762   	0.054457 	7.33529	31 	20 	2  	762   	3.61489
INFO:gp:32 	771   	0.601346	32 	0.69304 	0.404038	771   	0.0559613	7.50831	32 	19 	2  	771   	3.79325
INFO:gp:33 	762   	0.60296 	33 	0.69304 	0.387184	762   	0.0564124	7.76051	33 	20 	2  	762   	3.9345 
INFO:gp:34 	765   	0.605751	34 	0.69304 	0.397563	765   	0.0535532	7.92571	34 	23 	2  	765   	3.92679
INFO:gp:35 	786   	0.60321 	35 	0.69304 	0.414385	786   	0.0546128	8.18964	35 	20 	2  	786   	4.07208
INFO:gp:36 	796   	0.605388	36 	0.69508 	0.40732 	796   	0.0532749	8.49169	36 	22 	2  	796   	4.07957
INFO:gp:37 	757   	0.608102	37 	0.69508 	0.407467	757   	0.0528482	8.48387	37 	26 	2  	757   	3.93315
