INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500511	0  	0.605711	0.388407	1023  	0.0283444	3.51124	0  	7  	2  	1023  	1.34899
INFO:gp:1  	789   	0.517856	1  	0.656208	0.420318	789   	0.0314632	3.47898	1  	10 	2  	789   	1.38816
INFO:gp:2  	784   	0.52853 	2  	0.656208	0.394597	784   	0.0368864	3.77517	2  	9  	1  	784   	1.41293
INFO:gp:3  	755   	0.542074	3  	0.656208	0.395655	755   	0.0415904	3.97165	3  	10 	2  	755   	1.41428
INFO:gp:4  	766   	0.554106	4  	0.656208	0.418063	766   	0.0443777	4.31085	4  	10 	2  	766   	1.38951
INFO:gp:5  	784   	0.561758	5  	0.693514	0.393022	784   	0.0477825	4.42326	5  	11 	2  	784   	1.50779
INFO:gp:6  	771   	0.570148	6  	0.693514	0.415162	771   	0.0472138	4.38514	6  	12 	2  	771   	1.32657
INFO:gp:7  	748   	0.576968	7  	0.693514	0.404668	748   	0.0493856	4.30401	7  	11 	2  	748   	1.27095
INFO:gp:8  	780   	0.575248	8  	0.693514	0.399216	780   	0.0526457	4.22874	8  	11 	2  	780   	1.25859
INFO:gp:9  	766   	0.582155	9  	0.693514	0.41787 	766   	0.0526915	4.22678	9  	10 	2  	766   	1.2378 
INFO:gp:10 	775   	0.580523	10 	0.693514	0.425927	775   	0.0562914	4.2043 	10 	10 	2  	775   	1.21344
INFO:gp:11 	750   	0.586806	11 	0.708508	0.427093	750   	0.0560235	4.21017	11 	11 	2  	750   	1.24033
INFO:gp:12 	780   	0.589025	12 	0.708508	0.412541	780   	0.055535 	4.31378	12 	11 	2  	780   	1.35501
INFO:gp:13 	773   	0.595941	13 	0.693514	0.36962 	773   	0.0549942	4.27761	13 	11 	1  	773   	1.19348
INFO:gp:14 	767   	0.596294	14 	0.696814	0.374831	767   	0.0592369	4.32356	14 	11 	2  	767   	1.26842
INFO:gp:15 	746   	0.604253	15 	0.704469	0.392903	746   	0.0590895	4.52102	15 	13 	2  	746   	1.29111
