INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.500411	0  	0.593031	0.411987	1023  	0.021594	3.50635	0  	7  	2  	1023  	1.35408
INFO:gp:1  	797   	0.519084	1  	0.597452	0.425606	797   	0.0225902	3.63539	1  	11 	2  	797   	1.45476
INFO:gp:2  	775   	0.531183	2  	0.59877 	0.437232	775   	0.0267328	3.97165	2  	15 	2  	775   	1.68374
INFO:gp:3  	773   	0.540276	3  	0.624846	0.448591	773   	0.0322172	4.16911	3  	12 	2  	773   	1.7084 
INFO:gp:4  	752   	0.555015	4  	0.624846	0.386781	752   	0.0360053	4.15054	4  	13 	2  	752   	1.62964
INFO:gp:5  	785   	0.566916	5  	0.651374	0.393421	785   	0.0400174	3.79765	5  	11 	2  	785   	1.34008
INFO:gp:6  	766   	0.577772	6  	0.651374	0.432078	766   	0.0404885	3.78299	6  	15 	2  	766   	1.38905
INFO:gp:7  	789   	0.578624	7  	0.657093	0.428418	789   	0.0454666	3.84066	7  	10 	2  	789   	1.39858
INFO:gp:8  	769   	0.587354	8  	0.657093	0.45491 	769   	0.0494226	3.78886	8  	11 	2  	769   	1.18081
INFO:gp:9  	770   	0.600988	9  	0.664427	0.441753	770   	0.0501657	3.98631	9  	14 	2  	770   	1.26066
INFO:gp:10 	772   	0.61151 	10 	0.666777	0.415991	772   	0.0501762	4.18377	10 	10 	3  	772   	1.16877
INFO:gp:11 	774   	0.619524	11 	0.666777	0.461713	774   	0.0473598	4.31965	11 	12 	3  	774   	1.23902
INFO:gp:12 	780   	0.61768 	12 	0.668793	0.448046	780   	0.0510237	4.42815	12 	10 	3  	780   	1.39699
INFO:gp:13 	754   	0.62377 	13 	0.668793	0.477325	754   	0.0487275	4.56989	13 	12 	3  	754   	1.54273
INFO:gp:14 	788   	0.619812	14 	0.668793	0.46422 	788   	0.0532437	4.42815	14 	12 	3  	788   	1.72964
INFO:gp:15 	794   	0.620134	15 	0.668793	0.46851 	794   	0.0549702	4.07527	15 	11 	3  	794   	1.62676
INFO:gp:16 	776   	0.623554	16 	0.669968	0.479512	776   	0.0541793	3.78983	16 	11 	3  	776   	1.42517
INFO:gp:17 	757   	0.626475	17 	0.669968	0.47694 	757   	0.0537822	3.75171	17 	11 	3  	757   	1.36029
INFO:gp:18 	805   	0.624156	18 	0.669968	0.460464	805   	0.0575453	3.70088	18 	11 	3  	805   	1.39699
INFO:gp:19 	757   	0.622111	19 	0.669968	0.459735	757   	0.0588795	3.68817	19 	11 	3  	757   	1.37195
INFO:gp:20 	765   	0.624049	20 	0.669968	0.487958	765   	0.0567012	3.93939	20 	12 	3  	765   	1.46922
INFO:gp:21 	786   	0.626584	21 	0.669968	0.463784	786   	0.0547453	4.34409	21 	11 	3  	786   	1.54593
INFO:gp:22 	769   	0.629375	22 	0.669968	0.461441	769   	0.0521247	4.67742	22 	11 	3  	769   	1.55623
INFO:gp:23 	774   	0.627257	23 	0.669968	0.435289	774   	0.0546511	4.73118	23 	11 	3  	774   	1.47215
INFO:gp:24 	789   	0.625551	24 	0.669968	0.405642	789   	0.056078 	4.89541	24 	12 	3  	789   	1.59967
INFO:gp:25 	788   	0.627804	25 	0.670376	0.423635	788   	0.0548981	5.48974	25 	14 	3  	788   	1.87895
INFO:gp:26 	781   	0.63041 	26 	0.678248	0.40235 	781   	0.053286 	6.3304 	26 	15 	3  	781   	2.04646
INFO:gp:27 	776   	0.632936	27 	0.678248	0.439821	776   	0.0529998	7.3392 	27 	15 	3  	776   	2.10323
INFO:gp:28 	789   	0.636363	28 	0.678248	0.486478	789   	0.0487008	8.20039	28 	16 	3  	789   	2.36336
INFO:gp:29 	772   	0.639231	29 	0.678248	0.426545	772   	0.0477323	9.15445	29 	17 	3  	772   	2.55336
INFO:gp:30 	779   	0.638238	30 	0.678248	0.464501	779   	0.0477531	9.67742	30 	18 	3  	779   	2.61912
INFO:gp:31 	783   	0.639616	31 	0.678248	0.454073	783   	0.0472549	9.739  	31 	21 	3  	783   	2.92047
INFO:gp:32 	764   	0.639069	32 	0.678248	0.465736	764   	0.049336 	9.3695 	32 	20 	3  	764   	3.19707
INFO:gp:33 	774   	0.639518	33 	0.678657	0.43703 	774   	0.0489956	8.72923	33 	21 	3  	774   	3.1564 
INFO:gp:34 	777   	0.638322	34 	0.679066	0.460467	777   	0.0501076	8.72727	34 	20 	3  	777   	2.96294
INFO:gp:35 	757   	0.644753	35 	0.679066	0.43187 	757   	0.0460232	9.44282	35 	20 	3  	757   	2.96516
INFO:gp:36 	784   	0.642639	36 	0.679066	0.459587	784   	0.0461701	10.4389	36 	22 	3  	784   	2.93659
INFO:gp:37 	799   	0.646388	37 	0.67927 	0.483276	799   	0.0463126	11.347 	37 	22 	3  	799   	2.80654
INFO:gp:38 	759   	0.644846	38 	0.67927 	0.440347	759   	0.0474474	12.0469	38 	25 	3  	759   	2.91585
INFO:gp:39 	803   	0.642283	39 	0.679679	0.443305	803   	0.0484024	12.0596	39 	24 	3  	803   	2.80959
INFO:gp:40 	760   	0.643227	40 	0.679679	0.472005	760   	0.0473401	11.7986	40 	23 	3  	760   	3.14717
INFO:gp:41 	776   	0.643231	41 	0.679679	0.432496	776   	0.0465482	11.7253	41 	24 	3  	776   	3.05182
INFO:gp:42 	773   	0.644585	42 	0.679679	0.470762	773   	0.0470092	12.3402	42 	24 	3  	773   	3.3055 
INFO:gp:43 	781   	0.645386	43 	0.680292	0.502311	781   	0.0450426	13.2884	43 	24 	3  	781   	3.27016
INFO:gp:44 	745   	0.646175	44 	0.680292	0.487988	745   	0.0469974	13.9238	44 	31 	3  	745   	3.41122
INFO:gp:45 	801   	0.645331	45 	0.680496	0.446638	801   	0.0458619	13.5513	45 	25 	3  	801   	3.31958
INFO:gp:46 	791   	0.642157	46 	0.680905	0.457357	791   	0.0515508	13.2776	46 	25 	3  	791   	3.15936
INFO:gp:47 	778   	0.646349	47 	0.681313	0.447485	778   	0.046365 	13.1662	47 	27 	3  	778   	2.98182
INFO:gp:48 	789   	0.647137	48 	0.681313	0.447627	789   	0.0450775	13.3695	48 	24 	3  	789   	2.86897
INFO:gp:49 	785   	0.646889	49 	0.68213 	0.459465	785   	0.0445937	13.6833	49 	25 	3  	785   	2.84521
INFO:gp:50 	759   	0.646021	50 	0.68213 	0.445916	759   	0.0487856	13.9159	50 	28 	3  	759   	2.89517
INFO:gp:51 	789   	0.645292	51 	0.68213 	0.473784	789   	0.0461712	13.9765	51 	28 	3  	789   	3.12925
INFO:gp:52 	770   	0.643372	52 	0.68213 	0.453446	770   	0.0487605	13.9238	52 	26 	3  	770   	3.11432
INFO:gp:53 	745   	0.646988	53 	0.68213 	0.463925	745   	0.0477419	14.0459	53 	24 	3  	745   	3.17721
INFO:gp:54 	786   	0.648779	54 	0.68213 	0.415108	786   	0.0461338	14.694 	54 	31 	3  	786   	3.57454
INFO:gp:55 	796   	0.645357	55 	0.68213 	0.482355	796   	0.047516 	15.5533	55 	31 	3  	796   	3.42192
INFO:gp:56 	775   	0.650548	56 	0.68213 	0.432982	775   	0.0465716	16.1163	56 	31 	3  	775   	2.88881
INFO:gp:57 	769   	0.64808 	57 	0.68213 	0.423428	769   	0.046206 	16.2708	57 	33 	3  	769   	2.88827
INFO:gp:58 	795   	0.647711	58 	0.68213 	0.481409	795   	0.0466771	16.1378	58 	31 	3  	795   	3.0296 
INFO:gp:59 	773   	0.646753	59 	0.68213 	0.46533 	773   	0.0484452	16.1926	59 	31 	3  	773   	2.80327
INFO:gp:60 	793   	0.645905	60 	0.68213 	0.443663	793   	0.0474321	16.2571	60 	31 	3  	793   	2.95443
INFO:gp:61 	770   	0.649317	61 	0.683971	0.462566	770   	0.0448315	16.1408	61 	28 	3  	770   	3.04988
INFO:gp:62 	769   	0.650522	62 	0.683971	0.486142	769   	0.0444609	16.2845	62 	24 	3  	769   	2.70227
INFO:gp:63 	753   	0.646662	63 	0.683971	0.463476	753   	0.0476953	16.085 	63 	28 	3  	753   	3.12834
INFO:gp:64 	766   	0.648645	64 	0.683971	0.450495	766   	0.0456476	16.132 	64 	31 	3  	766   	3.04242
INFO:gp:65 	771   	0.648739	65 	0.683971	0.469154	771   	0.046009 	16.216 	65 	31 	3  	771   	3.09088
INFO:gp:66 	763   	0.649846	66 	0.683971	0.4558  	763   	0.0468012	16.2092	66 	27 	3  	763   	2.91174
INFO:gp:67 	787   	0.649643	67 	0.683971	0.465428	787   	0.0458345	16.1916	67 	31 	3  	787   	3.08885
INFO:gp:68 	785   	0.648427	68 	0.683971	0.492039	785   	0.047219 	16.4154	68 	30 	3  	785   	2.94665
INFO:gp:69 	763   	0.650312	69 	0.683971	0.46102 	763   	0.0461823	16.3372	69 	31 	3  	763   	3.10183
INFO:gp:70 	757   	0.649791	70 	0.683971	0.463053	757   	0.0455542	16.1945	70 	31 	3  	757   	3.27828
INFO:gp:71 	807   	0.648173	71 	0.683971	0.421753	807   	0.0472485	16.259 	71 	31 	3  	807   	3.0116 
INFO:gp:72 	775   	0.649502	72 	0.683971	0.418935	775   	0.0463852	16.1828	72 	31 	3  	775   	3.33189
INFO:gp:73 	767   	0.649405	73 	0.683971	0.45502 	767   	0.0480396	16.436 	73 	28 	3  	767   	2.78902
INFO:gp:74 	776   	0.650572	74 	0.683971	0.444835	776   	0.0461278	16.4184	74 	28 	3  	776   	2.80569
INFO:gp:75 	773   	0.647248	75 	0.683971	0.464807	773   	0.0480312	16.2248	75 	31 	3  	773   	3.17651
INFO:gp:76 	777   	0.648218	76 	0.683971	0.441146	777   	0.0479042	16.2268	76 	28 	3  	777   	3.28053
INFO:gp:77 	768   	0.649108	77 	0.683971	0.437803	768   	0.0484848	16.3793	77 	31 	3  	768   	3.23635
INFO:gp:78 	772   	0.647212	78 	0.683971	0.467715	772   	0.0500924	16.2717	78 	31 	3  	772   	3.19617
INFO:gp:79 	770   	0.650649	79 	0.683971	0.436929	770   	0.0470277	16.303 	79 	28 	3  	770   	2.96214
INFO:gp:80 	781   	0.647756	80 	0.683971	0.492924	781   	0.0472791	16.2864	80 	31 	3  	781   	3.30068
INFO:gp:81 	780   	0.649996	81 	0.683971	0.483441	780   	0.0459247	16.2884	81 	31 	3  	780   	3.19792
INFO:gp:82 	794   	0.646836	82 	0.683971	0.496494	794   	0.0471999	16.1994	82 	31 	3  	794   	3.41312
INFO:gp:83 	816   	0.646095	83 	0.683971	0.459156	816   	0.046449 	16.2307	83 	31 	3  	816   	3.08047
INFO:gp:84 	764   	0.651608	84 	0.683971	0.494875	764   	0.0447389	16.3021	84 	27 	3  	764   	3.07604
INFO:gp:85 	787   	0.650949	85 	0.684584	0.477813	787   	0.0465686	16.2923	85 	31 	3  	787   	3.18133
INFO:gp:86 	776   	0.651228	86 	0.684584	0.495672	776   	0.0451163	16.1867	86 	31 	3  	776   	3.1779 
INFO:gp:87 	776   	0.648548	87 	0.684584	0.434203	776   	0.0471451	16.347 	87 	32 	3  	776   	3.23014
INFO:gp:88 	787   	0.648174	88 	0.684584	0.483216	787   	0.0474105	16.3529	88 	31 	3  	787   	3.10545
INFO:gp:89 	761   	0.649686	89 	0.684584	0.489187	761   	0.0473048	16.4135	89 	32 	3  	761   	3.13216
INFO:gp:90 	781   	0.650206	90 	0.684584	0.450185	781   	0.0472497	16.5709	90 	31 	3  	781   	2.96487
INFO:gp:91 	780   	0.652884	91 	0.684584	0.482585	780   	0.0446023	16.7703	91 	33 	3  	780   	3.20786
INFO:gp:92 	763   	0.651748	92 	0.684584	0.448942	763   	0.045532 	17.0743	92 	33 	3  	763   	3.00087
INFO:gp:93 	775   	0.648638	93 	0.684584	0.445938	775   	0.0484078	17.1711	93 	30 	3  	775   	3.1398 
INFO:gp:94 	758   	0.654237	94 	0.684584	0.481817	758   	0.0446724	17.1584	94 	32 	3  	758   	2.91629
INFO:gp:95 	769   	0.649269	95 	0.684584	0.465449	769   	0.0471516	17.0811	95 	32 	3  	769   	3.21809
INFO:gp:96 	780   	0.649522	96 	0.684584	0.437399	780   	0.0480414	17.2102	96 	30 	3  	780   	3.08559
INFO:gp:97 	765   	0.649946	97 	0.684584	0.468871	765   	0.0466924	17.1359	97 	30 	3  	765   	3.13871
INFO:gp:98 	756   	0.65091 	98 	0.684584	0.423676	756   	0.0472005	17.0704	98 	30 	3  	756   	3.15499
INFO:gp:99 	768   	0.6519  	99 	0.684584	0.489196	768   	0.0455291	17.0244	99 	33 	3  	768   	3.14933
INFO:gp:100	779   	0.647817	100	0.684584	0.453578	779   	0.0487905	16.8798	100	33 	3  	779   	3.52372
INFO:gp:101	780   	0.652589	101	0.684584	0.457716	780   	0.0467242	17.0147	101	33 	3  	780   	3.19071
INFO:gp:102	767   	0.651424	102	0.684584	0.495502	767   	0.0451765	16.9589	102	29 	3  	767   	3.26543
INFO:gp:103	765   	0.652846	103	0.684584	0.491828	765   	0.0448571	16.9003	103	30 	3  	765   	3.25547
INFO:gp:104	747   	0.652754	104	0.684584	0.470246	747   	0.0470802	16.9394	104	33 	3  	747   	3.37755
INFO:gp:105	765   	0.653065	105	0.684584	0.45481 	765   	0.0449961	17.2053	105	33 	3  	765   	2.94473
INFO:gp:106	758   	0.653644	106	0.684584	0.462057	758   	0.0452661	17.0049	106	30 	3  	758   	3.17569
INFO:gp:107	795   	0.65073 	107	0.684584	0.466311	795   	0.045171 	16.9501	107	31 	3  	795   	3.28396
INFO:gp:108	776   	0.651628	108	0.684584	0.425735	776   	0.0473067	17.088 	108	30 	3  	776   	2.95818
INFO:gp:109	788   	0.652496	109	0.684584	0.50036 	788   	0.0457851	17.0841	109	29 	3  	788   	2.86871
INFO:gp:110	779   	0.653067	110	0.684584	0.499294	779   	0.0457816	16.9922	110	30 	3  	779   	3.1915 
INFO:gp:111	774   	0.653672	111	0.684584	0.487858	774   	0.0437177	16.9638	111	33 	3  	774   	3.24281
INFO:gp:112	796   	0.65031 	112	0.684584	0.441841	796   	0.0463914	17.1339	112	31 	3  	796   	2.99799
INFO:gp:113	783   	0.650927	113	0.684584	0.473422	783   	0.0458718	17.0235	113	29 	3  	783   	3.11108
INFO:gp:114	770   	0.651661	114	0.684584	0.453503	770   	0.047384 	16.9198	114	32 	3  	770   	3.27576
INFO:gp:115	774   	0.651725	115	0.684584	0.427011	774   	0.0454354	16.914 	115	33 	3  	774   	3.33125
INFO:gp:116	794   	0.652161	116	0.684584	0.433347	794   	0.0460281	16.7664	116	33 	3  	794   	3.20788
INFO:gp:117	787   	0.651424	117	0.684584	0.473484	787   	0.0452798	16.6481	117	25 	3  	787   	3.34981
INFO:gp:118	797   	0.651375	118	0.684584	0.455576	797   	0.0456041	16.7546	118	30 	3  	797   	3.10699
INFO:gp:119	794   	0.651513	119	0.684584	0.490893	794   	0.045481 	16.7771	119	33 	3  	794   	3.19995
INFO:gp:120	784   	0.65348 	120	0.684584	0.4999  	784   	0.0448613	16.7556	120	33 	3  	784   	3.42649
INFO:gp:121	806   	0.650171	121	0.684584	0.45753 	806   	0.0463258	16.6931	121	33 	3  	806   	3.33758
INFO:gp:122	792   	0.65277 	122	0.684584	0.470213	792   	0.0449271	16.7009	122	29 	3  	792   	3.21629
INFO:gp:123	749   	0.652539	123	0.684584	0.452417	749   	0.0461367	16.9198	123	29 	3  	749   	2.96335
INFO:gp:124	777   	0.650887	124	0.684584	0.480449	777   	0.0470424	16.8964	124	29 	3  	777   	3.07499
INFO:gp:125	746   	0.651097	125	0.684584	0.442883	746   	0.0454432	16.9022	125	28 	3  	746   	3.02551
INFO:gp:126	785   	0.651216	126	0.684584	0.474661	785   	0.0448128	16.9824	126	33 	3  	785   	3.18932
