INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.213791	0  	0.325732	0.124326	1023  	0.032901	4.77126	0  	7  	3  	1023  	1.41852
INFO:gp:1  	736   	0.253134	1  	0.35248 	0.164978	736   	0.0299226	5.01857	1  	10 	2  	736   	1.53125
INFO:gp:2  	768   	0.280349	2  	0.363945	0.11619 	768   	0.0287836	4.79668	2  	12 	2  	768   	1.55942
INFO:gp:3  	766   	0.297075	3  	0.364111	0.148906	766   	0.0312823	4.59335	3  	10 	2  	766   	1.47671
INFO:gp:4  	754   	0.312779	4  	0.390468	0.180786	754   	0.0315342	4.55816	4  	10 	2  	754   	1.31548
INFO:gp:5  	779   	0.330097	5  	0.397831	0.205455	779   	0.0327746	4.5914 	5  	10 	2  	779   	1.54097
INFO:gp:6  	734   	0.346486	6  	0.418441	0.191703	734   	0.0321851	4.62463	6  	12 	2  	734   	1.63534
INFO:gp:7  	796   	0.357357	7  	0.425203	0.223871	796   	0.0336489	5.174  	7  	12 	2  	796   	1.84678
INFO:gp:8  	761   	0.366267	8  	0.425203	0.21216 	761   	0.0349186	5.76149	8  	14 	3  	761   	1.99261
INFO:gp:9  	739   	0.37939 	9  	0.442723	0.212643	739   	0.0342513	6.26882	9  	12 	3  	739   	1.99929
INFO:gp:10 	776   	0.389718	10 	0.442723	0.27013 	776   	0.0321349	6.81623	10 	14 	3  	776   	1.85692
INFO:gp:11 	785   	0.395628	11 	0.442723	0.250426	785   	0.0319024	7.10166	11 	11 	2  	785   	1.78771
INFO:gp:12 	772   	0.401986	12 	0.449221	0.245008	772   	0.0306512	6.93939	12 	12 	3  	772   	1.93194
INFO:gp:13 	780   	0.400349	13 	0.449221	0.243924	780   	0.0359614	7.01857	13 	13 	3  	780   	2.02686
INFO:gp:14 	782   	0.403608	14 	0.449221	0.244648	782   	0.035582 	7.46921	14 	15 	3  	782   	1.87351
INFO:gp:15 	774   	0.407546	15 	0.451502	0.259554	774   	0.0362459	7.81134	15 	13 	3  	774   	1.57342
INFO:gp:16 	743   	0.410138	16 	0.451815	0.269538	743   	0.0374141	7.89834	16 	12 	3  	743   	1.5251 
INFO:gp:17 	784   	0.413869	17 	0.454808	0.271049	784   	0.0381052	8.16618	17 	13 	3  	784   	1.5052 
INFO:gp:18 	746   	0.416639	18 	0.460826	0.236314	746   	0.0399013	8.29814	18 	14 	4  	746   	1.46783
INFO:gp:19 	761   	0.422331	19 	0.460826	0.243991	761   	0.0367684	8.44966	19 	13 	4  	761   	1.30311
INFO:gp:20 	785   	0.424389	20 	0.460826	0.263509	785   	0.0350184	8.46725	20 	13 	4  	785   	1.43774
INFO:gp:21 	770   	0.42434 	21 	0.460928	0.225292	770   	0.0375022	8.23558	21 	13 	4  	770   	1.615  
INFO:gp:22 	767   	0.430166	22 	0.463502	0.278024	767   	0.0351987	8.06061	22 	11 	4  	767   	1.54763
INFO:gp:23 	769   	0.429941	23 	0.463502	0.246876	769   	0.0392901	7.739  	23 	12 	4  	769   	1.4609 
INFO:gp:24 	791   	0.434075	24 	0.463502	0.261389	791   	0.0362762	7.52884	24 	14 	4  	791   	1.25408
INFO:gp:25 	764   	0.434906	25 	0.470553	0.242379	764   	0.0372066	7.5738 	25 	13 	4  	764   	1.136  
INFO:gp:26 	814   	0.436123	26 	0.470553	0.271097	814   	0.0361208	7.93451	26 	16 	4  	814   	1.29765
INFO:gp:27 	772   	0.435612	27 	0.471698	0.26012 	772   	0.0383494	8.12219	27 	18 	4  	772   	1.27757
INFO:gp:28 	758   	0.437043	28 	0.471698	0.276342	758   	0.0373475	7.90616	28 	14 	4  	758   	1.22174
INFO:gp:29 	768   	0.441388	29 	0.47185 	0.294093	768   	0.0349613	7.63636	29 	14 	5  	768   	1.20147
INFO:gp:30 	755   	0.442277	30 	0.477326	0.241966	755   	0.0362667	7.51613	30 	14 	5  	755   	1.16292
INFO:gp:31 	778   	0.44429 	31 	0.478006	0.251197	778   	0.0368013	7.39589	31 	15 	5  	778   	1.23514
INFO:gp:32 	783   	0.447009	32 	0.478006	0.310025	783   	0.0340417	7.50342	32 	13 	5  	783   	1.3454 
INFO:gp:33 	785   	0.445328	33 	0.483642	0.292737	785   	0.0381885	7.6696 	33 	14 	5  	785   	1.56898
INFO:gp:34 	784   	0.448871	34 	0.483642	0.261498	784   	0.0360842	8      	34 	14 	5  	784   	1.59545
INFO:gp:35 	781   	0.44819 	35 	0.483642	0.282574	781   	0.0376745	8.22874	35 	15 	5  	781   	1.43087
INFO:gp:36 	781   	0.450534	36 	0.483853	0.275534	781   	0.0384295	8.29326	36 	15 	5  	781   	1.47047
INFO:gp:37 	787   	0.450969	37 	0.487988	0.300059	787   	0.0368969	8.02053	37 	13 	5  	787   	1.54457
INFO:gp:38 	782   	0.453723	38 	0.487988	0.295395	782   	0.0361823	7.93451	38 	13 	5  	782   	1.64629
INFO:gp:39 	773   	0.456857	39 	0.487988	0.302984	773   	0.0348878	8.38807	39 	14 	5  	773   	1.62547
INFO:gp:40 	791   	0.456471	40 	0.489079	0.271157	791   	0.03736  	9.02542	40 	17 	5  	791   	1.45218
INFO:gp:41 	756   	0.459363	41 	0.496355	0.301244	756   	0.0365985	8.94819	41 	15 	5  	756   	1.55456
INFO:gp:42 	791   	0.460073	42 	0.496355	0.304875	791   	0.0357776	8.5347 	42 	15 	5  	791   	1.91115
INFO:gp:43 	791   	0.461052	43 	0.496355	0.287196	791   	0.0352813	7.88954	43 	15 	5  	791   	2.18063
INFO:gp:44 	752   	0.462968	44 	0.499795	0.283497	752   	0.0355455	7.29326	44 	18 	5  	752   	2.1343 
INFO:gp:45 	760   	0.464736	45 	0.499795	0.319613	760   	0.0375742	7.00587	45 	14 	5  	760   	2.08799
INFO:gp:46 	771   	0.464985	46 	0.499795	0.296927	771   	0.0382724	6.55816	46 	14 	5  	771   	1.98338
INFO:gp:47 	751   	0.468558	47 	0.499795	0.298934	751   	0.0368887	6.61779	47 	15 	5  	751   	1.92772
INFO:gp:48 	783   	0.467157	48 	0.499795	0.313551	783   	0.0367988	7.17595	48 	15 	5  	783   	1.87861
INFO:gp:49 	763   	0.467972	49 	0.499795	0.318076	763   	0.0376893	8.1564 	49 	15 	5  	763   	1.76447
INFO:gp:50 	782   	0.470742	50 	0.499795	0.309854	782   	0.0366422	8.93939	50 	15 	5  	782   	1.45249
INFO:gp:51 	784   	0.472053	51 	0.499795	0.312614	784   	0.0358622	9.19746	51 	15 	5  	784   	1.24752
INFO:gp:52 	759   	0.470381	52 	0.540246	0.281044	759   	0.0382899	9.29814	52 	15 	5  	759   	1.19057
INFO:gp:53 	776   	0.471898	53 	0.540246	0.29797 	776   	0.0369361	9.33529	53 	19 	5  	776   	1.23409
INFO:gp:54 	781   	0.47351 	54 	0.540246	0.252039	781   	0.0384217	9.32063	54 	15 	5  	781   	1.17352
INFO:gp:55 	765   	0.478435	55 	0.542244	0.296587	765   	0.0384021	9.35093	55 	15 	5  	765   	1.19914
INFO:gp:56 	784   	0.487826	56 	0.542244	0.319129	784   	0.0415549	9.46237	56 	17 	5  	784   	1.19967
INFO:gp:57 	780   	0.506362	57 	0.542244	0.306346	780   	0.0389943	9.42033	57 	15 	6  	780   	1.08992
INFO:gp:58 	778   	0.511628	58 	0.546453	0.338707	778   	0.0390848	9.36559	58 	15 	7  	778   	1.03943
INFO:gp:59 	780   	0.512677	59 	0.546453	0.31463 	780   	0.0403381	9.44868	59 	15 	6  	780   	1.18357
INFO:gp:60 	757   	0.515887	60 	0.550491	0.337515	757   	0.0396379	9.4956 	60 	16 	6  	757   	1.27451
INFO:gp:61 	765   	0.516105	61 	0.553644	0.347575	765   	0.0398462	9.59824	61 	18 	6  	765   	1.31011
INFO:gp:62 	785   	0.516769	62 	0.561416	0.348885	785   	0.0395513	9.88759	62 	18 	7  	785   	1.53871
INFO:gp:63 	797   	0.518294	63 	0.561416	0.337525	797   	0.0405133	10.0674	63 	21 	6  	797   	1.8124 
INFO:gp:64 	780   	0.519284	64 	0.561416	0.27646 	780   	0.0426202	10.1828	64 	25 	7  	780   	2.23297
INFO:gp:65 	782   	0.520644	65 	0.561416	0.327019	782   	0.0427725	10.3451	65 	23 	7  	782   	2.3928 
INFO:gp:66 	787   	0.523573	66 	0.561416	0.295797	787   	0.0434309	10.1701	66 	21 	7  	787   	2.09277
INFO:gp:67 	744   	0.526686	67 	0.56144 	0.306317	744   	0.0422262	10.2004	67 	21 	7  	744   	1.9565 
INFO:gp:68 	787   	0.527425	68 	0.56144 	0.359127	787   	0.0422355	10.4761	68 	23 	7  	787   	2.0878 
INFO:gp:69 	774   	0.528454	69 	0.561446	0.309483	774   	0.0448492	10.1681	69 	23 	6  	774   	2.01342
INFO:gp:70 	777   	0.529144	70 	0.561446	0.337959	777   	0.0442143	10.1896	70 	19 	7  	777   	1.94278
INFO:gp:71 	787   	0.529786	71 	0.561446	0.354766	787   	0.0431882	10.8768	71 	19 	7  	787   	2.15083
INFO:gp:72 	754   	0.531959	72 	0.574574	0.284574	754   	0.0421517	12.2141	72 	19 	7  	754   	2.00978
INFO:gp:73 	761   	0.532483	73 	0.574574	0.328033	761   	0.0436827	13.1544	73 	21 	8  	761   	1.72203
INFO:gp:74 	763   	0.529465	74 	0.574574	0.307686	763   	0.0449095	13.87  	74 	27 	9  	763   	1.7215 
INFO:gp:75 	774   	0.530134	75 	0.574574	0.317875	774   	0.044665 	13.9472	75 	23 	7  	774   	1.66886
INFO:gp:76 	765   	0.533487	76 	0.574574	0.284739	765   	0.0458108	13.5122	76 	27 	9  	765   	1.80138
INFO:gp:77 	778   	0.538956	77 	0.574574	0.339132	778   	0.0451304	13.1202	77 	23 	6  	778   	1.75203
INFO:gp:78 	776   	0.542575	78 	0.574574	0.308471	776   	0.0442742	12.8759	78 	23 	7  	776   	1.41878
INFO:gp:79 	760   	0.545432	79 	0.574574	0.303365	760   	0.0422343	12.8583	79 	23 	7  	760   	1.33764
INFO:gp:80 	756   	0.543782	80 	0.574574	0.371902	756   	0.0416601	12.9267	80 	23 	7  	756   	1.22115
INFO:gp:81 	777   	0.540825	81 	0.574574	0.28768 	777   	0.0456988	12.9218	81 	23 	7  	777   	1.21804
INFO:gp:82 	783   	0.539748	82 	0.576725	0.369699	783   	0.0444518	12.9218	82 	23 	7  	783   	1.27298
INFO:gp:83 	796   	0.542749	83 	0.576725	0.305904	796   	0.0430581	12.9658	83 	23 	7  	796   	1.23559
INFO:gp:84 	779   	0.54036 	84 	0.576725	0.347626	779   	0.045557 	12.998 	84 	23 	7  	779   	1.28682
INFO:gp:85 	787   	0.544211	85 	0.576725	0.299889	787   	0.0429116	12.9599	85 	23 	7  	787   	1.4001 
INFO:gp:86 	755   	0.54442 	86 	0.576725	0.345833	755   	0.0429809	12.9365	86 	23 	7  	755   	1.29095
INFO:gp:87 	775   	0.542953	87 	0.576725	0.300524	775   	0.0431475	12.8935	87 	23 	7  	775   	1.33433
INFO:gp:88 	774   	0.544308	88 	0.576725	0.362775	774   	0.0423027	12.9071	88 	23 	7  	774   	1.27774
INFO:gp:89 	763   	0.544666	89 	0.579801	0.340786	763   	0.046353 	12.9071	89 	23 	7  	763   	1.22781
INFO:gp:90 	780   	0.544018	90 	0.579801	0.366218	780   	0.0440762	12.9648	90 	23 	9  	780   	1.08789
INFO:gp:91 	782   	0.545178	91 	0.579801	0.367127	782   	0.0436749	12.913 	91 	23 	7  	782   	1.34668
INFO:gp:92 	788   	0.541671	92 	0.579801	0.3593  	788   	0.0456689	12.9071	92 	23 	7  	788   	1.12128
INFO:gp:93 	763   	0.542939	93 	0.579801	0.349361	763   	0.044973 	12.9189	93 	23 	7  	763   	1.20858
INFO:gp:94 	750   	0.543756	94 	0.579801	0.317524	750   	0.0468789	12.9277	94 	23 	7  	750   	1.09769
INFO:gp:95 	796   	0.543609	95 	0.579801	0.325885	796   	0.0471955	12.9238	95 	23 	8  	796   	1.23411
INFO:gp:96 	785   	0.542645	96 	0.579801	0.335784	785   	0.0485924	12.9277	96 	23 	9  	785   	1.1592 
INFO:gp:97 	763   	0.547424	97 	0.579801	0.367356	763   	0.0448304	12.9629	97 	23 	9  	763   	1.18668
INFO:gp:98 	754   	0.54404 	98 	0.579801	0.363678	754   	0.0466122	12.9873	98 	23 	7  	754   	1.26415
INFO:gp:99 	746   	0.545241	99 	0.579801	0.301805	746   	0.0488348	12.914 	99 	23 	7  	746   	1.11176
INFO:gp:100	760   	0.542719	100	0.579801	0.260316	760   	0.0475154	12.9687	100	23 	6  	760   	1.28416
INFO:gp:101	774   	0.545144	101	0.579801	0.325371	774   	0.0451131	12.9169	101	23 	7  	774   	1.21731
INFO:gp:102	769   	0.546394	102	0.579801	0.368478	769   	0.0456281	12.9316	102	23 	9  	769   	1.19432
INFO:gp:103	775   	0.54374 	103	0.579801	0.268717	775   	0.0477828	12.9619	103	23 	7  	775   	1.27519
INFO:gp:104	760   	0.546463	104	0.579801	0.355917	760   	0.0453082	12.9374	104	23 	6  	760   	1.17401
INFO:gp:105	760   	0.543946	105	0.579801	0.31188 	760   	0.0483546	12.9433	105	25 	6  	760   	1.35661
INFO:gp:106	771   	0.5448  	106	0.579801	0.336994	771   	0.0474816	12.9277	106	23 	6  	771   	1.32892
INFO:gp:107	766   	0.544562	107	0.579801	0.286366	766   	0.0485698	12.9286	107	23 	7  	766   	1.3396 
INFO:gp:108	756   	0.547409	108	0.579801	0.339021	756   	0.0448029	12.9492	108	23 	7  	756   	1.28354
INFO:gp:109	754   	0.546705	109	0.579801	0.35552 	754   	0.0457061	12.958 	109	23 	7  	754   	1.27277
INFO:gp:110	766   	0.546724	110	0.579801	0.36971 	766   	0.0448635	12.9335	110	23 	7  	766   	1.36836
INFO:gp:111	774   	0.545636	111	0.579801	0.264419	774   	0.0468587	12.9795	111	23 	7  	774   	1.13358
INFO:gp:112	803   	0.543232	112	0.579801	0.381582	803   	0.0460689	12.9374	112	23 	7  	803   	1.20847
INFO:gp:113	770   	0.548983	113	0.579801	0.357308	770   	0.0441484	12.955 	113	23 	6  	770   	1.27151
INFO:gp:114	768   	0.548277	114	0.579801	0.361783	768   	0.0459176	12.9765	114	23 	7  	768   	1.36334
INFO:gp:115	756   	0.544988	115	0.579801	0.370697	756   	0.0468238	12.9873	115	23 	7  	756   	1.28334
INFO:gp:116	783   	0.543331	116	0.579801	0.299299	783   	0.0478446	12.9873	116	23 	6  	783   	1.34943
INFO:gp:117	801   	0.546051	117	0.579801	0.353275	801   	0.0464083	12.9629	117	23 	6  	801   	1.48389
INFO:gp:118	787   	0.547167	118	0.579801	0.339365	787   	0.0440843	12.9091	118	23 	7  	787   	1.23351
INFO:gp:119	773   	0.546804	119	0.579801	0.356904	773   	0.0462697	12.9091	119	23 	6  	773   	1.32298
INFO:gp:120	788   	0.545059	120	0.579801	0.311295	788   	0.0478481	12.9091	120	23 	7  	788   	1.27559
INFO:gp:121	821   	0.54437 	121	0.579801	0.337616	821   	0.0473523	12.9218	121	23 	7  	821   	1.16555
INFO:gp:122	760   	0.548026	122	0.579801	0.312403	760   	0.0456705	12.8886	122	23 	6  	760   	1.21142
INFO:gp:123	795   	0.544672	123	0.579801	0.342178	795   	0.0477893	12.8935	123	23 	7  	795   	1.26282
INFO:gp:124	794   	0.549142	124	0.579801	0.355735	794   	0.0442826	12.8974	124	23 	6  	794   	1.27316
INFO:gp:125	757   	0.546345	125	0.579801	0.344229	757   	0.046645 	12.9511	125	23 	7  	757   	1.23391
INFO:gp:126	771   	0.546466	126	0.579801	0.345286	771   	0.0451432	12.9717	126	23 	7  	771   	1.22462
INFO:gp:127	784   	0.544261	127	0.579801	0.347886	784   	0.0466255	12.9198	127	27 	6  	784   	1.38256
INFO:gp:128	771   	0.544859	128	0.579801	0.340511	771   	0.0461831	12.9423	128	23 	6  	771   	1.24104
INFO:gp:129	779   	0.54681 	129	0.579801	0.334635	779   	0.0456637	12.9453	129	23 	6  	779   	1.4083 
INFO:gp:130	788   	0.545579	130	0.579801	0.367353	788   	0.0456775	12.915 	130	23 	6  	788   	1.37624
INFO:gp:131	780   	0.547541	131	0.579801	0.290817	780   	0.0456389	12.9365	131	23 	6  	780   	1.3378 
INFO:gp:132	785   	0.545045	132	0.579801	0.334318	785   	0.0468837	12.9208	132	23 	6  	785   	1.24457
INFO:gp:133	782   	0.545099	133	0.579801	0.33428 	782   	0.0469549	12.955 	133	23 	7  	782   	1.15298
INFO:gp:134	746   	0.548661	134	0.579801	0.366392	746   	0.0434918	12.9228	134	23 	7  	746   	1.3268 
INFO:gp:135	776   	0.545239	135	0.579801	0.321264	776   	0.0469795	12.9492	135	23 	6  	776   	1.42364
INFO:gp:136	776   	0.546621	136	0.579801	0.325476	776   	0.0460025	12.9531	136	23 	6  	776   	1.40581
INFO:gp:137	770   	0.550207	137	0.579801	0.325191	770   	0.0452047	12.9228	137	23 	6  	770   	1.37954
INFO:gp:138	764   	0.548292	138	0.579801	0.341942	764   	0.0450851	12.8866	138	23 	6  	764   	1.27187
INFO:gp:139	764   	0.54645 	139	0.579801	0.310679	764   	0.0463594	12.8964	139	23 	6  	764   	1.39438
INFO:gp:140	766   	0.545235	140	0.579801	0.338646	766   	0.0461621	12.8983	140	23 	6  	766   	1.30771
INFO:gp:141	770   	0.547728	141	0.579801	0.335052	770   	0.0458236	12.9717	141	23 	6  	770   	1.37075
INFO:gp:142	805   	0.544648	142	0.579801	0.355254	805   	0.0464174	12.9492	142	21 	6  	805   	1.15697
INFO:gp:143	769   	0.544304	143	0.579801	0.249176	769   	0.0496236	12.9316	143	23 	7  	769   	1.16784
INFO:gp:144	775   	0.544346	144	0.579801	0.343897	775   	0.0468189	12.9042	144	21 	6  	775   	1.32744
INFO:gp:145	775   	0.543994	145	0.579801	0.349596	775   	0.0472366	12.9462	145	21 	6  	775   	1.25609
INFO:gp:146	801   	0.54369 	146	0.579801	0.366138	801   	0.0488441	12.9482	146	23 	6  	801   	1.28388
INFO:gp:147	751   	0.546556	147	0.579801	0.298161	751   	0.0465923	12.9218	147	17 	6  	751   	1.05366
INFO:gp:148	773   	0.546128	148	0.579801	0.36401 	773   	0.0443778	12.9717	148	23 	7  	773   	1.20124
INFO:gp:149	806   	0.547433	149	0.579801	0.360417	806   	0.0455291	12.9619	149	23 	7  	806   	1.22674
INFO:gp:150	757   	0.548762	150	0.579801	0.357307	757   	0.0435761	12.9677	150	21 	6  	757   	1.28908
INFO:gp:151	776   	0.546118	151	0.579801	0.32545 	776   	0.0466082	12.9746	151	23 	6  	776   	1.13908
INFO:gp:152	796   	0.544863	152	0.579801	0.314409	796   	0.0457471	12.9726	152	23 	7  	796   	1.17452
INFO:gp:153	781   	0.548194	153	0.579801	0.322265	781   	0.0460109	12.9824	153	21 	6  	781   	1.26216
INFO:gp:154	776   	0.544976	154	0.579801	0.340658	776   	0.0459296	12.9668	154	25 	7  	776   	1.34072
