INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.214469	0  	0.309327	0.114375	1023  	0.0311894	4.82209	0  	7  	2  	1023  	1.44147
INFO:gp:1  	786   	0.250914	1  	0.345609	0.15304 	786   	0.0271808	4.99316	1  	11 	3  	786   	1.47145
INFO:gp:2  	767   	0.2748  	2  	0.353762	0.172782	767   	0.027017 	5.08309	2  	10 	2  	767   	1.45776
INFO:gp:3  	783   	0.292862	3  	0.369395	0.198265	783   	0.0271119	5.04888	3  	11 	2  	783   	1.39877
INFO:gp:4  	733   	0.307689	4  	0.384271	0.184571	733   	0.0299699	4.7957 	4  	10 	3  	733   	1.32953
INFO:gp:5  	775   	0.321484	5  	0.389069	0.205715	775   	0.0310389	4.51124	5  	9  	3  	775   	1.28744
INFO:gp:6  	787   	0.33425 	6  	0.392937	0.175935	787   	0.0349677	4.54448	6  	12 	3  	787   	1.44015
INFO:gp:7  	808   	0.348506	7  	0.402173	0.228177	808   	0.0330797	4.71945	7  	12 	3  	808   	1.48254
INFO:gp:8  	776   	0.359555	8  	0.414892	0.208854	776   	0.0339227	4.58944	8  	12 	3  	776   	1.33951
INFO:gp:9  	786   	0.371016	9  	0.420455	0.224075	786   	0.0317218	4.50538	9  	10 	3  	786   	1.29127
INFO:gp:10 	768   	0.377767	10 	0.428414	0.225476	768   	0.0347431	4.54936	10 	12 	3  	768   	1.41465
INFO:gp:11 	790   	0.387829	11 	0.4298  	0.237486	790   	0.033949 	4.4086 	11 	10 	3  	790   	1.24638
INFO:gp:12 	779   	0.396652	12 	0.441048	0.214988	779   	0.0343078	4.30694	12 	9  	3  	779   	0.985536
INFO:gp:13 	762   	0.403701	13 	0.446179	0.252547	762   	0.033663 	4.28055	13 	8  	3  	762   	0.817982
INFO:gp:14 	785   	0.40416 	14 	0.450481	0.234578	785   	0.0393916	4.37439	14 	9  	3  	785   	0.936711
INFO:gp:15 	752   	0.412403	15 	0.456559	0.253852	752   	0.0380696	4.54057	15 	12 	3  	752   	1.14025 
INFO:gp:16 	792   	0.41036 	16 	0.456559	0.233211	792   	0.0426714	4.65103	16 	10 	3  	792   	1.26167 
INFO:gp:17 	761   	0.4182  	17 	0.461844	0.240501	761   	0.0408668	4.58944	17 	12 	3  	761   	1.23945 
INFO:gp:18 	770   	0.423206	18 	0.461844	0.248594	770   	0.0409938	4.46725	18 	12 	3  	770   	1.13362 
INFO:gp:19 	786   	0.420221	19 	0.464741	0.235045	786   	0.0463625	4.55425	19 	12 	3  	786   	1.18013 
INFO:gp:20 	789   	0.42451 	20 	0.46503 	0.23995 	789   	0.0447029	4.71848	20 	11 	3  	789   	1.31571 
INFO:gp:21 	779   	0.426651	21 	0.487332	0.234585	779   	0.0479394	4.76833	21 	11 	3  	779   	1.37428 
INFO:gp:22 	756   	0.433584	22 	0.487332	0.23369 	756   	0.0447078	4.83187	22 	13 	4  	756   	1.76506 
INFO:gp:23 	774   	0.436123	23 	0.487332	0.218045	774   	0.0448668	5.60215	23 	16 	3  	774   	2.65314 
INFO:gp:24 	773   	0.438252	24 	0.493923	0.229827	773   	0.0449594	7.02151	24 	14 	3  	773   	3.169   
INFO:gp:25 	786   	0.448029	25 	0.503651	0.247686	786   	0.0419666	8.66471	25 	16 	4  	786   	3.11117 
INFO:gp:26 	793   	0.459931	26 	0.503651	0.195978	793   	0.0412428	10.2581	26 	19 	4  	793   	2.21694 
INFO:gp:27 	765   	0.46803 	27 	0.510243	0.271382	765   	0.0382402	10.6188	27 	18 	4  	765   	1.50051 
